IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_AK_20161108_GEN_PRE_REP_TRUMP,USA_AK_20161108_GEN_PRE_DEM_CLINTON,USA_AK_20161108_GEN_PRE_LIB_JOHNSON,USA_AK_20161108_GEN_PRE_GRE_STEIN,USA_AK_20161108_GEN_PRE_CON_CASTLE,USA_AK_20161108_GEN_PRE_IND_FUENTE,USA_AK_20161108_GEN_PRE_OTH_WRITEIN,USA_AK_20161108_GEN_USS_REP_MURKOWSKI,USA_AK_20161108_GEN_USS_DEM_METCALFE,USA_AK_20161108_GEN_USS_LIB_MILLER,USA_AK_20161108_GEN_USS_IND_CRAIG,USA_AK_20161108_GEN_USS_IND_GIANOUTSOS,USA_AK_20161108_GEN_USS_IND_STOCK,USA_AK_20161108_GEN_USS_OTH_WRITEIN,USA_AK_20161108_GEN_HAL_REP_YOUNG,USA_AK_20161108_GEN_HAL_DEM_LINDBECK,USA_AK_20161108_GEN_HAL_LIB_MCDERMOTT,USA_AK_20161108_GEN_HAL_IND_SOUPHANAVONG,USA_AK_20161108_GEN_HAL_OTH_WRITEIN
0,_01-446,_01-446 AURORA,_01-446 AURORA,662,508,106,32,9,8,41,627,125,377,7,11,166,7,582,528,164,32,7
0,_01-455,_01-455 FAIRBANKS NO. 1,_01-455 FAIRBANKS NO. 1,165,108,13,5,4,2,13,127,35,105,3,2,28,3,157,98,36,8,0
0,_01-465,_01-465 FAIRBANKS NO. 2,_01-465 FAIRBANKS NO. 2,245,213,33,16,11,2,12,203,84,160,3,4,52,4,220,198,80,11,0
0,_01-470,_01-470 FAIRBANKS NO. 3,_01-470 FAIRBANKS NO. 3,358,389,54,18,9,3,27,374,111,212,6,4,127,4,385,335,78,24,4
0,_01-475,_01-475 FAIRBANKS NO. 4,_01-475 FAIRBANKS NO. 4,220,147,25,10,6,2,19,203,49,101,6,1,54,0,194,162,41,15,1
0,_01-480,_01-480 FAIRBANKS NO. 5,_01-480 FAIRBANKS NO. 5,613,447,88,21,15,3,47,622,117,336,5,4,115,3,585,437,129,25,5
0,_01-485,_01-485 FAIRBANKS NO. 6,_01-485 FAIRBANKS NO. 6,321,241,44,14,5,5,23,293,105,161,4,1,56,4,311,214,69,22,3
0,_01-490,_01-490 FAIRBANKS NO. 7,_01-490 FAIRBANKS NO. 7,360,390,39,16,9,3,21,319,146,245,9,6,80,1,326,319,116,37,1
0,_01-495,_01-495 FAIRBANKS NO. 10,_01-495 FAIRBANKS NO. 10,237,135,14,11,5,0,22,183,33,133,4,3,44,0,230,118,25,14,4
0,_02-345,_02-345 BADGER NO. 2,_02-345 BADGER NO. 2,1094,360,108,12,25,8,32,726,116,607,19,13,70,6,859,386,228,44,11
0,_02-355,_02-355 FAIRBANKS NO. 8,_02-355 FAIRBANKS NO. 8,498,394,62,37,6,5,38,433,140,254,11,7,118,5,416,388,104,36,8
0,_02-365,_02-365 FAIRBANKS NO. 9,_02-365 FAIRBANKS NO. 9,881,484,86,26,16,7,78,720,171,461,16,12,102,3,786,470,173,35,5
0,_02-375,_02-375 FORT WAINWRIGHT,_02-375 FORT WAINWRIGHT,716,351,115,19,11,0,28,490,192,230,16,17,50,5,570,269,136,23,5
0,_03-130,_03-130 BADGER NO. 1,_03-130 BADGER NO. 1,1202,361,99,30,18,4,51,795,124,664,17,10,112,6,1032,409,214,43,7
0,_03-135,_03-135 CHENA LAKES,_03-135 CHENA LAKES,1134,222,99,15,23,9,48,730,62,645,14,12,48,3,952,279,216,47,7
0,_03-165,_03-165 NEWBY,_03-165 NEWBY,1350,282,136,22,20,5,55,806,98,796,26,7,92,3,1142,346,238,71,8
0,_03-175,_03-175 NORTH POLE,_03-175 NORTH POLE,568,169,77,11,13,3,26,379,69,320,13,9,53,6,447,219,144,29,4
0,_03-183,_03-183 PLACK,_03-183 PLACK,1150,209,107,20,35,2,41,651,72,699,11,13,84,6,958,294,203,51,9
0,_04-230,_04-230 ESTER,_04-230 ESTER,209,400,33,23,11,0,35,244,122,129,4,7,192,2,205,390,74,19,4
0,_04-240,_04-240 FARMERS LOOP,_04-240 FARMERS LOOP,671,980,80,47,8,5,52,786,249,345,6,5,421,7,622,994,148,29,9
0,_04-250,_04-250 GOLDSTREAM NO. 1,_04-250 GOLDSTREAM NO. 1,271,440,43,24,5,2,26,258,125,180,6,6,228,3,240,469,74,17,5
0,_04-260,_04-260 GOLDSTREAM NO. 2,_04-260 GOLDSTREAM NO. 2,271,635,87,53,10,7,27,368,221,187,7,1,286,4,296,643,94,33,4
0,_04-265,_04-265 STEESE EAST/GILMORE,_04-265 STEESE EAST/GILMORE,1245,636,163,28,33,4,83,989,170,757,12,12,226,3,1147,675,259,55,11
0,_04-270,_04-270 STEESE WEST,_04-270 STEESE WEST,1333,815,150,43,24,5,106,1171,194,774,10,9,288,7,1199,892,253,64,7
0,_04-280,_04-280 UNIVERSITY HILLS,_04-280 UNIVERSITY HILLS,71,264,29,20,6,3,15,109,67,72,2,4,138,3,79,260,44,12,4
0,_05-580,_05-580 AIRPORT,_05-580 AIRPORT,147,47,18,5,5,0,6,84,19,90,0,0,25,0,125,53,29,6,4
0,_05-582,_05-582 CHENA,_05-582 CHENA,1413,1402,186,89,14,3,109,1449,363,763,18,11,553,12,1344,1423,300,66,12
