IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_AK_20201103_GEN_PRE_REP_TRUMP,USA_AK_20201103_GEN_PRE_DEM_BIDEN,USA_AK_20201103_GEN_PRE_LIB_JORGENSEN,USA_AK_20201103_GEN_PRE_GRE_JANOS,USA_AK_20201103_GEN_PRE_CON_BLANKENSHIP,USA_AK_20201103_GEN_PRE_IND_PIERCE,USA_AK_20201103_GEN_PRE_ALL_FUENTE,USA_AK_20201103_GEN_USS_REP_SULLIVAN,USA_AK_20201103_GEN_USS_DEM_GROSS,USA_AK_20201103_GEN_USS_ALI_HOWE,USA_AK_20201103_GEN_HAL_REP_YOUNG,USA_AK_20201103_GEN_HAL_DEM_GALVIN
0,_01-446,_01-446 Aurora,_01-446 Aurora,818,696,65,5,6,3,0,807,677,89,796,764
0,_01-455,_01-455 Fairbanks No. 1,_01-455 Fairbanks No. 1,167,147,6,4,0,0,0,154,142,18,173,143
0,_01-465,_01-465 Fairbanks No. 2,_01-465 Fairbanks No. 2,239,281,22,3,4,0,1,236,252,53,239,295
0,_01-470,_01-470 Fairbanks No. 3,_01-470 Fairbanks No. 3,426,459,21,5,0,6,1,431,437,33,444,455
0,_01-475,_01-475 Fairbanks No. 4,_01-475 Fairbanks No. 4,192,246,10,2,4,1,0,200,217,29,200,248
0,_01-480,_01-480 Fairbanks No. 5,_01-480 Fairbanks No. 5,688,636,33,13,4,3,0,734,564,56,675,674
0,_01-485,_01-485 Fairbanks No. 6,_01-485 Fairbanks No. 6,337,402,28,0,3,3,0,323,399,41,331,428
0,_01-490,_01-490 Fairbanks No. 7,_01-490 Fairbanks No. 7,408,400,12,15,8,5,0,362,398,76,366,464
0,_01-495,_01-495 Fairbanks No. 10,_01-495 Fairbanks No. 10,237,216,19,3,5,3,0,241,213,19,252,218
0,_02-345,_02-345 Badger No. 2,_02-345 Badger No. 2,1326,437,71,0,5,5,0,1214,367,170,1225,511
0,_02-355,_02-355 Fairbanks No. 8,_02-355 Fairbanks No. 8,614,499,28,9,4,9,4,560,490,49,539,552
0,_02-365,_02-365 Fairbanks No. 9,_02-365 Fairbanks No. 9,989,687,63,15,9,0,5,1001,616,81,999,692
0,_02-375,_02-375 Fort Wainwright,_02-375 Fort Wainwright,746,485,125,6,0,0,0,605,426,72,608,479
0,_03-130,_03-130 Badger No. 1,_03-130 Badger No. 1,1376,526,68,14,5,0,4,1353,501,109,1354,595
0,_03-135,_03-135 Chena Lakes,_03-135 Chena Lakes,1274,350,62,11,6,3,0,1230,346,114,1227,434
0,_03-165,_03-165 Newby,_03-165 Newby,1453,438,89,8,7,5,0,1430,446,101,1423,538
0,_03-175,_03-175 North Pole,_03-175 North Pole,613,258,45,5,6,3,2,636,217,71,609,305
0,_03-183,_03-183 Plack,_03-183 Plack,1361,335,52,4,3,2,2,1356,303,85,1334,393
0,_04-230,_04-230 Ester,_04-230 Ester,222,512,21,9,3,3,0,240,502,29,237,524
0,_04-240,_04-240 Farmers Loop,_04-240 Farmers Loop,715,1161,48,23,3,7,1,772,1134,57,743,1209
0,_04-250,_04-250 Goldstream No. 1,_04-250 Goldstream No. 1,296,531,32,8,1,4,0,297,545,35,301,563
0,_04-260,_04-260 Goldstream No. 2,_04-260 Goldstream No. 2,349,819,33,11,1,1,1,344,836,39,355,851
0,_04-265,_04-265 Steese East/Gilmore,_04-265 Steese East/Gilmore,1475,909,62,15,12,7,1,1499,885,99,1481,989
0,_04-270,_04-270 Steese West,_04-270 Steese West,1512,1122,106,23,5,7,1,1519,1120,132,1498,1275
0,_04-280,_04-280 University Hills,_04-280 University Hills,122,302,21,4,2,0,0,147,289,16,126,325
0,_05-580,_05-580 Airport,_05-580 Airport,134,67,11,3,0,3,0,131,75,10,128,86
0,_05-582,_05-582 Chena,_05-582 Chena,1661,1815,102,29,12,5,0,1731,1771,108,1633,1958
0,_05-586,_05-586 Geist,_05-586 Geist,545,678,36,6,4,3,3,563,665,45,575,691
0,_05-587,_05-587 Lakeview,_05-587 Lakeview,151,71,7,3,0,0,0,144,75,12,150,81
0,_05-588,_05-588 Pike,_05-588 Pike,218,153,14,5,3,0,0,225,147,19,236,151
0,_05-590,_05-590 Richardson,_05-590 Richardson,239,68,18,3,0,0,3,229,61,35,237,85
0,_05-592,_05-592 Shanly,_05-592 Shanly,253,330,18,2,0,1,1,247,319,40,248,356
0,_05-594,_05-594 University Campus,_05-594 University Campus,46,136,8,4,0,0,0,46,143,7,44,151
0,_05-596,_05-596 University West,_05-596 University West,831,894,45,13,2,5,1,873,856,56,856,921
0,_06-005,_06-005 Anderson,_06-005 Anderson,89,21,3,3,0,3,0,80,23,11,86,26
0,_06-007,_06-007 Arctic Village,_06-007 Arctic Village,6,69,0,0,0,0,0,9,60,4,6,64
0,_06-010,_06-010 Beaver,_06-010 Beaver,8,31,0,3,3,4,0,10,30,4,12,30
0,_06-012,_06-012 Cantwell,_06-012 Cantwell,102,64,6,3,4,0,0,101,57,13,96,71
0,_06-015,_06-015 Central,_06-015 Central,74,24,4,0,0,0,0,72,21,5,75,22
