IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_AR_20161108_GEN_PRE_REP_TRUMP,USA_AR_20161108_GEN_PRE_DEM_CLINTON,USA_AR_20161108_GEN_PRE_LIB_JOHNSON,USA_AR_20161108_GEN_PRE_BET_MCMULLIN,USA_AR_20161108_GEN_PRE_GRE_STEIN,USA_AR_20161108_GEN_PRE_IND_HEDGES,USA_AR_20161108_GEN_PRE_CON_CASTLE,USA_AR_20161108_GEN_PRE_IND_KAHN,USA_AR_20161108_GEN_USS_REP_BOOZMAN,USA_AR_20161108_GEN_USS_DEM_ELDRIDGE,USA_AR_20161108_GEN_USS_LIB_GILBERT,USA_AR_20161108_GEN_USS_OTH_WRITEIN
0,_Arkansas,_Almyra,_Almyra,96,8,3,2,0,0,1,2,85,25,2,0
0,_Arkansas,_Arkansas,_Arkansas,24,15,1,0,0,0,0,0,18,20,0,0
0,_Arkansas,_Barton,_Barton,72,7,1,0,1,1,0,1,67,12,3,0
0,_Arkansas,_Bayou Meto,_Bayou Meto,60,14,2,1,0,1,0,0,57,22,0,0
0,_Arkansas,_Brewer,_Brewer,12,2,0,0,0,1,0,0,11,4,0,0
0,_Arkansas,_Chester,_Chester,72,15,3,0,1,2,0,0,66,24,1,0
0,_Arkansas,_Crockett,_Crockett,32,10,0,0,0,1,0,0,32,12,0,0
0,_Arkansas,_DeWitt 1,_DeWitt 1,64,133,3,7,3,6,2,0,70,138,7,0
0,_Arkansas,_Dewitt 2,_Dewitt 2,224,73,9,1,1,6,1,2,199,100,9,0
0,_Arkansas,_Dewitt 3,_Dewitt 3,280,82,10,0,1,8,3,6,270,114,4,0
0,_Arkansas,_Garland,_Garland,48,9,0,1,0,1,0,0,46,12,0,0
0,_Arkansas,_Gillett Ward 1,_Gillett Ward 1,54,21,2,0,0,3,0,1,52,26,2,0
0,_Arkansas,_Gillett Ward 2,_Gillett Ward 2,88,20,3,0,1,3,0,1,82,31,2,0
0,_Arkansas,_Gillett Ward 3,_Gillett Ward 3,22,28,5,1,1,0,1,1,29,30,0,0
0,_Arkansas,_Gum Pond,_Gum Pond,118,24,3,0,0,2,1,3,109,38,2,0
0,_Arkansas,_Henton,_Henton,81,21,2,2,2,3,0,0,77,31,0,0
0,_Arkansas,_Humphrey Ward 1,_Humphrey Ward 1,19,43,0,2,4,12,0,1,24,53,2,0
0,_Arkansas,_Humphrey Ward 3,_Humphrey Ward 3,9,7,1,0,0,4,1,0,11,10,1,0
0,_Arkansas,_Keaton,_Keaton,189,87,4,3,3,5,2,1,173,114,5,0
0,_Arkansas,_Lagrue,_Lagrue,327,65,5,2,5,12,5,2,321,90,7,0
0,_Arkansas,_McFall,_McFall,23,9,0,0,0,0,0,0,20,11,2,0
0,_Arkansas,_Mill Bayou,_Mill Bayou,72,10,5,0,1,3,2,0,65,26,1,0
0,_Arkansas,_Morris,_Morris,77,10,2,1,0,1,1,0,67,24,1,0
0,_Arkansas,_Prairie,_Prairie,122,28,3,0,2,1,2,3,111,44,5,0
0,_Arkansas,_PT Deluce,_PT Deluce,83,11,0,1,0,2,0,0,75,22,1,0
0,_Arkansas,_St. Charles,_St. Charles,68,10,0,1,1,1,0,0,65,14,1,0
0,_Arkansas,_Stanley,_Stanley,2,5,2,0,0,0,0,0,2,7,0,0
0,_Arkansas,_Stuttgart 1,_Stuttgart 1,158,515,13,9,15,27,7,5,201,512,18,0
0,_Arkansas,_Stuttgart 2,_Stuttgart 2,641,350,23,3,12,17,3,4,627,404,24,0
0,_Arkansas,_Stuttgart 3,_Stuttgart 3,689,307,21,7,10,10,8,7,652,371,25,0
0,_Ashley,_Cooter,_Cooter,166,34,4,1,0,0,0,1,151,41,9,0
0,_Ashley,_Cross Roads,_Cross Roads,327,44,10,1,4,1,0,0,309,63,9,0
0,_Ashley,_Crossett Ward 1,_Crossett Ward 1,216,352,22,6,4,1,4,1,222,332,24,0
0,_Ashley,_Crossett Ward 2,_Crossett Ward 2,307,322,14,3,2,3,2,3,296,294,27,4
0,_Ashley,_Crossett Ward 3,_Crossett Ward 3,654,194,17,5,5,3,3,1,644,191,23,1
0,_Ashley,_Fountain Hill City,_Fountain Hill City,27,29,1,0,0,0,0,0,30,25,1,0
0,_Ashley,_Fountain Hill Rural,_Fountain Hill Rural,166,49,1,3,2,1,1,1,159,43,5,0
0,_Ashley,_Hamburg Rural/Beech Creek/Mist,_Hamburg Rural/Beech Creek/Mist,600,107,15,2,4,4,2,4,571,133,21,2
0,_Ashley,_Hamburg Ward 1,_Hamburg Ward 1,60,186,6,1,0,1,4,1,69,160,16,1
0,_Ashley,_Hamburg Ward 2,_Hamburg Ward 2,181,73,6,1,0,0,0,2,165,75,10,0
0,_Ashley,_Hamburg Ward 3,_Hamburg Ward 3,320,72,3,6,2,1,1,1,290,89,12,0
0,_Ashley,_Hickory Grove,_Hickory Grove,365,53,3,5,1,3,0,1,346,59,11,0
0,_Ashley,_Milo,_Milo,351,55,5,4,2,1,2,0,332,68,15,0
0,_Ashley,_Montrose City,_Montrose City,27,85,2,0,0,2,0,0,29,69,4,0
0,_Ashley,_Montrose Rural/Boydell/Snyder-Trafalgar,_Montrose Rural/Boydell/Snyder-Trafalgar,39,14,0,0,0,0,1,2,32,14,3,2
