IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_AR_20201103_GEN_PRE_REP_TRUMP,USA_AR_20201103_GEN_PRE_DEM_BIDEN,USA_AR_20201103_GEN_PRE_LIB_JORGENSEN,USA_AR_20201103_GEN_PRE_GRE_HAWKINS,USA_AR_20201103_GEN_PRE_CON_BLANKENSHIP,USA_AR_20201103_GEN_PRE_ASP_CARROLL,USA_AR_20201103_GEN_PRE_LLP_MYERS,USA_AR_20201103_GEN_PRE_SLP_RIVA,USA_AR_20201103_GEN_PRE_IND_WEST,USA_AR_20201103_GEN_PRE_IND_COLLINS,USA_AR_20201103_GEN_PRE_IND_PIERCE,USA_AR_20201103_GEN_PRE_IND_GAMMON,USA_AR_20201103_GEN_PRE_IND_FUENTE,USA_AR_20201103_GEN_USS_REP_COTTON,USA_AR_20201103_GEN_USS_LIB_HARRINGTON
0,_Arkansas,_11 - McFall,_11 - McFall,38,7,0,0,0,0,0,0,1,0,0,0,1,40,7
0,_Arkansas,_12 - Crockett,_12 - Crockett,32,9,0,0,0,0,0,0,0,0,0,0,0,36,4
0,_Arkansas,_13 - Keaton,_13 - Keaton,241,83,2,0,1,0,0,0,0,1,0,1,0,244,76
0,_Arkansas,_14 - Mill Bayou,_14 - Mill Bayou,88,14,1,0,0,0,0,0,1,1,0,0,0,88,16
0,_Arkansas,_15 - Almyra,_15 - Almyra,96,10,2,0,0,0,0,1,0,0,0,0,0,96,12
0,_Arkansas,_21 - Prairie,_21 - Prairie,147,23,0,0,1,0,0,0,1,1,0,0,0,155,19
0,_Arkansas,_22 - Lagrue,_22 - Lagrue,410,51,4,0,0,1,0,0,0,1,0,0,0,416,45
0,_Arkansas,_23 - St. Charles,_23 - St. Charles,74,8,0,0,0,0,0,0,0,1,0,0,0,76,6
0,_Arkansas,_31 - Chester,_31 - Chester,77,16,1,0,0,0,0,0,0,0,0,0,0,81,11
0,_Arkansas,_32 - Arkansas,_32 - Arkansas,34,11,0,0,0,0,0,0,0,0,0,0,0,34,8
0,_Arkansas,_33 - Stanley,_33 - Stanley,7,4,0,0,0,0,0,0,0,0,0,0,0,7,4
0,_Arkansas,_34 - Gillett Ward 1,_34 - Gillett Ward 1,50,17,0,0,1,0,0,0,0,1,0,0,0,53,15
0,_Arkansas,_35 - Gillett Ward 2,_35 - Gillett Ward 2,90,20,1,0,0,0,0,0,0,0,0,0,0,92,18
0,_Arkansas,_36 - Gillett Ward 3,_36 - Gillett Ward 3,41,23,1,0,0,0,0,0,1,0,0,0,0,44,21
0,_Arkansas,_37 - PT Deluce,_37 - PT Deluce,87,6,0,1,0,0,0,0,0,0,0,0,0,87,7
0,_Arkansas,_38 - Bayou Meto,_38 - Bayou Meto,67,9,1,1,0,0,0,0,0,0,0,0,0,69,8
0,_Arkansas,_41 - Morris,_41 - Morris,86,10,0,0,0,0,0,0,0,0,0,0,0,85,10
0,_Arkansas,_42 - Gum Pond,_42 - Gum Pond,130,26,1,0,0,0,1,1,0,0,0,0,1,137,21
0,_Arkansas,_43 - Barton,_43 - Barton,72,5,1,0,0,0,0,0,0,0,0,0,0,71,7
0,_Arkansas,_44 - Henton,_44 - Henton,80,11,1,0,0,0,0,1,0,0,0,0,0,79,12
