IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_AZ_20161108_GEN_PRE_REP_TRUMP,USA_AZ_20161108_GEN_PRE_DEM_CLINTON,USA_AZ_20161108_GEN_PRE_LIB_JOHNSON,USA_AZ_20161108_GEN_PRE_GRE_STEIN,USA_AZ_20161108_GEN_PRE_OTH_WRITEIN,USA_AZ_20161108_GEN_USS_REP_MCCAIN,USA_AZ_20161108_GEN_USS_DEM_KIRKPATRICK,USA_AZ_20161108_GEN_USS_GRE_SWING,USA_AZ_20161108_GEN_USS_OTH_WRITEIN
0,_AP,_ALPINE,_AP0002,216,60,13,2,4,196,65,22,5
0,_AP,_CANYON DE CHELLY,_AP0003,143,1387,72,32,51,188,1499,45,4
0,_AP,_CHINLE,_AP0005,93,678,38,17,36,127,721,24,1
0,_AP,_CONCHO,_AP0009,1135,228,44,11,27,836,291,195,42
0,_AP,_CORNFIELDS,_AP0010,33,349,16,3,12,37,375,5,1
0,_AP,_COTTONWOOD,_AP0011,47,589,26,11,21,84,632,10,1
0,_AP,_CORONADO,_AP0012,582,57,13,5,16,527,77,49,5
0,_AP,_DENNEHOTSO,_AP0013,40,430,16,9,10,60,458,3,0
0,_AP,_EAGAR,_AP0016,762,141,22,7,13,704,139,75,6
0,_AP,_FLAT TOP,_AP0017,559,83,12,2,10,483,106,58,6
0,_AP,_FT DEFIANCE,_AP0019,251,1306,90,39,49,282,1403,73,9
0,_AP,_GANADO NORTH,_AP0022,33,316,18,4,14,46,338,7,3
0,_AP,_GANADO SOUTH,_AP0023,55,485,25,15,32,69,523,13,11
0,_AP,_GREER,_AP0025,87,34,1,0,0,76,38,6,0
0,_AP,_HOUCK,_AP0027,102,407,47,9,23,106,463,26,0
0,_AP,_KINLICHEE,_AP0029,42,520,27,8,11,61,559,11,0
0,_AP,_KLAGETOH,_AP0031,54,359,35,12,16,64,419,12,0
0,_AP,_LUKACHUKAI,_AP0033,47,710,44,14,24,78,760,25,1
0,_AP,_LUPTON,_AP0035,50,261,12,8,4,61,269,13,2
0,_AP,_MCNARY,_AP0037,11,66,4,3,2,12,71,4,0
0,_AP,_MANY FARMS,_AP0039,51,732,45,7,17,76,767,19,1
0,_AP,_MEXICAN WATER,_AP0041,5,87,9,1,4,22,84,1,0
0,_AP,_NAZLINI,_AP0043,45,430,28,6,14,48,465,17,2
0,_AP,_NUTRIOSO,_AP0045,213,59,4,3,7,194,62,20,2
0,_AP,_OAK SPRINGS,_AP0046,24,218,17,10,4,23,249,11,1
0,_AP,_PUERCO E/W,_AP0048,223,478,32,20,35,184,556,51,3
0,_AP,_RED MESA,_AP0051,10,98,9,4,4,23,96,6,0
0,_AP,_RED VALLEY,_AP0052,81,259,45,6,3,120,259,22,0
0,_AP,_ROCK POINT,_AP0054,38,557,28,8,17,69,581,7,1
0,_AP,_ROUGH ROCK,_AP0056,25,381,12,1,7,30,403,5,1
0,_AP,_ROUND ROCK,_AP0058,25,407,23,5,11,39,435,8,0
0,_AP,_ROUND VALLEY,_AP0059,470,66,14,5,7,398,83,52,8
0,_AP,_ST JOHNS,_AP0061,761,195,31,19,17,635,241,101,11
0,_AP,_ST MICHAELS,_AP0065,124,854,62,39,18,185,879,45,4
0,_AP,_SAWMILL,_AP0067,39,337,28,16,15,51,373,23,1
0,_AP,_SPRINGERVILLE,_AP0070,521,145,28,5,4,472,166,48,6
0,_AP,_STEAMBOAT,_AP0074,38,630,22,11,8,48,664,11,1
0,_AP,_SWEETWATER,_AP0076,61,228,36,7,3,88,243,8,0
0,_AP,_TACHEE,_AP0078,22,245,5,6,7,32,261,2,0
0,_AP,_TEEC NOS POS,_AP0080,61,303,27,7,4,98,300,12,0
0,_AP,_VERNON,_AP0082,838,175,30,16,12,705,220,97,19
0,_AP,_WHEATFIELDS,_AP0084,42,693,30,17,25,90,723,26,2
0,_AP,_WIDE RUINS,_AP0086,37,335,19,5,9,39,366,7,2
0,_AP,_WINDOW ROCK,_AP0088,144,705,62,34,21,178,764,37,2
0,_CH,_BE BENSON,_CH0001,630,304,48,24,24,576,357,64,13
0,_CH,_BE J-SIX,_CH0002,992,320,59,20,34,895,338,119,28
0,_CH,_BE SAN PEDRO,_CH0003,727,376,65,26,22,691,397,81,12
0,_CH,_BI BISBEE,_CH0004,179,699,26,58,23,209,689,71,2
0,_CH,_BI DON LUIS,_CH0005,397,499,41,27,12,421,486,60,2
0,_CH,_BI WARREN,_CH0006,330,577,50,40,24,357,579,71,5
0,_CH,_BOWIE,_CH0007,126,81,7,7,4,124,83,12,1
0,_CH,_COCHISE STRONGHOLD,_CH0008,883,292,40,29,14,733,351,107,25
0,_CH,_DO CALVARY,_CH0009,117,605,21,23,5,227,522,21,0
0,_CH,_DO CARLSON,_CH0010,272,795,34,20,18,432,689,18,1
0,_CH,_DO CASTRO PARK,_CH0011,104,815,21,24,8,249,688,29,1
0,_CH,_DO GADSDEN,_CH0012,119,561,22,17,8,232,460,20,0
0,_CH,_DO SUNNYSIDE,_CH0013,201,553,22,27,9,284,488,23,2
0,_CH,_GREATER SAN PEDRO,_CH0014,869,241,81,28,28,766,313,120,20
0,_CH,_HEREFORD,_CH0015,948,359,62,21,34,883,388,92,22
0,_CH,_HUACHUCA,_CH0016,373,203,55,14,14,385,225,33,4
0,_CH,_MCNEAL,_CH0017,452,168,31,15,16,402,189,55,14
0,_CH,_NACO,_CH0018,92,253,15,11,4,117,231,21,1
0,_CH,_PALOMINAS,_CH0019,650,241,56,18,19,575,297,74,14
0,_CH,_PIRTLEVILLE,_CH0020,211,514,22,23,9,263,453,35,8
0,_CH,_POMERENE,_CH0021,528,216,31,15,11,451,268,49,11
0,_CH,_PORTAL,_CH0022,119,96,4,6,2,98,100,21,1
0,_CH,_SAN SIMON,_CH0023,134,27,2,3,2,97,46,17,6
0,_CH,_ST DAVID,_CH0024,1044,290,72,16,39,957,340,99,27
