IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_AZ_20201103_GEN_PRE_REP_TRUMP,USA_AZ_20201103_GEN_PRE_DEM_BIDEN,USA_AZ_20201103_GEN_PRE_LIB_JORGENSEN,USA_AZ_20201103_GEN_USS_DEM_KELLY,USA_AZ_20201103_GEN_USS_REP_MCSALLY
0,_AP,_ALPINE,_AP0002,283,94,5,98,284
0,_AP,_CANYON DE CHELLY,_AP0003,273,1982,30,1995,290
0,_AP,_CHINLE,_AP0005,148,989,20,994,157
0,_AP,_CONCHO,_AP0009,1486,333,22,381,1422
0,_AP,_CORNFIELDS,_AP0010,76,393,4,413,71
0,_AP,_CORONADO,_AP0012,746,111,4,122,726
0,_AP,_COTTONWOOD,_AP0011,87,748,5,763,85
0,_AP,_DENNEHOTSO,_AP0013,90,560,7,574,87
0,_AP,_EAGAR,_AP0016,862,159,24,170,851
0,_AP,_FLAT TOP,_AP0017,684,105,11,134,663
0,_AP,_FT DEFIANCE,_AP0019,416,1940,30,1964,424
0,_AP,_GANADO NORTH,_AP0022,65,416,6,421,70
0,_AP,_GANADO SOUTH,_AP0023,119,647,4,673,99
0,_AP,_GREER,_AP0025,91,42,0,42,89
0,_AP,_HOUCK,_AP0027,168,548,13,582,154
0,_AP,_KINLICHEE,_AP0029,61,591,4,599,61
0,_AP,_KLAGETOH,_AP0031,109,436,6,467,90
0,_AP,_LUKACHUKAI,_AP0033,103,889,11,914,97
0,_AP,_LUPTON,_AP0035,74,321,7,329,73
0,_AP,_MANY FARMS,_AP0039,123,1030,12,1049,110
0,_AP,_MCNARY,_AP0037,29,85,2,89,26
0,_AP,_MEXICAN WATER,_AP0041,29,135,1,135,26
0,_AP,_NAZLINI,_AP0043,110,554,9,599,74
0,_AP,_NUTRIOSO,_AP0045,225,79,2,82,220
0,_AP,_OAK SPRINGS,_AP0046,42,282,5,288,37
0,_AP,_PUERCO E/W,_AP0048,327,724,13,760,312
0,_AP,_RED MESA,_AP0051,26,173,2,173,27
0,_AP,_RED VALLEY,_AP0052,167,317,8,354,128
0,_AP,_ROCK POINT,_AP0054,111,802,21,830,114
0,_AP,_ROUGH ROCK,_AP0056,57,526,3,524,59
0,_AP,_ROUND ROCK,_AP0058,61,566,6,574,65
0,_AP,_ROUND VALLEY,_AP0059,558,92,11,108,538
0,_AP,_SAWMILL,_AP0067,85,480,10,488,86
0,_AP,_SPRINGERVILLE,_AP0070,666,159,10,189,630
0,_AP,_ST JOHNS,_AP0061,873,236,13,258,841
0,_AP,_ST MICHAELS,_AP0065,216,1265,30,1287,234
0,_AP,_STEAMBOAT,_AP0074,93,736,5,774,75
0,_AP,_SWEETWATER,_AP0076,76,312,6,327,73
0,_AP,_TACHEE,_AP0078,35,294,1,304,27
0,_AP,_TEEC NOS POS,_AP0080,101,436,5,451,85
0,_AP,_VERNON,_AP0082,1140,238,14,257,1117
0,_AP,_WHEATFIELDS,_AP0084,79,988,11,996,80
0,_AP,_WIDE RUINS,_AP0086,70,425,3,432,75
0,_AP,_WINDOW ROCK,_AP0088,202,1055,21,1087,200
0,_CH,_BE BENSON,_CH0001,958,442,16,467,936
0,_CH,_BE J-SIX,_CH0002,1239,445,43,494,1212
0,_CH,_BE SAN PEDRO,_CH0003,986,508,26,533,960
0,_CH,_BI BISBEE,_CH0004,223,908,14,923,221
0,_CH,_BI DON LUIS,_CH0005,440,698,11,718,426
0,_CH,_BI WARREN,_CH0006,366,783,28,797,376
0,_CH,_BOWIE,_CH0007,148,62,4,70,142
0,_CH,_COCHISE STRONGHOLD,_CH0008,1006,404,14,431,978
0,_CH,_DO CALVARY,_CH0009,257,751,9,775,237
0,_CH,_DO CARLSON,_CH0010,413,926,13,965,379
0,_CH,_DO CASTRO PARK,_CH0011,250,891,13,926,219
0,_CH,_DO GADSDEN,_CH0012,212,664,12,682,199
0,_CH,_DO SUNNYSIDE,_CH0013,380,641,9,686,342
0,_CH,_GREATER SAN PEDRO,_CH0014,1053,390,41,425,1044
0,_CH,_HEREFORD,_CH0015,1180,567,36,583,1187
0,_CH,_HUACHUCA,_CH0016,462,296,22,307,459
0,_CH,_MCNEAL,_CH0017,511,231,4,239,502
0,_CH,_NACO,_CH0018,153,314,10,336,141
0,_CH,_PALOMINAS,_CH0019,781,341,16,353,780
0,_CH,_PIRTLEVILLE,_CH0020,332,576,7,597,313
0,_CH,_POMERENE,_CH0021,694,271,9,288,682
0,_CH,_PORTAL,_CH0022,147,130,2,133,150
0,_CH,_SAN SIMON,_CH0023,147,31,3,31,149
0,_CH,_ST DAVID,_CH0024,1239,332,25,359,1229
0,_CH,_SUNIZONA,_CH0025,290,123,9,130,289
0,_CH,_SV AVENIDA DEL SOL,_CH0026,1151,722,33,751,1142
0,_CH,_SV BUFFALO SOLDIER,_CH0027,1468,871,67,915,1485
0,_CH,_SV BUSBY,_CH0028,737,576,32,607,728
0,_CH,_SV CARMELITA,_CH0029,524,372,18,394,516
0,_CH,_SV CLOUD,_CH0030,412,327,22,341,414
0,_CH,_SV COLLEGE,_CH0031,849,624,39,644,852
0,_CH,_SV COUNTRY CLUB,_CH0032,1261,685,27,685,1280
0,_CH,_SV ESTATES,_CH0033,937,584,37,620,933
0,_CH,_SV HOPI,_CH0034,758,517,37,547,756
0,_CH,_SV MOSON,_CH0035,1175,442,37,460,1185
0,_CH,_SV PUEBLO DEL SOL,_CH0036,699,446,31,479,682
0,_CH,_SV RAMSEY,_CH0037,880,422,23,444,875
0,_CH,_SV SNYDER,_CH0038,559,406,23,418,558
0,_CH,_SV SOLDIER CREEK,_CH0039,964,849,63,872,977
0,_CH,_SV TOWN & COUNTRY,_CH0040,1125,550,33,577,1124
0,_CH,_SV VILLAGE MEADOWS,_CH0041,1267,731,55,757,1282
0,_CH,_SV VISTA VILLAGE,_CH0042,841,583,38,600,853
0,_CH,_SV YAQUI,_CH0043,1330,602,24,603,1363
0,_CH,_TOMBSTONE,_CH0044,994,346,26,386,965
0,_CH,_WEBB,_CH0045,341,133,14,146,340
0,_CH,_WHETSTONE,_CH0046,1360,501,41,553,1345
0,_CH,_WI KANSAS SETTLEMENT,_CH0047,804,285,16,315,784
0,_CH,_WI STEWART,_CH0048,758,205,9,231,736
0,_CH,_WI WILLCOX,_CH0049,496,228,12,250,487
0,_CN,_BELLEMONT,_CN0040,338,282,14,289,340
0,_CN,_BLUE RIDGE,_CN0041,467,143,3,148,460
0,_CN,_BODAWAY,_CN0042,174,566,17,607,151
0,_CN,_CAMERON,_CN0043,140,653,20,663,145
0,_CN,_COALMINE,_CN0048,23,186,3,177,32
0,_CN,_COPPERMINE,_CN0047,88,319,16,349,70
0,_CN,_DONEY PARK,_CN0050,1019,752,41,783,1020
0,_CN,_FLAGSTAFF #01,_CN0001,357,1178,20,1195,348
0,_CN,_FLAGSTAFF #02,_CN0002,202,1060,16,1076,195
0,_CN,_FLAGSTAFF #03,_CN0003,125,798,20,806,136
0,_CN,_FLAGSTAFF #04,_CN0004,347,1149,20,1128,377
0,_CN,_FLAGSTAFF #05,_CN0005,623,1342,31,1347,652
0,_CN,_FLAGSTAFF #06,_CN0006,655,1091,43,1099,672
0,_CN,_FLAGSTAFF #07,_CN0007,418,860,45,868,439
0,_CN,_FLAGSTAFF #08,_CN0008,196,611,10,608,209
0,_CN,_FLAGSTAFF #09,_CN0009,405,1193,56,1219,427
0,_CN,_FLAGSTAFF #10,_CN0010,35,162,5,156,42
0,_CN,_FLAGSTAFF #11,_CN0011,240,595,16,604,240
0,_CN,_FLAGSTAFF #12,_CN0012,174,872,31,900,166
0,_CN,_FLAGSTAFF #13,_CN0013,63,248,13,246,69
0,_CN,_FLAGSTAFF #14,_CN0014,282,903,38,915,287
0,_CN,_FLAGSTAFF #15,_CN0015,647,1622,52,1676,632
0,_CN,_FLAGSTAFF #16,_CN0016,533,1181,32,1203,540
0,_CN,_FLAGSTAFF #17,_CN0017,216,382,11,381,225
0,_CN,_FLAGSTAFF #18,_CN0018,279,382,15,393,277
0,_CN,_FLAGSTAFF #19,_CN0019,612,1000,34,1011,637
0,_CN,_FLAGSTAFF #20,_CN0020,118,427,18,432,126
0,_CN,_FLAGSTAFF #21,_CN0021,699,1303,45,1300,729
0,_CN,_FLAGSTAFF #22,_CN0022,973,1658,62,1652,1034
0,_CN,_FLAGSTAFF #23,_CN0023,455,994,52,1014,478
0,_CN,_FLAGSTAFF #24,_CN0024,1032,1502,43,1500,1064
0,_CN,_FLAGSTAFF #25,_CN0025,645,1119,40,1145,650
0,_CN,_FLAGSTAFF #26,_CN0026,411,549,31,571,404
0,_CN,_FOREST LAKES,_CN0053,111,40,2,42,107
0,_CN,_FORT VALLEY EAST,_CN0055,117,197,3,199,117
0,_CN,_FORT VALLEY WEST,_CN0056,307,363,9,365,319
0,_CN,_FREDONIA,_CN0058,482,116,7,143,460
0,_CN,_GRAND CANYON,_CN0059,149,495,21,496,170
0,_CN,_HAVASUPAI,_CN0060,5,57,1,54,7
0,_CN,_INSCRIPTION HOUSE,_CN0061,154,307,11,346,123
0,_CN,_KAIBAB NORTH,_CN0064,12,4,1,5,14
0,_CN,_KAIBAB WEST,_CN0066,430,135,13,164,403
0,_CN,_KAIBETO,_CN0065,218,735,23,791,182
0,_CN,_LECHEE,_CN0067,186,534,25,564,176
0,_CN,_LEUPP,_CN0069,198,844,17,856,191
0,_CN,_MOENKOPI,_CN0070,26,257,7,246,42
0,_CN,_MORMON LAKE,_CN0063,114,61,3,72,108
0,_CN,_MOUNTAIN VIEW,_CN0086,141,101,2,100,142
0,_CN,_NAVAJO MOUNTAIN,_CN0071,19,71,6,77,21
0,_CN,_PAGE CENTRAL,_CN0072,452,350,17,373,441
0,_CN,_PAGE EAST,_CN0073,519,313,12,311,527
0,_CN,_PAGE SOUTH,_CN0074,285,330,11,348,270
0,_CN,_PAGE WEST,_CN0075,544,387,23,416,534
0,_CN,_PARKS,_CN0079,700,303,16,306,703
0,_CN,_PINEWOOD,_CN0080,552,316,19,333,555
0,_CN,_PUMPHOUSE WASH,_CN0062,1063,1696,63,1733,1077
0,_CN,_RANCHES,_CN0084,252,228,7,233,256
0,_CN,_SCHULTZ,_CN0051,36,39,1,38,37
0,_CN,_SEDONA NORTH,_CN0082,331,456,7,451,341
0,_CN,_SEDONA SOUTH,_CN0083,607,797,15,806,610
0,_CN,_SUNSET CRATER,_CN0085,966,692,39,707,969
0,_CN,_TIMBERLINE FERNWOOD,_CN0052,946,688,29,716,942
0,_CN,_TOLANI LAKE,_CN0088,40,269,5,267,50
0,_CN,_TONALEA,_CN0090,241,1140,36,1193,226
0,_CN,_TUBA CITY NORTHEAST,_CN0093,136,654,12,654,141
0,_CN,_TUBA CITY NORTHWEST,_CN0094,83,564,16,565,92
0,_CN,_TUBA CITY SOUTH,_CN0095,350,2302,45,2297,381
0,_CN,_TUSAYAN,_CN0097,335,258,9,255,338
0,_CN,_WILLIAMS NORTHSIDE,_CN0098,1568,525,33,539,1559
0,_CN,_WILLIAMS SOUTHSIDE,_CN0099,538,298,12,321,517
0,_CN,_WINONA,_CN0092,848,694,31,718,834
0,_GI,_CANYON DAY,_GI0400,47,264,1,274,42
0,_GI,_CARRIZO,_GI0405,2,12,0,13,1
