IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20040302_PRI_ALL_ALL_REG,USA_CA_20040302_PRI_ALL_ALL_VOTED,USA_CA_20040302_PRI_PRE_DEM_LAROUCHE,USA_CA_20040302_PRI_PRE_DEM_LIEBERMAN,USA_CA_20040302_PRI_PRE_DEM_CLARK,USA_CA_20040302_PRI_PRE_DEM_KERRY,USA_CA_20040302_PRI_PRE_DEM_KUCINICH,USA_CA_20040302_PRI_PRE_DEM_DEAN,USA_CA_20040302_PRI_PRE_DEM_BRAUN,USA_CA_20040302_PRI_PRE_DEM_EDWARDS,USA_CA_20040302_PRI_PRE_DEM_GEPHARDT,USA_CA_20040302_PRI_PRE_DEM_SHARPTON,USA_CA_20040302_PRI_PRE_REP_BUSH,USA_CA_20040302_PRI_PRE_OTH_ALL,USA_CA_20040302_PRI_USS_DEM_BOXER,USA_CA_20040302_PRI_USS_REP_CASEY,USA_CA_20040302_PRI_USS_REP_KALOOGIAN,USA_CA_20040302_PRI_USS_REP_BALL,USA_CA_20040302_PRI_USS_REP_HATCH,USA_CA_20040302_PRI_USS_REP_MARIN,USA_CA_20040302_PRI_USS_REP_JONES,USA_CA_20040302_PRI_USS_REP_QURAISHI,USA_CA_20040302_PRI_USS_REP_ZANDT,USA_CA_20040302_PRI_USS_REP_STEWART,USA_CA_20040302_PRI_USS_REP_STOEN,USA_CA_20040302_PRI_USS_OTH_ALL,USA_CA_20040302_PRI_PROP55_YES,USA_CA_20040302_PRI_PROP55_NO,USA_CA_20040302_PRI_PROP56_YES,USA_CA_20040302_PRI_PROP56_NO,USA_CA_20040302_PRI_PROP57_YES,USA_CA_20040302_PRI_PROP57_NO,USA_CA_20040302_PRI_PROP58_YES,USA_CA_20040302_PRI_PROP58_NO
0,_Alameda,_06001200200,_200200,695,476,0,4,5,227,34,16,1,74,2,4,33,10,324,2,6,0,3,5,24,0,0,1,3,4,341,116,296,163,288,173,318,137
0,_Alameda,_06001200300,_200300,577,412,0,5,3,205,38,12,0,55,0,10,27,4,275,3,1,0,0,1,31,0,1,0,1,0,274,117,245,150,205,182,255,129
0,_Alameda,_06001200600,_200600,627,398,0,2,1,182,36,13,0,38,1,3,31,17,251,2,7,0,1,8,18,0,0,0,2,2,273,111,239,139,184,193,217,157
0,_Alameda,_06001200700,_200700,649,407,1,1,6,178,63,18,0,49,0,3,19,16,295,1,7,0,0,4,11,2,0,0,0,3,299,92,236,151,224,165,239,147
0,_Alameda,_06001200800,_200800,619,415,0,4,4,195,50,34,2,40,0,0,23,8,307,2,4,0,0,4,12,1,1,2,1,3,325,85,269,127,216,181,244,153
0,_Alameda,_06001201000,_201000,1192,771,1,2,4,369,118,32,0,90,1,11,52,12,557,5,5,1,1,9,31,1,2,1,0,1,571,179,486,250,395,355,459,287
0,_Alameda,_06001201100,_201100,1215,759,1,4,5,391,91,29,2,103,1,5,22,19,581,2,5,2,1,3,13,0,1,0,2,4,597,147,527,209,361,377,427,294
0,_Alameda,_06001201400,_201400,826,515,1,3,8,253,69,20,1,63,1,6,22,7,390,4,0,0,1,4,17,0,2,1,0,1,399,101,365,129,237,258,268,223
0,_Alameda,_06001201410,_201410,567,352,0,3,3,187,47,18,0,34,0,3,19,8,269,0,3,1,1,2,15,0,0,0,0,2,261,77,228,111,178,155,210,125
0,_Alameda,_06001201500,_201500,539,349,0,0,4,140,74,24,1,47,0,2,16,13,269,1,5,0,0,3,7,0,0,1,1,0,263,69,237,98,158,182,195,139
0,_Alameda,_06001201900,_201900,847,485,0,0,5,193,59,21,1,60,1,5,13,15,336,2,5,0,0,2,6,0,0,1,0,4,362,109,326,137,210,254,255,205
0,_Alameda,_06001202010,_202010,1298,578,0,3,7,256,83,26,1,82,0,9,16,30,416,1,2,2,2,4,6,1,0,2,0,3,428,126,371,168,227,312,283,255
0,_Alameda,_06001202400,_202400,740,206,3,1,4,76,19,9,1,31,0,5,11,5,144,1,3,0,1,3,4,1,0,0,1,1,153,45,126,63,81,112,107,86
0,_Alameda,_06001202410,_202410,725,228,1,1,3,65,44,17,0,33,0,3,8,22,144,1,1,1,0,4,3,1,1,0,0,2,187,37,145,62,67,139,93,106
0,_Alameda,_06001202500,_202500,1194,201,0,0,4,77,19,9,0,45,0,4,11,4,139,1,1,0,0,0,5,0,0,0,1,2,150,45,113,71,88,95,103,80
0,_Alameda,_06001202510,_202510,877,274,0,1,0,112,25,10,1,35,0,3,15,10,165,1,4,0,2,2,10,0,0,0,2,3,207,58,179,76,123,132,146,107
0,_Alameda,_06001202520,_202520,1011,324,4,3,0,102,34,14,1,41,0,6,14,26,184,4,2,0,2,1,6,2,1,0,0,5,263,51,219,86,133,168,175,121
0,_Alameda,_06001202600,_202600,594,152,0,1,1,38,27,5,0,22,0,2,17,1,90,3,3,0,1,5,3,1,0,0,0,0,108,35,98,45,68,75,74,68
0,_Alameda,_06001202630,_202630,1066,199,0,1,2,57,41,13,1,32,0,3,13,9,140,1,2,0,1,5,2,1,0,0,1,2,139,51,122,62,74,110,92,90
0,_Alameda,_06001202700,_202700,525,140,0,1,2,42,13,7,1,13,0,3,11,14,73,1,0,0,1,6,6,0,0,0,0,2,106,34,90,42,48,82,69,66
0,_Alameda,_06001202710,_202710,1095,401,0,3,2,164,55,24,1,65,0,3,15,23,294,2,1,1,0,1,13,0,0,0,2,2,292,96,237,134,185,196,224,156
0,_Alameda,_06001203100,_203100,662,447,0,4,2,223,37,20,1,72,1,2,27,10,328,3,1,0,0,5,13,1,0,2,1,1,357,76,261,160,246,186,282,142
0,_Alameda,_06001203200,_203200,572,397,1,5,2,215,25,13,0,32,0,6,45,4,272,4,7,1,1,7,31,0,1,0,2,0,280,102,235,141,236,144,258,117
0,_Alameda,_06001203400,_203400,1196,772,0,6,6,368,103,37,0,109,0,10,28,20,581,6,2,0,2,5,17,1,0,1,3,4,582,157,509,215,334,391,395,326
0,_Alameda,_06001203500,_203500,1310,821,0,6,6,364,115,40,2,115,0,6,41,23,585,6,0,1,3,7,30,1,1,1,2,3,646,139,559,205,416,357,463,301
0,_Alameda,_06001203800,_203800,864,535,0,3,5,209,97,32,1,61,1,7,14,20,384,2,2,0,1,2,8,0,1,0,1,3,416,98,365,143,218,285,241,252
0,_Alameda,_06001204000,_204000,524,302,0,2,1,131,52,8,1,42,0,7,7,24,215,3,1,0,1,1,3,0,0,0,0,3,233,59,204,82,127,161,144,143
0,_Alameda,_06001204100,_204100,1126,642,1,2,9,232,141,33,3,93,0,7,15,38,472,2,3,0,0,3,4,0,0,0,2,13,494,114,437,166,245,355,298,291
0,_Alameda,_06001204210,_204210,1105,513,1,0,3,207,84,34,1,66,1,8,18,18,375,1,3,0,1,3,9,0,1,0,2,4,386,112,336,151,204,276,244,239
0,_Alameda,_06001204220,_204220,1127,398,1,2,5,126,98,15,0,61,1,2,16,19,274,4,1,1,0,4,11,0,0,0,0,1,295,87,261,112,167,196,186,182
0,_Alameda,_06001204300,_204300,1085,519,0,4,3,196,116,21,1,73,0,9,12,24,398,1,2,0,0,1,9,1,0,1,3,4,411,86,369,118,223,264,257,217
0,_Alameda,_06001204310,_204310,787,444,0,0,5,143,103,19,0,49,0,3,7,36,298,0,2,0,1,0,7,0,1,0,0,9,339,83,293,126,146,270,194,221
0,_Alameda,_06001204510,_204510,949,327,0,0,5,110,72,8,1,45,0,6,5,25,224,2,2,0,1,1,3,0,0,0,0,1,252,65,224,85,130,181,159,151
0,_Alameda,_06001204600,_204600,874,285,0,0,1,111,64,12,0,43,0,4,9,15,210,0,2,0,0,2,5,0,1,0,0,4,218,53,178,82,114,147,135,122
0,_Alameda,_06001204900,_204900,1011,258,0,1,1,88,40,16,1,34,0,4,10,14,173,0,0,2,0,3,4,0,0,0,0,4,185,62,159,80,94,139,119,110
0,_Alameda,_06001204920,_204920,1132,274,1,2,8,113,36,10,3,48,0,3,10,6,199,1,2,0,1,0,3,0,1,3,0,4,206,62,161,96,107,153,143,111
0,_Alameda,_06001205000,_205000,683,474,0,3,3,224,48,24,1,65,0,3,20,9,343,3,3,0,0,3,16,1,1,0,0,1,373,88,293,156,248,205,278,166
0,_Alameda,_06001205100,_205100,750,481,0,3,4,272,31,13,1,65,2,5,23,9,353,3,2,0,0,2,17,0,0,1,3,2,343,119,300,162,263,199,293,158
0,_Alameda,_06001205200,_205200,765,536,0,4,6,285,48,23,2,68,0,5,31,10,388,3,7,0,0,3,18,0,0,0,2,0,402,124,315,199,296,217,331,178
0,_Alameda,_06001205500,_205500,724,496,1,2,2,224,84,23,4,65,0,2,18,11,376,0,2,0,0,7,11,0,1,1,3,3,387,95,342,135,260,216,304,172
0,_Alameda,_06001205600,_205600,1031,709,1,4,2,301,117,29,2,88,0,7,29,26,511,1,11,0,0,6,14,0,0,1,5,4,536,140,474,199,354,326,388,277
0,_Alameda,_06001205700,_205700,804,538,0,2,1,255,79,27,0,73,0,2,22,16,402,2,4,1,0,5,15,0,0,1,3,6,425,99,364,155,275,245,313,196
0,_Alameda,_06001205800,_205800,1234,813,1,7,6,393,106,37,0,113,1,3,47,23,606,1,9,1,1,7,29,0,2,0,2,1,629,163,550,233,386,396,469,309
0,_Alameda,_06001205900,_205900,911,613,1,3,4,274,107,34,0,87,1,6,31,19,485,4,8,0,0,4,18,1,0,1,4,2,466,124,400,181,277,306,330,251
0,_Alameda,_06001206100,_206100,1031,679,0,1,4,327,100,30,1,97,0,5,25,18,522,0,3,1,1,6,19,1,0,1,0,2,511,136,471,173,292,352,357,286
0,_Alameda,_06001206400,_206400,1198,754,0,5,10,291,138,23,4,88,1,7,23,33,523,2,1,0,1,4,13,1,0,1,1,7,599,124,494,216,321,394,382,330
0,_Alameda,_06001206700,_206700,1219,619,1,4,11,184,113,24,1,73,0,3,26,32,384,2,3,0,2,4,12,0,0,2,0,5,470,128,409,164,261,324,303,274
0,_Alameda,_06001206800,_206800,772,387,0,1,4,134,50,14,1,52,0,4,8,29,236,0,2,1,0,1,5,2,0,0,2,5,284,78,260,99,162,203,179,175
0,_Alameda,_06001207000,_207000,921,628,0,4,4,256,138,18,2,78,0,3,12,34,460,1,3,0,0,1,8,0,0,0,1,5,487,123,477,118,260,329,307,274
0,_Alameda,_06001207200,_207200,1021,704,0,4,8,302,112,34,2,91,2,6,20,35,521,2,5,1,0,3,10,1,0,2,0,4,554,128,488,180,284,378,331,325
0,_Alameda,_06001207300,_207300,1063,567,1,5,6,196,117,20,1,82,0,14,12,44,407,2,5,0,1,1,6,0,0,1,2,3,446,99,387,147,226,305,268,262
0,_Alameda,_06001207600,_207600,1315,382,0,2,4,128,48,20,1,52,0,7,19,16,241,1,1,0,2,7,8,0,1,0,0,4,300,66,235,129,159,196,203,150
0,_Alameda,_06001207700,_207700,1026,359,0,2,1,131,49,17,1,41,0,7,12,29,219,2,2,2,0,3,4,0,1,1,1,7,271,76,244,96,142,195,172,162
0,_Alameda,_06001208000,_208000,1115,617,1,3,4,217,117,27,4,86,1,5,13,47,422,1,3,0,1,1,4,0,0,0,3,7,477,113,402,172,228,343,268,298
0,_Alameda,_06001208010,_208010,1075,579,0,2,3,211,99,29,5,53,0,13,14,40,376,0,2,0,0,3,15,0,0,0,1,8,437,114,385,152,223,320,273,264
0,_Alameda,_06001208100,_208100,1106,681,0,3,5,214,196,24,2,73,0,10,15,42,486,4,5,1,2,3,6,0,0,1,1,6,519,133,459,186,251,393,292,348
0,_Alameda,_06001208300,_208300,735,387,1,1,6,165,63,15,3,27,0,12,3,17,268,0,1,0,0,0,3,0,0,0,0,1,306,66,250,119,174,193,188,170
0,_Alameda,_06001208310,_208310,1251,580,3,4,5,220,79,21,8,56,0,21,11,49,401,1,3,0,0,4,4,1,0,1,0,8,437,122,330,219,216,331,268,273
0,_Alameda,_06001208410,_208410,1122,544,1,1,2,219,130,10,4,55,1,15,8,38,402,0,2,0,0,0,3,0,0,0,4,7,427,91,369,137,206,297,243,252
0,_Alameda,_06001208510,_208510,983,541,2,3,6,217,123,29,3,61,0,14,5,24,407,2,1,0,0,1,4,0,0,0,0,5,417,94,355,148,210,300,253,251
0,_Alameda,_06001208600,_208600,401,240,0,0,2,72,68,9,0,27,0,3,2,22,161,1,0,1,0,0,1,0,0,0,0,0,189,41,186,45,74,160,96,138
0,_Alameda,_06001208610,_208610,1005,437,1,0,1,163,102,30,1,46,0,14,9,27,341,2,1,0,1,2,5,0,0,0,1,1,349,70,303,122,162,256,211,200
0,_Alameda,_06001208700,_208700,1196,498,2,4,4,199,86,23,7,40,0,23,5,35,357,3,0,0,1,0,1,0,0,0,0,4,383,86,295,155,168,285,204,250
0,_Alameda,_06001208800,_208800,759,257,1,2,1,114,37,10,1,18,1,17,8,16,178,0,1,0,0,0,5,0,0,0,0,3,190,54,163,77,104,133,123,112
0,_Alameda,_06001208810,_208810,791,312,0,2,1,135,43,9,5,26,3,20,3,13,233,0,0,0,1,1,2,0,0,1,1,1,225,70,156,131,123,167,145,140
0,_Alameda,_06001208900,_208900,786,303,1,4,2,148,34,11,2,22,0,15,6,18,224,0,3,0,2,0,2,0,0,0,1,5,224,59,164,122,133,156,158,128
0,_Alameda,_06001208910,_208910,768,302,0,4,1,140,39,15,2,36,3,13,5,9,235,0,2,0,0,0,1,0,0,1,0,1,227,50,182,92,124,154,142,129
0,_Alameda,_06001209000,_209000,673,349,0,3,2,157,69,12,4,25,1,14,1,21,263,0,0,0,0,0,0,0,0,0,1,4,258,73,215,117,120,208,143,182
