IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20060606_PRI_ALL_ALL_REG,USA_CA_20060606_PRI_ALL_ALL_VOTED,USA_CA_20060606_PRI_PROP81_YES,USA_CA_20060606_PRI_PROP81_NO,USA_CA_20060606_PRI_PROP82_YES,USA_CA_20060606_PRI_PROP82_NO,USA_CA_20060606_PRI_GOV_DEM_ANGELIDES,USA_CA_20060606_PRI_GOV_DEM_WESTLY,USA_CA_20060606_PRI_GOV_DEM_OTHER,USA_CA_20060606_PRI_GOV_REP_SCHWARZENEGGER,USA_CA_20060606_PRI_GOV_REP_OTHER,USA_CA_20060606_PRI_GOV_OTH_OTHER,USA_CA_20060606_PRI_LTG_DEM_GARAMENDI,USA_CA_20060606_PRI_LTG_DEM_SPEIER,USA_CA_20060606_PRI_LTG_DEM_FIGUEROA,USA_CA_20060606_PRI_LTG_REP_MCCLINTOCK,USA_CA_20060606_PRI_LTG_REP_FARMER,USA_CA_20060606_PRI_LTG_OTH_OTHER,USA_CA_20060606_PRI_SOS_DEM_BOWEN,USA_CA_20060606_PRI_SOS_DEM_ORTIZ,USA_CA_20060606_PRI_SOS_REP_MCPHERSON,USA_CA_20060606_PRI_SOS_OTH_OTHER,USA_CA_20060606_PRI_CON_DEM_DUNN,USA_CA_20060606_PRI_CON_DEM_CHIANG,USA_CA_20060606_PRI_CON_REP_HARRIS,USA_CA_20060606_PRI_CON_REP_STRICKLAND,USA_CA_20060606_PRI_CON_REP_MALDONADO,USA_CA_20060606_PRI_CON_REP_DAVIS,USA_CA_20060606_PRI_CON_REP_STRIERINGER,USA_CA_20060606_PRI_CON_OTH_OTHER,USA_CA_20060606_PRI_INS_DEM_BUSTAMANTE,USA_CA_20060606_PRI_INS_DEM_KRAFT,USA_CA_20060606_PRI_INS_REP_POIZNER,USA_CA_20060606_PRI_INS_OTH_OTHER,USA_CA_20060606_PRI_TRS_DEM_LOCKYER,USA_CA_20060606_PRI_TRS_REP_PARRISH,USA_CA_20060606_PRI_TRS_REP_RICHMAN,USA_CA_20060606_PRI_TRS_OTH_OTHER,USA_CA_20060606_PRI_ATG_DEM_DELGADILLO,USA_CA_20060606_PRI_ATG_DEM_BROWN,USA_CA_20060606_PRI_ATG_REP_POOCHIGIAN,USA_CA_20060606_PRI_ATG_OTH_OTHER,USA_CA_20060606_PRI_USS_DEM_FEINSTEIN,USA_CA_20060606_PRI_USS_DEM_CHURCH,USA_CA_20060606_PRI_USS_DEM_FERNALD,USA_CA_20060606_PRI_USS_REP_MOUNTJOY,USA_CA_20060606_PRI_USS_OTH_OTHER
0,_Alameda,_06001200100,_200100,703,353,228,93,189,138,158,111,13,22,2,6,86,175,20,22,0,6,137,71,17,6,71,143,1,5,8,1,5,6,190,52,15,5,216,16,5,6,58,216,16,6,264,6,17,13,5
0,_Alameda,_06001200200,_200200,663,359,246,95,178,160,174,100,9,35,3,7,76,177,25,38,1,7,156,67,35,7,89,132,0,13,15,3,1,7,199,52,30,7,226,11,18,7,47,221,28,7,257,4,15,30,4
0,_Alameda,_06001200300,_200300,580,310,181,100,173,121,116,105,10,27,2,6,61,160,12,29,1,5,136,53,28,5,70,119,0,7,11,2,4,5,167,39,22,5,183,10,13,5,50,181,21,5,230,2,3,22,6
0,_Alameda,_06001200600,_200600,622,310,201,82,165,127,134,94,10,27,4,6,72,140,17,29,4,6,125,56,26,6,71,113,3,8,6,0,4,5,145,56,24,6,186,14,9,6,42,184,24,6,219,3,6,24,5
0,_Alameda,_06001200700,_200700,653,325,229,74,192,125,152,83,10,21,1,13,62,164,19,22,0,11,156,41,20,10,63,120,3,7,4,0,3,11,174,38,18,9,207,9,10,10,41,194,19,9,234,2,13,19,10
0,_Alameda,_06001200800,_200800,639,332,237,65,210,106,149,93,11,24,3,12,72,146,21,23,2,11,127,68,21,12,78,104,1,3,9,3,2,11,173,40,18,12,201,7,14,12,47,194,18,10,235,0,12,16,8
0,_Alameda,_06001201000,_201000,591,279,197,69,140,127,115,80,4,25,2,5,47,142,13,26,1,6,116,42,24,5,54,99,0,9,10,1,3,5,142,37,24,6,161,11,12,6,30,166,24,6,197,1,3,23,5
0,_Alameda,_06001201100,_201100,644,333,241,67,216,105,156,110,9,16,3,5,82,170,15,17,1,5,134,61,13,5,63,129,0,4,10,0,2,5,202,35,13,5,212,7,6,5,60,205,14,5,250,6,6,12,5
0,_Alameda,_06001201300,_201300,576,253,190,48,179,69,116,72,5,9,2,13,53,122,22,9,1,11,103,48,10,8,61,76,0,2,4,1,2,8,149,18,9,8,150,6,4,8,35,155,9,9,175,2,10,9,8
0,_Alameda,_06001201400,_201400,832,384,278,76,238,131,198,96,13,22,2,14,92,180,24,22,1,13,168,62,22,13,87,130,0,6,11,2,3,13,222,49,19,13,238,13,7,13,49,239,20,12,277,2,15,13,13
0,_Alameda,_06001201410,_201410,582,295,201,73,175,101,130,86,12,24,3,8,61,133,20,24,1,7,122,49,23,7,56,111,1,11,7,0,4,7,150,40,17,7,173,8,14,7,31,188,23,7,213,1,16,18,6
0,_Alameda,_06001201500,_201500,585,288,209,56,194,84,149,70,18,8,5,7,48,149,26,11,1,7,122,58,7,7,79,88,3,2,4,0,1,8,164,25,6,8,170,2,5,8,41,175,6,9,204,1,20,5,8
0,_Alameda,_06001201700,_201700,697,182,149,26,112,63,80,48,10,3,4,11,35,67,23,5,2,10,51,42,5,9,28,74,0,3,2,0,0,10,96,18,4,9,107,1,4,9,25,103,4,9,116,5,10,3,8
0,_Alameda,_06001201900,_201900,872,328,243,64,208,109,131,96,19,9,0,21,66,138,28,10,2,18,136,64,7,19,70,116,0,0,4,4,0,20,178,32,7,20,194,4,5,20,50,172,6,19,212,2,23,5,17
0,_Alameda,_06001202010,_202010,570,142,89,40,80,53,63,33,3,7,0,9,37,46,10,7,0,8,55,24,4,8,27,53,0,3,1,0,0,8,69,18,3,7,87,4,1,8,16,78,3,7,88,2,8,4,8
0,_Alameda,_06001202110,_202110,558,168,126,31,106,52,70,36,12,11,1,6,35,66,17,9,2,7,70,27,8,8,45,51,0,4,3,0,0,8,90,18,7,8,95,3,4,8,34,79,7,8,104,3,11,9,9
