IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20080205_PRI_ALL_ALL_REG,USA_CA_20080205_PRI_ALL_ALL_VOTED,USA_CA_20080205_PRI_PROP98_YES,USA_CA_20080205_PRI_PROP98_NO,USA_CA_20080205_PRI_PROP99_YES,USA_CA_20080205_PRI_PROP99_NO
0,_Alameda,_06001200100,_200100,724,345,65,266,226,95
0,_Alameda,_06001200200,_200200,680,359,63,282,250,89
0,_Alameda,_06001200300,_200300,577,285,71,204,185,79
0,_Alameda,_06001200600,_200600,672,292,87,193,181,92
0,_Alameda,_06001200700,_200700,622,294,66,213,217,59
0,_Alameda,_06001200800,_200800,628,288,51,227,220,58
0,_Alameda,_06001201000,_201000,582,276,71,195,179,78
0,_Alameda,_06001201100,_201100,665,317,60,242,205,98
0,_Alameda,_06001201300,_201300,579,251,36,207,178,63
0,_Alameda,_06001201400,_201400,824,361,70,277,250,99
0,_Alameda,_06001201410,_201410,585,266,70,190,184,73
0,_Alameda,_06001201500,_201500,578,257,52,197,184,62
0,_Alameda,_06001201700,_201700,727,162,17,137,114,39
0,_Alameda,_06001201900,_201900,873,288,45,236,202,77
0,_Alameda,_06001202010,_202010,613,163,21,136,104,49
0,_Alameda,_06001202110,_202110,648,185,26,155,128,49
0,_Alameda,_06001202400,_202400,594,22,4,13,10,7
0,_Alameda,_06001202410,_202410,714,87,12,72,62,22
0,_Alameda,_06001202500,_202500,871,62,5,57,49,11
0,_Alameda,_06001202510,_202510,828,136,25,106,100,30
0,_Alameda,_06001202520,_202520,918,84,12,68,61,16
0,_Alameda,_06001202540,_202540,731,36,8,27,28,6
0,_Alameda,_06001202600,_202600,756,45,3,41,27,15
0,_Alameda,_06001202620,_202620,609,13,0,13,6,6
0,_Alameda,_06001202700,_202700,376,32,9,23,20,11
0,_Alameda,_06001202710,_202710,680,167,26,139,127,33
0,_Alameda,_06001202900,_202900,981,370,58,298,270,75
0,_Alameda,_06001203100,_203100,693,356,77,269,234,108
0,_Alameda,_06001203200,_203200,582,286,62,216,180,91
0,_Alameda,_06001203300,_203300,609,278,41,228,182,82
0,_Alameda,_06001203400,_203400,638,307,53,244,210,77
0,_Alameda,_06001203500,_203500,758,339,64,252,228,85
0,_Alameda,_06001203800,_203800,895,402,51,335,295,87
0,_Alameda,_06001204000,_204000,932,327,50,266,227,83
0,_Alameda,_06001204100,_204100,1216,431,47,376,318,96
0,_Alameda,_06001204210,_204210,728,177,33,142,135,35
0,_Alameda,_06001204220,_204220,643,102,7,94,76,21
0,_Alameda,_06001204300,_204300,1127,364,44,311,266,81
0,_Alameda,_06001204310,_204310,786,301,38,257,222,67
0,_Alameda,_06001204510,_204510,728,163,20,140,120,38
0,_Alameda,_06001204600,_204600,740,125,21,98,91,28
