IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20101102_GEN_REGVOTED_ALL,USA_CA_20101102_GEN_REGVOTED_AFF_DEM,USA_CA_20101102_GEN_REGVOTED_AFF_REP,USA_CA_20101104_GEN_REGVOTED_AFF_OTH,USA_CA_20101104_GEN_REGVOTED_AFF_DCL,USA_CA_20101104_GEN_REGVOTED_SEX_MALE,USA_CA_20101104_GEN_REGVOTED_SEX_FEMALE,USA_CA_20101104_GEN_REGVOTED_NAT_HISP,USA_CA_20101104_GEN_REGVOTED_NAT_JEW,USA_CA_20101104_GEN_REGVOTED_NAT_ASI,USA_CA_20101104_GEN_REGVOTED_NAT_OTH,USA_CA_20101104_GEN_REGVOTED_AGE_1824,USA_CA_20101104_GEN_REGVOTED_AGE_2534,USA_CA_20101104_GEN_REGVOTED_AGE_3544,USA_CA_20101104_GEN_REGVOTED_AGE_4554,USA_CA_20101104_GEN_REGVOTED_AGE_5564,USA_CA_20101104_GEN_REGVOTED_AGE_65PL,USA_CA_20101104_GEN_REGVOTED_REG_CYC1_G08,USA_CA_20101104_GEN_REGVOTED_REG_CYC2_G06,USA_CA_20101104_GEN_REGVOTED_REG_CYC3_G04,USA_CA_20101104_GEN_REGVOTED_REG_CYC4_G02,USA_CA_20101104_GEN_REGVOTED_REG_CYC5_G00,USA_CA_20101104_GEN_REGVOTED_REG_CYC6_G98,USA_CA_20101104_GEN_REGVOTED_REG_CYC7_G96,USA_CA_20101104_GEN_REGVOTED_REG_CYC8_G94,USA_CA_20101104_GEN_REGVOTED_REG_CYCN_NON
0,_Alameda,_06001200100,_200100,582,443,35,23,81,280,302,8,94,34,446,19,44,63,106,139,211,83,107,65,53,25,25,19,22,183
0,_Alameda,_06001200200,_200200,564,421,42,21,80,273,291,10,56,41,457,24,38,48,98,167,189,68,91,35,44,33,24,34,26,209
0,_Alameda,_06001200300,_200300,443,324,24,23,72,208,235,18,54,35,336,17,32,57,73,83,181,57,64,51,53,16,30,4,15,153
0,_Alameda,_06001200600,_200600,529,385,33,30,81,276,253,7,71,31,420,20,64,76,83,120,166,83,106,52,65,25,19,17,10,152
0,_Alameda,_06001200700,_200700,483,362,21,20,80,253,230,14,55,28,386,19,43,56,82,131,152,88,77,58,29,17,18,15,13,168
0,_Alameda,_06001200800,_200800,480,350,30,24,76,232,248,11,79,20,370,19,36,67,111,93,154,70,88,45,56,17,23,26,18,137
0,_Alameda,_06001201000,_201000,455,335,40,18,62,227,228,24,57,35,339,9,29,45,100,116,156,56,68,40,44,28,30,26,17,146
0,_Alameda,_06001201100,_201100,513,391,27,18,77,254,259,12,68,27,406,23,43,72,83,101,191,77,88,51,44,21,23,13,23,173
0,_Alameda,_06001201300,_201300,455,359,16,24,56,232,223,14,61,20,360,37,53,64,96,99,106,89,102,38,41,24,22,14,16,109
0,_Alameda,_06001201400,_201400,606,446,42,30,88,289,317,27,65,37,477,41,100,67,78,122,198,138,109,53,55,25,25,18,19,164
0,_Alameda,_06001201410,_201410,422,316,26,26,54,195,227,10,43,16,353,12,49,59,66,90,146,80,60,37,37,17,22,12,17,140
0,_Alameda,_06001201500,_201500,446,325,23,25,73,226,220,5,67,30,344,25,60,43,88,98,132,87,70,44,46,15,14,19,25,126
0,_Alameda,_06001201700,_201700,369,231,23,27,88,203,166,18,27,27,297,63,100,40,66,35,65,138,95,30,32,6,6,11,11,40
0,_Alameda,_06001201900,_201900,606,406,24,45,131,320,286,14,58,54,480,109,150,79,66,75,127,177,133,65,49,26,22,9,15,110
0,_Alameda,_06001202010,_202010,354,219,22,36,77,178,176,13,28,44,269,65,126,46,27,33,57,131,95,26,34,8,3,8,4,45
0,_Alameda,_06001202110,_202110,373,235,17,37,84,193,180,26,39,39,269,85,97,39,44,65,43,145,94,33,21,8,10,5,13,44
0,_Alameda,_06001202400,_202400,269,143,23,39,64,152,117,33,18,50,168,235,29,3,1,0,1,166,90,10,3,0,0,0,0,0
0,_Alameda,_06001202410,_202410,321,187,7,48,79,172,149,22,25,33,241,204,49,15,23,15,15,185,86,12,9,1,2,3,1,22
0,_Alameda,_06001202500,_202500,243,136,13,25,69,144,99,14,10,60,159,173,25,8,18,14,5,131,69,10,9,2,4,2,5,11
0,_Alameda,_06001202510,_202510,345,232,21,37,55,177,168,28,33,27,257,150,50,18,26,51,50,146,81,20,30,10,9,4,3,42
0,_Alameda,_06001202520,_202520,331,213,16,35,67,174,157,22,21,34,254,196,45,20,22,29,19,167,97,9,17,5,2,6,1,27
0,_Alameda,_06001202540,_202540,211,128,14,24,45,128,83,19,13,30,149,161,36,5,2,3,4,132,59,10,1,2,1,0,2,4
0,_Alameda,_06001202600,_202600,413,240,20,74,79,230,183,52,29,120,212,371,19,4,8,7,3,281,113,11,4,0,0,1,0,3
0,_Alameda,_06001202620,_202620,326,184,19,50,73,159,167,35,22,74,195,318,6,1,0,0,1,199,120,6,1,0,0,0,0,0
0,_Alameda,_06001202710,_202710,376,254,22,40,60,186,190,18,44,49,265,109,60,42,64,54,47,132,72,26,28,10,9,11,15,73
0,_Alameda,_06001202900,_202900,444,324,24,17,79,198,246,12,67,32,333,29,68,64,56,82,145,79,81,43,52,13,15,18,13,130
0,_Alameda,_06001203100,_203100,532,407,34,19,72,266,266,17,72,19,424,23,42,47,90,153,177,88,79,62,44,28,26,30,18,157
0,_Alameda,_06001203200,_203200,458,325,54,19,60,221,237,7,76,12,363,12,31,62,85,118,150,64,75,43,35,19,28,27,17,150
0,_Alameda,_06001203300,_203300,465,361,21,17,66,222,243,20,70,13,362,21,57,65,95,98,129,82,92,44,36,22,16,16,20,137
0,_Alameda,_06001203400,_203400,501,376,20,27,78,234,267,10,59,18,414,34,57,60,78,116,156,91,88,49,41,25,22,23,16,146
0,_Alameda,_06001203500,_203500,718,508,35,53,122,330,388,31,79,77,531,191,59,54,64,122,228,242,140,56,73,30,16,12,18,131
0,_Alameda,_06001203800,_203800,709,523,27,47,112,342,367,35,84,40,550,38,147,116,130,151,127,164,143,73,72,38,25,21,23,150
0,_Alameda,_06001204000,_204000,629,441,27,44,117,317,312,20,70,51,488,115,110,82,100,131,91,197,124,38,70,24,26,22,19,109
0,_Alameda,_06001204100,_204100,856,565,22,84,185,439,417,37,90,83,646,141,214,122,121,153,105,295,191,96,70,27,28,16,20,113
0,_Alameda,_06001204210,_204210,598,429,15,41,113,304,294,33,62,64,439,152,83,89,85,107,82,199,128,37,51,21,22,22,12,106
0,_Alameda,_06001204220,_204220,306,194,12,25,75,171,135,36,20,36,214,147,66,16,22,34,21,140,96,23,12,2,3,3,5,22
0,_Alameda,_06001204300,_204300,667,468,22,55,122,325,342,22,62,44,539,82,125,113,120,124,103,175,135,65,64,32,24,17,19,136
0,_Alameda,_06001204310,_204310,556,379,18,52,107,268,288,40,49,27,440,70,135,80,73,94,104,166,124,41,44,20,26,12,17,106
0,_Alameda,_06001204510,_204510,368,239,18,44,67,202,166,30,25,45,268,132,71,38,42,60,25,157,89,18,29,9,11,5,9,41
0,_Alameda,_06001204600,_204600,323,208,11,33,71,175,148,23,25,43,232,132,51,26,24,30,60,152,71,19,16,9,13,1,4,38
0,_Alameda,_06001204800,_204800,275,163,10,39,63,161,114,33,14,47,181,137,54,15,18,28,23,157,57,17,11,2,4,7,2,18
0,_Alameda,_06001204900,_204900,319,188,20,34,77,159,160,88,7,68,156,201,62,19,18,9,10,183,83,18,4,5,5,6,3,12
0,_Alameda,_06001204910,_204910,377,219,18,64,76,191,186,62,22,86,207,327,17,6,6,10,10,241,115,3,5,1,2,3,0,7
0,_Alameda,_06001205000,_205000,495,375,22,19,79,231,264,17,62,32,384,24,29,55,87,137,163,68,85,49,50,9,28,20,13,173
0,_Alameda,_06001205100,_205100,591,477,31,16,67,279,312,19,84,33,455,29,34,51,96,170,211,72,91,53,46,26,32,32,15,224
0,_Alameda,_06001205200,_205200,657,492,38,30,97,323,334,20,76,26,535,23,44,72,117,197,204,79,99,52,67,25,46,27,33,229
0,_Alameda,_06001205500,_205500,608,471,31,31,75,285,323,14,79,22,493,26,59,64,109,145,205,82,86,44,64,31,41,30,40,190
0,_Alameda,_06001205600,_205600,891,706,33,40,112,385,506,26,105,62,698,35,63,121,191,239,242,106,159,92,107,36,42,33,28,288
0,_Alameda,_06001205700,_205700,652,519,36,24,73,315,337,13,87,39,513,58,48,65,117,169,195,90,118,69,58,33,24,25,20,215
0,_Alameda,_06001205800,_205800,522,412,19,17,74,243,279,11,56,36,419,26,36,62,105,118,175,73,85,37,53,29,26,30,24,165
0,_Alameda,_06001205900,_205900,739,553,46,37,103,355,384,14,91,52,582,38,75,127,126,180,193,109,118,60,73,31,44,18,25,261
0,_Alameda,_06001206000,_206000,460,359,25,22,54,229,231,13,68,35,344,25,36,55,93,118,133,68,57,36,54,27,27,13,19,159
0,_Alameda,_06001206100,_206100,823,636,41,37,109,390,433,19,110,38,656,37,86,99,154,185,262,126,153,77,72,37,43,38,32,245
0,_Alameda,_06001206200,_206200,480,354,21,23,82,231,249,16,60,33,371,28,93,69,72,100,118,112,86,40,41,21,24,27,21,108
0,_Alameda,_06001206400,_206400,774,586,21,55,112,350,424,39,76,56,603,58,146,97,123,164,186,187,145,66,77,20,33,32,30,184
