IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20120605_PRI_ALL_ALL_REG,USA_CA_20120605_PRI_ALL_ALL_VOTED,USA_CA_20120605_PRI_PRE_DEM_OBAMA,USA_CA_20120605_PRI_PRE_REP_KARGER,USA_CA_20120605_PRI_PRE_REP_GINGRICH,USA_CA_20120605_PRI_PRE_REP_ROMNEY,USA_CA_20120605_PRI_PRE_REP_ROEMERIII,USA_CA_20120605_PRI_PRE_REP_SANTORUM,USA_CA_20120605_PRI_PRE_REP_PAUL,USA_CA_20120605_PRI_PRE_OTH_ALL,USA_CA_20120605_PRI_USS_DEM_FERNALD,USA_CA_20120605_PRI_USS_DEM_FEINSTEIN,USA_CA_20120605_PRI_USS_DEM_LEVITT,USA_CA_20120605_PRI_USS_DEM_SHAH,USA_CA_20120605_PRI_USS_DEM_STEWART,USA_CA_20120605_PRI_USS_DEM_STRIMLING,USA_CA_20120605_PRI_USS_REP_LAUTEN,USA_CA_20120605_PRI_USS_REP_TAITZ,USA_CA_20120605_PRI_USS_REP_KRAMPE,USA_CA_20120605_PRI_USS_REP_WILLIAMS,USA_CA_20120605_PRI_USS_REP_BRAUN,USA_CA_20120605_PRI_USS_REP_KONOPIK,USA_CA_20120605_PRI_USS_REP_SHIFREN,USA_CA_20120605_PRI_USS_REP_CONLON,USA_CA_20120605_PRI_USS_REP_RAMIREZ,USA_CA_20120605_PRI_USS_REP_GLORIA,USA_CA_20120605_PRI_USS_REP_EMKEN,USA_CA_20120605_PRI_USS_REP_BORUFF,USA_CA_20120605_PRI_USS_REP_HUGHES,USA_CA_20120605_PRI_USS_REP_JACKSON,USA_CA_20120605_PRI_USS_OTH_ALL,USA_CA_20120605_PRI_PROP28_NO,USA_CA_20120605_PRI_PROP28_YES,USA_CA_20120605_PRI_PROP29_NO,USA_CA_20120605_PRI_PROP29_YES
0,_Alameda,_06001200100,_200100,707,354,271,0,0,16,0,0,9,6,4,280,7,0,0,2,1,4,0,1,0,0,3,2,1,0,4,0,7,1,11,109,230,56,291
0,_Alameda,_06001200200,_200200,694,357,279,0,0,19,0,1,5,6,6,294,3,0,1,0,0,4,0,1,0,0,0,3,0,0,5,0,4,3,14,96,237,61,286
0,_Alameda,_06001200300,_200300,559,247,189,0,0,10,0,2,4,3,2,209,2,0,0,2,0,1,0,0,0,0,2,2,0,0,2,1,2,0,8,69,151,48,185
0,_Alameda,_06001200600,_200600,657,301,228,0,1,13,0,0,7,3,4,250,2,1,0,4,0,6,0,1,0,0,2,0,0,0,2,0,3,1,9,93,190,52,242
0,_Alameda,_06001200700,_200700,631,280,218,0,0,12,0,1,3,9,4,237,0,0,1,2,0,1,0,0,0,0,0,1,1,0,5,0,3,1,15,94,168,46,227
0,_Alameda,_06001200800,_200800,583,257,200,0,1,13,0,1,3,8,5,206,0,0,2,2,0,2,0,0,2,1,0,4,0,0,2,0,4,2,11,73,167,37,211
0,_Alameda,_06001201000,_201000,591,284,211,0,2,12,0,1,6,2,5,235,1,0,0,5,0,0,0,1,0,0,1,3,0,0,2,0,5,2,12,88,176,42,235
0,_Alameda,_06001201100,_201100,659,296,245,0,1,10,1,0,4,3,5,237,6,1,0,1,0,2,0,0,1,0,0,3,0,0,3,0,4,2,9,88,189,36,251
0,_Alameda,_06001201300,_201300,592,223,181,0,0,8,1,1,0,7,2,181,2,0,0,2,0,2,0,0,0,0,0,1,0,0,5,0,2,1,10,56,148,26,189
0,_Alameda,_06001201400,_201400,775,321,239,0,0,15,0,0,6,5,7,251,3,1,0,5,1,2,0,0,1,0,0,2,1,0,1,0,3,0,11,86,206,35,274
0,_Alameda,_06001201410,_201410,565,245,190,0,1,7,0,0,2,3,2,208,3,0,1,6,1,1,0,0,2,0,0,2,0,0,1,0,0,3,3,77,148,37,201
0,_Alameda,_06001201500,_201500,603,245,181,0,1,10,0,1,4,8,1,180,3,0,0,2,0,2,0,0,1,0,0,0,0,0,4,0,5,2,23,66,145,38,185
0,_Alameda,_06001201700,_201700,582,149,108,0,0,4,0,0,5,6,0,116,1,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,11,38,94,25,111
0,_Alameda,_06001201900,_201900,805,279,216,0,0,4,2,0,3,6,8,225,5,1,1,3,0,3,0,1,0,0,1,0,0,0,1,0,2,1,11,72,188,42,223
0,_Alameda,_06001202010,_202010,490,113,78,1,0,6,0,2,0,8,0,83,4,0,1,1,0,1,0,1,0,0,0,1,0,0,4,0,1,3,9,43,63,24,85
0,_Alameda,_06001202110,_202110,638,164,118,0,1,6,0,1,5,5,2,119,0,0,0,5,0,2,0,0,0,0,4,0,0,0,2,1,4,0,11,53,95,36,123
0,_Alameda,_06001202310,_202310,835,146,110,0,0,9,0,1,1,4,2,111,3,0,0,2,0,1,0,1,0,0,0,1,0,0,1,0,1,2,10,42,93,22,115
0,_Alameda,_06001202400,_202400,460,19,15,0,0,1,0,0,1,1,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,5,9,3,14
0,_Alameda,_06001202410,_202410,597,54,34,0,0,0,0,1,2,6,1,33,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,13,15,33,14,36
0,_Alameda,_06001202500,_202500,886,36,23,0,0,4,0,0,2,1,1,23,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,3,12,19,9,23
0,_Alameda,_06001202510,_202510,1207,28,25,0,0,0,0,0,0,0,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,16,7,17
0,_Alameda,_06001202520,_202520,418,15,9,0,0,2,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,10,5,9
0,_Alameda,_06001202600,_202600,718,38,21,0,0,3,0,0,3,1,1,21,0,0,0,2,0,0,0,2,0,0,0,0,1,0,2,0,4,0,4,15,19,14,22
0,_Alameda,_06001202620,_202620,525,12,7,0,0,1,0,0,0,1,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,2,8
