IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20140603_PRI_ALL_ALL_REG,USA_CA_20140603_PRI_ALL_ALL_VOTED,USA_CA_20140603_PRI_ATG_DEM_HARRIS,USA_CA_20140603_PRI_ATG_REP_HAGGERLY,USA_CA_20140603_PRI_ATG_REP_WYMAN,USA_CA_20140603_PRI_ATG_REP_KING,USA_CA_20140603_PRI_ATG_REP_GOLD,USA_CA_20140603_PRI_ATG_OTH_OTHER,USA_CA_20140603_PRI_CON_DEM_YEE,USA_CA_20140603_PRI_CON_DEM_PEREZ,USA_CA_20140603_PRI_CON_DEM_BLAIR,USA_CA_20140603_PRI_CON_REP_EVANS,USA_CA_20140603_PRI_CON_REP_SWEARENGEN,USA_CA_20140603_PRI_CON_OTH_OTHER,USA_CA_20140603_PRI_CON_DEM_AGBEDE,USA_CA_20140603_PRI_CON_DEM_BROWN,USA_CA_20140603_PRI_CON_REP_CHAMP,USA_CA_20140603_PRI_CON_REP_DONNELLY,USA_CA_20140603_PRI_CON_REP_AGUIRRE,USA_CA_20140603_PRI_CON_REP_BLOUNT,USA_CA_20140603_PRI_CON_REP_KASHKARI,USA_CA_20140603_PRI_CON_REP_WINSTON,USA_CA_20140603_PRI_GOV_OTH_OTHER,USA_CA_20140603_PRI_INS_DEM_JONES,USA_CA_20140603_PRI_INS_REP_GAINES,USA_CA_20140603_PRI_INS_OTH_OTHER,USA_CA_20140603_PRI_LTG_DEM_KOREVAAR,USA_CA_20140603_PRI_LTG_DEM_NEWSOM,USA_CA_20140603_PRI_LTG_REP_YANG,USA_CA_20140603_PRI_LTG_REP_FENNELL,USA_CA_20140603_PRI_LTG_REP_NEHRING,USA_CA_20140603_PRI_LTG_OTH_OTHER,USA_CA_20140603_PRI_PROP41_NO,USA_CA_20140603_PRI_PROP41_YES,USA_CA_20140603_PRI_PROP42_NO,USA_CA_20140603_PRI_PROP42_YES,USA_CA_20140603_PRI_SOS_DEM_DROBMAN,USA_CA_20140603_PRI_SOS_DEM_YEE,USA_CA_20140603_PRI_SOS_DEM_CRESSMAN,USA_CA_20140603_PRI_SOS_DEM_PADILLA,USA_CA_20140603_PRI_SOS_REP_ALLMOND,USA_CA_20140603_PRI_SOS_REP_PETERSON,USA_CA_20140603_PRI_SOS_OTH_OTHER,USA_CA_20140603_PRI_SPI_NOP_GUTIERREZ,USA_CA_20140603_PRI_SPI_NOP_TUCK,USA_CA_20140603_PRI_SPI_NOP_TORLAKSON,USA_CA_20140603_PRI_TRS_DEM_CHIANG,USA_CA_20140603_PRI_TRS_REP_CONLON,USA_CA_20140603_PRI_TRS_OTH_OTHER
0,_Alameda,_06001200100,_200100,730,289,235,5,6,4,5,10,92,82,6,14,10,36,0,251,0,5,1,0,11,3,15,226,24,13,17,223,3,4,12,14,52,222,65,202,7,24,22,129,6,11,50,21,31,189,211,21,27
0,_Alameda,_06001200200,_200200,702,290,225,8,8,4,5,10,103,72,10,26,8,20,2,231,0,9,0,3,14,3,20,202,30,16,4,229,3,6,17,18,51,230,76,195,5,28,44,97,3,16,53,22,38,173,208,27,20
0,_Alameda,_06001200300,_200300,552,217,173,4,2,1,6,8,72,62,3,9,2,21,0,187,2,4,1,0,8,1,7,152,17,8,17,163,4,2,7,11,52,156,58,138,13,20,29,77,3,8,32,14,31,137,157,11,16
0,_Alameda,_06001200600,_200600,660,250,199,0,8,1,11,7,96,65,5,14,7,23,0,213,1,2,1,0,11,2,18,185,16,11,17,193,5,1,11,15,53,177,74,152,5,28,30,86,3,15,44,13,38,158,182,18,23
0,_Alameda,_06001200700,_200700,650,247,204,5,9,1,2,4,107,56,7,6,12,23,1,219,0,8,1,0,6,0,11,179,18,20,12,190,5,1,12,19,58,180,61,173,5,27,43,87,3,15,37,19,25,178,182,18,23
0,_Alameda,_06001200800,_200800,604,239,188,6,2,3,7,7,83,77,4,13,11,12,0,209,0,6,0,3,6,1,10,180,20,11,10,189,3,6,8,11,46,184,64,158,4,14,40,94,4,18,24,19,17,171,174,19,18
0,_Alameda,_06001201000,_201000,589,224,193,6,1,1,2,4,94,55,5,9,5,17,1,193,1,6,0,1,8,1,10,170,12,15,5,179,2,2,9,14,27,190,53,152,6,31,38,74,0,11,33,20,22,150,170,11,18
0,_Alameda,_06001201100,_201100,641,265,215,7,4,1,2,6,119,55,5,12,2,24,0,227,0,1,0,1,9,0,19,200,14,20,12,215,3,0,9,18,49,209,68,171,8,20,44,104,1,7,41,19,31,181,192,12,30
0,_Alameda,_06001201300,_201300,600,183,151,1,1,3,5,4,68,46,9,4,6,13,0,159,1,3,1,0,3,0,16,129,11,5,7,147,5,2,3,12,29,144,43,125,6,16,35,69,2,7,17,18,16,119,125,7,22
0,_Alameda,_06001201400,_201400,797,277,232,3,5,1,5,8,103,81,11,7,10,19,0,245,2,1,0,1,6,2,13,208,20,16,6,226,3,3,8,13,44,225,55,204,4,43,50,90,1,15,40,26,27,184,205,13,21
0,_Alameda,_06001201410,_201410,572,178,145,4,3,3,3,1,80,41,4,8,5,10,0,155,0,2,0,0,6,1,10,128,13,10,11,134,10,1,2,7,38,132,35,123,2,21,22,63,2,6,33,17,18,106,129,11,12
0,_Alameda,_06001201500,_201500,597,209,174,1,4,2,2,4,66,63,10,8,4,29,0,178,0,2,0,0,4,1,21,154,5,19,18,154,3,1,2,17,35,166,35,157,7,21,42,76,0,8,28,15,24,129,151,9,28
0,_Alameda,_06001201700,_201700,900,174,133,1,5,6,0,8,66,46,3,5,9,23,2,135,1,3,1,1,7,1,22,117,12,20,9,131,5,1,6,17,30,140,53,109,3,25,26,55,3,7,30,31,13,108,115,11,29
0,_Alameda,_06001201800,_201800,768,215,185,0,4,2,1,3,96,50,5,5,5,21,1,181,1,3,0,0,7,0,22,158,13,12,16,166,3,2,4,21,36,167,50,150,8,22,29,79,4,3,36,17,25,144,164,9,20
0,_Alameda,_06001201900,_201900,383,72,55,2,2,1,1,7,25,18,4,4,3,8,2,55,0,2,0,0,3,1,7,48,8,6,10,47,3,1,3,6,9,61,11,58,4,9,8,23,1,4,17,10,10,35,47,7,7
0,_Alameda,_06001202110,_202110,668,137,108,8,1,1,2,5,51,38,2,5,4,16,2,103,0,7,0,2,3,0,19,89,9,20,11,93,3,2,8,16,25,105,32,91,3,12,26,51,1,10,21,17,11,80,91,11,19
0,_Alameda,_06001202310,_202310,842,107,85,3,2,0,3,1,30,28,4,4,5,15,2,85,1,3,0,0,2,1,13,74,6,11,5,76,2,2,3,15,29,73,40,53,4,6,21,30,1,5,19,11,12,60,69,5,14
0,_Alameda,_06001202400,_202400,685,9,6,0,1,0,0,0,4,1,0,1,0,1,0,6,0,0,0,0,1,0,2,5,1,1,2,4,0,1,0,2,2,6,5,3,0,0,1,3,0,1,2,2,1,4,4,1,2
0,_Alameda,_06001202410,_202410,1052,58,48,2,0,1,0,5,16,20,2,2,4,11,0,44,0,2,0,2,2,0,7,41,6,8,6,38,0,1,4,6,6,48,18,36,2,4,10,19,1,4,13,11,6,29,37,7,10
0,_Alameda,_06001202500,_202500,1041,34,22,0,3,1,1,1,8,12,2,2,2,2,0,25,0,1,0,1,3,0,3,23,5,1,4,22,1,1,3,2,10,23,8,21,1,4,8,7,4,2,1,3,2,22,20,4,2
0,_Alameda,_06001202520,_202520,1020,17,13,0,0,0,0,0,5,2,0,0,1,4,0,14,0,0,0,0,0,0,3,11,1,1,2,11,0,0,0,2,5,12,2,13,0,4,2,2,0,1,4,4,1,8,12,1,1
0,_Alameda,_06001202540,_202540,776,23,16,0,0,0,0,6,9,3,1,0,1,6,0,14,0,1,0,0,1,0,6,18,0,2,3,12,0,0,0,6,3,19,11,8,2,1,3,8,1,0,5,5,6,8,16,2,2
0,_Alameda,_06001202600,_202600,831,5,4,0,0,0,0,0,1,1,1,0,0,1,0,5,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,1,0,5,2,2,1,1,0,1,0,0,0,1,2,1,4,0,0
0,_Alameda,_06001202620,_202620,733,9,5,1,0,1,0,0,3,0,0,1,1,2,0,4,0,1,0,0,2,0,2,4,2,2,2,3,1,0,2,1,2,7,2,6,0,0,1,1,0,2,3,2,1,6,4,1,3
0,_Alameda,_06001202710,_202710,726,120,99,1,2,3,0,5,48,23,4,3,6,18,1,99,0,1,0,0,3,0,13,90,6,11,9,89,2,0,4,9,21,95,34,78,3,8,19,42,1,4,27,14,18,69,87,5,16
0,_Alameda,_06001202900,_202900,610,184,156,1,3,0,0,4,75,55,7,2,8,11,0,166,0,3,0,1,6,0,7,146,6,6,6,158,2,2,2,6,20,158,42,129,2,15,32,66,2,4,37,11,23,127,141,5,16
0,_Alameda,_06001203100,_203100,693,260,209,6,4,6,2,7,97,71,11,13,8,12,1,232,0,5,0,0,9,0,9,193,18,11,8,212,4,2,11,12,53,193,61,172,8,16,23,102,3,16,46,24,36,165,192,18,12
0,_Alameda,_06001203200,_203200,540,227,178,6,4,5,7,2,82,69,6,12,10,16,1,191,0,3,1,5,11,0,11,158,22,8,13,171,5,3,15,15,36,185,63,149,3,13,35,86,0,17,41,22,29,144,154,26,18
0,_Alameda,_06001203300,_203300,614,242,195,5,2,0,7,6,92,61,10,12,6,17,1,220,0,1,0,0,4,0,14,188,15,11,4,202,2,0,8,15,35,202,62,158,15,18,46,78,4,9,39,20,44,150,180,12,19
0,_Alameda,_06001203400,_203400,642,261,208,4,5,0,5,12,104,60,17,9,3,33,0,212,1,7,0,0,8,0,27,191,17,19,21,192,3,0,10,22,50,201,71,169,3,23,45,90,6,6,52,32,33,174,184,13,34
0,_Alameda,_06001203500,_203500,1195,280,213,3,8,8,5,11,78,77,12,16,12,31,0,219,0,7,0,1,9,2,36,181,26,27,9,200,5,3,13,32,51,213,59,187,7,29,31,91,7,20,49,37,31,169,178,23,37
0,_Alameda,_06001203800,_203800,848,305,251,1,5,1,4,3,129,74,10,1,10,35,0,245,0,8,2,1,5,0,41,231,13,25,11,235,2,2,7,33,42,254,72,209,6,29,57,103,4,8,58,34,22,211,210,13,48
0,_Alameda,_06001204000,_204000,1111,199,166,1,3,1,2,12,83,39,7,3,5,28,0,161,0,3,0,1,5,0,26,150,8,24,10,147,3,1,5,23,33,149,44,128,7,18,46,59,1,3,40,23,19,121,144,8,32
0,_Alameda,_06001204100,_204100,495,101,78,1,1,0,0,6,27,31,1,2,0,17,1,75,0,4,0,0,1,0,18,69,1,10,5,78,1,1,1,10,18,77,27,63,1,7,11,41,1,1,18,8,7,62,69,1,14
0,_Alameda,_06001204210,_204210,1241,221,184,3,0,3,2,7,77,59,10,3,2,27,2,182,0,5,0,0,1,0,28,171,7,12,17,164,3,1,3,15,37,167,50,144,10,25,46,78,0,3,26,29,16,129,154,6,30
0,_Alameda,_06001204220,_204220,669,70,48,0,1,0,3,5,15,20,6,3,0,12,1,55,0,2,0,0,1,0,9,46,2,10,11,42,1,1,1,8,16,52,14,44,4,3,13,26,1,1,11,11,9,34,33,3,23
0,_Alameda,_06001204300,_204300,1141,271,228,3,2,0,4,6,110,70,2,5,4,39,5,210,0,2,0,2,4,0,43,206,7,26,4,212,3,0,4,36,49,209,76,174,9,18,55,99,1,5,46,27,27,179,194,8,41
0,_Alameda,_06001204310,_204310,1016,283,241,0,1,1,4,9,91,84,9,2,1,47,0,220,0,0,0,0,2,0,55,205,2,36,12,219,4,0,1,38,51,215,72,174,10,22,55,104,0,4,46,37,16,180,188,3,51
0,_Alameda,_06001204600,_204600,1233,185,142,2,4,1,5,7,72,34,6,4,3,38,1,133,1,3,0,2,3,0,36,121,8,32,11,125,2,0,6,34,42,136,44,128,3,18,34,56,0,8,43,26,8,115,112,4,50
0,_Alameda,_06001204900,_204900,858,53,41,1,0,0,0,0,20,17,2,2,1,2,1,41,0,1,0,0,1,0,5,37,2,4,1,40,1,0,2,5,11,39,14,35,2,7,4,23,1,0,7,13,5,29,35,3,5
0,_Alameda,_06001204910,_204910,641,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1
0,_Alameda,_06001205000,_205000,628,262,214,6,2,2,0,4,112,68,2,9,6,10,0,233,0,4,0,1,8,0,14,195,17,7,8,219,3,0,11,9,35,217,65,176,6,18,48,99,4,7,30,24,34,166,184,12,19
0,_Alameda,_06001205100,_205100,732,311,261,9,4,1,2,6,114,83,17,11,12,24,0,279,2,6,0,0,6,2,15,236,17,16,11,244,6,2,9,25,51,242,81,194,9,27,53,105,2,15,58,27,37,202,235,14,24
0,_Alameda,_06001205200,_205200,807,307,250,6,2,2,10,10,114,97,7,12,8,29,1,266,3,5,0,1,9,0,18,233,20,18,13,251,3,1,13,17,49,248,84,202,3,24,52,127,2,9,56,31,21,210,229,16,34
0,_Alameda,_06001205500,_205500,753,295,247,1,2,4,2,4,116,95,4,8,7,12,0,267,1,6,1,0,2,1,8,225,8,11,8,243,3,2,6,14,44,237,58,205,6,26,40,108,0,9,56,26,31,193,218,12,23
0,_Alameda,_06001205600,_205600,1135,476,403,4,4,2,11,11,210,122,15,11,7,33,1,409,0,7,0,0,11,0,36,377,20,22,16,393,4,6,6,30,72,384,111,319,13,40,97,177,4,13,67,24,47,335,369,16,40
0,_Alameda,_06001205700,_205700,818,307,264,4,3,1,5,5,122,97,7,6,9,19,0,265,0,5,0,5,8,1,18,242,13,14,9,244,5,2,12,22,46,245,75,202,9,31,63,116,3,5,40,22,17,210,235,11,26
0,_Alameda,_06001205800,_205800,668,293,248,2,2,0,4,5,123,82,4,9,4,21,1,270,0,1,0,0,3,2,9,233,9,5,15,239,7,1,6,7,51,233,74,200,5,29,47,117,4,6,40,25,31,202,231,5,16
