IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20201103_GEN_ALL_ALL_REG,USA_CA_20201103_GEN_ALL_ALL_VOTED,USA_CA_20201103_GEN_PRE_DEM_BIDEN,USA_CA_20201103_GEN_PRE_REP_TRUMP,USA_CA_20201103_GEN_PRE_OTH_ALL,USA_CA_20201103_GEN_PROP14_NO,USA_CA_20201103_GEN_PROP14_YES,USA_CA_20201103_GEN_PROP15_NO,USA_CA_20201103_GEN_PROP15_YES,USA_CA_20201103_GEN_PROP16_NO,USA_CA_20201103_GEN_PROP16_YES,USA_CA_20201103_GEN_PROP17_NO,USA_CA_20201103_GEN_PROP17_YES,USA_CA_20201103_GEN_PROP18_NO,USA_CA_20201103_GEN_PROP18_YES,USA_CA_20201103_GEN_PROP19_NO,USA_CA_20201103_GEN_PROP19_YES,USA_CA_20201103_GEN_PROP20_NO,USA_CA_20201103_GEN_PROP20_YES,USA_CA_20201103_GEN_PROP21_NO,USA_CA_20201103_GEN_PROP21_YES,USA_CA_20201103_GEN_PROP22_NO,USA_CA_20201103_GEN_PROP22_YES,USA_CA_20201103_GEN_PROP23_NO,USA_CA_20201103_GEN_PROP23_YES,USA_CA_20201103_GEN_PROP24_NO,USA_CA_20201103_GEN_PROP24_YES,USA_CA_20201103_GEN_PROP25_NO,USA_CA_20201103_GEN_PROP25_YES
0,_Alameda,_06001200100,_200100,3538,3156,2927,146,47,1050,1925,624,2435,803,2226,299,2774,795,2268,1208,1741,2520,415,1615,1333,2172,818,1669,1253,1484,1459,748,2142
0,_Alameda,_06001200200,_200200,1975,1764,1631,76,37,620,1030,323,1382,451,1215,176,1523,434,1254,735,911,1430,219,920,722,1214,449,959,670,901,737,416,1188
0,_Alameda,_06001201400,_201400,2682,2293,2155,65,42,714,1423,357,1851,508,1651,170,2036,480,1712,888,1224,1855,265,1040,1085,1684,480,1156,938,1130,991,507,1580
0,_Alameda,_06001201800,_201800,1989,1446,1289,77,59,455,858,193,1186,392,956,136,1243,320,1043,537,753,1129,183,430,903,1002,355,567,731,660,654,393,888
0,_Alameda,_06001202010,_202010,248,189,175,5,6,47,129,30,154,57,121,24,159,46,137,66,104,151,19,67,106,139,39,84,84,88,80,44,122
0,_Alameda,_06001202500,_202500,1075,552,479,39,28,106,399,86,432,178,344,48,481,126,405,188,278,403,91,138,360,374,147,175,300,175,330,155,328
0,_Alameda,_06001202540,_202540,716,371,324,27,14,69,269,46,304,100,247,38,316,83,268,127,201,275,59,81,260,266,85,122,215,131,211,103,223
0,_Alameda,_06001203100,_203100,3401,2985,2804,120,42,1058,1719,514,2354,616,2209,247,2649,710,2149,1199,1557,2421,329,1485,1290,2045,790,1625,1140,1564,1216,663,2056
0,_Alameda,_06001203500,_203500,1670,1305,1184,67,39,388,816,203,1043,319,912,115,1138,291,946,466,691,997,190,529,671,898,336,565,600,574,613,293,863
0,_Alameda,_06001203800,_203800,1491,1263,1192,28,24,411,763,135,1083,199,998,75,1158,221,1005,501,661,1066,121,436,755,962,249,549,617,687,489,296,852
0,_Alameda,_06001204000,_204000,254,213,204,5,2,63,130,22,180,31,163,10,195,25,176,75,115,168,22,57,135,166,32,89,96,117,73,50,134
0,_Alameda,_06001204210,_204210,2487,1785,1619,102,36,475,1156,230,1473,391,1288,151,1559,338,1363,665,925,1415,228,473,1181,1293,394,672,947,801,828,475,1122
0,_Alameda,_06001204300,_204300,1377,1066,973,38,33,333,659,126,906,214,805,82,950,204,831,399,565,838,144,300,692,817,198,418,557,533,456,272,675
0,_Alameda,_06001204510,_204510,2396,1985,1826,75,64,629,1229,212,1719,358,1550,104,1828,308,1605,762,1049,1651,217,535,1333,1572,349,760,1092,1025,818,532,1267
0,_Alameda,_06001204900,_204900,1452,948,857,44,26,173,699,87,819,222,675,70,828,143,757,324,481,708,136,187,692,709,193,272,588,351,521,286,530
0,_Alameda,_06001205200,_205200,4369,3947,3717,150,45,1251,2467,714,3118,937,2822,377,3451,925,2882,1633,2053,3180,488,1883,1793,2832,920,2082,1561,2000,1685,990,2657
0,_Alameda,_06001205700,_205700,3840,3417,3194,126,68,1167,2028,556,2751,728,2535,285,3016,766,2508,1416,1790,2798,396,1616,1597,2502,761,1826,1338,1795,1387,808,2345
0,_Alameda,_06001206200,_206200,2505,2129,1998,71,41,650,1350,261,1788,427,1590,155,1909,406,1640,832,1123,1716,254,757,1229,1590,435,977,976,1064,920,534,1402
0,_Alameda,_06001206600,_206600,2198,1680,1537,71,53,475,1078,220,1384,393,1177,145,1451,285,1304,604,902,1337,195,493,1045,1206,377,706,809,807,712,427,1079
0,_Alameda,_06001207000,_207000,1744,1573,1489,39,38,533,926,197,1328,271,1217,96,1429,290,1219,639,810,1273,170,581,891,1195,294,752,705,816,623,318,1110
0,_Alameda,_06001207640,_207640,287,221,193,15,8,58,154,34,177,55,160,27,187,40,174,80,118,161,44,47,160,157,59,80,126,87,121,68,132
0,_Alameda,_06001207700,_207700,3262,2460,2227,126,67,650,1613,326,2014,584,1719,190,2159,474,1860,839,1331,1851,391,609,1656,1760,559,961,1272,1052,1193,665,1534
0,_Alameda,_06001208010,_208010,2544,2108,1924,93,55,723,1235,281,1754,387,1627,156,1890,389,1645,813,1136,1729,246,711,1279,1562,433,897,1044,1101,872,557,1378
0,_Alameda,_06001208300,_208300,4003,3225,3016,107,69,942,2080,506,2630,545,2530,178,2963,525,2596,1177,1790,2642,383,1029,2043,2356,733,1347,1676,1453,1540,870,2107
0,_Alameda,_06001208600,_208600,779,656,616,10,15,208,390,68,560,82,540,25,607,94,531,248,342,547,53,161,449,505,112,244,359,341,250,136,455
0,_Alameda,_06001208650,_208650,412,332,317,4,6,109,205,30,293,47,273,12,311,49,272,130,179,291,25,92,224,262,58,129,179,170,131,73,228
0,_Alameda,_06001208800,_208800,3758,2887,2661,114,69,864,1803,427,2357,492,2249,157,2625,458,2313,1037,1610,2304,388,841,1878,2066,699,1127,1548,1295,1360,833,1814
0,_Alameda,_06001208810,_208810,4431,3479,3245,112,69,1082,2200,606,2766,580,2730,203,3176,566,2786,1219,2032,2804,476,1071,2220,2438,900,1437,1822,1529,1716,1044,2165
0,_Alameda,_06001209200,_209200,2717,2252,2095,89,40,757,1375,339,1851,398,1766,138,2065,395,1792,781,1306,1824,298,753,1379,1613,539,1025,1064,1030,1073,629,1467
0,_Alameda,_06001209300,_209300,3742,3111,2828,137,92,1031,1860,403,2569,630,2284,228,2767,604,2369,1160,1655,2502,382,906,2009,2354,604,1337,1486,1542,1328,725,2076
0,_Alameda,_06001209310,_209310,4876,4348,4077,144,86,1527,2561,644,3576,760,3402,297,3937,808,3388,1723,2324,3589,508,1741,2369,3271,906,2145,1901,2222,1833,1043,3001
0,_Alameda,_06001209700,_209700,2733,2262,2087,100,53,723,1410,398,1794,440,1714,190,1997,454,1721,823,1271,1789,327,803,1332,1611,555,995,1121,1012,1094,592,1490
0,_Alameda,_06001209900,_209900,4121,3340,3105,133,58,1035,2074,569,2665,641,2529,243,3001,629,2591,1198,1901,2647,480,1047,2120,2304,899,1358,1777,1473,1657,921,2156
0,_Alameda,_06001213100,_213100,4506,4001,3512,381,62,1497,2319,1215,2667,1370,2454,712,3162,1288,2576,1584,2193,2873,861,2327,1453,2218,1607,2320,1438,1835,1968,1264,2460
0,_Alameda,_06001213600,_213600,2459,2228,2006,163,33,820,1305,600,1559,685,1437,320,1845,678,1488,834,1243,1600,461,1125,967,1351,772,1231,868,1033,1063,619,1408
0,_Alameda,_06001214100,_214100,2629,2380,2152,162,38,976,1311,633,1704,758,1550,390,1950,728,1608,1053,1235,1825,439,1374,910,1433,874,1443,818,1212,1057,712,1529
0,_Alameda,_06001214400,_214400,3778,3422,3143,188,49,1365,1907,767,2571,964,2320,416,2934,926,2415,1396,1848,2691,534,1747,1507,2215,1094,1977,1252,1847,1402,908,2291
0,_Alameda,_06001214500,_214500,2332,2050,1890,98,35,750,1176,359,1630,451,1517,173,1822,456,1531,872,1034,1660,252,854,1085,1482,489,1028,859,1137,788,521,1373
0,_Alameda,_06001215200,_215200,2575,2264,2157,47,46,828,1328,307,1899,379,1793,115,2098,379,1820,959,1146,1924,220,786,1373,1727,453,1042,1083,1268,888,611,1496
0,_Alameda,_06001215500,_215500,2720,2397,2257,80,33,841,1416,359,1968,439,1862,165,2174,467,1857,939,1296,1960,293,867,1418,1724,564,1134,1100,1272,997,642,1584
0,_Alameda,_06001215700,_215700,4420,3669,3401,138,83,1343,2128,446,3151,628,2928,223,3381,602,2989,1527,1921,3128,389,970,2570,2803,762,1361,2103,2021,1465,1136,2282
0,_Alameda,_06001215900,_215900,1005,785,717,32,27,256,481,118,650,139,618,60,705,127,633,314,415,604,141,200,553,548,208,316,430,386,348,268,455
0,_Alameda,_06001223010,_223010,4077,3619,3388,125,77,1287,2153,480,3056,600,2896,265,3287,616,2915,1479,1942,3065,412,1033,2443,2752,761,1506,1914,1979,1464,937,2450
0,_Alameda,_06001224000,_224000,4558,4102,3788,229,53,1504,2427,978,3041,1027,2946,488,3549,1132,2882,1602,2270,3206,671,2101,1823,2517,1436,2312,1583,1986,1933,1152,2669
0,_Alameda,_06001224200,_224200,1395,1263,1160,78,15,466,748,230,1009,292,931,143,1091,304,928,551,647,1037,160,531,687,910,317,605,587,701,488,322,856
