IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CA_20201103_GEN_PRE_DEM_BIDEN,USA_CA_20201103_GEN_PRE_REP_TRUMP,USA_CA_20201103_GEN_PRE_LIB_JORGENSEN,USA_CA_20201103_GEN_PRE_GRE_HAWKINS,USA_CA_20201103_GEN_PRE_AIP_FUENTE,USA_CA_20201103_GEN_PRE_PFP_RIVA
0,_Alameda,_200100,_6001200100,2927,146,15,16,7,9
0,_Alameda,_200200,_6001200200,1631,76,8,22,3,4
0,_Alameda,_201400,_6001201400,2155,65,11,19,1,11
0,_Alameda,_201800,_6001201800,1289,77,15,23,6,15
0,_Alameda,_202010,_6001202010,175,5,1,5,0,0
0,_Alameda,_202500,_6001202500,479,39,11,8,2,7
0,_Alameda,_202540,_6001202540,324,27,3,5,1,5
0,_Alameda,_203100,_6001203100,2804,120,9,21,5,7
0,_Alameda,_203500,_6001203500,1184,67,11,23,2,3
0,_Alameda,_203800,_6001203800,1192,28,6,9,2,7
0,_Alameda,_204000,_6001204000,204,5,0,2,0,0
0,_Alameda,_204210,_6001204210,1619,102,11,17,3,5
0,_Alameda,_204300,_6001204300,973,38,9,15,5,4
0,_Alameda,_204510,_6001204510,1826,75,12,31,5,16
0,_Alameda,_204900,_6001204900,857,44,7,11,2,6
0,_Alameda,_205200,_6001205200,3717,150,14,23,4,4
0,_Alameda,_205700,_6001205700,3194,126,25,35,1,7
0,_Alameda,_206200,_6001206200,1998,71,8,24,1,8
0,_Alameda,_206600,_6001206600,1537,71,9,22,8,14
0,_Alameda,_207000,_6001207000,1489,39,10,21,4,3
0,_Alameda,_207640,_6001207640,193,15,2,3,1,2
0,_Alameda,_207700,_6001207700,2227,126,9,30,7,21
0,_Alameda,_208010,_6001208010,1924,93,14,31,2,8
0,_Alameda,_208300,_6001208300,3016,107,15,29,5,20
0,_Alameda,_208600,_6001208600,616,10,1,11,1,2
0,_Alameda,_208650,_6001208650,317,4,2,2,1,1
0,_Alameda,_208800,_6001208800,2661,114,18,25,5,21
0,_Alameda,_208810,_6001208810,3245,112,9,36,7,17
0,_Alameda,_209200,_6001209200,2095,89,7,22,4,7
0,_Alameda,_209300,_6001209300,2828,137,28,42,6,16
0,_Alameda,_209310,_6001209310,4077,144,17,38,8,23
0,_Alameda,_209700,_6001209700,2087,100,14,27,5,7
0,_Alameda,_209900,_6001209900,3105,133,11,24,10,13
0,_Alameda,_213100,_6001213100,3512,381,40,11,8,3
0,_Alameda,_213600,_6001213600,2006,163,8,23,0,2
0,_Alameda,_214100,_6001214100,2152,162,22,12,2,2
0,_Alameda,_214400,_6001214400,3143,188,21,19,2,7
0,_Alameda,_214500,_6001214500,1890,98,11,17,3,4
0,_Alameda,_215200,_6001215200,2157,47,12,17,5,12
0,_Alameda,_215500,_6001215500,2257,80,12,11,3,7
0,_Alameda,_215700,_6001215700,3401,138,13,44,7,19
0,_Alameda,_215900,_6001215900,717,32,7,12,4,4
0,_Alameda,_223010,_6001223010,3388,125,14,32,4,27
0,_Alameda,_224000,_6001224000,3788,229,31,12,5,5
0,_Alameda,_224200,_6001224200,1160,78,4,7,0,4
0,_Alameda,_224300,_6001224300,156,15,0,1,0,2
0,_Alameda,_224420,_6001224420,47,7,1,0,1,0
0,_Alameda,_224500,_6001224500,2620,176,10,17,1,9
0,_Alameda,_224700,_6001224700,1340,74,6,9,2,2
0,_Alameda,_225300,_6001225300,3060,123,21,20,7,9
0,_Alameda,_225710,_6001225710,2443,106,12,35,10,7
0,_Alameda,_225900,_6001225900,2464,112,20,12,4,8
0,_Alameda,_244300,_6001244300,3125,242,27,13,6,4
0,_Alameda,_244400,_6001244400,4062,310,28,19,9,8
0,_Alameda,_244900,_6001244900,504,44,5,2,0,0
0,_Alameda,_245100,_6001245100,1659,96,10,8,4,3
0,_Alameda,_245300,_6001245300,1121,116,11,4,1,0
0,_Alameda,_260100,_6001260100,3057,284,30,33,6,26
0,_Alameda,_261300,_6001261300,3055,285,11,20,3,7
0,_Alameda,_262000,_6001262000,3527,239,28,22,3,10
0,_Alameda,_280700,_6001280700,3311,526,57,13,6,3
0,_Alameda,_281600,_6001281600,3724,325,37,14,5,1
0,_Alameda,_300110,_6001300110,1661,371,26,8,14,5
0,_Alameda,_300130,_6001300130,2097,546,20,19,7,3
0,_Alameda,_300150,_6001300150,3371,697,33,16,17,10
0,_Alameda,_301200,_6001301200,3651,629,40,24,12,8
0,_Alameda,_301900,_6001301900,3376,571,37,24,2,10
0,_Alameda,_302000,_6001302000,3750,652,58,28,16,6
0,_Alameda,_302700,_6001302700,3209,566,37,29,14,16
0,_Alameda,_303800,_6001303800,3133,497,42,25,7,10
0,_Alameda,_304600,_6001304600,3276,500,31,22,8,10
0,_Alameda,_305010,_6001305010,3324,545,30,22,14,9
0,_Alameda,_305100,_6001305100,3124,570,29,25,6,10
0,_Alameda,_305700,_6001305700,2714,490,29,24,7,12
0,_Alameda,_310000,_6001310000,2952,128,14,36,7,17
0,_Alameda,_310400,_6001310400,3905,89,22,47,9,20
0,_Alameda,_311200,_6001311200,2960,91,19,44,7,20
0,_Alameda,_311400,_6001311400,3363,108,22,42,18,26
0,_Alameda,_323200,_6001323200,2607,140,21,25,5,13
0,_Alameda,_323400,_6001323400,0,0,0,0,0,0
0,_Alameda,_325300,_6001325300,3407,201,25,38,7,23
0,_Alameda,_325400,_6001325400,2580,111,18,27,12,15
0,_Alameda,_325500,_6001325500,2576,91,19,22,2,18
0,_Alameda,_333200,_6001333200,3351,190,19,45,9,18
0,_Alameda,_333210,_6001333210,419,56,9,1,0,3
0,_Alameda,_333300,_6001333300,62,6,2,0,1,1
0,_Alameda,_333410,_6001333410,1462,97,17,7,4,2
0,_Alameda,_333420,_6001333420,9,0,0,0,0,0
0,_Alameda,_333800,_6001333800,2298,197,14,32,6,17
0,_Alameda,_333900,_6001333900,2239,477,12,20,6,19
0,_Alameda,_334000,_6001334000,2837,484,21,30,13,19
0,_Alameda,_334510,_6001334510,4,0,0,1,0,0
0,_Alameda,_334800,_6001334800,2177,266,14,21,11,22
0,_Alameda,_335200,_6001335200,636,42,4,9,4,8
0,_Alameda,_335300,_6001335300,3441,214,22,36,8,20
0,_Alameda,_335400,_6001335400,2853,154,17,36,14,38
0,_Alameda,_336100,_6001336100,2796,181,23,42,11,21
0,_Alameda,_336200,_6001336200,3044,148,24,36,9,14
0,_Alameda,_336710,_6001336710,2388,118,12,29,16,21
0,_Alameda,_336810,_6001336810,46,1,1,0,0,0
0,_Alameda,_336900,_6001336900,684,68,5,6,1,2
0,_Alameda,_336910,_6001336910,561,19,8,3,3,1
0,_Alameda,_337100,_6001337100,958,93,10,9,8,5
0,_Alameda,_344000,_6001344000,1705,207,5,8,11,8
0,_Alameda,_344020,_6001344020,99,9,1,1,1,0
0,_Alameda,_344100,_6001344100,448,76,2,10,1,3
0,_Alameda,_344500,_6001344500,1861,147,20,18,3,7
0,_Alameda,_344700,_6001344700,1333,79,12,9,4,8
0,_Alameda,_344900,_6001344900,2722,246,16,19,5,13
0,_Alameda,_345100,_6001345100,2962,242,19,24,4,14
0,_Alameda,_345310,_6001345310,2509,162,7,19,3,10
0,_Alameda,_345900,_6001345900,1064,107,7,5,2,0
0,_Alameda,_347110,_6001347110,350,38,2,1,1,1
0,_Alameda,_347210,_6001347210,186,38,3,0,0,0
0,_Alameda,_347300,_6001347300,1778,129,11,9,8,6
0,_Alameda,_353310,_6001353310,3681,307,20,28,7,25
0,_Alameda,_353800,_6001353800,475,35,5,4,2,3
0,_Alameda,_354100,_6001354100,2353,229,19,24,3,14
0,_Alameda,_354300,_6001354300,2480,484,13,19,14,15
0,_Alameda,_354700,_6001354700,2816,422,18,29,12,26
0,_Alameda,_354910,_6001354910,2474,328,12,25,9,26
0,_Alameda,_355210,_6001355210,264,29,0,3,0,2
0,_Alameda,_356000,_6001356000,2808,360,17,20,15,12
0,_Alameda,_356210,_6001356210,1591,203,8,19,4,5
0,_Alameda,_361000,_6001361000,1011,90,6,10,5,6
0,_Alameda,_361200,_6001361200,1226,133,5,3,6,15
0,_Alameda,_361300,_6001361300,451,33,3,1,3,0
0,_Alameda,_361500,_6001361500,2490,282,12,14,18,10
0,_Alameda,_362200,_6001362200,1402,120,8,6,9,8
0,_Alameda,_362510,_6001362510,2593,177,16,13,15,15
0,_Alameda,_362600,_6001362600,3397,162,11,27,11,14
0,_Alameda,_363000,_6001363000,2473,153,15,12,16,17
0,_Alameda,_364020,_6001364020,10,0,0,0,0,0
0,_Alameda,_364200,_6001364200,994,158,4,7,5,1
0,_Alameda,_364400,_6001364400,2409,249,21,8,10,2
0,_Alameda,_364510,_6001364510,733,82,2,9,1,0
0,_Alameda,_364800,_6001364800,3142,183,17,27,18,8
0,_Alameda,_373000,_6001373000,1,0,0,0,0,0
0,_Alameda,_373010,_6001373010,0,0,0,0,0,0
0,_Alameda,_373030,_6001373030,0,0,0,0,0,0
0,_Alameda,_373500,_6001373500,2101,171,13,7,12,8
0,_Alameda,_380300,_6001380300,2455,142,16,13,6,9
0,_Alameda,_380400,_6001380400,3135,319,24,18,6,14
0,_Alameda,_394000,_6001394000,3,3,0,0,0,0
0,_Alameda,_394200,_6001394200,3,0,0,0,0,0
0,_Alameda,_400100,_6001400100,581,57,7,4,2,0
0,_Alameda,_400200,_6001400200,1944,124,9,5,10,7
0,_Alameda,_400900,_6001400900,2817,188,20,9,9,8
0,_Alameda,_410110,_6001410110,2735,226,24,14,19,16
0,_Alameda,_410600,_6001410600,2699,225,17,13,9,14
0,_Alameda,_410700,_6001410700,2723,233,20,22,19,11
0,_Alameda,_415500,_6001415500,627,66,5,3,1,3
0,_Alameda,_415800,_6001415800,2136,188,24,21,11,10
0,_Alameda,_416220,_6001416220,0,0,0,0,0,0
0,_Alameda,_420010,_6001420010,0,0,0,0,0,0
0,_Alameda,_420030,_6001420030,78,24,1,0,0,0
0,_Alameda,_420220,_6001420220,13,0,0,0,0,0
0,_Alameda,_420240,_6001420240,0,0,0,0,0,0
0,_Alameda,_420250,_6001420250,1211,286,4,14,8,12
0,_Alameda,_420300,_6001420300,122,38,0,0,1,1
0,_Alameda,_420310,_6001420310,12,20,0,1,0,0
0,_Alameda,_420400,_6001420400,0,2,0,0,0,0
0,_Alameda,_420510,_6001420510,1,0,0,0,0,0
0,_Alameda,_420900,_6001420900,581,146,2,8,1,3
0,_Alameda,_421100,_6001421100,3105,907,30,21,26,13
0,_Alameda,_421800,_6001421800,1876,494,21,11,11,12
0,_Alameda,_422000,_6001422000,2627,793,25,10,5,9
0,_Alameda,_422810,_6001422810,2462,783,11,18,6,18
0,_Alameda,_422920,_6001422920,2318,712,15,12,8,7
0,_Alameda,_422940,_6001422940,0,0,0,0,0,0
0,_Alameda,_422950,_6001422950,0,0,0,0,0,0
0,_Alameda,_423000,_6001423000,2829,707,23,16,12,12
0,_Alameda,_423100,_6001423100,3010,1025,11,15,16,16
0,_Alameda,_423620,_6001423620,0,0,0,0,0,0
0,_Alameda,_423700,_6001423700,0,0,0,0,0,0
0,_Alameda,_423800,_6001423800,2,0,0,0,0,0
0,_Alameda,_423820,_6001423820,0,0,0,0,0,0
0,_Alameda,_424200,_6001424200,38,13,1,0,0,0
0,_Alameda,_424500,_6001424500,371,118,5,6,1,3
0,_Alameda,_424600,_6001424600,1499,422,11,9,9,11
0,_Alameda,_430010,_6001430010,0,0,0,0,0,0
0,_Alameda,_430020,_6001430020,0,0,0,0,0,0
0,_Alameda,_430110,_6001430110,0,0,0,0,0,0
0,_Alameda,_430120,_6001430120,0,0,0,0,0,0
0,_Alameda,_430130,_6001430130,0,0,0,0,0,0
0,_Alameda,_430150,_6001430150,0,0,0,0,0,0
0,_Alameda,_430410,_6001430410,3,1,0,0,0,0
0,_Alameda,_430420,_6001430420,0,0,0,0,0,0
0,_Alameda,_430500,_6001430500,1,0,0,0,0,0
0,_Alameda,_430600,_6001430600,1269,286,12,11,5,11
0,_Alameda,_430700,_6001430700,326,68,0,3,1,2
0,_Alameda,_430720,_6001430720,108,34,0,0,0,0
0,_Alameda,_430730,_6001430730,189,19,0,0,1,4
0,_Alameda,_430800,_6001430800,357,55,1,2,3,1
0,_Alameda,_431100,_6001431100,1789,424,16,22,13,9
0,_Alameda,_431110,_6001431110,10,1,0,0,0,0
0,_Alameda,_431120,_6001431120,5,0,0,0,0,0
0,_Alameda,_431130,_6001431130,431,81,6,4,3,1
