IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CO_20161108_GEN_PRE_DEM_CLINTON,USA_CO_20161108_GEN_PRE_REP_TRUMP,USA_CO_20161108_GEN_PRE_LIB_JOHNSON,USA_CO_20161108_GEN_PRE_GRE_STEIN,USA_CO_20161108_GEN_PRE_UNA_MCMULLIN,USA_CO_20161108_GEN_PRE_OTH_OTHER,USA_CO_20161108_GEN_USS_DEM_BENNET,USA_CO_20161108_GEN_USS_REP_GLENN,USA_CO_20161108_GEN_USS_LIB_WILLIAMS,USA_CO_20161108_GEN_USS_GRE_MENCONI,USA_CO_20161108_GEN_USS_OTH_OTHER,USA_CO_20161108_GEN_RGT_DEM_MADDEN,USA_CO_20161108_GEN_RGT_REP_GANAHL
0,_Adams,_001001,_7213201001,708,240,54,23,6,17,655,237,46,19,10,681,257
0,_Adams,_001002,_7213201002,776,291,52,17,6,11,730,280,43,22,9,738,313
0,_Adams,_001003,_7213201003,646,247,56,21,5,8,625,254,34,15,3,554,312
0,_Adams,_001004,_7213201004,376,225,26,7,4,10,385,189,24,7,9,372,219
0,_Adams,_001005,_7213201005,820,322,39,13,7,16,806,294,25,10,14,798,324
0,_Adams,_001006,_7213201006,465,180,42,15,4,21,462,167,29,13,15,481,186
0,_Adams,_001007,_7213201007,545,372,36,15,7,15,525,344,37,13,9,534,379
0,_Adams,_001008,_7213201008,453,258,40,21,5,15,451,265,39,13,2,435,272
0,_Adams,_001009,_7213201009,438,256,29,7,5,9,424,244,26,12,5,406,257
0,_Adams,_001010,_7213501010,627,339,65,17,11,14,585,329,44,22,15,592,351
0,_Adams,_001011,_7213501011,703,365,64,31,9,18,689,346,40,21,14,716,363
0,_Adams,_001012,_7213501012,561,286,48,24,6,18,563,267,38,12,13,568,290
0,_Adams,_001013,_7213501013,713,402,71,29,17,19,708,383,59,23,15,707,406
0,_Adams,_001014,_7213501014,474,315,60,15,7,9,482,291,49,9,13,495,301
