IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CO_20201103_GEN_PRE_DEM_BIDEN,USA_CO_20201103_GEN_PRE_REP_TRUMP,USA_CO_20201103_GEN_PRE_LIB_JORGENSEN,USA_CO_20201103_GEN_PRE_GRE_HAWKINS,USA_CO_20201103_GEN_PRE_ACP_BLANKENSHIP,USA_CO_20201103_GEN_PRE_UNA_WEST,USA_CO_20201103_GEN_PRE_OTH_OTHER,USA_CO_20201103_GEN_USS_DEM_HICKENLOOPER,USA_CO_20201103_GEN_USS_REP_GARDNER,USA_CO_20201103_GEN_USS_LIB_DOANE,USA_CO_20201103_GEN_USS_AVP_DOYLE,USA_CO_20201103_GEN_USS_UNP_EVANS,USA_CO_20201103_GEN_USS_OTH_WRITEIN
0,_Adams,_001001,_7213201001,900,268,15,4,3,4,4,883,263,28,9,8,0
0,_Adams,_001002,_7213201002,1097,350,18,6,2,3,6,1070,362,25,8,5,0
0,_Adams,_001003,_7213201003,646,222,11,3,0,4,4,622,227,20,3,3,0
0,_Adams,_001004,_7213201004,531,243,11,5,1,0,1,510,250,20,3,0,0
0,_Adams,_001005,_7213201005,968,360,18,4,3,5,9,952,354,30,9,8,0
0,_Adams,_001006,_7213201006,668,237,7,4,2,1,4,669,223,11,5,6,2
0,_Adams,_001007,_7213201007,678,404,11,2,0,3,6,674,404,10,3,4,1
0,_Adams,_001008,_7213201008,615,292,18,0,0,1,6,595,302,24,3,2,0
0,_Adams,_001009,_7213201009,565,278,7,2,0,1,4,540,288,19,2,8,0
0,_Adams,_001010,_7213501010,808,376,19,2,3,7,6,790,371,33,7,6,0
0,_Adams,_001011,_7213501011,983,424,28,5,3,4,8,974,411,44,11,8,0
0,_Adams,_001012,_7213501012,653,375,11,3,5,3,8,653,372,20,5,4,0
0,_Adams,_001013,_7213501013,940,465,20,4,4,2,9,913,482,32,8,9,0
0,_Adams,_001014,_7213501014,653,366,19,2,0,5,6,641,370,28,10,1,0
0,_Adams,_001015,_7213501015,771,397,17,3,4,7,8,765,390,30,7,6,0
0,_Adams,_001016,_7213501016,666,358,16,15,4,4,3,661,363,29,3,5,0
0,_Adams,_001017,_7213501017,568,325,19,3,1,2,6,553,337,23,3,5,1
0,_Adams,_001018,_7213501018,583,316,15,4,3,2,7,577,327,20,9,2,0
0,_Adams,_001019,_7213501019,453,228,7,9,1,2,3,466,208,17,5,2,0
0,_Adams,_001020,_7213501020,735,272,25,4,1,3,2,733,275,17,6,4,0
0,_Adams,_001021,_7213201021,820,370,25,3,1,1,5,823,352,31,7,9,0
0,_Adams,_001022,_7213201022,774,378,20,5,1,7,5,757,368,37,10,10,0
0,_Adams,_001023,_7213201023,623,257,10,4,1,3,5,628,250,12,5,6,0
0,_Adams,_001024,_7213501024,782,358,15,7,3,0,6,788,356,22,3,8,0
0,_Adams,_001025,_7213501025,759,356,15,2,1,7,5,763,351,22,3,3,0
0,_Adams,_001026,_7213501026,1058,474,22,8,2,4,6,1046,464,28,6,4,0
0,_Adams,_001027,_7213401027,450,191,11,1,0,2,4,446,183,17,1,4,0
0,_Adams,_001028,_7253401028,534,264,12,4,1,4,7,544,254,11,4,4,0
0,_Adams,_001029,_7253401029,805,325,22,9,1,7,7,801,331,28,7,5,0
