IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CT_20161108_GEN_PRE_DEM_CLINTON,USA_CT_20161108_GEN_PRE_REP_TRUMP,USA_CT_20161108_GEN_PRE_LIB_JOHNSON,USA_CT_20161108_GEN_PRE_GRE_STEIN,USA_CT_20161108_GEN_PRE_OTH_WRITEIN,USA_CT_20161108_GEN_USS_DEM_BLUMENTHAL,USA_CT_20161108_GEN_USS_REP_CARTER,USA_CT_20161108_GEN_USS_LIB_LION,USA_CT_20161108_GEN_USS_GRE_RUSSELL,USA_CT_20161108_GEN_USS_OTH_WRITEIN
0,_001,_Bethel 001-00,_Bethel 001-00,734,502,31,26,3,754,479,13,15,0
0,_001,_Bethel 002-00,_Bethel 002-00,1041,1075,65,22,5,1131,1009,21,11,0
0,_001,_Bethel 003-00,_Bethel 003-00,1517,1687,125,52,12,1568,1710,21,30,0
0,_001,_Bethel 004-00,_Bethel 004-00,1304,1082,83,41,4,1312,1087,25,31,0
0,_001,_Bethel 005-00,_Bethel 005-00,181,229,14,11,0,207,229,1,2,0
0,_001,_Bridgeport 124-01,_Bridgeport 124-01,316,60,8,0,0,306,43,4,2,0
0,_001,_Bridgeport 124-02,_Bridgeport 124-02,1991,315,23,19,0,1889,209,19,15,0
0,_001,_Bridgeport 124-03,_Bridgeport 124-03,1891,103,14,12,0,1794,60,8,10,0
0,_001,_Bridgeport 124-04,_Bridgeport 124-04,1677,193,13,25,0,1582,136,12,19,0
0,_001,_Bridgeport 126-01,_Bridgeport 126-01,229,36,3,7,0,221,31,0,6,0
0,_001,_Bridgeport 126-02,_Bridgeport 126-02,1448,221,17,20,0,1422,141,3,23,0
0,_001,_Bridgeport 126-03,_Bridgeport 126-03,1323,342,28,25,0,1355,248,13,12,0
0,_001,_Bridgeport 126-04,_Bridgeport 126-04,582,117,5,9,0,586,74,6,6,0
0,_001,_Bridgeport 126-05,_Bridgeport 126-05,1597,462,20,41,0,1642,298,17,28,0
0,_001,_Bridgeport 126-06,_Bridgeport 126-06,1876,154,13,23,0,1820,112,9,16,0
0,_001,_Bridgeport 127-01,_Bridgeport 127-01,2958,1020,53,58,0,3067,730,28,38,0
0,_001,_Bridgeport 127-02,_Bridgeport 127-02,156,36,2,3,0,150,27,5,1,0
0,_001,_Bridgeport 127-03,_Bridgeport 127-03,2105,937,39,38,0,2266,623,26,32,0
0,_001,_Bridgeport 128-01,_Bridgeport 128-01,2110,222,18,13,0,1988,172,16,21,0
