IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_CT_20201103_GEN_PRE_DEM_BIDEN,USA_CT_20201103_GEN_PRE_REP_TRUMP,USA_CT_20201103_GEN_PRE_LIB_JORGENSEN,USA_CT_20201103_GEN_PRE_GRE_HAWKINS,USA_CT_20201103_GEN_PRE_OTH_WRITEIN
0,_001,_Bethel 001-00,_Bethel 001-00,920,520,12,5,0
0,_001,_Bethel 002-00,_Bethel 002-00,1370,1170,26,8,3
0,_001,_Bethel 003-00,_Bethel 003-00,2064,1656,36,21,0
0,_001,_Bethel 004-00,_Bethel 004-00,1673,1133,32,14,0
0,_001,_Bethel 005-00,_Bethel 005-00,243,255,8,3,0
0,_001,_Bridgeport 124-01,_Bridgeport 124-01,332,87,2,3,0
0,_001,_Bridgeport 124-02,_Bridgeport 124-02,2026,474,6,4,0
0,_001,_Bridgeport 124-03,_Bridgeport 124-03,1843,210,4,5,2
0,_001,_Bridgeport 124-04,_Bridgeport 124-04,1662,320,40,11,2
0,_001,_Bridgeport 126-01,_Bridgeport 126-01,271,58,2,0,0
0,_001,_Bridgeport 126-02,_Bridgeport 126-02,1574,275,10,6,4
0,_001,_Bridgeport 126-03,_Bridgeport 126-03,1473,373,3,7,4
0,_001,_Bridgeport 126-04,_Bridgeport 126-04,625,142,4,1,0
0,_001,_Bridgeport 126-05,_Bridgeport 126-05,1775,559,14,5,5
0,_001,_Bridgeport 126-06,_Bridgeport 126-06,1956,261,7,7,6
0,_001,_Bridgeport 127-01,_Bridgeport 127-01,3075,1094,16,26,2
0,_001,_Bridgeport 127-02,_Bridgeport 127-02,161,48,0,0,0
0,_001,_Bridgeport 127-03,_Bridgeport 127-03,2260,985,18,14,7
0,_001,_Bridgeport 128-01,_Bridgeport 128-01,2092,339,5,8,3
0,_001,_Bridgeport 128-02,_Bridgeport 128-02,1619,395,6,3,2
0,_001,_Bridgeport 129-01,_Bridgeport 129-01,2152,778,28,14,5
0,_001,_Bridgeport 129-02,_Bridgeport 129-02,2026,609,15,9,2
0,_001,_Bridgeport 129-03,_Bridgeport 129-03,792,158,3,5,0
0,_001,_Bridgeport 129-04,_Bridgeport 129-04,1037,209,5,7,0
0,_001,_Bridgeport 130-01,_Bridgeport 130-01,1051,163,4,2,0
0,_001,_Bridgeport 130-02,_Bridgeport 130-02,647,121,2,3,2
0,_001,_Bridgeport 130-03,_Bridgeport 130-03,600,114,1,4,0
0,_001,_Bridgeport 130-04,_Bridgeport 130-04,1457,330,4,6,2
0,_001,_Bridgeport 130-05,_Bridgeport 130-05,1009,167,1,3,3
0,_001,_Brookfield 001-00,_Brookfield 001-00,2081,2112,42,19,1
0,_001,_Brookfield 002-00,_Brookfield 002-00,3345,3114,69,20,4
0,_001,_Danbury 001-09,_Danbury 001-09,235,120,4,0,0
0,_001,_Danbury 001-10,_Danbury 001-10,122,59,2,0,0
0,_001,_Danbury 001-38,_Danbury 001-38,2400,1911,58,11,0
0,_001,_Danbury 002-08,_Danbury 002-08,619,445,12,2,0
0,_001,_Danbury 002-09,_Danbury 002-09,1091,736,16,7,1
0,_001,_Danbury 002-38,_Danbury 002-38,823,766,14,4,0
0,_001,_Danbury 003-07,_Danbury 003-07,279,281,4,3,0
0,_001,_Danbury 003-09,_Danbury 003-09,2727,2183,33,12,1
0,_001,_Danbury 004-09,_Danbury 004-09,1043,609,8,9,0
0,_001,_Danbury 004-10,_Danbury 004-10,1465,816,11,10,0
0,_001,_Danbury 005-02,_Danbury 005-02,773,463,10,9,0
0,_001,_Danbury 005-09,_Danbury 005-09,219,101,1,1,0
0,_001,_Danbury 005-10,_Danbury 005-10,1141,651,12,5,0
0,_001,_Danbury 006-02,_Danbury 006-02,1208,917,18,6,0
