IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_DC_20201103_GEN_PRE_DEM_BIDEN,USA_DC_20201103_GEN_PRE_REP_TRUMP,USA_DC_20201103_GEN_PRE_LIB_JORGENSEN,USA_DC_20201103_GEN_PRE_GRE_HAWKINS,USA_DC_20201103_GEN_PRE_IND_RIVA,USA_DC_20201103_GEN_PRE_IND_PIERCE,USA_DC_20201103_GEN_PRE_OTH_WRITEIN,USA_DC_20201103_GEN_DEL_DEM_NORTON,USA_DC_20201103_GEN_DEL_LIB_HYNES,USA_DC_20201103_GEN_DEL_SGP_STACUZZI,USA_DC_20201103_GEN_DEL_SWP_MUSA,USA_DC_20201103_GEN_DEL_IND_FRANKLIN,USA_DC_20201103_GEN_DEL_IND_KRUCOFF,USA_DC_20201103_GEN_DEL_IND_LOWERY,USA_DC_20201103_GEN_DEL_IND_CHEEKS,USA_DC_20201103_GEN_DEL_OTH_WRITEIN,USA_DC_20201103_GEN_COU_DEM_WHITE,USA_DC_20201103_GEN_COU_REP_PICKERING,USA_DC_20201103_GEN_COU_LIB_BISHOP_HENCHMAN,USA_DC_20201103_GEN_COU_SGP_WILCOX,USA_DC_20201103_GEN_COU_IND_HENDERSON_CHRISTINA,USA_DC_20201103_GEN_COU_IND_ORANGE,USA_DC_20201103_GEN_COU_IND_LAZERE,USA_DC_20201103_GEN_COU_IND_GOODWIN,USA_DC_20201103_GEN_COU_IND_BATCHELOR,USA_DC_20201103_GEN_COU_IND_PALACIO,USA_DC_20201103_GEN_COU_IND_GARCIA,USA_DC_20201103_GEN_COU_IND_LEWIS,USA_DC_20201103_GEN_COU_IND_JAYARAMAN,USA_DC_20201103_GEN_COU_IND_BARRAG,USA_DC_20201103_GEN_COU_IND_HOWARD,USA_DC_20201103_GEN_COU_IND_MERRIFIELD,USA_DC_20201103_GEN_COU_IND_HENDERSON_KATHY,USA_DC_20201103_GEN_COU_IND_PADRO,USA_DC_20201103_GEN_COU_IND_GURLEY,USA_DC_20201103_GEN_COU_IND_SCRUGGS,USA_DC_20201103_GEN_COU_IND_SILVER,USA_DC_20201103_GEN_COU_IND_CRISTALDO,USA_DC_20201103_GEN_COU_IND_MURPHREE,USA_DC_20201103_GEN_COU_IND_ROGERS,USA_DC_20201103_GEN_COU_OTH_WRITEIN,USA_DC_20201103_GEN_USS_DEM_STRAUSS,USA_DC_20201103_GEN_USS_REP_WEISS,USA_DC_20201103_GEN_USS_SGP_ORY,USA_DC_20201103_GEN_USS_OTH_WRITEIN,USA_DC_20201103_GEN_HAL_DEM_OWOLEWA,USA_DC_20201103_GEN_HAL_SGP_ROBINSON_PAUL,USA_DC_20201103_GEN_HAL_IND_SYED,USA_DC_20201103_GEN_HAL_OTH_WRITEIN
0,_DC,_Precinct 1,_Precinct 1,6901,349,49,47,11,7,44,5835,212,147,124,140,92,89,54,37,1921,318,114,156,971,673,696,636,208,188,126,87,77,98,63,78,48,79,36,41,88,38,33,27,31,3355,411,345,34,3205,315,324,60
0,_DC,_Precinct 10,_Precinct 10,1952,247,14,6,5,2,32,1670,103,34,36,72,67,31,20,12,692,274,41,71,597,177,351,756,48,110,53,26,73,50,18,32,29,15,5,7,13,11,8,15,8,1486,327,126,15,1266,137,257,34
0,_DC,_Precinct 100,_Precinct 100,1867,53,5,11,5,9,11,1752,14,21,31,29,5,20,15,4,907,28,9,38,253,710,64,223,91,29,45,38,7,24,73,16,52,13,24,16,31,10,14,16,12,1574,43,161,6,1545,162,58,6
0,_DC,_Precinct 101,_Precinct 101,1253,50,6,7,4,1,11,1177,19,10,15,30,14,13,9,8,623,39,14,25,154,500,116,176,71,22,30,26,7,15,44,16,20,8,46,15,12,8,7,8,7,1065,52,114,7,1048,110,59,9
0,_DC,_Precinct 102,_Precinct 102,1904,42,6,9,10,5,9,1763,10,17,38,39,7,21,16,2,906,31,6,42,261,734,110,226,106,27,35,38,3,31,76,17,28,12,34,26,29,11,15,7,9,1577,59,160,13,1494,213,59,10
0,_DC,_Precinct 103,_Precinct 103,2494,72,10,17,8,8,8,2320,17,23,30,61,15,32,23,8,1230,32,10,64,274,988,121,328,146,22,59,58,11,27,69,20,43,14,68,12,46,9,20,22,24,2101,61,223,15,2032,238,84,16
0,_DC,_Precinct 104,_Precinct 104,2394,71,7,17,4,9,16,2176,18,28,37,75,17,42,32,5,1168,43,6,50,290,876,113,348,140,41,66,58,7,43,85,21,40,11,60,28,39,14,20,17,15,2002,92,217,12,1977,218,81,13
0,_DC,_Precinct 105,_Precinct 105,1872,52,7,17,8,7,8,1769,15,17,27,28,11,21,21,5,956,34,3,49,245,666,113,284,121,29,34,43,8,19,71,18,40,3,34,21,31,2,8,13,14,1566,62,169,8,1534,161,87,11
0,_DC,_Precinct 106,_Precinct 106,2090,59,6,2,3,5,19,1916,27,12,33,64,7,31,14,10,1107,33,8,47,278,784,109,267,132,22,50,50,9,27,73,18,36,7,43,24,23,8,12,16,22,1718,65,179,14,1681,190,78,11
0,_DC,_Precinct 107,_Precinct 107,1164,35,8,8,4,6,5,1100,8,10,16,21,4,13,15,1,540,23,5,18,145,475,39,130,46,8,30,38,3,19,37,4,26,6,28,18,28,0,16,2,6,978,41,106,6,945,122,50,4
0,_DC,_Precinct 108,_Precinct 108,903,25,1,4,3,4,13,828,9,12,9,22,8,10,8,10,489,12,3,21,145,300,99,170,69,16,23,22,7,9,20,2,11,2,18,10,16,4,5,11,7,751,22,74,12,715,74,48,16
0,_DC,_Precinct 109,_Precinct 109,815,14,1,4,0,1,12,744,6,6,15,25,6,12,8,5,450,14,5,18,139,300,86,133,57,15,35,18,10,10,14,6,11,1,16,8,14,2,1,12,5,697,25,66,7,676,70,27,5
0,_DC,_Precinct 11,_Precinct 11,3407,326,38,23,10,10,46,2855,181,83,110,120,89,62,39,33,1369,370,87,158,980,211,934,850,207,219,120,89,89,92,40,63,36,33,10,32,18,29,9,10,18,2575,459,433,26,2455,301,387,60
0,_DC,_Precinct 110,_Precinct 110,2952,84,2,11,6,7,27,2753,13,33,39,58,28,37,35,18,1540,42,14,80,422,1070,197,464,187,38,69,92,17,29,84,42,45,14,67,28,51,14,15,35,19,2462,91,269,25,2368,266,119,29
0,_DC,_Precinct 111,_Precinct 111,1845,63,9,9,7,10,13,1736,13,24,27,35,11,22,16,9,922,34,11,38,247,725,101,228,107,15,49,47,8,13,69,13,37,5,54,22,41,7,14,14,18,1540,59,184,19,1486,192,81,15
