IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_DE_20161108_GEN_PRE_DEM_CLINTON,USA_DE_20161108_GEN_PRE_REP_TRUMP,USA_DE_20161108_GEN_PRE_GRE_STEIN,USA_DE_20161108_GEN_PRE_LIB_JOHNSON,USA_DE_20161108_GEN_HAL_DEM_ROCHESTER,USA_DE_20161108_GEN_HAL_REP_REIGLE,USA_DE_20161108_GEN_HAL_GRE_PERRI,USA_DE_20161108_GEN_HAL_LIB_GESTY,USA_DE_20161108_GEN_GOV_DEM_CARNEY,USA_DE_20161108_GEN_GOV_REP_BONITI,USA_DE_20161108_GEN_GOV_GRE_GROFF,USA_DE_20161108_GEN_GOV_LIB_GOWARD,USA_DE_20161108_GEN_LTG_DEM_HAL_LONG,USA_DE_20161108_GEN_LTG_REP_GUNN,USA_DE_20161108_GEN_INS_DEM_NARRARO,USA_DE_20161108_GEN_INS_REP_CRAGG
0,_01,_01-01,_01-01,681,68,8,12,663,64,13,9,649,65,13,5,528,192,636,81
0,_01,_01-02,_01-02,1175,22,8,9,1008,17,18,11,995,21,10,5,870,149,956,52
0,_01,_01-03,_01-03,633,41,9,6,547,28,12,16,539,36,19,8,482,83,537,55
0,_01,_01-04,_01-04,944,370,19,48,926,380,15,17,1015,323,12,14,955,359,932,380
0,_01,_01-05,_01-05,1055,309,14,32,1032,233,25,9,1037,243,20,9,994,302,1079,224
0,_01,_01-06,_01-06,488,308,15,20,470,281,21,13,485,273,22,11,488,293,496,281
0,_01,_01-07,_01-07,659,465,25,50,640,409,34,32,685,422,25,17,682,424,715,391
0,_01,_01-08,_01-08,319,599,12,46,343,549,22,14,408,522,8,9,464,487,475,455
0,_01,_01-09,_01-09,472,656,18,44,509,576,20,16,557,559,8,9,614,516,650,475
0,_01,_01-10,_01-10,755,607,15,49,724,566,25,27,797,537,21,15,763,569,775,567
0,_01,_01-11,_01-11,498,581,12,60,524,519,20,23,596,480,12,23,640,470,628,457
0,_01,_01-12,_01-12,731,448,20,66,708,481,27,27,788,433,20,18,761,464,736,495
0,_01,_01-13,_01-13,638,467,16,50,672,384,27,26,671,418,19,18,683,410,734,376
