IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_DE_20201103_GEN_PRE_DEM_BIDEN,USA_DE_20201103_GEN_PRE_REP_TRUMP,USA_DE_20201103_GEN_PRE_LIB_JORDENSEN,USA_DE_20201103_GEN_PRE_GRE_HAWKINS,USA_DE_20201103_GEN_USS_DEM_COONS,USA_DE_20201103_GEN_USS_REP_WITZKE,USA_DE_20201103_GEN_USS_LIB_FROST,USA_DE_20201103_GEN_USS_IPD_TURLEY,USA_DE_20201103_GEN_HAL_DEM_ROCHESTER,USA_DE_20201103_GEN_HAL_REP_MURPHY,USA_DE_20201103_GEN_HAL_LIB_ROGERS,USA_DE_20201103_GEN_HAL_IPD_PURCELL,USA_DE_20201103_GEN_GOV_DEM_CARNEY_JR,USA_DE_20201103_GEN_GOV_REP_MURRAY,USA_DE_20201103_GEN_GOV_LIB_MACHUREK,USA_DE_20201103_GEN_GOV_IPD_DEMATTEIS,USA_DE_20201103_GEN_LTG_DEM_HALL_LONG,USA_DE_20201103_GEN_LTG_REP_HALL,USA_DE_20201103_GEN_INS_DEM_NAVARRO,USA_DE_20201103_GEN_INS_REP_PILLSBURY
0,_01,_01-01,_01-01,727,51,10,4,684,53,17,9,684,60,7,9,681,62,8,8,624,118,664,74
0,_01,_01-02,_01-02,1107,53,8,3,1001,42,17,12,1034,43,6,11,1008,48,6,16,965,90,982,55
0,_01,_01-03,_01-03,596,53,0,1,527,42,15,15,532,44,7,14,537,49,6,16,505,78,536,44
0,_01,_01-04,_01-04,1157,382,17,5,1191,315,16,17,1094,426,7,13,1175,344,8,16,1101,401,1110,388
0,_01,_01-05,_01-05,1183,314,6,8,1145,281,16,14,1127,284,12,17,1150,282,10,11,1107,312,1152,269
0,_01,_01-06,_01-06,625,310,8,7,618,280,13,15,597,298,10,16,610,293,7,13,592,310,611,301
0,_01,_01-07,_01-07,800,524,13,12,795,474,21,20,733,524,15,21,794,486,12,22,778,498,809,475
0,_01,_01-08,_01-08,423,630,9,5,422,602,10,24,406,633,4,8,419,620,5,11,480,571,479,566
0,_01,_01-09,_01-09,608,721,14,7,624,654,10,25,563,711,7,16,590,690,16,15,618,678,641,647
0,_01,_01-10,_01-10,893,594,12,2,899,534,13,17,842,592,7,16,884,562,9,13,865,576,858,575
0,_01,_01-11,_01-11,805,648,15,10,792,622,12,19,770,635,12,16,803,621,11,15,831,585,833,582
0,_01,_01-12,_01-12,899,452,18,7,912,412,17,18,856,455,17,16,903,422,19,10,877,456,878,450
0,_01,_01-13,_01-13,761,429,13,7,755,389,20,22,714,414,16,31,772,387,12,20,749,415,794,381
0,_01,_01-14,_01-14,2210,1612,26,13,2201,1547,18,51,2078,1642,18,50,2228,1569,13,26,2165,1604,2060,1694
0,_01,_01-15,_01-15,881,783,28,16,898,699,18,41,857,724,21,29,902,710,15,29,899,719,949,668
0,_01,_01-16,_01-16,809,397,5,4,770,346,14,16,759,351,10,18,776,337,12,22,767,352,800,325
0,_01,_01-17,_01-17,545,254,8,9,523,218,16,14,511,224,7,22,528,218,12,16,531,227,556,206
0,_01,_01-18,_01-18,1121,388,11,15,1092,341,20,20,1076,354,14,25,1093,343,13,30,1055,384,1120,334
0,_01,_01-19,_01-19,713,420,10,2,700,380,12,27,666,420,6,18,694,402,3,22,707,393,740,367
0,_01,_01-20,_01-20,758,527,10,8,734,499,18,25,731,509,12,14,741,512,9,19,733,519,723,513
0,_01,_01-21,_01-21,419,247,7,1,434,222,6,3,397,256,4,5,429,225,7,3,418,236,421,227
0,_01,_01-22,_01-22,838,521,13,7,860,471,14,21,780,561,9,9,834,509,11,12,792,558,822,523
0,_01,_01-23,_01-23,159,51,3,2,158,42,2,4,151,47,2,1,158,41,1,3,153,43,149,50
0,_01,_01-24,_01-24,849,510,25,3,835,454,28,33,810,496,14,18,839,474,18,17,844,478,871,453
0,_01,_01-25,_01-25,629,124,13,7,608,116,12,19,608,124,11,9,613,118,6,16,604,137,595,145
0,_01,_01-26,_01-26,790,405,18,5,777,382,17,16,756,403,11,19,771,397,11,19,782,398,790,388
0,_01,_01-27,_01-27,1290,577,22,3,1286,512,31,21,1260,537,17,19,1284,530,19,16,1278,555,1319,505
0,_01,_01-28,_01-28,669,481,15,10,662,457,13,15,649,455,16,18,661,461,10,16,648,489,652,467
0,_01,_01-29,_01-29,1740,1059,36,9,1724,969,37,42,1703,993,29,33,1720,1005,26,32,1701,1042,1753,970
0,_01,_01-30,_01-30,232,587,20,3,237,551,9,16,238,554,5,10,249,552,5,9,245,562,227,574
0,_01,_01-31,_01-31,220,81,5,2,215,77,5,6,218,74,3,8,218,82,2,2,207,90,213,90
0,_01,_01-32,_01-32,727,273,12,10,680,266,12,23,680,266,13,21,700,255,7,18,635,331,658,303
0,_01,_01-33,_01-33,228,235,4,2,230,223,5,4,221,226,4,11,229,228,3,5,228,231,219,238
0,_01,_01-34,_01-34,781,637,30,9,765,597,21,34,776,597,20,22,789,602,18,22,763,652,749,658
0,_01,_01-35,_01-35,705,1852,34,8,714,1763,30,46,695,1776,25,32,727,1796,15,19,724,1781,659,1824
0,_01,_01-36,_01-36,827,839,22,6,813,782,18,35,785,812,15,25,804,813,19,22,795,828,766,851
0,_01,_01-37,_01-37,770,625,19,6,735,540,21,33,723,574,22,11,739,590,17,13,741,566,715,591
0,_01,_01-38,_01-38,847,1593,14,5,873,1491,14,36,808,1545,7,30,885,1518,7,20,897,1482,786,1587
0,_01,_01-39,_01-39,448,1054,16,8,450,995,16,24,440,1003,13,21,465,999,10,12,466,994,441,1011
0,_01,_01-40,_01-40,374,729,11,3,384,680,10,17,361,694,8,18,383,684,7,18,385,682,369,690
0,_01,_01-41,_01-41,406,1487,11,10,425,1416,10,31,408,1433,14,21,430,1438,8,17,482,1377,420,1439
0,_02,_02-01,_02-01,1179,59,3,4,1089,54,11,20,1125,49,3,12,1103,49,6,20,1015,124,1073,53
0,_02,_02-02,_02-02,448,13,0,0,393,11,6,6,409,6,1,3,402,9,1,10,387,20,375,13
0,_02,_02-03,_02-03,877,241,3,7,852,196,11,21,828,227,6,14,881,188,8,12,815,230,855,202
0,_02,_02-04,_02-04,896,466,8,5,949,395,11,20,825,516,11,13,933,425,9,9,855,492,862,487
0,_02,_02-05,_02-05,486,219,5,7,482,188,12,9,470,199,3,16,473,198,8,15,473,203,494,188
0,_02,_02-06,_02-06,870,520,11,5,910,443,16,15,828,526,7,20,913,449,10,13,845,511,846,517
0,_02,_02-07,_02-07,960,494,16,8,970,452,16,17,931,499,11,12,976,465,10,8,928,510,943,493
0,_02,_02-08,_02-08,1003,524,14,6,1012,478,12,24,986,497,8,26,1010,482,8,25,1014,500,1002,498
0,_02,_02-09,_02-09,851,479,12,6,852,431,10,24,816,472,8,19,844,458,8,15,834,477,851,459
0,_02,_02-10,_02-10,761,429,9,7,759,404,9,13,731,437,6,10,766,408,5,8,754,424,724,448
0,_02,_02-11,_02-11,1118,662,18,7,1112,603,26,34,1093,632,18,21,1115,624,10,20,1124,633,1161,577
0,_02,_02-12,_02-12,725,356,9,5,723,332,11,15,683,374,6,12,721,342,7,13,698,364,705,363
0,_02,_02-13,_02-13,513,279,21,3,513,252,12,21,484,275,15,19,513,262,10,20,505,289,528,267
0,_02,_02-14,_02-14,1642,1287,10,11,1651,1201,13,38,1594,1254,12,25,1667,1214,10,22,1652,1220,1579,1276
0,_02,_02-15,_02-15,1090,657,17,8,1090,595,16,22,1058,623,9,28,1103,590,10,22,1060,634,1107,601
0,_02,_02-16,_02-16,969,151,5,5,886,141,12,21,892,137,13,18,890,134,12,34,871,164,895,139
0,_02,_02-17,_02-17,1553,210,8,7,1494,181,20,18,1481,189,10,21,1491,190,9,19,1452,218,1470,199
0,_02,_02-18,_02-18,770,286,8,11,746,262,11,20,701,293,8,26,744,265,8,19,737,281,738,281
0,_02,_02-19,_02-19,543,345,10,5,531,308,14,20,506,326,8,19,535,310,5,16,529,309,564,280
0,_02,_02-20,_02-20,1435,1451,24,6,1389,1404,19,41,1350,1426,10,35,1415,1410,11,26,1407,1382,1345,1428
0,_02,_02-21,_02-21,646,482,14,6,665,435,11,14,627,484,6,9,671,439,9,16,655,453,701,408
0,_02,_02-22,_02-22,689,421,15,8,719,371,9,25,642,439,10,16,700,399,5,12,651,437,679,415
0,_02,_02-23,_02-23,901,405,25,5,884,378,27,26,830,436,11,21,874,399,14,21,863,416,864,422
0,_02,_02-24,_02-24,961,423,17,6,946,383,23,19,909,421,16,13,935,397,16,26,901,436,945,394
0,_02,_02-25,_02-25,734,386,16,6,726,378,8,18,701,401,6,17,725,385,3,20,728,386,720,386
0,_02,_02-26,_02-26,696,205,9,6,661,183,13,18,670,187,2,15,674,185,6,14,657,200,666,196
0,_02,_02-27,_02-27,655,307,21,6,619,304,14,27,604,322,15,13,622,308,9,19,640,300,655,297
0,_02,_02-28,_02-28,583,303,18,5,543,306,15,16,551,293,13,17,552,301,14,15,541,319,558,304
0,_02,_02-29,_02-29,126,155,1,1,126,139,4,7,125,147,1,3,135,142,1,2,138,136,131,146
0,_02,_02-30,_02-30,157,169,2,1,155,159,2,5,148,170,2,4,156,161,4,5,148,173,141,180
0,_02,_02-31,_02-31,712,547,12,6,720,511,13,26,701,537,14,11,725,531,9,12,695,565,662,601
0,_02,_02-32,_02-32,415,211,12,6,390,200,12,22,391,217,3,14,399,214,3,14,366,256,373,249
0,_02,_02-33,_02-33,509,522,13,10,501,500,17,19,494,509,10,23,499,523,8,13,480,547,460,561
