IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_FL_20161108_GEN_PRE_REP_TRUMP,USA_FL_20161108_GEN_PRE_DEM_CLINTON,USA_FL_20161108_GEN_PRE_LIB_JOHNSON,USA_FL_20161108_GEN_PRE_CON_CASTLE,USA_FL_20161108_GEN_PRE_GRE_STEIN,USA_FL_20161108_GEN_PRE_OTH_FUENTE,USA_FL_20161108_GEN_PRE_OTH_WRITEIN,USA_FL_20161108_GEN_USS_REP_RUBIO,USA_FL_20161108_GEN_USS_DEM_MURPHY,USA_FL_20161108_GEN_USS_LIB_STANTON,USA_FL_20161108_GEN_USS_NOA_KHOURY,USA_FL_20161108_GEN_USS_NOA_NATHAN,USA_FL_20161108_GEN_USS_NOA_MACHAT,USA_FL_20161108_GEN_USS_NOA_DALACK,USA_FL_20161108_GEN_USS_OTH_WRITEIN
0,_ALA,_ALA0001,_01,637,357,28,2,5,0,9,613,367,22,5,3,2,1,1
0,_ALA,_ALA0002,_02,839,668,29,2,18,0,17,856,637,29,7,4,5,5,2
0,_ALA,_ALA0003,_03,1711,1114,105,5,34,2,26,1754,1072,69,10,11,4,7,7
0,_ALA,_ALA0004,_04,1483,687,75,7,11,1,21,1510,633,61,7,8,11,5,4
0,_ALA,_ALA0005,_05,544,1409,101,2,29,1,23,777,1230,53,3,3,3,5,2
0,_ALA,_ALA0006,_06,1263,762,65,12,13,2,14,1291,722,44,12,5,9,1,0
0,_ALA,_ALA0007,_07,259,1253,54,1,50,2,26,319,1202,40,5,6,6,8,3
0,_ALA,_ALA0008,_08,768,636,39,2,10,1,8,748,646,24,3,6,5,4,1
0,_ALA,_ALA0009,_09,279,117,11,0,2,0,2,254,130,14,1,3,1,0,1
0,_ALA,_ALA0010,_10,551,623,35,1,13,0,8,548,616,26,4,4,2,3,1
0,_ALA,_ALA0011,_11,964,1044,50,5,13,2,22,986,1007,35,10,8,6,6,0
0,_ALA,_ALA0012,_12,335,1292,49,7,47,1,19,389,1248,36,12,8,5,3,6
0,_ALA,_ALA0013,_13,58,1472,4,3,10,0,13,110,1388,8,3,2,8,4,1
0,_ALA,_ALA0014,_14,579,281,22,4,8,0,4,568,292,20,1,0,2,0,3
0,_ALA,_ALA0015,_15,371,263,22,1,3,0,7,369,257,13,4,4,1,4,0
0,_ALA,_ALA0016,_16,899,819,56,5,14,0,33,1030,718,24,4,1,4,4,3
0,_ALA,_ALA0017,_17,609,1390,80,3,39,1,37,698,1347,29,12,6,2,6,5
0,_ALA,_ALA0018,_18,811,1163,71,1,10,0,35,985,1019,46,7,3,1,2,1
0,_ALA,_ALA0019,_19,100,1038,25,2,25,0,16,145,986,24,1,3,7,4,0
0,_ALA,_ALA0020,_20,1500,913,64,3,23,4,29,1533,899,35,8,7,6,4,3
0,_ALA,_ALA0021,_21,837,1235,77,9,33,2,41,955,1140,55,11,4,5,6,5
0,_ALA,_ALA0022,_22,894,1415,82,8,28,2,28,1026,1327,50,15,7,5,3,1
0,_ALA,_ALA0023,_23,306,872,39,3,21,1,20,419,784,15,3,3,4,4,2
0,_ALA,_ALA0024,_24,472,1107,67,2,22,0,29,568,1054,33,5,4,6,2,2
0,_ALA,_ALA0025,_25,269,1320,69,1,34,1,22,443,1170,28,5,6,1,3,4
0,_ALA,_ALA0026,_26,319,935,44,1,17,1,26,414,880,27,4,1,2,0,5
0,_ALA,_ALA0027,_27,331,2110,74,7,45,0,22,429,2022,47,8,6,5,8,9
0,_ALA,_ALA0028,_28,159,1829,17,0,16,1,12,212,1755,18,12,3,4,0,4
0,_ALA,_ALA0029,_29,1024,1081,57,5,11,1,30,1183,968,23,1,2,4,0,8
0,_ALA,_ALA0030,_30,288,1545,22,4,20,2,13,308,1502,31,4,7,5,4,2
0,_ALA,_ALA0031,_31,943,2554,156,4,39,2,29,1520,1999,55,16,4,12,5,3
0,_ALA,_ALA0032,_32,691,1653,122,6,56,4,46,907,1523,44,13,8,10,5,6
0,_ALA,_ALA0033,_33,230,1566,30,1,19,1,25,294,1480,22,10,14,7,7,3
0,_ALA,_ALA0034,_34,517,399,16,1,7,0,10,496,398,25,2,5,1,2,1
0,_ALA,_ALA0035,_35,531,666,31,1,9,0,13,582,620,28,0,3,0,2,0
0,_ALA,_ALA0036,_36,525,1577,99,3,42,3,24,757,1361,50,11,3,6,8,4
0,_ALA,_ALA0037,_37,682,1005,49,2,19,0,16,761,928,34,7,7,2,1,2
0,_ALA,_ALA0038,_38,849,1540,88,10,26,0,42,991,1420,51,8,12,10,9,8
0,_ALA,_ALA0039,_39,459,1484,70,4,34,3,29,661,1268,36,17,8,12,11,4
0,_ALA,_ALA0040,_40,687,1009,60,4,16,0,27,818,915,38,3,4,2,2,3
0,_ALA,_ALA0041,_41,1017,868,65,4,10,1,29,1132,793,28,6,4,3,0,4
0,_ALA,_ALA0042,_42,983,1187,80,4,8,1,36,1159,1064,32,4,5,2,3,4
0,_ALA,_ALA0043,_43,705,1400,74,4,27,4,14,807,1292,35,8,4,8,9,5
0,_ALA,_ALA0044,_44,762,3176,177,11,49,2,55,1289,2664,99,16,9,14,8,9
0,_ALA,_ALA0045,_45,1748,2392,144,5,41,2,44,2018,2198,62,9,13,11,4,7
0,_ALA,_ALA0046,_46,1346,1448,76,6,20,4,49,1586,1254,35,6,6,6,9,5
0,_ALA,_ALA0047,_47,1227,1364,77,5,10,1,32,1471,1168,26,8,1,2,2,1
0,_ALA,_ALA0048,_48,658,1131,80,5,43,1,28,743,1052,45,13,11,8,6,4
0,_ALA,_ALA0049,_49,1038,779,47,5,10,1,19,1114,707,29,4,5,4,1,3
0,_ALA,_ALA0050,_50,456,969,50,5,21,1,16,536,935,24,1,4,2,2,3
0,_ALA,_ALA0051,_51,958,1414,74,9,23,1,25,1116,1275,38,12,7,5,2,3
0,_ALA,_ALA0052,_52,313,1002,38,2,22,0,18,398,925,33,3,2,5,6,2
0,_ALA,_ALA0053,_53,956,1085,27,10,35,4,15,949,1082,30,7,11,3,5,4
0,_ALA,_ALA0054,_54,562,1775,104,6,47,4,35,786,1604,53,12,8,11,3,0
0,_ALA,_ALA0055,_55,126,704,16,1,12,1,6,148,671,14,5,3,4,2,3
0,_ALA,_ALA0056,_56,942,1121,86,1,19,0,28,1085,1011,44,7,8,3,4,2
0,_ALA,_ALA0057,_57,658,1282,69,6,38,3,28,783,1197,44,5,12,14,5,0
0,_ALA,_ALA0058,_58,1447,1900,134,9,29,3,43,1701,1699,56,10,12,10,7,5
0,_ALA,_ALA0059,_59,1198,2899,176,6,75,4,47,1704,2426,82,23,12,11,14,8
0,_ALA,_ALA0060,_60,1827,618,58,5,16,2,29,1808,628,35,9,9,8,6,6
0,_ALA,_ALA0061,_61,607,1145,44,1,19,3,19,692,1063,30,5,7,2,2,7
0,_ALA,_ALA0062,_62,594,1159,59,3,25,0,27,715,1042,36,10,8,2,0,4
0,_ALA,_ALA0063,_63,1133,799,50,5,17,3,16,1236,719,22,9,6,2,3,0
0,_BAK,_BAK001A,_1A,1277,727,24,2,3,0,5,1263,659,31,12,15,5,5,8
0,_BAK,_BAK002A,_2A,1903,498,38,6,10,0,15,1832,497,46,11,20,7,5,1
0,_BAK,_BAK003A,_3A,2281,363,42,6,5,1,17,2216,364,56,8,15,7,7,7
0,_BAK,_BAK004A,_4A,153,8,2,0,1,0,0,139,18,3,0,1,0,1,0
0,_BAK,_BAK004B,_4B,430,34,17,0,0,2,1,407,46,13,4,3,0,0,2
0,_BAK,_BAK004C,_4C,1330,147,14,4,1,2,6,1305,147,12,2,5,2,1,2
0,_BAK,_BAK004D,_4D,745,59,5,0,2,0,4,693,80,21,1,2,2,0,3
0,_BAK,_BAK005A,_5A,2029,212,26,5,4,1,22,1906,260,44,9,20,7,10,5
0,_BAK,_BAK006A,_6A,146,64,1,0,4,0,1,140,64,6,1,2,0,0,0
0,_BAY,_BAY0001,_1,1122,189,25,0,6,0,10,1041,197,55,6,18,9,4,1
0,_BAY,_BAY0002,_2,764,99,20,1,4,0,8,715,118,35,5,11,1,3,1
0,_BAY,_BAY0003,_3,434,64,4,0,2,0,2,420,60,11,3,4,1,2,0
0,_BAY,_BAY0004,_4,1956,289,68,1,10,3,17,1872,292,96,11,16,8,6,10
0,_BAY,_BAY0005,_5,1763,256,50,6,13,2,13,1692,274,67,10,21,6,5,2
0,_BAY,_BAY0006,_6,2356,343,70,4,9,1,20,2340,311,68,15,17,11,7,2
0,_BAY,_BAY0007,_7,306,52,6,1,1,0,0,283,57,8,0,1,2,4,1
0,_BAY,_BAY0008,_8,1920,516,60,5,17,1,24,1954,458,66,8,15,3,4,6
0,_BAY,_BAY0009,_9,1681,538,53,3,18,0,15,1633,499,73,14,20,2,8,6
0,_BAY,_BAY0010,_10,2550,731,86,0,19,1,25,2543,685,79,5,15,7,4,4
0,_BAY,_BAY0011,_11,2620,996,112,11,24,3,44,2686,865,118,10,18,7,12,10
0,_BAY,_BAY0012,_12,2647,812,126,9,27,5,21,2629,763,123,14,23,10,8,12
0,_BAY,_BAY0013,_13,1298,330,54,1,17,0,15,1300,298,50,3,10,9,6,4
0,_BAY,_BAY0014,_14,2406,721,123,9,29,0,22,2407,678,109,10,19,15,7,8
0,_BAY,_BAY0015,_15,1990,409,48,1,10,1,12,2026,347,55,6,5,9,1,2
0,_BAY,_BAY0016,_16,1049,113,22,2,3,2,12,1045,106,27,9,5,1,0,1
0,_BAY,_BAY0017,_17,1937,491,68,1,13,1,20,1922,444,94,5,21,3,11,7
0,_BAY,_BAY0018,_18,1608,336,62,1,11,1,12,1618,317,61,4,9,3,2,0
0,_BAY,_BAY0019,_19,908,537,46,1,5,0,10,901,540,34,1,10,3,0,0
0,_BAY,_BAY0020,_20,1020,237,44,4,7,0,16,1058,213,30,2,0,6,2,3
0,_BAY,_BAY0021,_21,2535,611,90,7,17,6,36,2623,522,85,8,12,3,4,1
0,_BAY,_BAY0022,_22,2382,667,111,5,14,1,35,2441,620,69,9,12,8,2,7
0,_BAY,_BAY0023,_23,2487,953,118,10,31,3,47,2641,830,82,16,21,8,8,1
0,_BAY,_BAY0024,_24,789,273,34,3,8,1,7,799,244,41,1,6,3,1,3
0,_BAY,_BAY0025,_25,1393,418,57,4,14,1,25,1467,351,43,11,11,1,6,2
0,_BAY,_BAY0026,_26,1539,422,71,2,11,2,21,1591,358,57,6,5,7,9,3
0,_BAY,_BAY0027,_27,1845,658,83,4,20,5,27,1883,585,72,21,20,9,9,2
0,_BAY,_BAY0028,_28,980,508,66,3,19,4,16,1004,467,46,4,20,7,10,7
0,_BAY,_BAY0029,_29,1261,888,59,4,18,2,14,1295,805,74,6,13,7,5,3
0,_BAY,_BAY0030,_30,574,314,38,2,3,0,16,602,287,30,5,5,1,4,2
0,_BAY,_BAY0031,_31,1938,1104,143,21,25,4,44,2039,1008,102,13,17,9,8,6
0,_BAY,_BAY0032,_32,168,1082,10,5,7,0,4,193,1031,9,3,6,5,2,0
0,_BAY,_BAY0033,_33,453,797,36,8,10,2,6,459,779,19,12,3,6,3,4
0,_BAY,_BAY0034,_34,724,256,33,0,12,0,11,731,234,40,4,4,2,0,3
