IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_FL_20201103_GEN_PRE_REP_TRUMP,USA_FL_20201103_GEN_PRE_DEM_BIDEN,USA_FL_20201103_GEN_PRE_LIB_JORGENSEN,USA_FL_20201103_GEN_PRE_REF_FUENTE,USA_FL_20201103_GEN_PRE_PSL_RIVA,USA_FL_20201103_GEN_PRE_GRE_HAWKINS,USA_FL_20201103_GEN_PRE_CON_BLANKENSHIP,USA_FL_20201103_GEN_PRE_OTH_WRITEIN
0,_ALA,_ALA0002,_01,725,424,6,2,1,1,0,1
0,_ALA,_ALA0003,_02,969,752,18,0,0,3,1,8
0,_ALA,_ALA0004,_03,2036,1431,32,1,0,5,3,10
0,_ALA,_ALA0005,_04,1749,990,37,1,1,4,1,7
0,_ALA,_ALA0006,_05,624,1789,36,0,0,12,0,18
0,_ALA,_ALA0007,_06,1607,1107,20,2,1,2,0,6
0,_ALA,_ALA0008,_07,282,1430,18,1,2,10,1,4
0,_ALA,_ALA0009,_08,850,734,17,0,1,7,0,0
0,_ALA,_ALA0010,_09,329,138,1,0,0,1,1,0
0,_ALA,_ALA0011,_10,589,698,17,1,0,1,0,3
0,_ALA,_ALA0012,_11,1116,1204,23,1,1,1,3,4
0,_ALA,_ALA0013,_12,375,1549,24,1,4,10,1,10
0,_ALA,_ALA0014,_13,91,1583,10,0,1,4,2,4
0,_ALA,_ALA0015,_14,659,346,9,1,0,0,1,6
0,_ALA,_ALA0016,_15,387,286,2,0,0,0,0,4
0,_ALA,_ALA0017,_16,1057,1222,19,1,0,1,0,5
0,_ALA,_ALA0018,_17,627,1732,29,5,2,3,1,10
0,_ALA,_ALA0019,_18,948,1472,18,1,0,1,1,12
0,_ALA,_ALA0020,_19,118,1078,10,0,2,3,0,5
0,_ALA,_ALA0021,_20,1838,1243,31,4,3,4,1,6
0,_ALA,_ALA0022,_21,814,1580,23,1,1,4,0,8
0,_ALA,_ALA0023,_22,949,1868,29,3,4,6,0,13
0,_ALA,_ALA0024,_23,352,1161,15,0,0,2,1,8
0,_ALA,_ALA0025,_24,501,1288,21,1,2,4,0,4
0,_ALA,_ALA0026,_25,299,1573,23,0,1,5,1,11
0,_ALA,_ALA0027,_26,352,1026,15,2,0,2,0,6
0,_ALA,_ALA0028,_27,344,2387,25,2,2,6,1,8
0,_ALA,_ALA0029,_28,220,2035,5,0,3,5,0,5
0,_ALA,_ALA0030,_29,999,1435,19,0,1,2,0,4
0,_ALA,_ALA0031,_30,278,1705,12,0,4,5,0,10
0,_ALA,_ALA0032,_31,418,1297,24,0,0,8,0,5
0,_ALA,_ALA0033,_32,712,1873,41,1,3,8,0,18
0,_ALA,_ALA0034,_33,324,1640,15,1,7,5,2,5
0,_ALA,_ALA0035,_34,562,462,5,0,0,1,0,2
0,_ALA,_ALA0036,_35,562,829,12,0,1,3,1,3
0,_ALA,_ALA0037,_36,491,1858,29,2,2,8,0,5
0,_ALA,_ALA0038,_37,716,1203,18,0,1,4,1,8
0,_ALA,_ALA0039,_38,926,1821,31,4,2,3,0,10
0,_ALA,_ALA0040,_39,438,1720,23,0,3,16,0,2
0,_ALA,_ALA0041,_40,697,1254,29,0,0,13,0,7
0,_ALA,_ALA0042,_41,1247,1149,22,1,1,1,7,10
0,_ALA,_ALA0043,_42,1042,1448,28,3,0,5,0,2
0,_ALA,_ALA0044,_43,789,1655,28,1,3,6,2,7
0,_ALA,_ALA0045,_44,714,3389,69,0,5,17,0,25
0,_ALA,_ALA0046,_45,1902,3043,33,3,0,4,2,29
0,_ALA,_ALA0047,_46,1464,2021,31,1,1,4,0,11
0,_ALA,_ALA0048,_47,1545,1941,15,2,0,2,1,5
0,_ALA,_ALA0049,_48,681,1464,18,3,0,6,0,7
0,_ALA,_ALA0050,_49,1133,868,19,1,1,2,0,9
0,_ALA,_ALA0051,_50,422,1170,17,1,0,0,1,7
0,_ALA,_ALA0052,_51,979,1609,20,1,0,3,1,10
0,_ALA,_ALA0053,_52,387,1174,18,0,2,8,1,8
