IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_GA_20161108_GEN_PRE_REP_TRUMP,USA_GA_20161108_GEN_PRE_DEM_CLINTON,USA_GA_20161108_GEN_PRE_LIB_JOHNSON,USA_GA_20161108_GEN_USS_REP_ISAKSON,USA_GA_20161108_GEN_USS_DEM_BARKSDALE,USA_GA_20161108_GEN_USS_LIB_BUCKLEY,USA_GA_20161108_GEN_PSC_REP_ECHOLS,USA_GA_20161108_GEN_PSC_LIB_HOSKINS
0,_APPLING,_1B,_0011B,685,92,9,636,81,14,655,62
0,_APPLING,_1C,_0011C,496,42,5,455,45,13,464,41
0,_APPLING,_2,_0012,427,742,10,445,581,28,545,344
0,_APPLING,_3A,_0013A,209,4,4,194,6,3,193,10
0,_APPLING,_3A1,_0013A1,319,17,1,295,21,9,300,18
0,_APPLING,_3B,_0013B,101,98,1,93,89,4,108,37
0,_APPLING,_3C,_0013C,670,154,14,651,114,22,675,95
0,_APPLING,_4A,_0014A,261,14,1,244,10,8,255,9
0,_APPLING,_4B,_0014B,305,7,0,291,3,3,291,6
0,_APPLING,_4C,_0014C,284,10,2,259,12,5,263,7
0,_APPLING,_4D,_0014D,624,83,10,574,79,14,606,62
0,_APPLING,_5A,_0015A,530,68,12,492,54,18,512,47
0,_APPLING,_5B,_0015B,336,79,3,318,61,10,325,43
0,_APPLING,_5C,_0015C,247,24,5,223,31,3,228,23
0,_ATKINSON,_PEARSON COUNTY,_0030001,850,136,6,758,117,24,763,106
0,_ATKINSON,_AXSON,_0030002,375,29,4,321,34,11,329,26
0,_ATKINSON,_WILLACOOCHEE,_0030003,489,257,16,445,226,16,487,143
0,_ATKINSON,_PEARSON CITY,_0030004,164,275,9,154,219,14,198,123
0,_BACON,_DOUGLAS,_005DOUGL,1578,477,27,1427,356,48,1502,234
0,_BACON,_NEW LACY,_005NEW L,696,58,5,646,47,14,636,48
0,_BACON,_TAYLOR,_005TAYLO,521,30,12,458,31,19,450,33
0,_BACON,_WARE,_005WARE,328,25,2,292,26,9,295,21
0,_BACON,_WARNOCK,_005WARNO,241,18,1,223,14,5,223,16
0,_BAKER,_ANNA,_007A,73,32,0,71,17,3,66,12
0,_BAKER,_ELMODEL,_007E,124,133,4,119,107,6,133,66
0,_BAKER,_HOGGARDS MILL,_007H,92,105,3,93,88,2,108,58
0,_BAKER,_MILFORD,_007M,133,74,2,130,64,2,137,38
0,_BAKER,_NEWTON,_007N,353,306,6,350,255,16,372,167
0,_BALDWIN,_SCOTTSBORO,_0091714,386,219,8,357,201,19,391,122
0,_BALDWIN,_NORTH BALDWIN,_009318,1624,615,50,1617,510,56,1698,343
0,_BALDWIN,_WEST BALDWIN,_009319,608,539,31,619,453,35,657,304
0,_BALDWIN,_EAST HARDWICK,_009321E,111,532,9,120,466,12,175,237
