IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_GA_20201103_GEN_PRE_REP_TRUMP,USA_GA_20201103_GEN_PRE_DEM_BIDEN,USA_GA_20201103_GEN_PRE_LIB_JORGENSEN,USA_GA_20201103_REC_PRE_REP_TRUMP,USA_GA_20201103_REC_PRE_DEM_BIDEN,USA_GA_20201103_REC_PRE_LIB_JORGENSEN,USA_GA_20201103_GEN_USS_REP_PERDUE,USA_GA_20201103_GEN_USS_DEM_OSSOFF,USA_GA_20201103_GEN_USS_LIB_HAZEL,USA_GA_20201103_SPE_USS_REP_LOEFFLER,USA_GA_20201103_SPE_USS_REP_COLLINS,USA_GA_20201103_SPE_USS_REP_GRAYSON,USA_GA_20201103_SPE_USS_REP_JACKSON,USA_GA_20201103_SPE_USS_REP_TAYLOR,USA_GA_20201103_SPE_USS_REP_JOHNSON,USA_GA_20201103_SPE_USS_DEM_WARNOCK,USA_GA_20201103_SPE_USS_DEM_JACKSON,USA_GA_20201103_SPE_USS_DEM_LIEBERMAN,USA_GA_20201103_SPE_USS_DEM_JOHNSON_SHEALEY,USA_GA_20201103_SPE_USS_DEM_JAMES,USA_GA_20201103_SPE_USS_DEM_SLADE,USA_GA_20201103_SPE_USS_DEM_WINFIELD,USA_GA_20201103_SPE_USS_DEM_TARVER,USA_GA_20201103_SPE_USS_LIB_SLOWINSKI,USA_GA_20201103_SPE_USS_GRE_FORTUIN,USA_GA_20201103_SPE_USS_IND_BUCKLEY,USA_GA_20201103_SPE_USS_IND_BARTELL,USA_GA_20201103_SPE_USS_IND_STOVALL,USA_GA_20201103_SPE_USS_IND_GREENE,USA_GA_20201103_GEN_PS1_REP_SHAW,USA_GA_20201103_GEN_PS1_DEM_BRYANT,USA_GA_20201103_GEN_PS1_LIB_MELTON,USA_GA_20201103_GEN_PS2_REP_MCDONALD_JR,USA_GA_20201103_GEN_PS2_DEM_BLACKMAN,USA_GA_20201103_GEN_PS2_LIB_WILSON,USA_GA_20210105_RUN_US1_REP_PERDUE,USA_GA_20210105_RUN_US1_DEM_OSSOFF,USA_GA_20210105_RUN_US2_REP_LOEFFLER,USA_GA_20210105_RUN_US2_DEM_WARNOCK,USA_GA_20210105_RUN_PS2_REP_MCDONALD_JR,USA_GA_20210105_RUN_PS2_DEM_BLACKMAN
0,_APPLING,_1B,_0011B,870,116,7,871,116,7,828,134,16,271,289,15,8,255,15,72,16,6,7,2,1,5,1,3,3,3,1,0,2,814,109,24,793,115,21,758,101,763,97,748,96
0,_APPLING,_1C,_0011C,594,44,2,613,47,2,579,44,6,141,216,12,3,200,6,27,6,2,1,4,0,1,0,1,1,2,0,0,1,563,41,7,560,35,7,534,40,533,41,530,38
0,_APPLING,_2,_0012,531,908,9,532,908,9,514,864,32,145,171,13,10,175,7,559,172,43,22,48,16,9,3,3,7,2,6,0,4,501,825,40,487,818,35,424,816,424,818,429,775
0,_APPLING,_3A1,_0013A1,587,20,4,587,20,4,570,25,5,179,239,8,3,142,7,12,2,0,1,0,0,1,0,2,0,1,0,0,0,564,18,8,551,23,6,518,20,518,21,513,21
0,_APPLING,_3C,_0013C,843,288,4,843,288,4,819,281,22,191,324,10,6,298,2,156,50,18,11,15,7,3,2,4,2,3,2,2,3,796,262,29,779,265,32,750,257,752,257,749,243
0,_APPLING,_4B,_0014B,647,23,2,670,25,2,639,25,2,241,206,5,8,172,9,12,2,3,0,1,2,0,0,0,0,1,1,0,1,622,19,9,605,21,7,618,20,617,22,605,19
0,_APPLING,_4D,_0014D,1048,130,1,1048,130,1,1021,129,15,261,395,6,4,359,6,72,20,2,3,4,4,1,4,2,0,4,3,1,0,995,110,15,984,100,19,904,118,908,115,896,108
0,_APPLING,_5A,_0015A,697,118,5,697,118,5,660,115,17,170,256,11,5,229,6,65,14,7,4,9,3,1,0,6,2,2,5,2,3,642,120,14,633,105,20,566,108,566,107,560,101
0,_APPLING,_5B,_0015B,709,132,2,709,132,2,676,136,13,208,259,9,4,200,6,76,24,4,5,5,8,4,1,2,2,3,1,2,1,667,127,14,661,120,14,611,118,609,118,598,117
0,_ATKINSON,_PEARSON COUNTY,_0030001,1026,160,11,1026,160,11,1008,164,13,442,450,20,15,24,11,74,33,16,10,10,4,9,4,5,2,7,5,2,2,984,131,17,943,139,17,878,131,882,130,846,130
0,_ATKINSON,_AXSON,_0030002,479,45,3,479,45,3,461,46,10,166,244,12,3,14,4,19,10,7,1,1,1,1,1,3,1,3,2,0,3,454,40,5,432,40,5,426,32,427,31,417,32
