IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_HI_20161108_GEN_PRE_DEM_CLINTON,USA_HI_20161108_GEN_PRE_REP_TRUMP,USA_HI_20161108_GEN_PRE_GRE_STEIN,USA_HI_20161108_GEN_PRE_LIB_JOHNSON,USA_HI_20161108_GEN_PRE_CON_CASTLE,USA_HI_20161108_GEN_USS_DEM_SCHATZ,USA_HI_20161108_GEN_USS_REP_CARROLL,USA_HI_20161108_GEN_USS_SHO_GIUFFRE,USA_HI_20161108_GEN_USS_LIB_KOKOWSKI,USA_HI_20161108_GEN_USS_CON_ALLISON
0,_001,_01-01,_01-01,1063,347,84,65,20,1228,266,4,31,31
0,_001,_01-02,_01-02,356,137,32,21,6,418,100,3,11,10
0,_001,_01-03,_01-03,441,119,21,23,6,478,83,3,14,13
0,_001,_01-04,_01-04,144,48,9,10,1,158,38,1,5,2
0,_001,_01-05,_01-05,741,248,42,36,14,823,174,5,17,20
0,_001,_01-06,_01-06,599,215,32,41,8,682,137,4,18,20
0,_001,_01-07,_01-07,640,204,48,25,11,692,138,9,13,36
0,_001,_01-08,_01-08,2018,668,108,116,34,2317,438,17,55,49
0,_001,_01-09,_01-09,769,303,39,50,20,927,182,7,17,22
0,_001,_01-10,_01-10,0,0,0,0,0,0,0,0,0,0
0,_001,_01-11,_01-11,0,0,0,0,0,0,0,0,0,0
0,_001,_02-01,_02-01,1606,474,108,69,30,1773,318,14,41,67
0,_001,_02-02,_02-02,611,192,40,49,17,676,140,3,21,41
0,_001,_02-03,_02-03,602,163,37,22,14,682,96,1,13,34
0,_001,_02-04,_02-04,2272,744,83,140,43,2677,453,3,37,44
0,_001,_02-05,_02-05,1670,412,37,82,29,1900,250,5,20,24
0,_001,_03-01,_03-01,1685,597,64,94,34,2001,349,4,31,45
0,_001,_03-02,_03-02,202,62,14,10,2,232,42,1,2,8
0,_001,_03-03,_03-03,41,37,2,6,3,59,24,0,0,3
0,_001,_03-04,_03-04,1817,694,149,127,39,2069,505,11,67,77
0,_001,_03-05,_03-05,917,426,86,61,29,1071,288,12,41,55
0,_001,_03-06,_03-06,897,273,90,36,7,960,222,9,41,25
0,_001,_03-07,_03-07,359,86,6,3,4,390,44,1,8,11
0,_001,_04-01,_04-01,2178,1130,171,127,63,2575,776,19,75,130
0,_001,_04-02,_04-02,798,352,79,54,19,945,240,2,34,50
0,_001,_04-03,_04-03,1174,388,211,47,23,1361,256,13,49,90
0,_001,_04-04,_04-04,1098,379,153,56,13,1208,256,12,54,71
0,_001,_04-05,_04-05,0,0,0,0,0,0,0,0,0,0
0,_001,_05-01,_05-01,501,200,46,28,15,573,156,5,22,14
0,_001,_05-02,_05-02,609,448,73,36,12,695,324,11,46,45
0,_001,_05-03,_05-03,214,81,25,11,3,251,49,3,8,9
0,_001,_05-04,_05-04,317,82,23,14,4,341,57,3,12,12
0,_001,_05-05,_05-05,303,112,26,14,4,356,63,3,10,13
0,_001,_05-06,_05-06,1273,438,88,58,16,1393,339,4,37,42
0,_001,_05-07,_05-07,885,358,42,49,13,966,287,3,17,46
0,_001,_05-08,_05-08,1348,1000,67,91,14,1450,864,10,57,62
0,_001,_05-09,_05-09,0,0,0,0,0,0,0,0,0,0
0,_001,_05-10,_05-10,0,0,0,0,0,0,0,0,0,0
0,_001,_05-11,_05-11,0,0,0,0,0,0,0,0,0,0
0,_001,_06-01,_06-01,401,237,18,30,6,445,203,2,7,20
0,_001,_06-02,_06-02,1262,874,85,115,25,1384,743,12,62,78
0,_001,_06-03,_06-03,1019,705,65,57,18,1190,545,7,31,32
0,_001,_06-04,_06-04,1312,839,84,103,26,1584,579,9,54,62
0,_001,_06-05,_06-05,1048,642,76,68,24,1202,487,11,39,53
0,_001,_07-01,_07-01,523,355,31,48,6,610,296,2,18,24
0,_001,_07-02,_07-02,1548,994,83,114,34,1720,825,16,52,73
0,_001,_07-03,_07-03,1575,566,118,101,24,1763,448,4,39,52
0,_001,_07-04,_07-04,1767,624,115,120,37,2004,514,6,38,56
0,_001,_07-05,_07-05,656,248,42,43,15,774,172,1,12,24
0,_001,_07-06,_07-06,0,0,0,0,0,0,0,0,0,0
0,_001,_07-07,_07-07,0,0,0,0,0,0,0,0,0,0
0,_003,_17-01,_17-01,1847,827,63,96,22,2164,599,5,22,21
0,_003,_17-02,_17-02,1239,751,31,90,5,1393,628,1,28,27
0,_003,_17-03,_17-03,2704,1516,71,143,23,3083,1187,6,41,43
0,_003,_17-04,_17-04,1477,743,50,97,19,1634,655,8,27,27
0,_003,_18-01,_18-01,2396,1165,72,119,16,2661,936,9,32,32
0,_003,_18-02,_18-02,880,396,24,40,9,978,309,1,18,11
0,_003,_18-03,_18-03,1832,997,63,133,19,2137,790,6,34,21
0,_003,_18-04,_18-04,2618,1264,58,153,23,2938,984,9,44,39
0,_003,_19-01,_19-01,2156,1129,57,126,14,2397,911,12,48,37
0,_003,_19-02,_19-02,545,193,30,40,5,596,158,3,21,14
0,_003,_19-03,_19-03,1668,667,58,90,14,1871,487,8,49,29
0,_003,_19-04,_19-04,1471,594,53,88,14,1624,424,12,51,27
0,_003,_19-05,_19-05,847,307,19,36,12,934,225,1,17,10
0,_003,_20-01,_20-01,2365,869,80,119,26,2542,706,7,47,42
0,_003,_20-02,_20-02,1630,521,76,75,29,1805,377,13,39,37
0,_003,_20-03,_20-03,1575,554,68,67,24,1754,399,7,33,28
0,_003,_20-04,_20-04,1450,523,55,71,7,1586,402,7,22,27
0,_003,_21-01,_21-01,279,94,15,12,3,299,71,0,4,7
0,_003,_21-02,_21-02,1058,340,52,48,19,1165,244,0,30,26
0,_003,_21-03,_21-03,2563,889,123,117,19,2736,663,10,73,78
0,_003,_21-04,_21-04,917,258,39,44,11,986,197,6,25,21
0,_003,_22-01,_22-01,1829,964,79,126,17,1893,788,17,80,88
0,_003,_22-02,_22-02,1873,1043,69,121,12,2030,827,9,59,60
0,_003,_22-03,_22-03,529,288,11,28,3,582,222,0,3,8
0,_003,_23-01,_23-01,105,35,10,5,0,124,22,0,2,4
0,_003,_23-02,_23-02,1936,601,101,104,18,2092,469,8,45,56
0,_003,_23-03,_23-03,249,94,5,12,2,268,71,0,8,3
0,_003,_23-04,_23-04,1864,650,97,97,16,2036,518,7,42,31
0,_003,_23-05,_23-05,2822,861,88,124,20,3064,659,5,30,33
0,_003,_24-01,_24-01,1013,390,33,57,22,1119,285,7,25,25
0,_003,_24-02,_24-02,1925,721,83,108,30,2131,547,9,56,44
0,_003,_24-03,_24-03,1626,620,70,85,7,1740,522,6,22,42
0,_003,_24-04,_24-04,1399,500,56,60,20,1479,394,11,37,40
0,_003,_25-01,_25-01,180,58,7,5,2,194,45,1,2,3
0,_003,_25-02,_25-02,2278,809,98,120,22,2443,652,10,44,67
0,_003,_25-03,_25-03,153,66,6,13,2,181,39,0,4,6
0,_003,_25-04,_25-04,2330,956,97,162,28,2646,694,6,60,50
0,_003,_25-05,_25-05,1123,561,40,58,15,1300,394,4,27,21
0,_003,_26-01,_26-01,1599,607,64,65,13,1668,448,16,40,55
0,_003,_26-02,_26-02,77,63,1,3,0,89,43,1,3,1
0,_003,_26-03,_26-03,1110,437,38,47,10,1187,355,4,19,26
0,_003,_26-04,_26-04,126,79,2,7,2,149,54,1,3,2
0,_003,_26-05,_26-05,120,57,5,8,3,131,45,0,6,4
0,_003,_26-06,_26-06,1314,541,38,64,16,1381,428,5,42,37
0,_003,_26-07,_26-07,833,407,32,47,8,895,317,3,30,30
0,_003,_27-01,_27-01,152,63,9,4,2,178,40,2,5,3
0,_003,_27-02,_27-02,1209,552,30,61,14,1338,378,10,28,43
0,_003,_27-03,_27-03,2924,1137,93,147,33,3330,769,18,63,58
0,_003,_27-04,_27-04,1052,473,31,57,11,1225,318,2,22,21
0,_003,_27-05,_27-05,115,27,5,4,1,126,21,0,0,1
0,_003,_28-01,_28-01,845,278,24,29,12,949,173,2,11,26
0,_003,_28-02,_28-02,590,242,31,23,10,678,153,6,15,15
