IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_HI_20201103_GEN_PRE_DEM_BIDEN,USA_HI_20201103_GEN_PRE_REP_TRUMP,USA_HI_20201103_GEN_PRE_LIB_JORGENSEN,USA_HI_20201103_GEN_PRE_GRE_HAWKINS,USA_HI_20201103_GEN_PRE_CON_BLANKENSHIP,USA_HI_20201103_GEN_PRE_AMS_PIERCE
0,_001,_01-01,_01-01,1415,582,21,21,7,4
0,_001,_01-02,_01-02,542,207,6,5,1,0
0,_001,_01-03,_01-03,579,211,11,11,1,2
0,_001,_01-04,_01-04,186,67,4,3,0,2
0,_001,_01-05,_01-05,1050,330,14,12,0,1
0,_001,_01-06,_01-06,794,308,16,9,1,4
0,_001,_01-07,_01-07,862,298,19,14,2,4
0,_001,_01-08,_01-08,2657,903,33,29,4,7
0,_001,_01-09,_01-09,1085,472,9,3,5,5
0,_001,_01-10,_01-10,0,0,0,0,0,0
0,_001,_01-11,_01-11,0,0,0,0,0,0
0,_001,_02-01,_02-01,2113,697,34,25,4,4
0,_001,_02-02,_02-02,787,364,15,13,2,4
0,_001,_02-03,_02-03,856,276,8,8,2,7
0,_001,_02-04,_02-04,2998,1191,30,27,7,13
0,_001,_02-05,_02-05,2119,589,15,8,5,4
0,_001,_03-01,_03-01,2242,865,35,15,5,14
0,_001,_03-02,_03-02,262,91,5,7,1,2
0,_001,_03-03,_03-03,74,78,3,1,0,0
0,_001,_03-04,_03-04,2748,1241,38,50,7,13
0,_001,_03-05,_03-05,1385,709,32,34,5,8
0,_001,_03-06,_03-06,1279,382,26,18,1,5
0,_001,_03-07,_03-07,377,160,2,3,1,0
0,_001,_04-01,_04-01,3479,1831,58,51,9,13
0,_001,_04-02,_04-02,1215,622,20,23,3,6
0,_001,_04-03,_04-03,1947,781,41,52,6,9
0,_001,_04-04,_04-04,1090,436,30,24,1,8
0,_001,_04-05,_04-05,0,0,0,0,0,0
0,_001,_05-01,_05-01,720,342,12,16,1,2
0,_001,_05-02,_05-02,1013,705,19,17,4,7
0,_001,_05-03,_05-03,384,168,6,8,1,0
0,_001,_05-04,_05-04,415,144,10,4,1,2
0,_001,_05-05,_05-05,384,156,6,6,1,1
0,_001,_05-06,_05-06,1695,687,17,24,3,6
0,_001,_05-07,_05-07,1292,515,32,10,3,2
0,_001,_05-08,_05-08,1956,1253,35,21,3,4
0,_001,_05-09,_05-09,0,0,0,0,0,0
0,_001,_05-10,_05-10,0,0,0,0,0,0
0,_001,_05-11,_05-11,0,0,0,0,0,0
0,_001,_06-01,_06-01,611,310,11,8,0,1
0,_001,_06-02,_06-02,1900,1409,56,27,4,4
0,_001,_06-03,_06-03,1595,966,31,27,2,7
0,_001,_06-04,_06-04,2075,1428,46,42,7,14
0,_001,_06-05,_06-05,1612,949,39,19,6,4
0,_001,_07-01,_07-01,918,540,26,12,2,5
0,_001,_07-02,_07-02,2339,1419,55,21,3,9
0,_001,_07-03,_07-03,2246,873,41,33,4,3
0,_001,_07-04,_07-04,2470,914,45,33,8,6
0,_001,_07-05,_07-05,965,428,15,11,1,4
0,_001,_07-06,_07-06,0,0,0,0,0,0
0,_001,_07-07,_07-07,0,0,0,0,0,0
0,_003,_17-01,_17-01,2482,1028,22,15,12,5
0,_003,_17-02,_17-02,1724,959,22,6,1,3
0,_003,_17-03,_17-03,3724,1866,48,33,4,5
0,_003,_17-04,_17-04,2074,951,21,15,2,6
0,_003,_18-01,_18-01,3232,1481,41,17,8,3
0,_003,_18-02,_18-02,1093,426,7,13,2,5
0,_003,_18-03,_18-03,2504,1216,27,9,3,10
0,_003,_18-04,_18-04,3382,1441,35,14,9,8
0,_003,_19-01,_19-01,2886,1290,39,11,4,6
0,_003,_19-02,_19-02,715,240,4,7,0,1
0,_003,_19-03,_19-03,2243,857,24,18,3,11
0,_003,_19-04,_19-04,1954,764,20,19,1,8
0,_003,_19-05,_19-05,1183,392,9,4,4,2
0,_003,_20-01,_20-01,3197,1066,39,21,5,7
0,_003,_20-02,_20-02,2142,757,16,24,5,9
0,_003,_20-03,_20-03,2204,803,20,12,4,6
0,_003,_20-04,_20-04,1926,654,11,13,3,3
0,_003,_21-01,_21-01,387,142,9,2,0,0
0,_003,_21-02,_21-02,1445,525,15,13,5,3
0,_003,_21-03,_21-03,3532,1368,43,33,5,5
0,_003,_21-04,_21-04,1152,497,17,10,4,5
0,_003,_22-01,_22-01,2652,1360,41,26,6,15
0,_003,_22-02,_22-02,2666,1522,47,21,4,4
0,_003,_22-03,_22-03,849,367,11,1,0,0
0,_003,_23-01,_23-01,157,56,3,0,0,0
0,_003,_23-02,_23-02,2467,797,32,28,2,7
0,_003,_23-03,_23-03,323,141,1,3,0,1
0,_003,_23-04,_23-04,2447,685,26,22,5,2
0,_003,_23-05,_23-05,3441,951,21,24,3,5
0,_003,_24-01,_24-01,1384,618,11,17,4,4
0,_003,_24-02,_24-02,2598,1110,36,23,5,8
0,_003,_24-03,_24-03,2022,750,34,23,2,3
0,_003,_24-04,_24-04,1441,568,11,15,3,4
0,_003,_25-01,_25-01,251,89,2,2,0,1
0,_003,_25-02,_25-02,3000,1085,41,31,6,9
0,_003,_25-03,_25-03,206,121,2,6,0,1
0,_003,_25-04,_25-04,3175,1256,50,33,10,7
0,_003,_25-05,_25-05,1441,604,13,11,4,3
0,_003,_26-01,_26-01,2112,1041,22,20,3,7
0,_003,_26-02,_26-02,326,154,5,3,1,0
0,_003,_26-03,_26-03,1957,898,22,12,2,1
0,_003,_26-04,_26-04,187,102,3,3,0,0
0,_003,_26-05,_26-05,171,68,1,0,0,0
0,_003,_26-06,_26-06,3120,1231,40,22,9,8
0,_003,_26-07,_26-07,1127,524,12,12,2,0
0,_003,_27-01,_27-01,206,81,5,1,1,1
0,_003,_27-02,_27-02,1439,932,15,15,1,3
0,_003,_27-03,_27-03,3770,1469,40,32,3,10
0,_003,_27-04,_27-04,1319,597,20,6,3,6
0,_003,_27-05,_27-05,119,72,4,2,1,0
0,_003,_28-01,_28-01,957,656,15,5,3,3
0,_003,_28-02,_28-02,735,452,4,5,2,0
0,_003,_28-03,_28-03,1929,1409,40,24,4,3
0,_003,_28-04,_28-04,451,321,2,3,0,4
0,_003,_29-01,_29-01,1514,803,17,17,4,6
0,_003,_29-02,_29-02,954,721,17,6,2,3
0,_003,_29-03,_29-03,775,683,6,12,3,1
0,_003,_29-04,_29-04,372,242,2,5,0,0
0,_003,_30-01,_30-01,740,616,11,4,2,1
0,_003,_30-02,_30-02,1154,998,7,9,1,7
0,_003,_30-03,_30-03,477,366,20,0,0,1
0,_003,_30-04,_30-04,497,379,7,5,2,3
0,_003,_31-01,_31-01,1125,574,4,8,1,3
0,_003,_31-02,_31-02,288,178,18,3,1,1
0,_003,_31-03,_31-03,2041,1350,35,19,6,6
0,_003,_31-04,_31-04,387,207,4,4,0,4
0,_003,_31-05,_31-05,1621,949,18,13,3,4
0,_003,_31-06,_31-06,0,0,0,0,0,0
0,_003,_32-01,_32-01,1125,478,13,4,1,1
0,_003,_32-02,_32-02,2752,1504,32,27,7,7
0,_003,_32-03,_32-03,2742,1601,27,23,7,6
0,_003,_33-01,_33-01,1654,762,15,8,5,3
0,_003,_33-02,_33-02,104,36,2,1,1,0
0,_003,_33-03,_33-03,80,33,0,0,0,0
0,_003,_33-04,_33-04,2027,990,27,14,6,3
0,_003,_33-05,_33-05,1865,1004,29,11,1,2
0,_003,_33-06,_33-06,2924,1253,22,5,4,8
0,_003,_34-01,_34-01,2906,1751,47,26,8,4
0,_003,_34-02,_34-02,3020,1294,25,10,6,8
0,_003,_34-03,_34-03,2106,1281,18,20,5,10
0,_003,_35-01,_35-01,373,286,9,6,3,1
0,_003,_35-02,_35-02,2448,1309,39,30,6,15
0,_003,_35-03,_35-03,229,244,5,1,1,4
0,_003,_35-04,_35-04,933,787,13,8,3,3
0,_003,_35-05,_35-05,363,180,2,1,0,3
0,_003,_35-06,_35-06,696,559,7,7,0,2
0,_003,_35-07,_35-07,0,0,0,0,0,0
0,_003,_36-01,_36-01,3441,1790,34,12,11,11
0,_003,_36-02,_36-02,3302,1875,38,28,3,11
0,_003,_36-03,_36-03,1814,1274,36,16,11,8
0,_003,_37-01,_37-01,2203,1196,25,24,9,5
0,_003,_37-02,_37-02,2537,1454,34,21,5,6
0,_003,_37-03,_37-03,2284,1372,31,22,5,8
0,_003,_37-04,_37-04,1714,1075,22,20,7,8
0,_003,_37-05,_37-05,0,0,0,0,0,0
0,_003,_38-01,_38-01,1721,1293,17,14,5,7
0,_003,_38-02,_38-02,1501,1274,22,10,3,4
0,_003,_38-03,_38-03,804,617,8,8,4,4
0,_003,_38-04,_38-04,276,221,5,2,1,0
0,_003,_39-01,_39-01,316,274,5,2,2,2
0,_003,_39-02,_39-02,3191,2508,43,20,9,9
0,_003,_39-03,_39-03,1553,1550,22,12,2,7
0,_003,_39-04,_39-04,1234,1094,33,4,6,6
0,_003,_39-05,_39-05,3,9,0,0,0,0
0,_003,_40-01,_40-01,346,336,6,5,3,3
0,_003,_40-02,_40-02,2102,2111,29,26,5,1
0,_003,_40-03,_40-03,2186,2202,34,26,12,12
0,_003,_40-04,_40-04,49,75,0,1,0,1
0,_003,_41-01,_41-01,44,53,1,0,0,1
