IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_IA_20080103_PRI_PRE_REP_GIULIANI,USA_IA_20080103_PRI_PRE_REP_HUCKABEE,USA_IA_20080103_PRI_PRE_REP_MCCAIN,USA_IA_20080103_PRI_PRE_REP_PAUL,USA_IA_20080103_PRI_PRE_REP_ROMNEY,USA_IA_20080103_PRI_PRE_REP_THOMPSON,USA_IA_20080103_PRI_PRE_REP_OTHERS
0,Adair,AD; SI; CA; WL; EU; PR; N SS,1NW,0,8,2,3,5,19,0
0,Adair,FN; RL; S SS; JA; WA; BR,3SW,2,18,2,1,13,8,0
0,Adair,OR; ORC; SE GF; GF Twp; S LE; UN; S GA,4SE,1,12,2,1,13,8,0
0,Adair,ST; LN; JF; HA; GV; N LE; N GA,2NE,1,17,3,2,6,17,0
0,Adair,SW & N GF,5GF,2,18,5,7,3,15,0
0,Adams,Carbon,CB,1,13,3,3,5,5,0
0,Adams,Corning 1A,CG1A,0,11,1,0,4,0,0
0,Adams,Corning 1B,CG1B,0,2,0,0,1,0,0
0,Adams,Corning 2A,CG2A,0,3,9,0,3,0,1
0,Adams,Corning 2B,CG2B,1,3,0,2,0,0,0
0,Adams,Corning 3A,CG3A,0,4,2,1,8,0,0
0,Adams,Corning 3B,CG3B,1,3,0,2,2,3,0
0,Adams,Nodaway,NW,0,8,2,0,8,5,1
0,Adams,Prescott,PS,0,11,0,0,1,5,0
0,Adams,Quincy West Jasper,QC,1,6,2,1,4,1,0
0,Adams,SE Adams,AD,0,12,2,5,8,7,0
0,Allamakee,FV/TL/HF CITY,PCT 6,0,3,2,4,9,0,0
0,Allamakee,LF/CN/LS/LS CITY,PCT 7,2,27,10,9,15,4,1
0,Allamakee,PC/LT/WV CITY,PCT 5,0,2,2,14,6,3,0
0,Allamakee,PO/FK,PCT 3,1,4,3,8,10,1,0
0,Allamakee,PV CITY,PCT 4,2,9,6,5,21,3,0
0,Allamakee,UC/IA/NA CITY,PCT 8,1,16,8,1,12,5,0
0,Allamakee,UP/MK/FC/JF/LL,PCT 2,0,20,9,32,21,4,0
0,Allamakee,WK 1 CITY,PCT 9,5,14,7,4,12,1,0
0,Allamakee,WK 2 CITY,PCT 10,0,6,5,7,1,5,1
0,Allamakee,WK 3 CITY,PCT 11,0,7,4,3,9,3,4
0,Allamakee,WL/HV,PCT 1,0,5,2,1,1,0,0
0,Appanoose,Bellair Lincoln,BL,2,20,0,2,2,4,1
0,Appanoose,Caldwell,CW,0,4,0,1,0,1,0
0,Appanoose,Centerville W1,CV1,0,33,6,5,2,5,0
0,Appanoose,Centerville W2,CV2,8,34,13,5,6,6,0
0,Appanoose,Centerville W3,CV3,3,20,11,1,4,9,0
0,Appanoose,Johns Independence,JO,1,21,3,3,3,4,0
0,Appanoose,Pleasant Franklin,PS,0,8,0,1,2,2,0
0,Appanoose,Taylor Chariton,TY,2,35,2,3,10,1,0
0,Appanoose,Udell,UD,0,11,0,1,2,4,0
0,Appanoose,Union,UN,0,4,0,0,1,2,0
0,Appanoose,Vermillion Douglas Sharon,VM,0,34,0,14,14,15,1
0,Appanoose,Walnut,WA,0,12,2,1,4,3,0
0,Appanoose,Washington Wells,WS,0,26,2,4,3,6,0
0,Audubon,Precinct 1,1,2,28,14,6,19,5,0
0,Audubon,Precinct 2,2,0,21,6,2,17,4,0
