IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_IA_20120103_PRI_PRE_REP_PAUL,USA_IA_20120103_PRI_PRE_REP_BACHMANN,USA_IA_20120103_PRI_PRE_REP_GINGRICH,USA_IA_20120103_PRI_PRE_REP_SANTORUM,USA_IA_20120103_PRI_PRE_REP_HUNTSMAN,USA_IA_20120103_PRI_PRE_REP_OTHER,USA_IA_20120103_PRI_PRE_REP_ROEMER,USA_IA_20120103_PRI_PRE_REP_ROMNEY,USA_IA_20120103_PRI_PRE_REP_PERRY,USA_IA_20120103_PRI_PRE_REP_CAIN
0,Adair,AD; SI; CA; WL; EU; PR; N SS,1NW,7,4,11,10,0,0,0,8,6,0
0,Adair,FN; RL; S SS; JA; WA; BR,3SW,9,6,16,14,0,0,0,3,7,0
0,Adair,OR; ORC; SE GF; GF Twp; S LE; UN; S GA,4SE,4,6,6,15,0,0,0,13,6,0
0,Adair,ST; LN; JF; HA; GV; N LE; N GA,2NE,8,5,3,15,1,0,0,6,13,0
0,Adair,SW & N GF,5GF,14,5,8,12,0,0,0,13,15,0
0,Adams,Carbon,CB,7,0,5,12,0,0,0,3,1,0
0,Adams,Corning 1A,CG1A,7,0,1,6,0,0,0,4,1,0
0,Adams,Corning 1B,CG1B,3,0,0,0,0,0,0,0,0,0
0,Adams,Corning 2A,CG2A,2,0,2,0,0,0,0,5,0,0
0,Adams,Corning 2B,CG2B,5,1,0,1,0,0,0,0,1,0
0,Adams,Corning 3A,CG3A,4,0,0,0,0,0,0,6,2,0
0,Adams,Corning 3B,CG3B,9,0,1,6,0,0,0,1,2,0
0,Adams,Nodaway,NW,1,1,5,0,0,0,0,2,1,0
0,Adams,Prescott,PS,2,3,2,1,0,0,0,3,2,0
0,Adams,Quincy West Jasper,QC,7,0,2,8,0,0,0,3,2,0
0,Adams,SE Adams,AD,8,4,6,13,0,0,0,5,2,0
0,Allamakee,FV/TL/HF CITY,PCT 6,7,0,6,9,0,0,0,6,0,0
0,Allamakee,LF/CN/LS/LS CITY,PCT 7,20,2,21,7,0,0,0,4,10,0
0,Allamakee,PC/LT/WV CITY,PCT 5,20,0,7,9,0,0,0,5,1,0
0,Allamakee,PO/FK,PCT 3,4,1,5,3,0,0,0,6,1,0
0,Allamakee,PV CITY,PCT 4,7,1,2,3,0,0,0,21,1,0
0,Allamakee,UC/IA/NA CITY,PCT 8,4,1,3,4,0,0,0,16,3,0
0,Allamakee,UP/MK/FC/JF/LL,PCT 2,53,2,18,14,0,0,0,28,7,0
0,Allamakee,WK 1 CITY,PCT 9,8,1,6,12,0,0,0,5,1,0
0,Allamakee,WK 2 CITY,PCT 10,18,3,0,3,0,0,0,8,3,0
0,Allamakee,WK 3 CITY,PCT 11,16,5,8,6,0,0,0,5,1,0
0,Allamakee,WL/HV,PCT 1,0,2,6,7,0,0,0,2,0,0
0,Appanoose,Bellair Lincoln,BL,0,0,8,7,0,0,0,0,6,0
0,Appanoose,Caldwell,CW,3,2,0,6,0,0,0,2,2,0
0,Appanoose,Centerville W1,CV1,9,3,1,12,0,0,0,2,13,0
0,Appanoose,Centerville W2,CV2,13,1,12,14,0,0,0,8,4,0
0,Appanoose,Centerville W3,CV3,13,0,5,11,0,0,0,8,15,0
0,Appanoose,Johns Independence,JO,4,2,7,3,0,0,0,6,13,0
0,Appanoose,Pleasant Franklin,PS,10,0,5,9,0,0,0,2,2,0
0,Appanoose,Taylor Chariton,TY,11,0,9,25,0,0,0,7,0,0
0,Appanoose,Udell,UD,2,5,0,8,0,0,0,4,6,0
0,Appanoose,Union,UN,2,0,3,3,0,0,0,0,3,0
0,Appanoose,Vermillion Douglas Sharon,VM,8,8,13,20,0,0,0,20,7,0
0,Appanoose,Walnut,WA,3,1,3,7,0,0,0,6,6,0
0,Appanoose,Washington Wells,WS,7,3,6,21,1,1,0,2,13,0
0,Audubon,Precinct 1,1,20,8,14,23,0,0,0,20,14,0
0,Audubon,Precinct 2,2,10,2,1,10,0,0,0,18,5,0
0,Audubon,Precinct 3,3,3,2,4,7,0,0,0,2,0,0
0,Audubon,Precinct 4,4,8,5,13,14,0,0,0,8,12,0
0,Benton,Precinct Bg,BG,19,3,3,16,1,0,0,7,13,0
0,Benton,Precinct Bn,BN,12,14,10,21,0,0,0,19,20,0
0,Benton,Precinct Bp1,BP1,12,3,6,5,0,0,0,9,2,0
0,Benton,Precinct Bp2,BP2,7,0,4,5,0,0,0,3,2,0
0,Benton,Precinct Bp3,BP3,5,0,9,7,0,0,0,8,3,0
0,Benton,Precinct Br,BR,4,5,1,18,0,0,0,1,8,0
0,Benton,Precinct Ed,ED,14,8,8,16,0,0,0,12,19,0
0,Benton,Precinct El,EL,15,1,4,21,0,0,0,5,10,0
0,Benton,Precinct Fl,FL,19,4,10,19,0,0,0,5,3,0
0,Benton,Precinct Fr,FR,19,1,5,31,3,0,0,30,34,0
0,Benton,Precinct Ho,HO,5,0,2,13,0,0,0,3,12,0
0,Benton,Precinct Ia,IA,12,11,15,23,0,0,0,11,17,0
0,Benton,Precinct Ka,KA,3,1,4,6,0,0,0,1,2,0
0,Benton,Precinct Po,PO,16,8,5,24,0,0,0,16,2,0
0,Benton,Precinct Vt1,VT1,4,0,17,13,0,0,0,12,2,0
0,Benton,Precinct Vt2,VT2,6,1,2,9,0,0,0,2,2,0
0,Benton,Precinct Vt3,VT3,13,3,6,17,0,0,0,14,11,0
0,Benton,Precinct Vt4,VT4,3,1,4,12,1,0,0,15,2,0
0,Benton,Precinct Wa,WA,14,2,6,14,0,0,0,11,4,0
0,Black Hawk,Barclay Twp/Dunkerton,AC00,16,3,4,4,0,0,0,7,2,0
0,Black Hawk,Bennington Twp,B000,9,3,4,6,0,0,0,4,2,0
0,Black Hawk,Big/Spring Creek Twps,CQ00,8,10,10,16,0,0,0,14,7,1
0,Black Hawk,Black Hawk Twp,D000,15,4,23,46,0,0,0,25,14,0
0,Black Hawk,Cedar Twp,E000,6,1,1,6,0,0,0,1,3,0
0,Black Hawk,Eagle/Orange Twps,GO00,12,3,6,29,0,0,0,8,6,0
0,Black Hawk,Elk Run Heights,I000,4,2,3,0,0,0,0,2,2,0
0,Black Hawk,Evansdale Ward 1,J100,3,2,0,0,0,0,0,2,0,0
0,Black Hawk,Evansdale Ward 2,J200,3,0,0,2,0,0,0,1,2,0
0,Black Hawk,Evansdale Ward 3,J300,2,0,0,0,0,0,0,0,0,0
0,Black Hawk,Evansdale Ward 4,J400,8,2,7,4,0,0,0,1,0,0
0,Black Hawk,Lester (Rural Only),L000,6,0,2,4,0,0,0,2,2,0
0,Black Hawk,Lincoln Twp,M000,4,2,2,3,0,0,0,2,3,0
0,Black Hawk,Mt Vernon Twp,N000,13,2,6,16,0,0,0,4,7,0
0,Black Hawk,Poyner P1/ E Wloo P1 Twps,PH01,11,4,8,5,0,0,0,6,0,0
0,Black Hawk,Poyner P2/Fox Twps,PK02,6,6,5,16,0,0,0,10,1,0
0,Black Hawk,Precinct W101,W101,27,13,10,10,0,0,0,12,7,0
0,Black Hawk,Precinct W102,W102,12,3,7,19,1,0,0,4,10,0
0,Black Hawk,Precinct W103,W103,22,5,5,7,0,0,0,4,7,0
0,Black Hawk,Precinct W104,W104,14,2,18,10,0,0,0,10,3,0
0,Black Hawk,Precinct W105,W105,7,4,8,12,0,0,0,9,0,0
0,Black Hawk,Precinct W106,W106,36,12,28,33,0,0,0,42,10,0
0,Black Hawk,Precinct W201,W201,6,2,1,8,0,0,0,19,0,0
0,Black Hawk,Precinct W202,W202,7,2,1,7,0,0,0,3,2,0
0,Black Hawk,Precinct W203,W203,10,1,6,10,0,0,0,5,5,0
0,Black Hawk,Precinct W204,W204,15,8,16,15,0,0,0,8,8,0
0,Black Hawk,Precinct W205,W205,12,5,13,8,1,0,0,13,4,0
0,Black Hawk,Precinct W206,W206,20,18,23,15,0,0,0,35,1,0
0,Black Hawk,Precinct W301,W301,8,4,12,7,0,0,0,15,4,0
0,Black Hawk,Precinct W302,W302,8,4,8,8,0,0,0,3,2,0
0,Black Hawk,Precinct W303,W303,7,1,0,5,0,0,0,3,0,0
0,Black Hawk,Precinct W304,W304,1,3,0,1,0,0,0,0,1,0
0,Black Hawk,Precinct W305,W305,23,1,6,5,0,0,0,6,6,0
0,Black Hawk,Precinct W306,W306,4,1,0,8,0,0,0,6,1,0
0,Black Hawk,Precinct W401,W401,2,0,1,2,0,0,0,3,0,0
0,Black Hawk,Precinct W402,W402,6,0,2,2,1,0,0,0,1,0
0,Black Hawk,Precinct W403,W403,4,1,0,6,0,0,0,0,3,0
0,Black Hawk,Precinct W404,W404,4,1,4,0,0,0,0,0,1,0
0,Black Hawk,Precinct W405,W405,7,3,4,2,0,0,2,3,1,0
0,Black Hawk,Precinct W406,W406,1,2,4,6,0,0,0,2,2,0
0,Black Hawk,Precinct W501,W501,11,1,4,5,0,0,0,0,1,0
0,Black Hawk,Precinct W502,W502,24,6,4,5,0,0,0,2,2,0
0,Black Hawk,Precinct W503,W503,7,2,4,7,0,0,0,4,5,0
0,Black Hawk,Precinct W504,W504,8,5,16,16,0,0,0,15,6,0
0,Black Hawk,Precinct W505,W505,23,4,25,23,1,0,0,59,10,0
0,Black Hawk,Precinct W506,W506,20,8,23,16,1,0,0,41,1,0
0,Black Hawk,Precinct X101,X101,23,9,12,15,0,0,0,8,1,0
0,Black Hawk,Precinct X102,X102,19,8,13,14,0,0,0,30,7,0
0,Black Hawk,Precinct X103,X103,29,3,15,7,1,0,0,15,3,0
0,Black Hawk,Precinct X201,X201,37,11,11,27,3,0,0,16,4,0
0,Black Hawk,Precinct X202,X202,20,1,10,14,2,0,1,12,4,0
0,Black Hawk,Precinct X203,X203,43,19,19,39,1,0,0,32,6,0
0,Black Hawk,Precinct X301,X301,30,6,34,36,3,1,0,69,6,0
