IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_IA_20201103_GEN_PRE_REP_TRUMP,USA_IA_20201103_GEN_PRE_DEM_BIDEN,USA_IA_20201103_GEN_PRE_LIB_JORGENSEN,USA_IA_20201103_GEN_PRE_GRE_HAWKINS,USA_IA_20201103_GEN_PRE_CON_BLANKENSHIP,USA_IA_20201103_GEN_PRE_ALL_FUENTE,USA_IA_20201103_GEN_PRE_GEN_KING,USA_IA_20201103_GEN_PRE_IND_WEST,USA_IA_20201103_GEN_PRE_IND_PIERCE,USA_IA_20201103_GEN_PRE_OTH_WRITEIN,USA_IA_20201103_GEN_USS_REP_ERNST,USA_IA_20201103_GEN_USS_DEM_GREENFIELD,USA_IA_20201103_GEN_USS_LIB_STEWART,USA_IA_20201103_GEN_USS_IND_HERZOG,USA_IA_20201103_GEN_USS_OTH_WRITEIN
0,_Adair,_1NW Adair,_1NW,628,215,7,0,0,2,0,0,0,1,613,212,15,6,0
0,_Adair,_2NE Stuart,_2NE,588,250,10,0,3,0,0,2,0,1,554,258,21,10,2
0,_Adair,_3SW Fontanelle,_3SW,610,198,2,0,1,2,0,2,0,0,589,199,20,3,0
0,_Adair,_4SE Orient,_4SE,559,234,6,2,0,0,0,2,0,3,537,235,13,13,1
0,_Adair,_5GF Greenfield,_5GF,532,301,10,2,0,2,0,1,1,0,516,303,20,4,0
0,_Adams,_Adams 1,_DISTRICT1,240,112,15,0,0,0,0,1,0,1,239,108,16,6,1
0,_Adams,_Adams 2,_DISTRICT2,299,131,2,0,2,1,0,0,0,0,286,134,11,3,0
0,_Adams,_Adams 3,_DISTRICT3,317,145,3,0,0,0,0,0,0,2,311,143,9,3,1
0,_Adams,_Adams 4,_DISTRICT4,326,115,3,1,1,1,0,1,0,0,324,121,4,2,0
0,_Adams,_Adams 5,_DISTRICT5,348,87,4,0,0,0,0,0,0,2,337,88,6,5,1
0,_Allamakee,_Pct 01 - WL/HV,_HANOVER,179,88,0,0,0,1,0,1,0,0,164,91,8,2,0
0,_Allamakee,_Pct 02 - FC/JF/LL/MK/UP,_FRENCHCREEK,947,390,13,0,3,1,0,1,1,1,911,399,20,16,1
0,_Allamakee,_Pct 03 - PO/FK,_FRANKLIN,285,93,2,0,1,0,0,0,0,0,277,90,6,5,0
0,_Allamakee,_Pct 04 - PV City,_POSTVILLE,330,234,4,0,1,1,0,0,1,0,309,217,24,7,0
0,_Allamakee,_Pct 05 - LT/PC/WV City,_WATERVILLE,308,122,6,2,0,0,1,0,2,1,300,122,17,1,0
0,_Allamakee,_Pct 06 - FV/TL/HF City,_HARPERSFERRY,333,208,3,0,1,0,0,0,0,0,301,221,13,2,0
0,_Allamakee,_Pct 07 - CN/LF/LS/LS City,_LANSING,701,535,11,0,1,1,0,1,0,1,669,527,28,15,0
0,_Allamakee,_Pct 08 - IA/UC/NA City,_NEWALBIN,395,168,2,0,0,0,0,0,0,2,366,177,7,7,0
0,_Allamakee,_Pct 09 - Waukon 1,_WAUKON1,445,247,11,0,2,0,0,0,1,0,431,248,15,5,0
0,_Allamakee,_Pct 10 - Waukon 2,_WAUKON2,385,261,13,2,0,0,0,2,0,1,362,260,19,16,0
0,_Allamakee,_Pct 11 - Waukon 3,_WAUKON3,427,230,6,0,3,0,0,0,0,3,388,250,18,4,0
0,_Appanoose,_Bellair/Lincoln,_BELLAIR,288,101,3,1,0,0,0,0,1,1,271,112,4,3,0
0,_Appanoose,_Caldwell Township,_CALDWELL,188,71,2,0,0,0,0,0,0,0,180,70,4,2,0
0,_Appanoose,_Centerville Ward 1,_CENTER1,596,321,10,1,0,0,3,1,0,3,551,316,22,14,1
0,_Appanoose,_Centerville Ward 2,_CENTER2,494,279,14,3,3,0,0,0,1,0,442,286,36,11,0
0,_Appanoose,_Centerville Ward 3,_CENTER3,477,250,12,1,0,2,0,2,2,3,441,252,29,12,0
0,_Appanoose,_Johns/Independence,_JOHNS,243,101,4,0,0,0,1,0,0,1,226,105,9,2,0
0,_Appanoose,_Pleasant/Franklin,_PLEASANT,322,120,5,1,1,0,0,1,0,0,300,130,10,3,0
0,_Appanoose,_Taylor/Chariton,_TAYLOR,443,170,8,0,1,0,0,2,0,1,419,175,14,8,0
0,_Appanoose,_Union/Udell Township,_UNION,272,99,0,0,0,0,0,0,0,0,260,98,5,2,0
0,_Appanoose,_Vermillion/Douglas/Sharon,_VERMILLION,473,155,4,2,0,0,0,0,0,0,451,156,10,6,0
0,_Appanoose,_Walnut,_WALNUT,330,121,5,0,0,0,0,0,0,1,298,136,12,3,0
0,_Appanoose,_Washington/Wells,_WASHINGTON,386,103,5,0,0,0,1,0,0,0,350,120,13,5,1
0,_Audubon,_Precinct 1,_AUDUBON,1308,541,21,3,4,0,0,1,2,2,1268,548,35,9,1
0,_Audubon,_Precinct 2,_EXIRA,987,530,11,4,1,1,0,1,1,2,920,544,35,12,0
0,_Benton,_Belle Plaine 1,_BP1,271,187,4,1,1,0,0,0,0,2,257,192,5,3,0
0,_Benton,_Belle Plaine 2,_BP2,246,123,6,1,1,0,0,1,0,0,230,126,12,2,0
0,_Benton,_Belle Plaine 3,_BP3,179,134,4,1,1,0,0,0,0,1,173,135,4,4,0
0,_Benton,_Benton-Canton-Shellsburg,_BCS,1021,576,20,3,2,4,0,3,0,2,947,608,40,14,1
0,_Benton,_Big Grove-Union-Van Horne,_BUV,455,230,10,1,2,1,0,0,0,1,446,226,8,8,0
0,_Benton,_Bruce-Cedar-Mt Auburn,_BCM,386,121,6,1,0,0,0,0,0,0,373,120,12,4,1
0,_Benton,_Eden-Harrison-Taylor,_EHT,657,273,11,0,2,0,0,0,0,2,636,275,17,9,0
0,_Benton,_Eldorado-Newhall,_EN,402,253,13,1,2,1,0,0,1,2,391,254,14,7,0
