IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_ID_20161108_GEN_PRE_REP_TRUMP,USA_ID_20161108_GEN_PRE_DEM_CLINTON,USA_ID_20161108_GEN_PRE_LIB_JOHNSON,USA_ID_20161108_GEN_PRE_CON_COPELAND,USA_ID_20161108_GEN_PRE_IND_MCMULLIN,USA_ID_20161108_GEN_PRE_IND_STEIN,USA_ID_20161108_GEN_PRE_IND_CASTLE,USA_ID_20161108_GEN_PRE_IND_FUENTE,USA_ID_20161108_GEN_PRE_OTH_WRITEIN,USA_ID_20161108_GEN_USS_REP_CRAPO,USA_ID_20161108_GEN_USS_DEM_STURGILL,USA_ID_20161108_GEN_USS_CON_WRITZ
0,_001,_1401,_011401,857,206,35,0,63,10,4,0,0,817,208,65
0,_001,_1402,_011402,796,292,49,2,86,8,3,1,0,882,265,58
0,_001,_1403,_011403,289,121,18,2,41,5,2,1,0,339,109,12
0,_001,_1404,_011404,1290,317,79,2,148,13,13,7,0,1306,319,112
0,_001,_1405,_011405,994,331,54,3,90,9,8,3,0,994,322,81
0,_001,_1406,_011406,1691,549,74,5,136,9,7,8,3,1750,461,128
0,_001,_1407,_011407,656,305,31,3,59,6,9,3,0,653,276,66
0,_001,_1408,_011408,726,474,57,1,99,6,4,1,0,820,427,62
0,_001,_1409,_011409,713,394,47,2,73,18,3,1,1,784,354,39
0,_001,_1410,_011410,648,470,61,2,59,30,10,1,0,706,473,68
0,_001,_1411,_011411,801,451,69,1,67,17,6,0,0,836,422,76
0,_001,_1412,_011412,400,139,17,3,40,10,3,0,0,448,133,26
0,_001,_1413,_011413,1683,728,92,5,264,13,5,0,0,1911,636,112
0,_001,_1414,_011414,1280,456,95,4,209,25,4,1,0,1395,455,111
0,_001,_1415,_011415,870,277,47,4,93,7,3,2,0,943,247,48
0,_001,_1416,_011416,1009,446,58,3,89,4,2,0,0,1138,391,49
0,_001,_1417,_011417,903,293,73,1,91,10,11,2,0,977,302,62
0,_001,_1418,_011418,1213,464,64,9,96,11,8,4,1,1229,463,106
0,_001,_1419,_011419,677,320,66,3,69,9,3,4,0,703,309,85
0,_001,_1501,_011501,888,641,82,1,180,21,10,5,2,1095,620,75
0,_001,_1502,_011502,789,559,72,1,122,12,3,3,1,919,546,75
0,_001,_1503,_011503,631,477,42,5,69,15,8,1,0,703,438,60
0,_001,_1504,_011504,1006,733,95,6,162,27,11,0,0,1190,688,100
0,_001,_1505,_011505,581,393,55,7,82,17,3,1,3,620,387,61
0,_001,_1506,_011506,597,486,62,5,80,29,12,2,0,700,498,75
0,_001,_1507,_011507,687,439,85,3,103,19,11,7,0,769,462,94
0,_001,_1508,_011508,640,481,53,6,86,20,7,1,2,660,484,78
0,_001,_1509,_011509,943,727,128,4,82,35,6,6,0,1015,729,111
0,_001,_1510,_011510,490,389,85,4,31,17,9,4,0,508,398,66
0,_001,_1511,_011511,451,341,45,3,44,21,0,1,1,462,340,64
0,_001,_1512,_011512,422,343,72,3,42,21,4,4,0,456,338,74
0,_001,_1513,_011513,506,386,71,2,44,22,3,3,0,523,393,60
0,_001,_1514,_011514,504,340,58,6,69,18,10,3,0,580,325,49
0,_001,_1515,_011515,404,229,45,1,32,7,1,1,0,448,197,38
0,_001,_1601,_011601,859,890,77,2,54,18,5,1,0,973,788,69
0,_001,_1602,_011602,545,738,82,2,65,29,5,2,0,622,695,68
0,_001,_1603,_011603,612,1004,128,1,81,42,7,3,0,719,990,82
0,_001,_1604,_011604,423,700,62,3,43,28,8,3,0,476,683,44
0,_001,_1605,_011605,350,668,81,4,42,60,4,2,1,417,686,61
0,_001,_1606,_011606,286,682,65,3,33,38,2,4,0,318,699,50
0,_001,_1607,_011607,729,637,63,7,88,26,11,5,1,782,615,94
0,_001,_1608,_011608,491,456,71,4,32,27,9,8,0,487,474,80
0,_001,_1609,_011609,612,452,67,0,72,22,12,5,0,689,470,59
0,_001,_1610,_011610,723,672,111,3,116,33,9,5,0,822,661,101
0,_001,_1611,_011611,587,609,41,1,99,19,12,4,0,696,565,52
0,_001,_1612,_011612,332,325,47,7,42,16,8,2,0,377,349,43
0,_001,_1613,_011613,483,566,58,4,59,29,17,2,0,542,577,57
0,_001,_1614,_011614,469,511,63,4,83,27,3,0,1,540,515,48
0,_001,_1615,_011615,547,766,111,1,79,33,5,6,0,639,776,85
0,_001,_1701,_011701,527,515,65,5,66,28,1,8,0,613,459,62
0,_001,_1702,_011702,574,507,77,9,91,37,14,2,0,633,531,82
0,_001,_1703,_011703,478,496,65,2,39,28,5,1,0,524,487,59
0,_001,_1704,_011704,315,587,71,2,18,32,5,3,3,351,616,52
0,_001,_1705,_011705,353,527,69,2,58,44,18,2,0,441,560,54
0,_001,_1706,_011706,454,695,88,4,73,51,6,2,0,529,727,68
0,_001,_1707,_011707,268,557,76,2,35,42,7,0,0,335,573,34
0,_001,_1708,_011708,470,775,84,6,61,42,17,4,0,553,751,46
0,_001,_1709,_011709,306,691,82,1,50,27,4,7,0,409,702,39
0,_001,_1710,_011710,274,489,100,2,24,23,8,1,0,323,423,32
0,_001,_1711,_011711,216,477,84,4,24,34,6,0,0,295,447,41
0,_001,_1712,_011712,409,450,69,6,55,28,5,2,0,490,467,60
0,_001,_1713,_011713,608,568,97,5,86,31,14,4,0,719,594,68
0,_001,_1714,_011714,522,605,72,3,48,27,9,0,0,545,604,76
0,_001,_1715,_011715,469,637,89,3,60,46,2,4,1,555,652,60
0,_001,_1801,_011801,606,393,76,5,70,16,9,4,1,681,412,79
0,_001,_1802,_011802,806,490,86,2,141,28,1,4,0,924,473,83
0,_001,_1803,_011803,569,319,54,2,60,16,4,5,0,633,298,55
0,_001,_1804,_011804,83,28,1,1,7,2,0,0,0,69,32,13
0,_001,_1805,_011805,462,856,86,4,43,42,5,2,3,594,804,55
0,_001,_1806,_011806,383,735,51,1,44,8,3,1,0,519,650,28
0,_001,_1807,_011807,490,763,108,2,51,49,16,4,0,595,786,88
0,_001,_1808,_011808,385,708,71,3,35,47,6,2,1,448,717,58
0,_001,_1809,_011809,513,805,98,7,77,42,8,4,0,658,742,66
0,_001,_1810,_011810,337,604,46,0,48,18,4,1,0,417,542,47
0,_001,_1811,_011811,396,742,77,3,67,10,7,0,0,571,656,27
0,_001,_1812,_011812,431,666,77,1,37,26,5,3,0,519,607,53
0,_001,_1813,_011813,356,702,76,2,42,19,1,3,0,502,636,34
0,_001,_1814,_011814,567,664,74,2,53,20,6,2,1,687,607,55
0,_001,_1815,_011815,640,621,86,2,78,30,9,3,0,736,592,71
0,_001,_1816,_011816,327,436,56,1,33,9,8,1,0,456,360,23
0,_001,_1817,_011817,686,1188,127,2,90,27,7,2,0,1011,1018,52
0,_001,_1818,_011818,631,697,110,6,105,21,4,2,0,792,634,61
0,_001,_1901,_011901,816,801,89,0,107,21,4,2,0,934,774,72
0,_001,_1902,_011902,472,758,67,2,52,14,7,1,0,626,706,21
0,_001,_1903,_011903,312,212,25,0,25,11,1,0,0,328,205,29
0,_001,_1904,_011904,608,523,48,0,69,17,10,0,0,623,509,66
0,_001,_1905,_011905,495,602,72,7,62,32,9,0,0,544,648,62
0,_001,_1906,_011906,461,775,77,2,58,36,4,1,0,546,754,51
0,_001,_1907,_011907,565,823,59,3,47,23,6,0,0,652,774,41
0,_001,_1908,_011908,167,624,49,0,16,21,1,0,0,233,572,28
0,_001,_1909,_011909,292,951,69,3,50,27,1,0,0,409,910,24
0,_001,_1910,_011910,351,1333,86,1,71,49,7,2,0,553,1239,37
0,_001,_1911,_011911,187,954,62,3,25,36,5,4,0,275,946,21
0,_001,_1912,_011912,135,791,56,0,19,24,1,3,1,209,776,11
0,_001,_1913,_011913,187,945,49,0,26,31,6,2,0,280,879,31
0,_001,_1914,_011914,162,781,53,3,25,39,3,2,0,229,765,28
0,_001,_1915,_011915,219,834,81,2,27,68,4,6,0,293,859,46
0,_001,_1916,_011916,257,545,43,3,27,28,8,1,0,317,548,35
0,_001,_1917,_011917,163,605,56,2,26,31,3,3,2,250,594,24
0,_001,_1918,_011918,463,1209,72,2,47,29,11,5,0,635,1087,37
0,_001,_1919,_011919,273,1033,68,3,45,38,6,1,0,412,962,47
0,_001,_1920,_011920,235,466,28,0,28,12,1,1,0,330,405,21
0,_001,_2001,_012001,878,403,59,1,160,8,7,3,0,1004,361,74
0,_001,_2002,_012002,1077,641,81,3,188,13,6,1,0,1277,563,80
0,_001,_2003,_012003,999,392,63,4,143,8,4,2,0,1136,339,67
0,_001,_2004,_012004,909,406,78,2,132,16,19,1,0,988,397,98
0,_001,_2005,_012005,1146,542,90,5,158,13,25,2,3,1237,494,112
0,_001,_2006,_012006,1076,446,86,3,123,12,5,5,0,1165,445,88
0,_001,_2007,_012007,860,349,62,15,97,11,7,3,0,911,374,96
0,_001,_2008,_012008,1080,494,111,5,105,32,15,4,0,1130,515,127
0,_001,_2009,_012009,1171,638,110,5,142,29,14,6,0,1254,641,138
0,_001,_2010,_012010,786,421,93,2,92,14,5,1,0,862,416,96
0,_001,_2011,_012011,793,422,73,4,130,19,14,0,0,913,388,77
0,_001,_2012,_012012,598,324,46,0,72,19,5,2,0,632,318,67
0,_001,_2013,_012013,696,346,66,1,93,5,5,3,0,769,310,69
0,_001,_2101,_012101,1298,454,61,9,137,12,12,0,0,1405,413,80
0,_001,_2102,_012102,1060,433,89,6,98,16,14,2,1,1116,377,105
0,_001,_2103,_012103,640,321,30,4,66,13,4,5,1,669,302,46
0,_001,_2104,_012104,820,451,98,7,91,9,5,2,0,896,415,76
0,_001,_2105,_012105,503,288,35,1,77,4,4,2,0,554,263,45
0,_001,_2106,_012106,1572,784,123,3,220,20,17,4,0,1805,710,110
0,_001,_2107,_012107,808,391,51,4,102,9,11,2,0,886,352,81
0,_001,_2108,_012108,657,325,57,2,86,11,12,2,0,701,323,75
0,_001,_2109,_012109,599,456,66,9,102,14,10,5,2,725,442,67
