IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_ID_20201103_GEN_PRE_REP_TRUMP,USA_ID_20201103_GEN_PRE_DEM_BIDEN,USA_ID_20201103_GEN_PRE_LIB_JORGENSEN,USA_ID_20201103_GEN_PRE_IND_WEST,USA_ID_20201103_GEN_PRE_IND_PIERCE,USA_ID_20201103_GEN_PRE_CON_BLANKENSHIP,USA_ID_20201103_GEN_PRE_IND_FUENTE,USA_ID_20201103_GEN_USS_REP_RISCH,USA_ID_20201103_GEN_USS_DEM_JORDAN,USA_ID_20201103_GEN_USS_IND_FLEMING,USA_ID_20201103_GEN_USS_CON_WRITZ
0,_001,_1401,_011401,1191,386,21,4,4,1,2,1208,381,21,9
0,_001,_1402,_011402,2213,663,38,4,8,2,2,2258,596,47,22
0,_001,_1403,_011403,1438,583,28,7,2,3,3,1464,561,38,13
0,_001,_1404,_011404,1865,478,54,6,9,4,1,1826,479,68,17
0,_001,_1405,_011405,1436,510,30,5,9,3,0,1413,497,57,12
0,_001,_1406,_011406,1598,600,32,9,3,3,4,1649,541,50,9
0,_001,_1407,_011407,866,509,16,5,2,0,3,863,499,26,3
0,_001,_1408,_011408,864,692,15,7,3,2,1,899,634,42,11
0,_001,_1409,_011409,834,561,28,2,4,4,1,863,530,32,9
0,_001,_1410,_011410,891,724,20,3,4,1,1,881,695,43,11
0,_001,_1411,_011411,1244,768,44,9,5,1,0,1234,748,63,19
0,_001,_1412,_011412,1484,499,21,3,3,3,3,1478,495,32,13
0,_001,_1413,_011413,1543,631,28,3,5,2,1,1591,569,43,7
0,_001,_1414,_011414,1257,544,40,5,4,5,6,1248,532,61,9
0,_001,_1415,_011415,1164,428,24,3,3,3,1,1224,370,34,7
0,_001,_1416,_011416,1516,860,17,9,3,1,2,1597,743,52,9
0,_001,_1417,_011417,1528,646,45,7,8,4,1,1494,659,50,17
0,_001,_1418,_011418,1449,692,29,6,9,4,3,1447,657,51,14
0,_001,_1419,_011419,910,516,32,7,8,2,1,871,529,39,22
0,_001,_1420,_011420,1634,683,36,9,15,2,2,1645,662,59,18
0,_001,_1421,_011421,1294,855,41,10,4,2,2,1307,788,84,19
0,_001,_1501,_011501,1140,951,41,6,4,3,5,1206,880,68,12
0,_001,_1502,_011502,954,809,40,10,4,3,0,1023,750,42,14
0,_001,_1503,_011503,725,664,28,9,4,2,2,732,648,41,11
0,_001,_1504,_011504,676,576,32,12,4,2,0,701,557,36,7
0,_001,_1505,_011505,736,577,28,8,3,3,1,755,558,32,10
0,_001,_1506,_011506,723,739,33,9,10,2,2,720,743,52,8
0,_001,_1507,_011507,820,698,33,7,13,5,4,814,699,41,9
0,_001,_1508,_011508,732,720,24,6,7,2,5,722,711,56,11
0,_001,_1509,_011509,860,858,45,9,6,3,1,849,865,48,19
0,_001,_1510,_011510,748,770,46,4,12,3,3,678,831,47,12
0,_001,_1511,_011511,756,816,48,13,6,2,7,742,833,58,14
0,_001,_1512,_011512,547,563,20,6,4,2,1,505,571,38,14
0,_001,_1513,_011513,610,548,43,6,4,2,1,573,572,33,12
0,_001,_1514,_011514,665,526,20,6,5,6,0,641,524,40,13
0,_001,_1515,_011515,454,346,24,4,5,2,0,447,340,26,6
0,_001,_1516,_011516,632,601,34,4,5,6,1,616,610,33,10
0,_001,_1601,_011601,1018,1243,28,3,8,1,0,1063,1184,44,8
