IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_IL_20201103_GEN_PRE_DEM_BIDEN,USA_IL_20201103_GEN_PRE_REP_TRUMP,USA_IL_20201103_GEN_PRE_LIB_JORGENSEN,USA_IL_20201103_GEN_PRE_GRE_HAWKINS,USA_IL_20201103_GEN_PRE_AMS_CARROLL,USA_IL_20201103_GEN_PRE_SOC_RIVA,USA_IL_20201103_GEN_USS_DEM_DURBIN,USA_IL_20201103_GEN_USS_REP_CURRAN_JR,USA_IL_20201103_GEN_USS_WIL_WILSON,USA_IL_20201103_GEN_USS_LIB_MALOUF,USA_IL_20201103_GEN_USS_GRE_BLACK
0,_001,_CLAYTON,_001001,91,383,2,1,0,1,98,361,5,6,2
0,_001,_NORTHEAST,_002001,69,381,12,2,0,1,75,376,4,6,1
0,_001,_CAMP POINT 1,_003001,59,349,8,4,1,0,65,344,5,7,0
0,_001,_CAMP POINT 2,_003002,49,403,3,3,0,0,56,395,0,4,3
0,_001,_HOUSTON,_004001,18,117,1,0,0,0,23,112,0,1,0
0,_001,_HONEY CREEK,_005001,63,338,3,2,1,0,66,332,4,2,0
0,_001,_KEENE,_006001,63,267,3,0,0,2,66,254,3,3,3
0,_001,_MENDON 1,_007001,47,328,3,0,0,0,48,319,3,3,1
0,_001,_MENDON 2,_007002,60,337,3,0,0,0,75,314,4,3,2
0,_001,_LIMA,_008001,44,251,5,0,0,1,54,235,2,6,3
0,_001,_URSA,_009001,96,503,13,1,0,0,106,487,1,12,3
0,_001,_CONCORD,_010001,19,102,2,0,0,0,25,94,1,2,0
0,_001,_MCKEE,_011001,9,102,0,0,0,0,16,91,1,0,0
0,_001,_BEVERLY,_012001,21,147,0,0,0,0,21,144,0,2,1
0,_001,_COLUMBUS,_013001,36,334,2,0,0,0,38,328,1,2,1
0,_001,_LIBERTY,_014001,98,674,7,1,0,0,127,635,6,5,0
0,_001,_RICHFIELD,_015001,23,204,3,0,0,0,31,191,2,1,1
0,_001,_GILMER,_016001,99,545,13,1,2,0,117,521,4,6,2
0,_001,_BURTON,_017001,67,494,8,1,0,0,80,477,2,5,0
0,_001,_PAYSON 1,_018001,89,476,8,1,0,0,106,451,3,11,0
0,_001,_PAYSON 2,_018002,42,258,2,0,0,1,54,241,2,2,1
0,_001,_ELLINGTON 1,_019001,105,511,4,0,2,0,105,501,1,2,1
0,_001,_ELLINGTON 2,_019002,142,463,11,3,0,0,146,447,3,3,5
0,_001,_ELLINGTON 3,_019003,102,372,15,1,0,0,115,361,4,9,0
0,_001,_MELROSE 1,_020001,106,451,7,1,0,0,103,452,1,7,0
0,_001,_MELROSE 2,_020002,158,593,16,3,0,0,166,578,8,7,2
0,_001,_MELROSE 3,_020003,141,392,6,2,1,0,139,383,8,5,4
0,_001,_MELROSE 4,_020004,84,356,4,0,1,0,91,343,2,3,2
0,_001,_MELROSE 5,_020005,94,355,6,2,0,0,91,353,2,2,1
0,_001,_MELROSE 6,_020006,108,441,7,2,1,0,115,439,1,1,2
0,_001,_FALL CREEK,_021001,53,278,1,1,0,0,54,273,0,2,1
0,_001,_RIVERSIDE 1,_022001,101,379,6,0,0,0,99,379,1,3,1
0,_001,_RIVERSIDE 2,_022002,85,318,2,1,0,0,93,307,1,2,0
0,_001,_RIVERSIDE 3,_022003,116,466,5,2,2,0,105,480,0,5,2
0,_001,_QUINCY 1,_023001,159,337,5,1,0,1,150,339,6,4,3
0,_001,_QUINCY 2,_023002,129,246,3,1,3,1,125,227,8,5,8
0,_001,_QUINCY 3,_023003,123,205,9,4,2,2,127,194,7,10,4
0,_001,_QUINCY 4,_023004,176,322,6,1,5,0,177,305,5,8,3
0,_001,_QUINCY 5,_023005,139,156,4,4,2,1,131,152,9,5,5
