IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_KS_20161108_GEN_PRE_DEM_CLINTON,USA_KS_20161108_GEN_PRE_REP_TRUMP,USA_KS_20161108_GEN_PRE_LIB_JOHNSON,USA_KS_20161108_GEN_PRE_GRE_STEIN,USA_KS_20161108_GEN_PRE_OTH_WRITEIN,USA_KS_20161108_GEN_USS_DEM_WIESNER,USA_KS_20161108_GEN_USS_REP_MORAN,USA_KS_20161108_GEN_USS_LIB_GARRARD,USA_KS_20161108_GEN_USS_OTH_WRITEIN
0,_001,_Carlyle Township Voting District,_Carlyle Township Voting District,35,112,4,3,0,25,128,5,0
0,_001,_Cottage Grove Township Voting District,_Cottage Grove Township Voting District,19,110,0,0,1,14,110,4,0
0,_001,_Deer Creek Township Voting District,_Deer Creek Township Voting District,9,46,1,1,0,8,46,8,0
0,_001,_East Elm Voting District,_East Elm Voting District,58,197,13,4,2,54,199,13,0
0,_001,_Geneva Township Voting District,_Geneva Township Voting District,10,44,2,2,0,10,43,5,0
0,_001,_Humboldt Township Rural Enclave Voting District,_Humboldt Township Rural Enclave Voting District,0,0,0,0,0,0,0,0,0
0,_001,_Humboldt Township Split Voting District,_Humboldt Township Split Voting District,0,0,0,0,0,0,0,0,0
0,_001,_Humboldt Township Voting District,_Humboldt Township Voting District,27,106,3,3,2,19,112,5,0
0,_001,_Humboldt Ward 1,_Humboldt Ward 1,114,212,19,13,3,102,226,30,0
0,_001,_Humboldt Ward 2,_Humboldt Ward 2,122,253,17,13,2,93,294,22,0
0,_001,_Iola Ward 1,_Iola Ward 1,145,282,34,10,1,111,328,28,0
0,_001,_Iola Ward 2,_Iola Ward 2,153,379,20,13,0,119,418,28,0
0,_001,_Iola Ward 3,_Iola Ward 3,169,293,23,15,3,147,307,37,0
0,_001,_Iola Ward 3 Enclave,_Iola Ward 3 Enclave,0,0,0,0,0,0,0,0,0
0,_001,_Iola Ward 3 Exclave,_Iola Ward 3 Exclave,0,0,0,0,0,0,0,0,0
0,_001,_Iola Ward 4,_Iola Ward 4,149,334,22,14,2,141,335,36,0
0,_001,_Logan Township Voting District,_Logan Township Voting District,29,81,5,0,0,17,85,8,0
0,_001,_Marmaton Township Voting District,_Marmaton Township Voting District,82,265,11,5,0,70,270,22,0
0,_001,_North Elmsmore Voting District,_North Elmsmore Voting District,23,63,6,0,0,10,77,7,0
0,_001,_North Iola Part A Voting District,_North Iola Part A Voting District,24,101,7,3,0,28,96,12,0
0,_001,_North Iola Part B Voting District,_North Iola Part B Voting District,0,0,0,0,0,0,0,0,0
0,_001,_Osage Township Voting District,_Osage Township Voting District,27,91,7,1,0,24,96,3,0
0,_001,_Salem Township Voting District,_Salem Township Voting District,28,87,8,5,0,35,89,7,0
0,_001,_South Elmsmore Voting District,_South Elmsmore Voting District,19,47,0,1,2,13,56,1,0
0,_001,_South Iola Voting District,_South Iola Voting District,67,197,5,7,0,54,207,9,0
0,_001,_West Elm Voting District,_West Elm Voting District,124,351,22,8,2,98,367,31,0
0,_003,_Garnett Precinct 1,_Garnett Precinct 1,100,334,23,12,2,103,343,26,0
0,_003,_Garnett Precinct 1 Exclave,_Garnett Precinct 1 Exclave,0,0,0,0,0,0,0,0,0
0,_003,_Garnett Precinct 2,_Garnett Precinct 2,88,300,27,16,0,101,309,17,0
0,_003,_Garnett Precinct 3,_Garnett Precinct 3,74,238,19,6,2,81,231,19,0
0,_003,_Garnett Precinct 4,_Garnett Precinct 4,17,42,5,2,0,24,36,4,0
0,_003,_Indian Creek Township Voting District,_Indian Creek Township Voting District,10,55,0,1,0,11,53,0,0
