IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_KS_20201103_GEN_PRE_DEM_BIDEN,USA_KS_20201103_GEN_PRE_REP_TRUMP,USA_KS_20201103_GEN_PRE_LIB_JORGENSEN,USA_KS_20201103_GEN_USS_DEM_BOLLIER,USA_KS_20201103_GEN_USS_REP_MARSHALL,USA_KS_20201103_GEN_USS_LIB_BUCKLEY
0,_001,_Carlyle Township Voting District,_Carlyle Township Voting District,32,134,4,35,133,2
0,_001,_Cottage Grove Township Voting District,_Cottage Grove Township Voting District,18,101,2,25,89,6
0,_001,_Deer Creek Township Voting District,_Deer Creek Township Voting District,11,60,1,11,56,2
0,_001,_East Elm Voting District,_East Elm Voting District,45,237,2,50,204,26
0,_001,_Geneva Township Voting District,_Geneva Township Voting District,12,65,0,13,61,1
0,_001,_Humboldt Township Rural Enclave Voting District,_Humboldt Township Rural Enclave Voting District,0,0,0,0,0,0
0,_001,_Humboldt Township Split Voting District,_Humboldt Township Split Voting District,0,0,0,0,0,0
0,_001,_Humboldt Township Voting District,_Humboldt Township Voting District,25,137,4,27,129,8
0,_001,_Humboldt Ward 1,_Humboldt Ward 1,141,281,9,154,252,23
0,_001,_Humboldt Ward 2,_Humboldt Ward 2,133,279,11,138,258,29
0,_001,_Iola Ward 1,_Iola Ward 1,173,316,7,176,283,30
0,_001,_Iola Ward 2,_Iola Ward 2,176,447,8,184,419,29
0,_001,_Iola Ward 3,_Iola Ward 3,171,325,14,185,290,34
0,_001,_Iola Ward 3 Enclave,_Iola Ward 3 Enclave,0,0,0,0,0,0
0,_001,_Iola Ward 3 Exclave,_Iola Ward 3 Exclave,0,0,0,0,0,0
0,_001,_Iola Ward 4,_Iola Ward 4,165,363,13,194,312,31
0,_001,_Logan Township Voting District,_Logan Township Voting District,25,91,1,30,83,3
0,_001,_Marmaton Township Voting District,_Marmaton Township Voting District,88,284,6,100,259,19
0,_001,_North Elmsmore Voting District,_North Elmsmore Voting District,16,76,1,17,73,4
0,_001,_North Iola Part A Voting District,_North Iola Part A Voting District,32,108,3,31,102,9
0,_001,_North Iola Part B Voting District,_North Iola Part B Voting District,0,0,0,0,0,0
0,_001,_Osage Township Voting District,_Osage Township Voting District,35,107,0,40,98,4
0,_001,_Salem Township Voting District,_Salem Township Voting District,43,110,1,47,96,11
0,_001,_South Elmsmore Voting District,_South Elmsmore Voting District,19,68,1,20,68,1
0,_001,_South Iola Voting District,_South Iola Voting District,69,241,7,69,234,12
0,_001,_West Elm Voting District,_West Elm Voting District,141,388,9,155,357,30
0,_003,_Garnett Precinct 1,_Garnett Precinct 1,136,398,10,147,351,40
0,_003,_Garnett Precinct 1 Exclave,_Garnett Precinct 1 Exclave,0,0,0,0,0,0
0,_003,_Garnett Precinct 2,_Garnett Precinct 2,107,375,23,122,337,41
0,_003,_Garnett Precinct 3,_Garnett Precinct 3,88,268,6,92,237,32
0,_003,_Garnett Precinct 4,_Garnett Precinct 4,17,70,6,20,63,7
0,_003,_Indian Creek Township Voting District,_Indian Creek Township Voting District,12,57,0,10,50,6
0,_003,_Jackson Township Voting District,_Jackson Township Voting District,36,187,4,36,177,12
0,_003,_Lincoln Township Voting District,_Lincoln Township Voting District,18,92,1,20,83,10
0,_003,_Lone Elm Township Voting District,_Lone Elm Township Voting District,21,105,2,22,96,10
0,_003,_Monroe Township Voting District,_Monroe Township Voting District,34,155,3,45,135,11
0,_003,_Ozark Township Voting District,_Ozark Township Voting District,50,234,3,56,203,22
0,_003,_Putnam Township Voting District,_Putnam Township Voting District,49,126,6,49,116,13
0,_003,_Reeder Township Voting District,_Reeder Township Voting District,19,114,5,21,105,8
0,_003,_Rich Township Voting District,_Rich Township Voting District,30,144,0,33,140,3
0,_003,_Walker Township Voting District,_Walker Township Voting District,75,253,6,77,225,25
0,_003,_Washington Township Voting District,_Washington Township Voting District,26,118,0,29,111,4
0,_003,_Welda Township Voting District,_Welda Township Voting District,36,110,2,40,94,14
0,_003,_Westphalia Township Voting District,_Westphalia Township Voting District,28,123,4,23,115,10
0,_005,_Atchison Precinct 1,_Atchison Precinct 1,95,194,3,94,179,15
0,_005,_Atchison Precinct 2 East,_Atchison Precinct 2 East,115,190,5,118,186,15
0,_005,_Atchison Precinct 2 West,_Atchison Precinct 2 West,143,188,14,142,174,32
0,_005,_Atchison Precinct 3 East,_Atchison Precinct 3 East,222,342,15,223,315,35
0,_005,_Atchison Precinct 3 West,_Atchison Precinct 3 West,378,578,31,377,529,77
0,_005,_Atchison Precinct 4,_Atchison Precinct 4,231,281,3,229,245,37
0,_005,_Atchison Precinct 4 Exclave A,_Atchison Precinct 4 Exclave A,0,0,0,0,0,0
0,_005,_Atchison Precinct 4 Exclave B,_Atchison Precinct 4 Exclave B,0,0,0,0,0,0
0,_005,_Atchison Precinct 5 North,_Atchison Precinct 5 North,268,387,30,273,362,55
0,_005,_Atchison Precinct 5 North Exclave A,_Atchison Precinct 5 North Exclave A,0,0,0,0,0,0
0,_005,_Atchison Precinct 5 North Exclave B,_Atchison Precinct 5 North Exclave B,0,0,0,0,0,0
0,_005,_Atchison Precinct 5 South,_Atchison Precinct 5 South,148,249,12,143,220,42
0,_005,_Atchison Precinct 5 South Exclave A,_Atchison Precinct 5 South Exclave A,0,0,0,0,0,0
0,_005,_Atchison Precinct 5 South Exclave B Voting District,_Atchison Precinct 5 South Exclave B Voting District,0,0,0,0,0,0
0,_005,_Atchison Precinct 5 South Exclave C,_Atchison Precinct 5 South Exclave C,0,0,0,0,0,0
0,_005,_Atchison Precinct 5 South Exclave D,_Atchison Precinct 5 South Exclave D,0,0,0,0,0,0
0,_005,_Benton Township H63,_Benton Township H63,34,95,1,40,84,7
0,_005,_Benton Township Voting District,_Benton Township Voting District,82,268,5,90,236,29
0,_005,_Center Township Voting District,_Center Township Voting District,71,282,4,83,247,26
0,_005,_Grasshopper Township Voting District,_Grasshopper Township Voting District,34,284,10,45,262,20
0,_005,_Huron Township Voting District,_Huron Township Voting District,23,85,4,27,75,10
0,_005,_Kapioma Township Voting District,_Kapioma Township Voting District,35,115,0,35,107,6
0,_005,_Lancaster Township Voting District,_Lancaster Township Voting District,72,281,7,86,243,27
0,_005,_Mount Pleasant Voting District Township,_Mount Pleasant Voting District Township,118,393,9,122,373,27
0,_005,_Shannon Township Voting District,_Shannon Township Voting District,204,520,18,221,460,54
0,_005,_Walnut Township Enclave Voting District,_Walnut Township Enclave Voting District,0,0,0,0,0,0
0,_005,_Walnut Township Voting District,_Walnut Township Voting District,86,174,4,86,157,17
0,_007,_Aetna Township Voting District,_Aetna Township Voting District,0,3,0,0,3,0
0,_007,_Deerhead Township Voting District,_Deerhead Township Voting District,0,7,1,0,7,1
0,_007,_Eagle Township Voting District,_Eagle Township Voting District,0,23,0,0,22,0
0,_007,_Elm Mills Township Voting District,_Elm Mills Township Voting District,16,70,1,15,64,8
0,_007,_Elwood Township Voting District,_Elwood Township Voting District,16,77,3,23,65,6
0,_007,_Hazelton Township Voting District,_Hazelton Township Voting District,9,56,2,12,53,2
0,_007,_Kiowa East Township Voting District,_Kiowa East Township Voting District,40,289,6,47,272,16
0,_007,_Kiowa West Township Voting District,_Kiowa West Township Voting District,36,164,3,43,153,8
0,_007,_Lake City Township Voting District,_Lake City Township Voting District,7,45,1,8,41,3
0,_007,_McAdoo Township Voting District,_McAdoo Township Voting District,1,13,0,1,12,0
0,_007,_Medicine Lodge Precinct 1,_Medicine Lodge Precinct 1,53,297,3,56,278,19
0,_007,_Medicine Lodge Precinct 2,_Medicine Lodge Precinct 2,45,238,5,45,220,19
0,_007,_Medicine Lodge Precinct 2 Exclave,_Medicine Lodge Precinct 2 Exclave,0,0,0,0,0,0
0,_007,_Medicine Lodge Precinct 3,_Medicine Lodge Precinct 3,23,193,3,20,184,8
0,_007,_Medicine Lodge Precinct 4,_Medicine Lodge Precinct 4,11,137,0,12,126,7
