IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_LA_20161108_GEN_PRE_REP_TRUMP,USA_LA_20161108_GEN_PRE_DEM_CLINTON,USA_LA_20161108_GEN_PRE_LIB_JOHNSON,USA_LA_20161108_GEN_PRE_GRE_STEIN,USA_LA_20161108_GEN_PRE_COU_MCMULLIN,USA_LA_20161108_GEN_PRE_CON_CASTLE,USA_LA_20161108_GEN_PRE_OTH_OTHER,USA_LA_20161108_GEN_USS_REP_KENNEDY,USA_LA_20161108_GEN_USS_REP_BOUSTANY,USA_LA_20161108_GEN_USS_REP_FLEMING,USA_LA_20161108_GEN_USS_REP_MANESS,USA_LA_20161108_GEN_USS_REP_DUKE,USA_LA_20161108_GEN_USS_REP_CRAWFORD,USA_LA_20161108_GEN_USS_REP_CAO,USA_LA_20161108_GEN_USS_REP_MARSALA,USA_LA_20161108_GEN_USS_REP_PATEL,USA_LA_20161108_GEN_USS_DEM_CAMPBELL,USA_LA_20161108_GEN_USS_DEM_FAYARD,USA_LA_20161108_GEN_USS_DEM_EDWARDS,USA_LA_20161108_GEN_USS_DEM_LANDRIEU,USA_LA_20161108_GEN_USS_DEM_PELLERIN,USA_LA_20161108_GEN_USS_DEM_WILLIAMS,USA_LA_20161108_GEN_USS_DEM_MENDOZA,USA_LA_20161108_GEN_USS_LIB_CLEMENTS,USA_LA_20161108_GEN_USS_LIB_GILLAM,USA_LA_20161108_GEN_USS_OTH_LANG_JR,USA_LA_20161108_GEN_USS_OTH_TAYLOR_JR,USA_LA_20161108_GEN_USS_NPA_BILLIOT,USA_LA_20161108_GEN_USS_NPA_HEBERT,USA_LA_20161108_GEN_USS_NPA_MARONE,USA_LA_20161108_GEN_USS_NPA_WELLS,USA_LA_20161108_GEN_US1_REP_KENNEDY,USA_LA_20161108_GEN_US1_DEM_CAMPBELL
0,_001,_1-1,_1-1,920,99,14,7,3,1,0,207,485,32,102,44,9,7,1,3,49,30,4,4,0,1,0,11,0,0,0,14,8,0,0,390,67
0,_001,_1-2A,_1-2A,337,45,8,6,0,1,0,73,193,24,33,6,7,0,0,2,15,17,2,6,0,0,2,1,0,0,0,4,0,1,0,102,30
0,_001,_1-2B,_1-2B,197,125,3,1,1,0,0,34,135,13,17,6,6,4,0,0,34,32,6,6,0,5,0,3,0,0,0,2,2,3,1,164,18
0,_001,_1-3A,_1-3A,482,47,8,1,0,1,6,117,269,21,39,11,9,4,0,0,28,17,4,2,4,0,0,4,0,2,0,0,4,0,0,253,35
0,_001,_1-3B,_1-3B,275,127,4,4,3,0,3,58,198,7,17,5,2,3,0,0,45,38,4,4,0,3,0,0,2,0,0,5,2,0,0,88,54
0,_001,_1-4A,_1-4A,326,42,4,0,1,5,1,74,206,11,17,14,1,4,1,0,14,16,4,1,2,0,0,3,0,0,0,1,0,1,0,146,27
0,_001,_1-4B,_1-4B,344,92,7,1,0,0,3,75,244,13,28,11,6,5,0,0,23,13,1,3,3,4,2,1,0,0,1,2,4,1,0,180,28
0,_001,_1-5A,_1-5A,231,50,7,3,1,0,1,62,136,13,23,3,0,3,3,0,15,5,4,6,2,0,1,1,0,0,3,1,0,0,0,100,38
0,_001,_1-5B,_1-5B,114,172,3,1,0,1,0,31,87,1,10,5,1,0,1,0,61,36,11,6,3,2,0,1,0,0,1,6,0,0,0,45,76
0,_001,_1-6,_1-6,25,345,1,0,1,1,5,12,96,1,0,5,1,0,0,1,109,54,9,11,7,2,7,1,0,2,0,8,2,1,2,8,92
0,_001,_1-7,_1-7,64,318,1,3,4,3,0,15,94,7,8,6,4,1,0,1,100,56,19,17,3,5,1,1,2,0,0,15,2,0,0,41,100
0,_001,_1-8,_1-8,461,137,5,3,0,0,3,93,241,29,45,18,7,2,1,0,57,44,13,3,6,2,0,0,0,0,0,9,5,1,0,220,52
0,_001,_1-9,_1-9,549,42,6,5,3,0,0,167,284,36,31,15,2,1,0,0,20,21,2,1,2,0,0,1,2,0,0,4,1,3,0,269,29
0,_001,_2-1,_2-1,816,94,10,4,0,4,1,160,435,41,90,36,13,6,1,1,35,26,6,1,3,0,1,5,2,1,0,1,4,0,0,384,64
0,_001,_2-2,_2-2,642,35,6,1,4,0,3,178,321,24,71,35,2,1,3,0,10,18,1,0,2,0,1,1,1,1,0,5,8,0,0,362,37
0,_001,_2-3,_2-3,361,92,5,1,0,1,0,117,179,21,40,19,1,1,0,0,41,21,4,3,2,0,0,3,0,0,0,2,1,0,0,189,44
0,_001,_2-4,_2-4,471,24,5,1,0,1,1,112,271,15,55,15,6,4,0,0,8,7,0,0,3,0,0,1,0,0,0,2,3,0,1,203,15
0,_001,_2-5,_2-5,411,32,1,4,7,1,0,85,267,12,41,8,4,0,0,0,12,13,1,1,2,0,0,0,0,0,0,0,0,0,0,209,25
0,_001,_3-1,_3-1,535,176,14,3,0,5,3,149,302,28,51,25,7,1,1,0,64,54,9,7,3,0,0,4,1,0,0,6,7,0,0,233,92
0,_001,_3-2,_3-2,711,34,3,3,3,1,1,194,322,33,89,39,4,2,0,0,23,16,2,4,1,0,1,3,1,0,0,1,4,0,1,326,34
0,_001,_3-3A,_3-3A,696,136,10,4,0,3,2,154,428,25,71,25,6,2,1,1,47,25,7,16,1,1,5,0,1,0,0,4,11,1,1,306,59
0,_001,_3-3B,_3-3B,269,116,4,3,1,0,1,62,165,4,30,15,5,0,0,0,43,23,5,3,1,1,0,2,1,0,0,3,4,0,0,123,43
