IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_LA_20201103_GEN_PRE_REP_TRUMP,USA_LA_20201103_GEN_PRE_DEM_BIDEN,USA_LA_20201103_GEN_PRE_LIB_JORGENSEN,USA_LA_20201103_GEN_PRE_BIR_WEST,USA_LA_20201103_GEN_PRE_OTH_OTHER,USA_LA_20201103_GEN_USS_REP_CASSIDY,USA_LA_20201103_GEN_USS_REP_MURPHY,USA_LA_20201103_GEN_USS_DEM_PERKINS,USA_LA_20201103_GEN_USS_DEM_EDWARDS,USA_LA_20201103_GEN_USS_DEM_PIERCE,USA_LA_20201103_GEN_USS_DEM_KNIGHT,USA_LA_20201103_GEN_USS_DEM_WENSTRUP,USA_LA_20201103_GEN_USS_LIB_SIGLER,USA_LA_20201103_GEN_USS_IND_MENDOZA,USA_LA_20201103_GEN_USS_OTH_PRICE,USA_LA_20201103_GEN_USS_GOL_JOHN,USA_LA_20201103_GEN_USS_NON_BILLIOT,USA_LA_20201103_GEN_USS_NON_BOURGEOIS,USA_LA_20201103_GEN_USS_NON_MONTGOMERY,USA_LA_20201103_GEN_USS_NON_DARET_III
0,_001,_1-1,_0001-1,1050,81,7,3,4,992,29,28,25,4,5,0,0,3,2,4,10,18,3,3
0,_001,_1-6,_0001-6,31,382,6,3,4,34,0,172,100,19,15,0,0,4,2,0,19,8,4,5
0,_001,_1-7,_0001-7,77,307,3,2,6,79,2,133,77,21,16,4,3,2,3,0,6,11,3,4
0,_001,_1-8,_0001-8,535,146,5,2,2,493,15,54,37,17,6,6,7,0,3,7,3,6,0,5
0,_001,_1-9,_0001-9,527,42,5,2,6,511,18,8,13,4,0,2,3,3,4,4,1,6,2,0
0,_001,_2-1,_0002-1,990,62,7,1,2,932,24,25,13,2,15,0,7,3,2,3,8,4,1,1
0,_001,_2-2,_0002-2,735,28,10,0,3,708,11,7,15,0,2,0,4,1,0,3,1,3,0,0
0,_001,_2-3,_0002-3,420,90,3,0,3,399,14,39,32,2,2,2,0,1,0,3,1,1,0,0
0,_001,_2-4,_0002-4,517,33,3,1,2,502,8,2,8,8,2,2,0,1,3,2,1,3,1,1
0,_001,_2-5,_0002-5,446,43,5,1,2,453,5,13,10,0,5,0,1,0,1,0,3,1,0,1
0,_001,_3-1,_0003-1,644,213,11,0,3,590,18,80,64,11,13,2,5,1,4,0,14,20,1,0
0,_001,_3-2,_0003-2,761,43,4,1,0,744,20,16,13,0,0,0,3,0,0,1,9,0,0,0
0,_001,_3-4,_0003-4,62,447,3,0,0,81,12,243,67,8,20,6,0,0,1,0,9,5,1,4
0,_001,_3-5,_0003-5,284,38,5,1,0,266,9,23,8,2,0,0,3,0,0,0,1,4,1,2
0,_001,_3-6,_0003-6,320,60,3,0,0,306,14,28,18,0,5,2,1,0,0,0,3,0,0,0
0,_001,_3-7,_0003-7,751,111,7,4,2,729,18,44,30,6,10,0,3,1,3,0,3,4,0,2
0,_001,_4-1,_0004-1,591,45,3,0,0,551,9,25,15,6,3,0,1,1,1,3,4,5,0,1
0,_001,_4-2,_0004-2,596,81,3,0,4,586,8,36,32,6,2,2,1,1,0,1,3,4,0,0
0,_001,_4-4,_0004-4,1037,68,10,1,1,986,30,21,22,4,8,2,5,1,0,0,5,4,1,1
0,_001,_4-5,_0004-5,758,33,3,0,3,719,29,13,10,2,3,0,5,0,0,0,5,6,0,0
0,_001,_4-6,_0004-6,558,43,4,1,0,545,17,20,7,4,0,2,1,1,0,0,4,6,0,1
0,_001,_5-3,_0005-3,591,27,4,0,1,571,11,7,15,0,2,2,1,0,0,1,3,4,0,0
0,_001,_5-4,_0005-4,396,33,7,0,3,379,6,18,7,0,2,2,4,0,1,1,4,3,0,0
0,_001,_5-5,_0005-5,188,22,3,0,1,179,5,11,8,0,0,0,0,3,1,0,0,0,0,0
0,_001,_6-1,_0006-1,160,364,3,1,0,149,6,144,89,15,12,6,3,1,6,3,8,15,5,1
0,_001,_6-2,_0006-2,247,60,1,0,1,233,3,18,24,8,3,2,3,0,0,1,1,1,0,2
0,_001,_6-4,_0006-4,311,199,8,1,0,300,3,67,65,10,5,2,0,0,1,10,9,11,3,1
0,_001,_6-6,_0006-6,6,199,0,0,0,4,1,95,50,11,12,2,0,0,1,0,1,1,0,2
0,_001,_6-7,_0006-7,252,55,5,0,1,250,9,16,22,2,2,0,3,1,1,0,0,1,0,1
0,_001,_6-8,_0006-8,358,75,1,1,1,332,5,23,22,4,5,2,3,1,0,1,3,5,1,1
0,_001,_6-9,_0006-9,209,25,3,0,3,190,3,7,13,2,3,0,0,0,1,0,2,3,1,1
0,_001,_7-2,_0007-2,563,83,3,1,0,541,12,18,27,8,8,4,1,0,1,0,4,5,0,2
0,_001,_7-3,_0007-3,943,43,7,1,1,908,36,16,12,8,0,4,4,3,1,0,5,2,0,0
0,_001,_7-4,_0007-4,717,33,7,1,6,674,27,21,5,0,0,0,3,1,1,6,8,4,1,2
0,_001,_1-2A,_001-2A,206,126,5,1,6,208,3,39,25,4,12,2,1,3,3,3,5,6,3,5
0,_001,_1-2B,_001-2B,308,47,4,0,3,293,9,10,20,2,5,0,1,0,2,4,3,5,1,1
0,_001,_1-3A,_001-3A,409,60,8,3,0,399,8,16,22,12,0,2,3,1,0,4,0,3,0,1
0,_001,_1-3B,_001-3B,300,116,3,1,2,276,12,44,40,12,0,0,0,3,4,4,1,3,5,0
0,_001,_1-4A,_001-4A,320,40,1,0,4,314,3,8,19,0,2,0,1,0,3,2,8,4,0,0
0,_001,_1-4B,_001-4B,345,96,7,1,3,332,11,21,45,8,5,0,4,1,2,2,3,4,1,0
0,_001,_1-5A,_001-5A,222,71,3,1,0,200,12,28,18,2,3,0,3,0,2,0,3,5,0,4
0,_001,_1-5B,_001-5B,127,176,4,0,4,117,2,93,37,8,3,2,0,0,6,0,5,5,1,2
0,_001,_3-3A,_003-3A,736,150,3,0,3,692,9,48,55,10,3,0,4,0,3,3,9,1,1,1
0,_001,_3-3B,_003-3B,289,150,7,1,2,275,11,64,44,6,8,4,5,1,1,1,6,1,1,0
0,_001,_5-1A,_005-1A,281,40,3,0,1,260,9,15,18,2,3,0,3,0,0,1,1,3,0,0
0,_001,_5-2A,_005-2A,345,53,4,0,1,333,1,25,20,0,2,2,0,1,3,3,1,3,0,0
0,_001,_6-10,_006-10,233,28,1,0,0,212,6,18,7,2,2,0,0,3,0,1,1,0,0,0
0,_001,_6-11,_006-11,3,367,1,3,3,15,1,190,75,11,12,11,0,0,4,0,5,6,3,1
0,_001,_6-12,_006-12,333,66,5,1,1,333,3,20,18,6,5,2,1,0,3,4,4,4,1,0
0,_001,_6-13,_006-13,184,12,3,1,0,185,5,2,5,0,2,0,0,0,0,0,0,0,0,0
0,_001,_6-14,_006-14,545,27,5,0,0,524,9,8,7,0,2,6,1,0,1,1,2,4,1,1
0,_001,_6-15,_006-15,184,10,3,0,1,175,6,5,7,0,0,0,3,0,0,0,1,1,0,0
0,_001,_6-16,_006-16,253,23,5,0,0,242,8,23,0,2,0,0,1,0,0,0,0,1,3,0
0,_001,_6-3A,_006-3A,177,163,4,3,0,178,6,67,42,4,5,0,3,0,0,4,5,6,1,1
0,_001,_6-3B,_006-3B,165,8,0,0,1,161,1,8,0,0,0,0,0,0,1,3,0,0,0,1
0,_003,_1-1,_0001-1,129,72,0,2,2,113,8,17,33,9,2,2,0,0,0,0,4,4,0,0
0,_003,_1-2,_0001-2,121,42,2,0,0,122,0,10,10,7,6,2,0,0,0,2,1,1,0,0
0,_003,_1-3,_0001-3,145,56,2,0,2,129,5,17,24,2,5,3,2,4,0,2,3,0,2,1
0,_003,_1-4,_0001-4,14,178,4,2,4,23,2,22,81,9,14,2,0,0,1,0,3,6,0,1
0,_003,_1-5,_0001-5,40,41,4,0,0,42,3,15,11,2,2,0,2,0,0,0,1,1,2,0
0,_003,_1-6,_0001-6,175,52,3,1,1,154,13,19,14,4,5,0,2,0,0,2,3,1,0,1
0,_003,_2-1,_0002-1,220,98,4,0,4,223,7,27,37,7,2,2,0,0,0,2,5,4,0,0
0,_003,_2-2,_0002-2,439,47,5,1,3,431,15,10,16,2,5,0,0,2,0,1,4,0,0,0
0,_003,_2-3,_0002-3,376,16,1,0,3,350,18,7,5,2,4,0,1,0,1,0,3,1,2,0
0,_003,_2-5,_0002-5,8,140,1,1,4,14,0,30,73,7,9,0,0,0,1,0,1,1,3,3
0,_003,_2-6,_0002-6,292,18,1,0,0,267,13,0,14,2,2,2,0,0,2,1,1,3,0,0
0,_003,_3-1,_0003-1,321,16,3,0,0,306,10,0,10,2,2,0,0,0,0,0,0,1,0,0
0,_003,_3-2,_0003-2,706,69,9,0,1,646,21,14,30,7,9,0,3,0,1,1,8,8,0,2
0,_003,_4-2,_0004-2,399,13,1,0,0,352,15,5,6,0,0,0,0,2,0,1,2,3,0,0
0,_003,_4-3,_0004-3,371,29,3,1,0,332,16,8,16,2,0,2,1,2,1,1,1,5,1,1
0,_003,_5-2,_0005-2,599,31,1,0,1,506,44,2,19,6,7,0,1,3,4,1,1,9,0,0
0,_003,_5-3,_0005-3,334,28,0,0,1,296,16,7,16,2,9,2,0,2,0,1,1,4,0,0
0,_003,_5-5,_0005-5,243,3,1,0,0,228,13,0,3,0,0,0,0,0,0,0,1,0,0,1
0,_003,_5-7,_0005-7,60,407,5,0,7,65,7,93,180,13,23,5,0,2,6,0,7,11,4,4
0,_003,_5-9,_0005-9,423,192,3,1,6,399,15,58,86,2,13,5,3,0,2,0,8,9,3,0
0,_003,_5-10,_005-10,515,31,1,0,0,496,10,5,14,2,5,0,0,2,0,0,5,1,1,0
0,_003,_5-12,_005-12,31,65,1,1,0,30,2,17,25,5,7,0,1,0,0,0,1,2,0,0
0,_003,_5-13,_005-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
