IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MA_20161108_GEN_PRE_DEM_CLINTON,USA_MA_20161108_GEN_PRE_REP_TRUMP,USA_MA_20161108_GEN_PRE_LIB_JOHNSON,USA_MA_20161108_GEN_PRE_GRE_STEIN,USA_MA_20161108_GEN_PRE_OTH_WRITEIN
0,_ABINGTON,_Abington Town Precinct 1,_1_1,818,717,97,25,30
0,_ABINGTON,_Abington Town Precinct 2,_1_2,739,785,67,27,12
0,_ABINGTON,_Abington Town Precinct 3,_1_3,773,808,80,18,13
0,_ABINGTON,_Abington Town Precinct 4,_1_4,877,878,87,16,26
0,_ABINGTON,_Abington Town Precinct 5,_1_5,908,829,86,16,20
0,_ACTON,_Acton Town Precinct 1,_2_1,1459,438,89,30,31
0,_ACTON,_Acton Town Precinct 2,_2_2,1550,480,96,26,43
0,_ACTON,_Acton Town Precinct 3,_2_3,1580,435,90,44,57
0,_ACTON,_Acton Town Precinct 4,_2_4,1675,414,104,45,56
0,_ACTON,_Acton Town Precinct 5,_2_5,1580,387,95,33,36
0,_ACTON,_Acton Town Precinct 6,_2_6,1354,401,78,30,47
0,_ACUSHNET,_Acushnet Town Precinct 1,_3_1,783,786,58,26,19
0,_ACUSHNET,_Acushnet Town Precinct 2,_3_2,756,1043,57,29,29
0,_ACUSHNET,_Acushnet Town Precinct 3,_3_3,862,1005,59,32,22
0,_ADAMS,_Adams Town Precinct 1,_4_1,439,255,33,20,5
0,_ADAMS,_Adams Town Precinct 2,_4_2,476,270,44,17,10
0,_ADAMS,_Adams Town Precinct 3,_4_3,475,268,36,17,13
0,_ADAMS,_Adams Town Precinct 4,_4_4,446,233,31,15,7
0,_ADAMS,_Adams Town Precinct 5,_4_5,577,259,45,11,19
0,_AGAWAM,_Agawam Town Precinct 1,_5_1,631,827,82,33,11
0,_AGAWAM,_Agawam Town Precinct 2,_5_2,850,1069,105,25,30
0,_AGAWAM,_Agawam Town Precinct 3,_5_3,770,921,70,16,20
0,_AGAWAM,_Agawam Town Precinct 4,_5_4,700,724,69,28,24
0,_AGAWAM,_Agawam Town Precinct 5,_5_5,861,998,101,39,24
0,_AGAWAM,_Agawam Town Precinct 6,_5_6,783,882,79,18,25
0,_AGAWAM,_Agawam Town Precinct 7,_5_7,750,991,81,26,28
0,_AGAWAM,_Agawam Town Precinct 8,_5_8,863,1009,64,23,35
0,_ALFORD,_Alford Town Precinct 1,_6_1,226,52,8,8,5
0,_AMESBURY,_Amesbury Town Precinct 1,_7_1,930,623,102,14,39
0,_AMESBURY,_Amesbury Town Precinct 2,_7_2,901,503,87,34,27
0,_AMESBURY,_Amesbury Town Precinct 3,_7_3,960,498,82,25,18
0,_AMESBURY,_Amesbury Town Precinct 4,_7_4,805,502,86,28,17
0,_AMESBURY,_Amesbury Town Precinct 5,_7_5,745,675,90,22,32
0,_AMESBURY,_Amesbury Town Precinct 6,_7_6,833,430,80,28,25
0,_AMHERST,_Amherst Town Precinct 1,_8_1,955,101,37,79,21
0,_AMHERST,_Amherst Town Precinct 10,_8_10,1222,154,69,54,24
0,_AMHERST,_Amherst Town Precinct 2,_8_2,1409,143,51,83,34
0,_AMHERST,_Amherst Town Precinct 3,_8_3,908,125,56,37,18
0,_AMHERST,_Amherst Town Precinct 4,_8_4,910,162,46,21,31
0,_AMHERST,_Amherst Town Precinct 5,_8_5,1023,95,19,40,14
0,_AMHERST,_Amherst Town Precinct 6,_8_6,1464,134,40,64,34
0,_AMHERST,_Amherst Town Precinct 7,_8_7,1440,131,37,64,33
0,_AMHERST,_Amherst Town Precinct 8,_8_8,1644,124,42,80,26
0,_AMHERST,_Amherst Town Precinct 9,_8_9,1382,79,48,91,29
0,_ANDOVER,_Andover Town Precinct 1,_9_1,1101,433,88,24,27
0,_ANDOVER,_Andover Town Precinct 2,_9_2,1312,865,84,28,33
0,_ANDOVER,_Andover Town Precinct 3,_9_3,1431,651,116,33,30
0,_ANDOVER,_Andover Town Precinct 4,_9_4,1162,818,108,20,39
0,_ANDOVER,_Andover Town Precinct 5,_9_5,1257,758,105,18,45
0,_ANDOVER,_Andover Town Precinct 6,_9_6,1207,842,97,28,40
0,_ANDOVER,_Andover Town Precinct 7,_9_7,980,548,77,12,35
0,_ANDOVER,_Andover Town Precinct 7A,_9_7A,256,163,24,1,12
0,_ANDOVER,_Andover Town Precinct 8,_9_8,1278,685,99,16,61
0,_ANDOVER,_Andover Town Precinct 9,_9_9,1232,752,95,22,55
0,_ANDOVER,_Andover Town Precinct 9A,_9_9A,6,7,2,0,1
0,_AQUINNAH,_Aquinnah Town Precinct 1,_104_1,232,34,6,7,5
0,_ARLINGTON,_Arlington Town Precinct 1,_10_1,802,173,20,19,17
0,_ARLINGTON,_Arlington Town Precinct 10,_10_10,1129,192,30,23,33
0,_ARLINGTON,_Arlington Town Precinct 11,_10_11,1007,306,28,20,30
0,_ARLINGTON,_Arlington Town Precinct 12,_10_12,1122,229,38,20,27
0,_ARLINGTON,_Arlington Town Precinct 13,_10_13,846,375,49,8,17
0,_ARLINGTON,_Arlington Town Precinct 14,_10_14,930,201,28,16,4
0,_ARLINGTON,_Arlington Town Precinct 15,_10_15,1000,271,46,19,19
0,_ARLINGTON,_Arlington Town Precinct 16,_10_16,924,199,45,14,11
0,_ARLINGTON,_Arlington Town Precinct 17,_10_17,908,193,35,18,50
0,_ARLINGTON,_Arlington Town Precinct 18,_10_18,958,323,49,16,29
0,_ARLINGTON,_Arlington Town Precinct 19,_10_19,1003,268,34,16,28
0,_ARLINGTON,_Arlington Town Precinct 2,_10_2,1028,232,43,21,29
0,_ARLINGTON,_Arlington Town Precinct 20,_10_20,1014,225,21,17,25
0,_ARLINGTON,_Arlington Town Precinct 21,_10_21,999,159,37,33,30
0,_ARLINGTON,_Arlington Town Precinct 3,_10_3,1049,169,31,37,25
0,_ARLINGTON,_Arlington Town Precinct 4,_10_4,1022,195,47,24,21
0,_ARLINGTON,_Arlington Town Precinct 5,_10_5,932,233,31,33,20
0,_ARLINGTON,_Arlington Town Precinct 6,_10_6,946,178,25,20,23
0,_ARLINGTON,_Arlington Town Precinct 7,_10_7,938,173,41,22,14
0,_ARLINGTON,_Arlington Town Precinct 8,_10_8,1169,153,27,32,12
0,_ARLINGTON,_Arlington Town Precinct 9,_10_9,813,205,27,29,17
0,_ASHBURNHAM,_Ashburnham Town Precinct 1,_11_1,1439,1522,247,66,78
0,_ASHBY,_Ashby Town Precinct 1,_12_1,722,974,129,45,21
0,_ASHFIELD,_Ashfield Town Precinct 1,_13_1,836,184,52,44,16
0,_ASHLAND,_Ashland Town Precinct 1,_14_1,1121,536,84,40,0
0,_ASHLAND,_Ashland Town Precinct 2,_14_2,1166,588,95,16,0
0,_ASHLAND,_Ashland Town Precinct 3,_14_3,1139,565,87,21,0
0,_ASHLAND,_Ashland Town Precinct 4,_14_4,1147,576,91,10,0
0,_ASHLAND,_Ashland Town Precinct 5,_14_5,1111,503,100,18,0
0,_ATHOL,_Athol Town Precinct 1,_15_1,733,856,126,42,48
0,_ATHOL,_Athol Town Precinct 2,_15_2,608,781,103,45,63
0,_ATHOL,_Athol Town Precinct 3,_15_3,735,698,99,29,24
0,_ATTLEBORO,_Attleboro City Ward 1 Precinct A,_16_A,761,761,78,23,14
