IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MA_20201103_GEN_PRE_DEM_BIDEN,USA_MA_20201103_GEN_PRE_REP_TRUMP,USA_MA_20201103_GEN_PRE_LIB_JORGENSEN,USA_MA_20201103_GEN_PRE_GRE_HAWKINS,USA_MA_20201103_GEN_PRE_OTH_WRITEIN,USA_MA_20201103_GEN_USS_DEM_MARKEY,USA_MA_20201103_GEN_USS_REP_OCONNOR,USA_MA_20201103_GEN_USS_OTH_AYYADURAI,USA_MA_20201103_GEN_USS_OTH_WRITEIN
0,_ABINGTON,_Abington Town Precinct 1,_1_1,1037,764,29,6,8,1077,727,10,0
0,_ABINGTON,_Abington Town Precinct 2,_1_2,960,838,23,16,4,980,820,11,2
0,_ABINGTON,_Abington Town Precinct 3,_1_3,954,848,31,8,3,978,808,15,3
0,_ABINGTON,_Abington Town Precinct 4,_1_4,1117,904,28,7,6,1111,898,16,1
0,_ABINGTON,_Abington Town Precinct 5,_1_5,1141,882,35,8,3,1158,865,14,0
0,_ACTON,_Acton Town Precinct 1,_2_1,1761,447,24,11,8,1718,499,15,2
0,_ACTON,_Acton Town Precinct 2,_2_2,1912,441,30,13,12,1809,558,9,1
0,_ACTON,_Acton Town Precinct 3,_2_3,1834,388,34,15,12,1765,497,6,4
0,_ACTON,_Acton Town Precinct 4,_2_4,2051,416,40,9,16,1985,479,29,3
0,_ACTON,_Acton Town Precinct 5,_2_5,1897,396,44,15,22,1856,472,11,2
0,_ACTON,_Acton Town Precinct 6,_2_6,1650,383,21,11,14,1598,436,14,4
0,_ACUSHNET,_Acushnet Town Precinct 1,_3_1,815,924,23,12,3,869,842,15,1
0,_ACUSHNET,_Acushnet Town Precinct 2,_3_2,932,1176,28,8,3,989,1064,24,0
0,_ACUSHNET,_Acushnet Town Precinct 3,_3_3,917,1190,22,10,5,1012,1059,23,2
0,_ADAMS,_Adams Town Precinct 1,_4_1,527,253,13,9,2,539,237,6,0
0,_ADAMS,_Adams Town Precinct 2,_4_2,574,291,18,5,2,595,269,12,0
0,_ADAMS,_Adams Town Precinct 3,_4_3,601,324,17,7,2,613,313,8,0
0,_ADAMS,_Adams Town Precinct 4,_4_4,512,269,13,6,1,521,255,11,0
0,_ADAMS,_Adams Town Precinct 5,_4_5,680,291,16,8,0,680,284,20,0
0,_AGAWAM,_Agawam Town Precinct 1,_5_1,825,922,19,5,6,799,892,43,9
0,_AGAWAM,_Agawam Town Precinct 2,_5_2,1036,1121,26,8,3,979,1116,36,0
0,_AGAWAM,_Agawam Town Precinct 3,_5_3,1022,1041,24,11,10,995,1001,35,0
0,_AGAWAM,_Agawam Town Precinct 4,_5_4,848,836,26,5,7,811,817,35,2
0,_AGAWAM,_Agawam Town Precinct 5,_5_5,1131,1074,18,17,5,1077,1051,23,1
0,_AGAWAM,_Agawam Town Precinct 6,_5_6,930,954,25,12,8,869,965,22,5
0,_AGAWAM,_Agawam Town Precinct 7,_5_7,910,1074,29,9,11,886,1046,25,0
0,_AGAWAM,_Agawam Town Precinct 8,_5_8,1092,1051,19,7,8,1039,1036,17,15
0,_ALFORD,_Alford Town Precinct 1,_6_1,271,50,1,1,2,265,56,2,7
0,_AMESBURY,_Amesbury Town Precinct 1,_7_1,1209,646,25,7,8,1197,670,6,3
0,_AMESBURY,_Amesbury Town Precinct 2,_7_2,1165,502,30,11,3,1175,509,12,2
0,_AMESBURY,_Amesbury Town Precinct 3,_7_3,1189,510,36,11,7,1190,527,6,3
0,_AMESBURY,_Amesbury Town Precinct 4,_7_4,977,487,25,4,8,969,483,5,1
0,_AMESBURY,_Amesbury Town Precinct 5,_7_5,1167,732,39,15,12,1147,777,10,1
0,_AMESBURY,_Amesbury Town Precinct 6,_7_6,1079,449,19,6,17,1091,446,10,0
0,_AMHERST,_Amherst Town Precinct 1,_8_1,944,62,11,14,5,956,69,2,1
0,_AMHERST,_Amherst Town Precinct 10,_8_10,528,32,5,6,1,530,38,1,1
