IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MD_20161108_GEN_PRE_DEM_CLINTON,USA_MD_20161108_GEN_PRE_REP_TRUMP,USA_MD_20161108_GEN_PRE_LIB_JOHNSON,USA_MD_20161108_GEN_PRE_GRE_STEIN,USA_MD_20161108_GEN_PRE_OTH_WRITEIN,USA_MD_20161108_GEN_USS_DEM_VAN_HOLLEN,USA_MD_20161108_GEN_USS_REP_SZELIGA,USA_MD_20161108_GEN_USS_GRE_FLOWERS,USA_MD_20161108_GEN_USS_OTH_WRITEIN
0,_ALLE,_ALLEGANY PRECINCT 01-000,_01-000,63,420,7,2,8,84,367,15,0
0,_ALLE,_ALLEGANY PRECINCT 02-000,_02-000,78,457,18,9,2,117,400,19,0
0,_ALLE,_ALLEGANY PRECINCT 03-000,_03-000,81,444,6,4,1,106,389,14,1
0,_ALLE,_ALLEGANY PRECINCT 04-002,_04-002,126,200,16,11,2,158,151,34,0
0,_ALLE,_ALLEGANY PRECINCT 04-003,_04-003,209,366,18,13,9,273,282,34,0
0,_ALLE,_ALLEGANY PRECINCT 04-004,_04-004,247,559,20,19,9,327,445,35,0
0,_ALLE,_ALLEGANY PRECINCT 04-005,_04-005,153,309,11,16,2,192,243,34,0
0,_ALLE,_ALLEGANY PRECINCT 04-008,_04-008,221,490,29,16,12,311,388,39,1
0,_ALLE,_ALLEGANY PRECINCT 05-004,_05-004,215,409,22,21,11,261,336,40,1
0,_ALLE,_ALLEGANY PRECINCT 05-006,_05-006,67,278,12,3,0,114,211,20,0
0,_ALLE,_ALLEGANY PRECINCT 06-001,_06-001,341,339,21,4,19,329,311,32,1
0,_ALLE,_ALLEGANY PRECINCT 06-003,_06-003,137,187,15,13,9,166,153,18,0
0,_ALLE,_ALLEGANY PRECINCT 06-005,_06-005,245,369,19,7,10,268,338,15,0
0,_ALLE,_ALLEGANY PRECINCT 06-006,_06-006,199,702,23,16,1,303,582,35,0
0,_ALLE,_ALLEGANY PRECINCT 06-099,_06-099,0,0,0,0,0,0,0,0,0
0,_ALLE,_ALLEGANY PRECINCT 07-001,_07-001,289,745,36,7,3,346,654,45,0
0,_ALLE,_ALLEGANY PRECINCT 07-002,_07-002,247,886,28,8,11,339,776,29,2
0,_ALLE,_ALLEGANY PRECINCT 08-000,_08-000,290,1277,41,11,10,410,1058,71,0
0,_ALLE,_ALLEGANY PRECINCT 09-000,_09-000,86,539,16,3,5,134,445,25,0
0,_ALLE,_ALLEGANY PRECINCT 10-000,_10-000,134,810,20,3,5,184,663,28,1
0,_ALLE,_ALLEGANY PRECINCT 11-000,_11-000,314,343,20,9,13,311,318,29,0
0,_ALLE,_ALLEGANY PRECINCT 12-000,_12-000,498,853,70,23,15,551,740,71,1
0,_ALLE,_ALLEGANY PRECINCT 13-000,_13-000,197,879,27,2,3,291,733,43,1
0,_ALLE,_ALLEGANY PRECINCT 14-000,_14-000,153,111,7,9,11,158,92,14,3
