IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MD_20201103_GEN_PRE_DEM_BIDEN,USA_MD_20201103_GEN_PRE_REP_TRUMP,USA_MD_20201103_GEN_PRE_LIB_JORGENSEN,USA_MD_20201103_GEN_PRE_GRE_HAWKINS,USA_MD_20201103_GEN_PRE_BRE_SEGAL,USA_MD_20201103_GEN_PRE_OTH_WRITEIN
0,_ALLE,_ALLEGANY PRECINCT 01-000,_01-000,76,417,6,2,0,0
0,_ALLE,_ALLEGANY PRECINCT 02-000,_02-000,81,429,5,0,0,3
0,_ALLE,_ALLEGANY PRECINCT 03-000,_03-000,80,460,2,2,0,0
0,_ALLE,_ALLEGANY PRECINCT 04-002,_04-002,133,210,5,4,2,1
0,_ALLE,_ALLEGANY PRECINCT 04-003,_04-003,238,375,6,8,1,4
0,_ALLE,_ALLEGANY PRECINCT 04-004,_04-004,374,563,2,6,3,10
0,_ALLE,_ALLEGANY PRECINCT 04-005,_04-005,147,303,1,1,1,1
0,_ALLE,_ALLEGANY PRECINCT 04-008,_04-008,275,512,15,2,2,2
0,_ALLE,_ALLEGANY PRECINCT 05-004,_05-004,275,415,4,2,1,4
0,_ALLE,_ALLEGANY PRECINCT 05-006,_05-006,72,281,5,1,0,0
0,_ALLE,_ALLEGANY PRECINCT 06-001,_06-001,439,375,10,3,2,5
0,_ALLE,_ALLEGANY PRECINCT 06-003,_06-003,169,228,4,1,0,5
0,_ALLE,_ALLEGANY PRECINCT 06-005,_06-005,333,369,14,4,1,6
0,_ALLE,_ALLEGANY PRECINCT 06-006,_06-006,262,657,6,7,1,6
0,_ALLE,_ALLEGANY PRECINCT 06-099,_06-099,0,0,0,0,0,0
0,_ALLE,_ALLEGANY PRECINCT 07-001,_07-001,292,769,11,7,1,3
0,_ALLE,_ALLEGANY PRECINCT 07-002,_07-002,330,832,13,4,0,3
0,_ALLE,_ALLEGANY PRECINCT 08-000,_08-000,254,997,9,4,3,2
0,_ALLE,_ALLEGANY PRECINCT 09-000,_09-000,82,437,2,3,1,3
0,_ALLE,_ALLEGANY PRECINCT 10-000,_10-000,129,696,9,2,1,3
0,_ALLE,_ALLEGANY PRECINCT 11-000,_11-000,286,327,4,2,0,2
0,_ALLE,_ALLEGANY PRECINCT 12-000,_12-000,559,881,28,10,3,7
0,_ALLE,_ALLEGANY PRECINCT 13-000,_13-000,165,784,9,4,0,1
0,_ALLE,_ALLEGANY PRECINCT 14-000,_14-000,130,134,4,4,0,0
0,_ALLE,_ALLEGANY PRECINCT 16-000,_16-000,187,878,3,6,1,0
0,_ALLE,_ALLEGANY PRECINCT 18-000,_18-000,150,851,9,1,0,3
0,_ALLE,_ALLEGANY PRECINCT 20-000,_20-000,168,818,6,3,3,2
0,_ALLE,_ALLEGANY PRECINCT 21-000,_21-000,111,514,6,1,0,0
0,_ALLE,_ALLEGANY PRECINCT 22-000,_22-001,336,621,19,1,0,4
0,_ALLE,_ALLEGANY PRECINCT 22-001,_22-002,20,69,0,0,0,0
0,_ALLE,_ALLEGANY PRECINCT 23-000,_23-000,408,695,17,4,1,7
0,_ALLE,_ALLEGANY PRECINCT 24-000,_24-000,191,652,5,1,3,10
0,_ALLE,_ALLEGANY PRECINCT 26-000,_26-000,921,745,22,5,1,14
0,_ALLE,_ALLEGANY PRECINCT 29-001,_29-001,428,913,13,2,2,3
0,_ALLE,_ALLEGANY PRECINCT 29-002,_29-002,413,745,13,3,0,8
0,_ALLE,_ALLEGANY PRECINCT 29-003,_29-003,280,580,7,3,0,2
0,_ALLE,_ALLEGANY PRECINCT 31-000,_31-000,138,615,6,1,0,2
0,_ALLE,_ALLEGANY PRECINCT 34-000,_34-000,226,739,8,6,5,4
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-001,_01-001,737,893,20,8,4,10
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-002,_01-002,655,717,26,4,2,14
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-003,_01-003,590,822,22,12,1,6
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-004,_01-004,911,595,21,8,4,0
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-005,_01-005,864,401,18,4,1,13
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-006,_01-006,1371,475,29,12,2,20
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-007,_01-007,406,629,25,11,2,10
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-008,_01-008,609,936,32,5,3,18
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-009,_01-009,521,880,29,9,2,3
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-010,_01-010,491,573,18,5,1,13
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-011,_01-011,374,505,14,7,1,4
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-012,_01-012,1358,390,19,10,2,8
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-013,_01-013,313,307,8,4,1,1
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-014,_01-014,571,710,17,12,4,7
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-015,_01-015,666,648,20,9,3,9
0,_ANNE,_ANNE ARUNDEL PRECINCT 01-016,_01-016,543,571,17,8,1,4
