IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_ME_20161108_GEN_PRE_DEM_CLINTON,USA_ME_20161108_GEN_PRE_REP_TRUMP,USA_ME_20161108_GEN_PRE_LIB_JOHNSON,USA_ME_20161108_GEN_PRE_GRE_STEIN,USA_ME_20161108_GEN_PRE_OTH_WRITEIN
0,_Androscoggin,_Auburn Ward 1,_Auburn Ward 1,1110,1045,185,40,10
0,_Androscoggin,_Auburn Ward 2,_Auburn Ward 2,1346,1060,164,51,7
0,_Androscoggin,_Auburn Ward 3,_Auburn Ward 3,954,1131,149,33,11
0,_Androscoggin,_Auburn Ward 4,_Auburn Ward 4,805,891,87,38,10
0,_Androscoggin,_Auburn Ward 5,_Auburn Ward 5,1126,1208,157,47,5
0,_Androscoggin,_Durham,_Durham,1093,1268,148,44,0
0,_Androscoggin,_Greene,_Greene,817,1545,151,26,0
0,_Androscoggin,_Leeds,_Leeds,418,752,76,17,10
0,_Androscoggin,_Lewiston Ward 1,_Lewiston Ward 1,1529,805,113,34,8
0,_Androscoggin,_Lewiston Ward 2,_Lewiston Ward 2,1332,1521,177,40,10
0,_Androscoggin,_Lewiston Ward 3,_Lewiston Ward 3,1490,555,103,43,7
0,_Androscoggin,_Lewiston Ward 4,_Lewiston Ward 4,1014,1132,144,26,6
0,_Androscoggin,_Lewiston Ward 5,_Lewiston Ward 5,816,547,90,29,5
0,_Androscoggin,_Lewiston Ward 6,_Lewiston Ward 6,1065,1572,176,37,10
0,_Androscoggin,_Lewiston Ward 7,_Lewiston Ward 7,1047,1218,148,28,8
0,_Androscoggin,_Lisbon,_Lisbon,1711,2754,283,84,17
0,_Androscoggin,_Livermore,_Livermore,475,705,64,22,29
0,_Androscoggin,_Livermore Falls,_Livermore Falls,555,729,115,44,0
0,_Androscoggin,_Mechanic Falls,_Mechanic Falls,519,873,118,24,5
0,_Androscoggin,_Minot,_Minot,544,983,101,22,7
0,_Androscoggin,_Poland,_Poland,1255,1688,200,59,7
0,_Androscoggin,_Sabattus,_Sabattus,872,1704,153,51,0
0,_Androscoggin,_Turner,_Turner,1092,2014,150,47,12
0,_Androscoggin,_Wales,_Wales,221,579,64,6,6
0,_Aroostook,_Allagash,_Allagash,70,85,3,2,1
0,_Aroostook,_Amity,_Amity,29,82,4,2,2
0,_Aroostook,_Ashland,_Ashland,210,348,40,11,0
0,_Aroostook,_Big Twenty/T15 R15,_Big Twenty/T15 R15,0,2,0,0,0
0,_Aroostook,_Blaine,_Blaine,95,284,13,2,2
0,_Aroostook,_Bridgewater,_Bridgewater,86,202,17,5,0
0,_Aroostook,_Caribou/Connor,_Caribou/Connor,1609,2110,214,46,18
0,_Aroostook,_Cary,_Cary,24,81,6,1,0
0,_Aroostook,_Castle Hill,_Castle Hill,86,123,11,3,0
0,_Aroostook,_Caswell,_Caswell,74,58,6,4,0
0,_Aroostook,_Central Aroostook,_Central Aroostook,0,0,0,0,0
0,_Aroostook,_Chapman,_Chapman,100,156,15,5,4
0,_Aroostook,_Cross Lake,_Cross Lake,53,55,9,2,0
0,_Aroostook,_Crystal,_Crystal,33,102,8,3,0
0,_Aroostook,_Cyr,_Cyr,22,28,1,0,0
0,_Aroostook,_Dyer Brook,_Dyer Brook,38,96,9,4,0
0,_Aroostook,_E Twp,_E Twp,5,28,1,1,0
0,_Aroostook,_Eagle Lake,_Eagle Lake,220,231,16,3,0
0,_Aroostook,_Easton,_Easton,219,409,28,15,1
0,_Aroostook,_Fort Fairfield,_Fort Fairfield,665,890,70,13,18
0,_Aroostook,_Fort Kent,_Fort Kent,994,999,96,30,4
0,_Aroostook,_Frenchville,_Frenchville,266,313,22,8,2
0,_Aroostook,_Garfield,_Garfield,14,31,4,1,0
0,_Aroostook,_Glenwood,_Glenwood,0,2,0,0,0
0,_Aroostook,_Grand Isle,_Grand Isle,123,93,4,4,0
0,_Aroostook,_Hamlin,_Hamlin,48,52,0,1,0
0,_Aroostook,_Hammond,_Hammond,8,37,3,1,0
0,_Aroostook,_Haynesville,_Haynesville,11,33,2,1,2
0,_Aroostook,_Hersey,_Hersey,4,23,5,0,2
0,_Aroostook,_Hodgdon,_Hodgdon,149,500,22,6,3
0,_Aroostook,_Houlton,_Houlton,948,1576,135,36,9
0,_Aroostook,_Island Falls,_Island Falls,124,250,16,11,0
0,_Aroostook,_Limestone,_Limestone,328,411,37,15,2
0,_Aroostook,_Linneus,_Linneus,89,359,17,3,0
0,_Aroostook,_Littleton,_Littleton,113,357,19,7,0
0,_Aroostook,_Ludlow,_Ludlow,66,140,19,4,0
0,_Aroostook,_Macwahoc,_Macwahoc,14,27,2,0,1
0,_Aroostook,_Madawaska,_Madawaska,1188,847,95,36,1
0,_Aroostook,_Madawaska Lake,_Madawaska Lake,58,47,1,1,0
0,_Aroostook,_Mapleton,_Mapleton,362,694,57,13,2
0,_Aroostook,_Mars Hill,_Mars Hill,195,519,28,8,4
0,_Aroostook,_Masardis,_Masardis,44,79,3,2,0
0,_Aroostook,_Merrill,_Merrill,37,82,11,3,0
0,_Aroostook,_Molunkus,_Molunkus,19,29,0,0,0
0,_Aroostook,_Monticello,_Monticello,97,297,8,6,2
0,_Aroostook,_Moro/T7 R5,_Moro/T7 R5,1,25,0,0,1
0,_Aroostook,_Nashville,_Nashville,7,12,1,0,0
0,_Aroostook,_New Canada,_New Canada,69,85,4,4,0
0,_Aroostook,_New Limerick,_New Limerick,98,224,11,2,0
0,_Aroostook,_New Sweden,_New Sweden,148,185,24,8,2
