IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_ME_20201103_GEN_PRE_DEM_BIDEN,USA_ME_20201103_GEN_PRE_REP_TRUMP,USA_ME_20201103_GEN_PRE_LIB_JORGENSEN,USA_ME_20201103_GEN_PRE_GRE_HAWKINS,USA_ME_20201103_GEN_PRE_ALL_FUENTE,USA_ME_20201103_GEN_USS_DEM_GIDEON,USA_ME_20201103_GEN_USS_REP_COLLINS,USA_ME_20201103_GEN_USS_IND_SAVAGE,USA_ME_20201103_GEN_USS_IND_LINN
0,_Androscoggin,_Auburn Ward 1/2,_Auburn Ward 1/2,3022,2163,112,50,6,2481,2530,226,89
0,_Androscoggin,_Auburn Ward 3/4,_Auburn Ward 3/4,2175,2040,74,39,17,1721,2338,202,92
0,_Androscoggin,_Auburn Ward 5,_Auburn Ward 5,1354,1219,61,36,3,1073,1391,155,72
0,_Androscoggin,_Durham,_Durham,1376,1336,64,27,7,1043,1575,164,40
0,_Androscoggin,_Greene,_Greene,924,1667,33,27,4,691,1834,93,38
0,_Androscoggin,_Leeds,_Leeds,510,820,27,9,3,397,898,53,22
0,_Androscoggin,_Lewiston Ward 1/3,_Lewiston Ward 1/3,2974,1370,66,83,5,2603,1581,196,71
0,_Androscoggin,_Lewiston Ward 2,_Lewiston Ward 2,1496,1489,61,28,5,1160,1743,91,70
0,_Androscoggin,_Lewiston Ward 4,_Lewiston Ward 4,1384,1148,60,28,0,1105,1347,129,31
0,_Androscoggin,_Lewiston Ward 5/7,_Lewiston Ward 5/7,2677,1671,64,45,13,2303,1914,185,73
0,_Androscoggin,_Lewiston Ward 6,_Lewiston Ward 6,1188,1572,62,25,5,931,1819,98,60
0,_Androscoggin,_Lisbon,_Lisbon,2213,2860,127,61,14,1764,3141,255,123
0,_Androscoggin,_Livermore,_Livermore,579,785,25,10,3,454,885,33,14
0,_Androscoggin,_Livermore Falls,_Livermore Falls,546,811,22,20,2,464,841,66,31
0,_Androscoggin,_Mechanic Falls,_Mechanic Falls,657,991,41,22,2,512,1059,83,53
0,_Androscoggin,_Minot,_Minot,683,1042,38,14,2,521,1178,61,26
0,_Androscoggin,_Poland,_Poland,1529,1910,59,29,11,1168,2165,136,54
0,_Androscoggin,_Sabattus,_Sabattus,1045,1769,53,26,2,844,1889,103,67
0,_Androscoggin,_Turner,_Turner,1302,2057,56,32,2,1015,2255,112,61
0,_Androscoggin,_Wales,_Wales,278,617,15,6,3,195,684,21,16
0,_Aroostook,_Allagash,_Allagash,75,95,0,0,0,67,90,5,3
0,_Aroostook,_Amity,_Amity,27,96,0,0,1,24,95,0,5
0,_Aroostook,_Ashland/T12 R13/T9 R8,_Ashland/T12 R13/T9 R8,233,377,4,4,0,147,423,23,15
0,_Aroostook,_Blaine,_Blaine,98,299,2,1,2,54,320,9,12
0,_Aroostook,_Bridgewater,_Bridgewater,78,215,1,0,0,53,231,7,1
0,_Aroostook,_Caribou/Connor,_Caribou/Connor,1720,2267,35,18,7,990,2831,124,75
0,_Aroostook,_Castle Hill,_Castle Hill,98,130,2,1,0,64,159,8,3
0,_Aroostook,_Caswell,_Caswell,60,73,2,0,0,47,88,1,1
0,_Aroostook,_Central Aroostook,_Central Aroostook,0,0,0,0,0,0,0,0,0
0,_Aroostook,_Chapman,_Chapman,98,177,4,1,0,72,193,3,11
0,_Aroostook,_Cross Lake,_Cross Lake,65,60,0,1,0,48,67,5,7
0,_Aroostook,_Crystal,_Crystal,39,120,1,4,0,23,126,10,2
0,_Aroostook,_Cyr,_Cyr,26,30,0,0,0,17,38,0,2
0,_Aroostook,_Dyer Brook,_Dyer Brook,40,106,2,0,2,31,112,3,4
0,_Aroostook,_E Twp,_E Twp,12,32,0,0,0,6,32,3,1
0,_Aroostook,_Eagle Lake,_Eagle Lake,199,257,6,1,0,145,288,15,17
0,_Aroostook,_Easton,_Easton,244,468,4,2,1,165,513,23,15
0,_Aroostook,_Fort Fairfield,_Fort Fairfield,681,987,23,18,1,481,1133,57,38
0,_Aroostook,_Fort Kent/Big Twenty/T15 R15,_Fort Kent/Big Twenty/T15 R15,1080,1144,26,26,5,817,1344,79,34
0,_Aroostook,_Frenchville,_Frenchville,238,362,4,3,0,204,379,11,14
0,_Aroostook,_Garfield,_Garfield,11,42,3,0,0,6,45,1,4
0,_Aroostook,_Glenwood,_Glenwood,0,1,0,0,0,0,1,0,0
0,_Aroostook,_Grand Isle,_Grand Isle,108,119,3,2,1,88,134,3,6
0,_Aroostook,_Hamlin,_Hamlin,49,61,0,0,0,28,77,4,0
0,_Aroostook,_Hammond,_Hammond,11,34,0,1,0,13,34,0,0
0,_Aroostook,_Haynesville,_Haynesville,12,50,0,1,0,9,48,2,3
0,_Aroostook,_Hersey,_Hersey,8,33,1,0,0,8,30,1,0
0,_Aroostook,_Hodgdon/Cary,_Hodgdon/Cary,187,614,8,3,3,129,630,28,22
0,_Aroostook,_Houlton,_Houlton,1057,1643,34,18,3,741,1848,83,66
