IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MI_20201103_GEN_PRE_DEM_BIDEN,USA_MI_20201103_GEN_PRE_REP_TRUMP,USA_MI_20201103_GEN_PRE_LIB_JORGENSEN,USA_MI_20201103_GEN_PRE_TAX_BLANKENSHIP,USA_MI_20201103_GEN_PRE_GRE_HAWKINS,USA_MI_20201103_GEN_PRE_NAT_FUENTE,USA_MI_20201103_GEN_USS_DEM_PETERS,USA_MI_20201103_GEN_USS_REP_JAMES,USA_MI_20201103_GEN_USS_TAX_WILLIS,USA_MI_20201103_GEN_USS_GRE_SQUIER,USA_MI_20201103_GEN_USS_NAT_DERN
0,_Acme Township,"_Acme Township, Precinct 1",_Acme Twp 1,985,983,28,2,6,0,923,1058,6,11,0
0,_Acme Township,"_Acme Township, Precinct 2",_Acme Twp 2,517,631,17,1,3,0,486,669,1,6,0
0,_Ada Township,"_Ada Township, Precinct 1",_Ada Twp 1,593,473,13,1,0,0,538,542,3,3,0
0,_Ada Township,"_Ada Township, Precinct 2",_Ada Twp 2,1043,886,28,1,5,1,918,1007,10,10,0
0,_Ada Township,"_Ada Township, Precinct 3",_Ada Twp 3,512,592,28,2,3,0,447,677,8,9,0
0,_Ada Township,"_Ada Township, Precinct 4",_Ada Twp 4,402,554,10,0,2,0,345,621,3,3,0
0,_Ada Township,"_Ada Township, Precinct 5",_Ada Twp 5,682,1032,34,0,1,1,588,1132,7,11,2
0,_Ada Township,"_Ada Township, Precinct 6",_Ada Twp 6,421,380,14,0,3,2,369,440,2,3,0
0,_Ada Township,"_Ada Township, Precinct 7",_Ada Twp 7,539,446,21,1,2,1,464,538,3,5,0
0,_Ada Township,"_Ada Township, Precinct 8",_Ada Twp 8,450,510,15,1,1,1,410,564,4,4,2
0,_Adams Township,"_Adams Township, Precinct 1",_Adams Twp 1,75,235,7,1,0,0,78,219,8,1,0
0,_Adams Township,"_Adams Township, Precinct 1",_Adams Twp 1,301,1030,17,2,8,2,307,1004,16,14,4
0,_Adams Township,"_Adams Township, Precinct 1",_Adams Twp 1,504,755,21,0,4,2,538,707,9,7,1
0,_Addison Township,"_Addison Township, Precinct 1",_Addison Twp 1,439,1123,19,1,2,1,426,1106,15,14,4
0,_Addison Township,"_Addison Township, Precinct 2",_Addison Twp 2,482,1095,17,0,4,1,464,1101,11,16,0
0,_Addison Township,"_Addison Township, Precinct 3",_Addison Twp 3,336,713,8,0,0,0,334,696,6,6,2
0,_Adrian City,"_Adrian City, Precinct 1",_Adrian 1,801,445,16,3,6,2,771,445,23,13,1
0,_Adrian City,"_Adrian City, Precinct 2",_Adrian 2,593,413,16,2,5,1,553,412,21,15,3
0,_Adrian City,"_Adrian City, Precinct 3",_Adrian 3,600,440,18,2,2,0,582,427,20,9,1
0,_Adrian City,"_Adrian City, Precinct 4",_Adrian 4,904,732,17,0,3,2,831,771,16,10,2
0,_Adrian City,"_Adrian City, Precinct 5",_Adrian 5,817,731,28,1,3,1,769,742,18,22,7
0,_Adrian City,"_Adrian City, Precinct 6",_Adrian 6,790,640,22,0,5,1,725,667,14,14,7
0,_Adrian Township,"_Adrian Township, Precinct 1",_Adrian Twp 1,832,1214,14,3,2,1,745,1267,17,7,4
0,_Adrian Township,"_Adrian Township, Precinct 2",_Adrian Twp 2,813,1128,22,3,4,2,774,1133,19,12,4
0,_Aetna Township,"_Aetna Township, Precinct 1",_Aetna Twp 1,253,837,14,1,0,1,274,799,13,5,1
0,_Aetna Township,"_Aetna Township, Precinct 1",_Aetna Twp 1,35,231,2,1,0,0,37,228,1,2,0
0,_Akron Township,"_Akron Township, Precinct 1",_Akron Twp 1,201,566,14,0,0,2,218,539,6,7,2
0,_Alabaster Township,"_Alabaster Township, Precinct 1",_Alabaster Twp 1,117,227,1,1,0,0,132,207,2,0,2
0,_Alaiedon Township,"_Alaiedon Township, Precinct 1",_Alaiedon Twp 1,335,343,8,0,1,0,332,342,11,0,0
0,_Alaiedon Township,"_Alaiedon Township, Precinct 2",_Alaiedon Twp 2,310,318,13,1,3,0,300,336,3,2,2
0,_Alaiedon Township,"_Alaiedon Township, Precinct 3",_Alaiedon Twp 3,317,329,9,1,2,1,312,337,2,6,1
0,_Alamo Township,"_Alamo Township, Precinct 1",_Alamo Twp 1,342,576,15,3,3,0,333,588,7,6,5
0,_Alamo Township,"_Alamo Township, Precinct 2",_Alamo Twp 2,588,915,23,5,5,0,563,931,22,9,2
0,_Albee Township,"_Albee Township, Precinct 1",_Albee Twp 1,393,707,13,0,1,1,440,629,15,3,5
0,_Albert Township,"_Albert Township, Precinct 1",_Albert Twp 1,443,1047,9,2,4,0,471,1000,8,5,3
0,_Albion City,"_Albion City, Precinct 1",_Albion 1,446,92,4,0,0,0,438,88,7,4,1
0,_Albion City,"_Albion City, Precinct 2",_Albion 2,314,90,4,0,1,0,314,83,5,1,0
0,_Albion City,"_Albion City, Precinct 3",_Albion 3,435,194,12,2,2,0,411,208,14,4,6
0,_Albion City,"_Albion City, Precinct 4",_Albion 4,306,184,3,1,2,0,301,180,2,7,1
0,_Albion City,"_Albion City, Precinct 5",_Albion 5,445,257,9,0,1,0,435,246,13,6,2
