IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MN_20161108_GEN_PRE_REP_TRUMP,USA_MN_20161108_GEN_PRE_DEM_CLINTON,USA_MN_20161108_GEN_PRE_CON_CASTLE,USA_MN_20161108_GEN_PRE_MAR_VACEK,USA_MN_20161108_GEN_PRE_SOC_KENNEDY,USA_MN_20161108_GEN_PRE_GRE_STEIN,USA_MN_20161108_GEN_PRE_DEL_FUENTE,USA_MN_20161108_GEN_PRE_IND_MCMULLIN,USA_MN_20161108_GEN_PRE_LIB_JOHNSON,USA_MN_20161108_GEN_PRE_OTH_WRITEIN
0,_001,_Aitkin,_0005,552,358,3,7,1,2,0,21,36,6
0,_001,_Aitkin Twp,_0010,356,154,1,2,0,5,0,7,18,4
0,_001,_Ball Bluff Twp,_0015,96,57,0,1,0,1,0,2,6,1
0,_001,_Balsam Twp,_0020,9,8,0,0,0,0,0,0,0,1
0,_001,_Beaver Twp,_0025,16,19,0,2,0,0,0,0,0,0
0,_001,_Clark Twp,_0030,47,30,0,1,0,1,0,0,0,0
0,_001,_Cornish Twp,_0035,11,9,0,0,0,0,0,0,2,0
0,_001,_Unorg 47-24 (Davidson Unorg),_0038,15,9,0,0,0,0,0,0,0,0
0,_001,_Farm Island Twp,_0040,432,267,0,2,0,6,0,8,16,2
0,_001,_Fleming Twp,_0045,144,78,0,1,0,3,0,1,11,1
0,_001,_Glen Twp,_0050,174,105,1,2,0,0,0,6,13,2
0,_001,_Haugen Twp,_0055,61,38,0,0,0,0,0,3,5,0
0,_001,_Hazelton Twp,_0060,329,189,0,1,0,4,0,7,10,3
0,_001,_Hill City,_0065,204,97,0,3,0,0,0,2,7,0
0,_001,_Hill Lake Twp,_0070,126,78,1,0,1,2,0,1,5,1
0,_001,_Idun Twp,_0075,79,27,0,0,0,0,0,0,5,0
0,_001,_Jevne Twp,_0080,121,43,0,1,0,0,0,3,5,1
0,_001,_Unorg 45-24 (Jewett Unorg),_0082,18,4,1,0,0,0,0,0,0,2
0,_001,_Kimberly Twp,_0085,71,44,0,0,0,1,0,5,2,0
0,_001,_Lakeside Twp,_0090,175,87,1,1,0,4,0,3,3,2
0,_001,_Lee Twp,_0095,22,7,0,0,0,0,0,0,1,0
0,_001,_Libby Twp P-East,_0100,15,5,0,0,0,0,0,0,0,0
0,_001,_Libby Twp P-West,_0105,6,8,0,1,0,1,0,0,1,0
0,_001,_Logan Twp,_0110,72,36,0,0,1,2,0,0,5,0
0,_001,_McGrath,_0115,16,4,0,4,0,0,0,0,2,0
0,_001,_McGregor,_0120,74,62,0,0,0,2,0,4,3,1
0,_001,_McGregor Twp,_0125,36,10,0,0,0,0,0,1,0,1
0,_001,_Macville Twp,_0130,57,37,0,1,0,1,0,1,1,0
0,_001,_Millward Twp,_0132,12,13,0,0,0,0,0,0,2,0
0,_001,_Malmo Twp,_0135,127,77,2,1,0,0,1,4,5,2
0,_001,_Morrison Twp,_0140,62,25,1,0,0,1,1,1,5,0
0,_001,_Nordland Twp,_0145,406,230,3,2,0,5,0,12,22,3
