IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MN_20201103_GEN_PRE_DEM_BIDEN,USA_MN_20201103_GEN_PRE_REP_TRUMP,USA_MN_20201103_GEN_PRE_LIB_JORGENSEN,USA_MN_20201103_GEN_PRE_GRE_HAWKINS,USA_MN_20201103_GEN_PRE_ALL_FUENTE,USA_MN_20201103_GEN_PRE_SOL_LARIVA,USA_MN_20201103_GEN_PRE_SOW_KENNEDY,USA_MN_20201103_GEN_PRE_IND_WEST,USA_MN_20201103_GEN_PRE_IND_PIERCE,USA_MN_20201103_GEN_PRE_OTH_WRITEIN,USA_MN_20201103_GEN_USS_DEM_SMITH,USA_MN_20201103_GEN_USS_REP_LEWIS,USA_MN_20201103_GEN_USS_MAR_OCONNOR,USA_MN_20201103_GEN_USS_GRA_STEINBERG,USA_MN_20201103_GEN_USS_OTH_WRITEIN
0,_Aitkin,_Aitkin,_270010005,446,626,9,2,3,0,0,4,1,0,421,545,79,22,0
0,_Aitkin,_Aitkin Twp,_270010010,187,379,3,2,1,0,2,1,0,1,171,363,27,5,0
0,_Aitkin,_Ball Bluff Twp,_270010015,75,107,3,0,0,0,0,0,0,0,79,95,6,1,0
0,_Aitkin,_Balsam Twp,_270010020,11,12,0,0,0,1,0,0,0,0,11,13,0,0,0
0,_Aitkin,_Beaver Twp,_270010025,20,17,0,0,0,0,0,0,0,1,20,16,0,0,0
0,_Aitkin,_Clark Twp,_270010030,40,41,0,0,0,0,0,0,1,0,35,38,5,1,0
0,_Aitkin,_Cornish Twp,_270010035,15,12,1,0,0,0,0,0,1,0,15,14,0,0,0
0,_Aitkin,_Farm Island Twp,_270010040,285,482,2,0,0,0,0,1,1,1,277,463,15,4,0
0,_Aitkin,_Fleming Twp,_270010045,77,153,2,0,1,0,0,1,0,0,75,149,4,1,0
0,_Aitkin,_Glen Twp,_270010050,137,197,0,0,0,0,0,1,0,1,132,183,8,5,2
0,_Aitkin,_Haugen Twp,_270010055,46,56,1,1,0,0,0,1,0,0,44,54,5,2,0
0,_Aitkin,_Hazelton Twp,_270010060,220,382,1,1,0,0,0,0,0,1,200,344,39,11,0
0,_Aitkin,_Hill City,_270010065,105,175,2,1,0,0,0,0,1,0,107,146,22,4,0
0,_Aitkin,_Hill Lake Twp,_270010070,89,167,2,1,1,0,0,1,1,1,91,156,8,1,1
0,_Aitkin,_Idun Twp,_270010075,35,90,0,0,0,0,0,0,1,1,40,82,4,0,0
0,_Aitkin,_Jevne Twp,_270010080,64,152,2,0,0,0,0,0,0,0,66,134,3,5,0
0,_Aitkin,_Kimberly Twp,_270010085,42,78,0,1,0,0,0,1,0,0,43,73,3,2,0
0,_Aitkin,_Lakeside Twp,_270010090,124,217,0,1,0,0,0,0,0,0,111,201,20,4,0
0,_Aitkin,_Lee Twp,_270010095,2,34,0,0,0,0,0,0,0,0,3,28,4,0,0
