IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MO_20161108_GEN_PRE_REP_TRUMP,USA_MO_20161108_GEN_PRE_DEM_CLINTON,USA_MO_20161108_GEN_PRE_LIB_JOHNSON,USA_MO_20161108_GEN_PRE_GRE_STEIN,USA_MO_20161108_GEN_PRE_CON_CASTLE,USA_MO_20161108_GEN_USS_REP_BLUNT,USA_MO_20161108_GEN_USS_DEM_KANDER,USA_MO_20161108_GEN_USS_LIB_DINE,USA_MO_20161108_GEN_USS_GRE_MCFARLAND,USA_MO_20161108_GEN_USS_CON_RYMAN,USA_MO_20161108_GEN_GOV_REP_GREITENS,USA_MO_20161108_GEN_GOV_DEM_KOSTER,USA_MO_20161108_GEN_GOV_LIB_SPRAGINS,USA_MO_20161108_GEN_GOV_GRE_FITZ,USA_MO_20161108_GEN_GOV_IND_TURILLI_JR,USA_MO_20161108_GEN_LTG_REP_PARSON,USA_MO_20161108_GEN_LTG_DEM_CARNAHAN,USA_MO_20161108_GEN_LTG_LIB_HEDRICK,USA_MO_20161108_GEN_LTG_GRE_LEACH,USA_MO_20161108_GEN_ATG_REP_HAWLEY,USA_MO_20161108_GEN_ATG_DEM_HENSLEY,USA_MO_20161108_GEN_TRE_REP_SCHMITT,USA_MO_20161108_GEN_TRE_DEM_BAKER,USA_MO_20161108_GEN_TRE_LIB_OTOOLE,USA_MO_20161108_GEN_TRE_GRE_HEXEM,USA_MO_20161108_GEN_SOS_REP_ASHCROFT,USA_MO_20161108_GEN_SOS_DEM_SMITH,USA_MO_20161108_GEN_SOS_LIB_MORRILL
0,_001,_Brashear,_Brashear,738,167,29,14,4,639,273,20,3,18,635,284,9,14,11,635,249,27,19,727,202,699,209,18,4,705,190,31
0,_001,_Northeast 4,_Northeast 4,463,451,52,31,2,442,517,27,17,2,458,495,24,14,9,431,468,33,44,486,482,444,458,44,22,484,440,47
0,_001,_Northeast 5,_Northeast 5,503,299,35,12,5,476,357,11,14,2,493,353,4,5,7,480,324,12,19,530,302,507,291,22,15,515,295,24
0,_001,_Northeast 6,_Northeast 6,643,371,44,9,7,620,440,19,8,2,645,430,4,5,11,608,424,22,9,716,353,685,353,22,6,680,349,34
0,_001,_Novinger,_Novinger,838,209,25,4,5,721,295,31,13,19,736,308,15,7,11,722,277,28,25,810,242,782,240,24,11,768,236,44
0,_001,_Rural Benton,_Rural Benton,1285,420,58,11,8,1166,568,28,9,16,1195,548,19,7,14,1163,535,40,18,1309,439,1264,426,43,13,1265,436,52
0,_001,_Southeast 2,_Southeast 2,768,535,62,16,16,775,594,22,8,19,798,580,17,7,7,784,557,36,17,849,538,829,518,35,9,865,472,48
0,_001,_Southeast 3,_Southeast 3,270,457,36,23,0,265,492,14,12,7,279,492,13,11,2,310,420,15,29,315,458,307,422,25,18,330,408,30
0,_001,_Southwest 1,_Southwest 1,412,262,47,9,1,363,314,29,12,8,386,314,19,6,2,368,289,28,36,431,290,400,289,28,6,418,265,36
0,_001,_Truman State University,_Truman State University,110,329,38,18,2,136,348,2,5,2,137,341,9,7,2,148,299,8,23,150,328,142,304,17,16,153,308,16
0,_003,_Fillmore/Clay,_Fillmore/Clay,343,78,16,1,1,307,114,6,7,3,276,160,2,1,2,300,108,13,15,331,102,323,94,7,2,323,92,19
0,_003,_Helena,_Helena,259,62,9,1,2,228,84,12,5,2,226,102,1,4,4,228,79,2,18,254,76,231,85,4,3,258,62,8
0,_003,_John Glenn/Country Club/Beeler,_John Glenn/Country Club/Beeler,1985,690,75,17,9,1685,961,61,17,23,1787,921,30,9,11,1743,836,66,59,1828,869,1775,818,57,23,1877,749,85
0,_003,_Lincoln,_Lincoln,434,99,18,6,3,335,182,22,8,6,354,192,8,2,4,350,161,18,18,383,157,374,133,20,11,389,122,31
0,_003,_Monroe East,_Monroe East,159,42,14,3,1,152,70,4,0,0,138,82,3,0,0,160,57,3,2,171,50,156,55,7,1,172,38,7
0,_003,_Monroe West,_Monroe West,226,50,4,2,1,200,76,3,3,1,198,79,0,2,0,206,58,3,5,216,60,207,61,2,0,220,53,5
0,_003,_Platte East/Empire East,_Platte East/Empire East,183,52,7,3,2,163,71,8,2,4,149,93,4,1,1,160,75,6,5,187,58,172,62,7,2,174,62,11
0,_003,_Platte West/Rosendale/Bolckow,_Platte West/Rosendale/Bolckow,543,120,26,1,1,457,219,14,3,3,442,232,10,4,4,450,192,18,14,497,178,495,150,14,9,531,127,21
0,_003,_Rochester,_Rochester,315,74,15,0,3,265,123,9,5,1,278,126,0,2,0,278,102,7,9,286,109,285,96,7,3,298,89,12
0,_003,_Savannah Northeast/Southeast,_Savannah Northeast/Southeast,1191,439,77,19,6,962,688,42,19,18,1020,670,19,15,4,1040,549,47,57,1088,602,1101,516,53,25,1160,491,51
