IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MO_20201103_GEN_PRE_REP_TRUMP,USA_MO_20201103_GEN_PRE_DEM_BIDEN,USA_MO_20201103_GEN_PRE_LIB_JORGENSEN,USA_MO_20201103_GEN_PRE_GRE_HAWKINS,USA_MO_20201103_GEN_PRE_CON_BLANKENSHIP,USA_MO_20201103_GEN_GOV_REP_PARSON,USA_MO_20201103_GEN_GOV_DEM_GALLOWAY,USA_MO_20201103_GEN_GOV_LIB_COMBS,USA_MO_20201103_GEN_GOV_GRE_BAUER,USA_MO_20201103_GEN_LTG_REP_KEHOE,USA_MO_20201103_GEN_LTG_DEM_CANADY,USA_MO_20201103_GEN_LTG_LIB_SLANTZ,USA_MO_20201103_GEN_LTG_GRE_DRAGOO,USA_MO_20201103_GEN_ATG_REP_SCHMITT,USA_MO_20201103_GEN_ATG_DEM_FINNERAN,USA_MO_20201103_GEN_ATG_LIB_BABCOCK,USA_MO_20201103_GEN_SOS_REP_ASHCROFT,USA_MO_20201103_GEN_SOS_DEM_FALETI,USA_MO_20201103_GEN_SOS_LIB_FREESE,USA_MO_20201103_GEN_SOS_GRE_LEHMANN,USA_MO_20201103_GEN_SOS_CON_VENABLE,USA_MO_20201103_GEN_TRE_REP_FITZPATRICK,USA_MO_20201103_GEN_TRE_DEM_ENGLUND,USA_MO_20201103_GEN_TRE_LIB_KASOFF,USA_MO_20201103_GEN_TRE_GRE_CIVETTINI
0,_001,_Brashear,_Brashear,818,158,8,0,3,836,139,10,2,832,117,8,5,825,134,11,873,87,4,4,5,831,122,5,3
0,_001,_Northeast 4,_Northeast 4,467,464,12,12,0,469,468,15,2,481,431,16,13,481,417,34,531,373,14,16,1,491,410,23,13
0,_001,_Northeast 5,_Northeast 5,514,323,16,4,3,553,303,5,2,525,314,16,1,542,286,20,584,250,17,2,1,543,283,15,3
0,_001,_Northeast 6,_Northeast 6,656,444,28,2,1,700,417,11,3,695,399,13,8,688,383,32,749,342,13,9,3,698,392,12,7
0,_001,_Novinger,_Novinger,1114,202,11,0,3,1135,177,16,7,1110,169,23,10,1125,158,27,1173,119,22,7,4,1118,161,16,11
0,_001,_Rural Benton,_Rural Benton,1209,393,22,0,1,1235,374,16,3,1238,344,14,9,1233,331,34,1299,292,17,6,3,1225,323,36,4
0,_001,_Southeast 2,_Southeast 2,853,607,29,7,2,881,576,25,3,893,538,34,7,916,514,38,970,468,30,4,4,901,525,33,3
0,_001,_Southeast 3,_Southeast 3,268,551,16,6,0,275,531,15,12,284,498,20,20,296,497,22,309,482,19,13,0,289,493,23,12
0,_001,_Southwest 1,_Southwest 1,484,340,12,7,0,480,337,15,10,468,324,17,13,478,323,27,520,286,15,16,0,476,321,15,15
0,_001,_Truman State University,_Truman State University,30,228,3,4,0,33,224,3,0,31,219,1,4,42,208,4,37,213,4,2,0,39,211,4,1
0,_003,_Fillmore/Clay,_Fillmore/Clay,426,78,5,0,0,419,84,6,1,414,65,9,8,415,61,15,435,53,8,3,6,414,68,9,3
0,_003,_Helena,_Helena,280,85,1,0,0,274,87,3,2,288,67,1,3,275,71,13,296,58,5,3,0,284,72,3,1
0,_003,_John Glenn/Country Club/Beeler,_John Glenn/Country Club/Beeler,2027,804,25,7,1,2006,804,40,9,1988,715,42,48,2020,681,77,2134,586,41,33,19,2003,715,43,15
0,_003,_Lincoln,_Lincoln,547,126,4,1,1,541,127,10,2,528,114,9,11,541,100,19,563,88,9,7,2,535,110,10,3
0,_003,_Monroe East,_Monroe East,191,44,3,0,0,194,36,6,0,189,40,5,1,193,36,7,198,33,7,0,0,194,38,3,0
0,_003,_Monroe West,_Monroe West,244,69,6,0,0,245,68,4,0,243,60,8,1,247,52,12,256,54,8,2,0,251,57,5,2
0,_003,_Platte East/Empire East,_Platte East/Empire East,235,60,3,0,3,238,63,2,0,237,55,5,0,233,52,11,243,49,9,1,1,239,52,6,0
0,_003,_Platte West/Rosendale/Bolckow,_Platte West/Rosendale/Bolckow,621,147,12,1,0,624,147,9,1,612,137,3,6,619,128,14,635,115,7,6,4,605,134,10,5
0,_003,_Rochester,_Rochester,355,101,7,0,0,360,91,5,5,356,77,8,9,359,80,5,372,69,9,3,2,365,74,8,0
0,_003,_Savannah Northeast/Southeast,_Savannah Northeast/Southeast,1209,427,25,7,2,1197,427,26,14,1186,361,37,33,1208,350,58,1261,288,36,28,14,1188,382,30,13
0,_003,_Savannah Northwest/Southwest,_Savannah Northwest/Southwest,1120,410,29,3,0,1097,422,29,8,1082,394,29,31,1079,363,74,1178,296,32,15,10,1105,374,32,10
0,_005,_Fairfax,_Fairfax,449,128,8,0,0,461,109,9,2,439,113,6,8,450,103,11,482,72,3,4,2,450,99,11,2
0,_005,_Rock Port,_Rock Port,809,240,13,1,0,797,226,13,5,781,203,12,11,785,182,23,846,150,11,9,5,792,191,13,5
0,_005,_Tarkio,_Tarkio,713,145,24,2,0,691,152,22,6,674,126,29,15,680,126,32,712,109,25,8,1,685,134,25,4
0,_005,_Watson,_Watson,69,12,0,0,0,62,15,2,1,54,18,1,0,54,15,4,60,11,1,2,0,57,13,3,0
0,_005,_Westboro,_Westboro,159,39,2,0,1,160,31,5,1,147,34,5,2,150,31,6,159,20,6,1,3,152,30,6,1
0,_007,_Community,_Community,808,169,16,4,1,827,163,15,2,853,123,10,3,811,144,19,829,130,18,3,6,817,141,20,6
0,_007,_East Cuivre,_East Cuivre,273,59,3,0,0,268,65,4,2,279,52,2,1,269,57,4,278,49,4,2,1,267,59,3,2
0,_007,_Farber,_Farber,182,50,1,1,0,175,54,3,1,185,40,1,4,175,43,7,174,44,3,6,2,182,37,5,3
0,_007,_Friendship,_Friendship,368,79,6,0,0,371,69,13,0,382,60,6,1,368,58,11,377,63,6,5,1,364,68,9,0
0,_007,_Laddonia,_Laddonia,318,74,6,0,1,313,76,9,1,329,59,7,1,308,68,10,328,53,8,1,1,314,59,14,2
0,_007,_Martinsburg,_Martinsburg,341,78,3,0,0,351,66,6,0,366,46,1,2,332,64,13,350,62,3,1,2,348,57,3,1
0,_007,_Mexico 1,_Mexico 1,613,266,25,1,0,619,257,24,4,629,236,22,8,620,229,34,651,215,24,3,2,617,237,32,5
0,_007,_Mexico 2/3/4,_Mexico 2/3/4,1012,624,31,6,4,982,600,57,19,1055,503,48,28,1023,524,73,1057,495,45,26,12,1021,538,55,16
0,_007,_Mexico 5,_Mexico 5,454,216,15,4,1,436,226,18,6,472,179,15,15,452,187,33,481,170,16,10,2,453,197,15,9
0,_007,_Mexico 6,_Mexico 6,721,365,20,1,0,726,348,18,8,759,303,17,11,760,297,27,794,261,19,8,5,757,307,17,8
0,_007,_Rush Hill/Benton City,_Rush Hill/Benton City,267,31,6,1,0,254,38,7,3,272,20,3,4,269,19,7,271,23,2,4,0,257,32,8,0
0,_007,_Salt River/Wilson,_Salt River/Wilson,366,77,8,0,2,360,75,13,6,383,49,9,6,363,66,15,378,51,10,6,1,368,61,10,1
0,_007,_South Fork,_South Fork,570,130,9,2,1,568,126,13,3,594,91,11,3,571,104,16,588,96,10,4,4,581,102,11,3
0,_007,_Thompson,_Thompson,603,123,18,0,0,592,130,16,4,613,108,13,5,589,109,24,609,105,14,6,2,590,116,15,2
0,_007,_Vandalia,_Vandalia,836,363,8,7,2,801,370,16,11,840,309,17,11,816,318,32,846,299,22,10,2,833,308,16,3
0,_009,_Cassville City,_Cassville City,894,192,13,0,2,893,185,14,6,872,172,19,4,888,156,27,907,147,22,4,5,971,105,14,0
0,_009,_Cassville Rural/Mineral,_Cassville Rural/Mineral,1060,160,14,1,3,1044,167,21,4,1048,143,16,2,1058,117,30,1059,126,22,11,6,1105,109,12,6
0,_009,_Exeter,_Exeter,774,133,5,4,0,767,123,7,8,739,122,10,9,750,104,22,766,96,16,6,6,786,97,8,5
0,_009,_Golden,_Golden,582,170,4,0,0,583,166,9,2,577,159,6,7,585,143,17,586,150,11,5,1,620,123,7,2
0,_009,_Jenkins,_Jenkins,376,68,4,0,1,376,62,6,5,383,51,6,5,381,48,12,380,57,5,6,0,395,43,5,5
0,_009,_Kings Prairie/Pleasant Ridge,_Kings Prairie/Pleasant Ridge,703,124,5,1,0,691,127,13,2,693,115,13,3,695,110,17,702,102,16,9,1,719,95,11,5
0,_009,_McDonald/Butterfield,_McDonald/Butterfield,472,119,8,0,3,475,102,10,2,454,99,11,4,464,96,11,474,85,12,6,1,490,82,2,3
0,_009,_McDowell/Purdy,_McDowell/Purdy,1010,195,16,0,0,996,179,21,11,997,170,21,7,1002,161,36,1007,160,17,19,0,1037,156,13,3
0,_009,_Monett,_Monett,1459,659,38,10,3,1477,625,34,18,1454,577,61,26,1528,534,59,1518,533,53,19,11,1562,509,48,15
0,_009,_Monett/Capps Creek,_Monett/Capps Creek,551,104,10,1,0,551,105,7,4,550,93,9,6,553,81,20,562,81,10,4,5,569,82,10,2
0,_009,_Ozark/Crane Creek,_Ozark/Crane Creek,932,136,13,0,3,931,130,19,3,920,110,18,7,923,116,22,915,130,10,8,6,939,103,17,3
0,_009,_Roaring River,_Roaring River,575,205,5,2,0,580,192,8,3,570,188,8,7,573,180,21,583,183,9,4,1,609,159,9,1
0,_009,_Seligman,_Seligman,604,137,10,1,0,583,140,17,2,577,132,16,6,578,124,25,587,118,16,8,0,596,118,14,5
0,_009,_Shell Knob,_Shell Knob,988,308,15,6,0,1001,299,15,8,1020,267,13,6,1034,246,22,1040,248,14,3,5,1105,201,9,2
0,_009,_Washburn/Ash,_Washburn/Ash,788,137,14,0,3,778,135,19,5,767,129,21,6,776,116,25,788,115,15,6,5,803,110,15,1
0,_009,_Wheaton,_Wheaton,657,101,6,1,0,630,104,22,5,634,97,16,3,632,96,23,641,89,21,2,4,656,86,16,2
