IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MS_20140603_PRI_USS_REP_COCHRAN,USA_MS_20140603_PRI_USS_REP_MCDANIEL,USA_MS_20140603_PRI_USS_REP_CAREY
0,Adams,Dist 1; Bellemont,Dist 1; Bellemont,395,276,3
0,Adams,Dist 1; By-Pass Fire,Dist 1; By-Pass Fire,41,56,0
0,Adams,Dist 1; Courthouse,Dist 1; Courthouse,187,78,1
0,Adams,Dist 2; Beau Pre,Dist 2; Beau Pre,100,79,1
0,Adams,Dist 2; Duncan Park,Dist 2; Duncan Park,155,76,2
0,Adams,Dist 2; Kingston,Dist 2; Kingston,49,145,1
0,Adams,Dist 2; Liberty Park,Dist 2; Liberty Park,138,126,3
0,Adams,Dist 3; Concord,Dist 3; Concord,7,10,0
0,Adams,Dist 3; Maryland Hights,Dist 3; Maryland Hights,14,3,0
0,Adams,Dist 3; Nps Multi Purpose Bldg.,Dist 3; Nps Multi Purpose Bldg.,52,44,0
0,Adams,Dist 3; Palestine,Dist 3; Palestine,36,60,1
0,Adams,Dist 4; Carpenter,Dist 4; Carpenter,57,26,0
0,Adams,Dist 4; Morgantown,Dist 4; Morgantown,16,18,0
0,Adams,Dist 4; Northside,Dist 4; Northside,68,6,1
0,Adams,Dist 4; Pine Ridge,Dist 4; Pine Ridge,32,11,0
0,Adams,Dist 5; Airport,Dist 5; Airport,28,42,0
0,Adams,Dist 5; Foster Mound,Dist 5; Foster Mound,24,7,0
0,Adams,Dist 5; Oakland,Dist 5; Oakland,137,147,6
0,Adams,Dist 5; Washington,Dist 5; Washington,64,72,0
0,Alcorn,2nd District Central,2nd District Central,93,122,2
0,Alcorn,Bethel,Bethel,7,8,0
0,Alcorn,Biggersville,Biggersville,62,60,2
0,Alcorn,College Hill,College Hill,63,34,0
0,Alcorn,East Corinth,East Corinth,187,115,1
0,Alcorn,Five Points 1st District,Five Points 1st District,117,145,2
0,Alcorn,Glen,Glen,71,54,1
0,Alcorn,Jacinto,Jacinto,28,29,1
0,Alcorn,Kossuth,Kossuth,123,100,0
0,Alcorn,North Corinth,North Corinth,163,92,1
0,Alcorn,Pinecrest,Pinecrest,76,57,0
0,Alcorn,Rienzi,Rienzi,79,91,2
0,Alcorn,Shady Grove,Shady Grove,64,88,0
0,Alcorn,South Corinth,South Corinth,46,59,0
0,Alcorn,Union Center,Union Center,51,54,0
0,Alcorn,Wenasoga,Wenasoga,54,54,0
0,Alcorn,West Corinth,West Corinth,79,62,3
0,Amite,Amite River,Amite River,12,11,0
0,Amite,Ariel,Ariel,3,2,0
0,Amite,Berwick,Berwick,2,7,0
0,Amite,Crosby,Crosby,11,28,1
0,Amite,East Centreville,East Centreville,25,31,1
0,Amite,East Fork,East Fork,70,79,1
0,Amite,East Gloster,East Gloster,22,41,0
0,Amite,East Liberty,East Liberty,29,54,1
0,Amite,Gloster,Gloster,18,33,2
0,Amite,Homochitto,Homochitto,11,20,1
0,Amite,Liberty,Liberty,51,94,4
0,Amite,New Zion,New Zion,46,67,2
0,Amite,Oneil,Oneil,20,34,0
0,Amite,Riceville,Riceville,24,50,2
0,Amite,Smithdale,Smithdale,37,67,0
