IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MS_20140624_RUN_USS_REP_COCHRAN,USA_MS_20140624_RUN_USS_REP_MCDANIEL
0,Adams,Dist 1; Bellemont,Dist 1; Bellemont,445,328
0,Adams,Dist 1; By-Pass Fire,Dist 1; By-Pass Fire,68,69
0,Adams,Dist 1; Courthouse,Dist 1; Courthouse,220,100
0,Adams,Dist 2; Beau Pre,Dist 2; Beau Pre,123,108
0,Adams,Dist 2; Duncan Park,Dist 2; Duncan Park,200,86
0,Adams,Dist 2; Kingston,Dist 2; Kingston,71,169
0,Adams,Dist 2; Liberty Park,Dist 2; Liberty Park,156,145
0,Adams,Dist 3; Concord,Dist 3; Concord,26,11
0,Adams,Dist 3; Maryland Hights,Dist 3; Maryland Hights,21,1
0,Adams,Dist 3; Nps Multi Purpose Bldg.,Dist 3; Nps Multi Purpose Bldg.,71,43
0,Adams,Dist 3; Palestine,Dist 3; Palestine,66,83
0,Adams,Dist 4; Carpenter,Dist 4; Carpenter,73,33
0,Adams,Dist 4; Morgantown,Dist 4; Morgantown,44,29
0,Adams,Dist 4; Northside,Dist 4; Northside,130,8
0,Adams,Dist 4; Pine Ridge,Dist 4; Pine Ridge,43,17
0,Adams,Dist 5; Airport,Dist 5; Airport,33,56
0,Adams,Dist 5; Foster Mound,Dist 5; Foster Mound,61,13
0,Adams,Dist 5; Oakland,Dist 5; Oakland,137,181
0,Adams,Dist 5; Washington,Dist 5; Washington,83,87
0,Alcorn,2nd District Central,2nd District Central,131,182
0,Alcorn,Bethel,Bethel,9,14
0,Alcorn,Biggersville,Biggersville,68,85
0,Alcorn,College Hill,College Hill,70,63
0,Alcorn,East Corinth,East Corinth,289,182
0,Alcorn,Five Points 1st District,Five Points 1st District,152,230
0,Alcorn,Glen,Glen,92,96
0,Alcorn,Jacinto,Jacinto,31,39
0,Alcorn,Kossuth,Kossuth,175,142
0,Alcorn,North Corinth,North Corinth,212,160
0,Alcorn,Pinecrest,Pinecrest,99,80
0,Alcorn,Rienzi,Rienzi,78,145
0,Alcorn,Shady Grove,Shady Grove,82,94
0,Alcorn,South Corinth,South Corinth,95,76
0,Alcorn,Union Center,Union Center,70,100
0,Alcorn,Wenasoga,Wenasoga,89,84
0,Alcorn,West Corinth,West Corinth,113,70
0,Amite,Amite River,Amite River,5,16
0,Amite,Ariel,Ariel,5,1
0,Amite,Berwick,Berwick,4,13
0,Amite,Crosby,Crosby,7,40
0,Amite,East Centreville,East Centreville,24,66
0,Amite,East Fork,East Fork,92,81
0,Amite,East Gloster,East Gloster,22,62
0,Amite,East Liberty,East Liberty,45,53
0,Amite,Gloster,Gloster,8,56
0,Amite,Homochitto,Homochitto,14,26
0,Amite,Liberty,Liberty,58,117
0,Amite,New Zion,New Zion,62,75
0,Amite,Oneil,Oneil,28,52
0,Amite,Riceville,Riceville,18,63
0,Amite,Smithdale,Smithdale,48,87
0,Amite,South Liberty,South Liberty,30,74
0,Amite,Street,Street,22,47
0,Amite,Tangipahoa,Tangipahoa,91,104
0,Amite,Tickfaw,Tickfaw,8,32
0,Amite,Walls,Walls,38,110
0,Amite,Zion Hill,Zion Hill,53,88
0,Attala,Aponaug,Aponaug,24,40
0,Attala,Berea,Berea,16,33
0,Attala,Carnack,Carnack,35,56
