IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MS_20161108_GEN_PRE_REP_TRUMP,USA_MS_20161108_GEN_PRE_DEM_CLINTON,USA_MS_20161108_GEN_PRE_LIB_JOHNSON,USA_MS_20161108_GEN_PRE_GRE_STEIN,USA_MS_20161108_GEN_PRE_CON_CASTLE,USA_MS_20161108_GEN_PRE_PRO_HEDGES,USA_MS_20161108_GEN_PRE_DEL_FUENTE
0,_001,_Courthouse,_28001000101,402,171,18,2,1,0,0
0,_001,_By-Pass Firestation,_28001000102,241,504,4,1,2,2,3
0,_001,_Bellemont,_28001000103,1090,442,20,4,6,1,1
0,_001,_Liberty Park,_28001000201,572,161,6,1,1,1,1
0,_001,_Duncan Park,_28001000202,461,338,21,3,2,0,0
0,_001,_Beau Pre,_28001000203,468,285,9,1,3,0,0
0,_001,_Kingston,_28001000204,548,99,5,1,3,0,0
0,_001,_Concord,_28001000301,29,523,4,2,1,0,0
0,_001,_NPS Multi Purpose Bldg,_28001000302,160,251,5,0,0,0,0
0,_001,_Maryland Heights,_28001000303,26,504,1,1,2,1,0
0,_001,_Palestine,_28001000304,382,479,3,1,1,1,0
0,_001,_Northside School,_28001000401,46,1118,5,1,1,2,0
0,_001,_Pine Ridge,_28001000403,87,350,2,3,0,0,0
0,_001,_Carpenter,_28001000404,119,288,5,3,0,1,0
0,_001,_Morgantown,_28001000405,117,323,1,1,0,0,3
0,_001,_Foster Mound,_28001000501,47,868,3,1,1,0,0
0,_001,_Airport,_28001000502,192,419,3,2,0,0,2
0,_001,_Oakland,_28001000503,539,466,7,2,2,0,1
0,_001,_Washington,_28001000504,348,168,3,2,1,0,1
0,_003,_Shady Grove,_28003000016,648,108,7,0,1,1,0
0,_003,_Five-Point,_28003000101,1286,157,12,6,5,1,0
0,_003,_North Corinth,_28003000102,773,133,22,2,2,0,0
0,_003,_Wenasoga,_28003000103,665,147,11,1,3,0,0
0,_003,_Central,_28003000201,1216,131,8,7,3,1,0
0,_003,_Glen,_28003000202,826,112,11,2,5,0,1
0,_003,_Jacinto,_28003000203,289,23,2,0,0,3,0
0,_003,_Pinecrest,_28003000204,363,120,7,1,1,0,1
