IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MT_20161108_GEN_PRE_REP_TRUMP,USA_MT_20161108_GEN_PRE_DEM_CLINTON,USA_MT_20161108_GEN_PRE_LIB_JOHNSON,USA_MT_20161108_GEN_PRE_GRE_STEIN,USA_MT_20161108_GEN_PRE_DEL_FUENTE,USA_MT_20161108_GEN_HAL_REP_ZINKE,USA_MT_20161108_GEN_HAL_DEM_JUNEAU,USA_MT_20161108_GEN_HAL_LIB_BRECKENRIDGE,USA_MT_20161108_GEN_GOV_REP_GIANFORTE,USA_MT_20161108_GEN_GOV_DEM_BULLOCK,USA_MT_20161108_GEN_GOV_LIB_DUNLAP,USA_MT_20161108_GEN_ATG_REP_FOX,USA_MT_20161108_GEN_ATG_DEM_JENT,USA_MT_20161108_GEN_SOS_REP_STAPLETON,USA_MT_20161108_GEN_SOS_DEM_LINDEEN,USA_MT_20161108_GEN_SOS_LIB_ROOTS,USA_MT_20161108_GEN_AUD_REP_RESENDALE,USA_MT_20161108_GEN_AUD_DEM_LASLOVICH,USA_MT_20161108_GEN_SPI_REP_ARNTZEN,USA_MT_20161108_GEN_SPI_DEM_ROMANO
0,_Beaverhead,_Precinct 1,_PRECINCT 01,203,175,48,15,1,230,205,22,176,267,15,275,159,229,193,23,208,229,196,236
0,_Beaverhead,_Precinct 2,_PRECINCT 02,551,127,35,16,4,546,178,27,482,249,23,600,124,540,161,32,476,244,511,212
0,_Beaverhead,_Precinct 3,_PRECINCT 03,507,158,32,5,0,532,186,17,470,252,15,587,125,524,184,18,443,257,469,236
0,_Beaverhead,_Precinct 4,_PRECINCT 04,131,34,6,1,0,128,41,6,109,60,4,143,29,123,41,2,118,48,121,48
0,_Beaverhead,_Precinct 5,_PRECINCT 05,99,9,4,1,0,100,16,2,99,17,2,105,10,100,14,3,92,21,91,22
0,_Beaverhead,_Precinct 6,_PRECINCT 06,324,129,35,10,2,326,173,18,265,235,23,385,120,314,179,20,274,223,286,225
0,_Beaverhead,_Precinct 7,_PRECINCT 07,231,40,12,4,2,238,53,6,199,93,6,254,36,213,75,10,192,96,196,96
0,_Beaverhead,_Precinct 8,_PRECINCT 08,56,14,2,0,1,63,9,1,55,16,3,64,9,60,12,2,53,18,58,15
0,_Beaverhead,_Precinct 9,_PRECINCT 09,300,87,19,4,1,308,95,16,248,159,12,345,67,292,105,18,249,155,265,135
0,_Beaverhead,_Precinct 12,_PRECINCT 12,270,157,21,2,2,284,185,8,210,256,11,353,109,277,184,7,228,235,246,211
0,_Beaverhead,_Precinct 14,_PRECINCT 14,225,125,27,7,2,210,163,23,161,210,25,251,136,214,150,26,190,189,187,188
0,_Beaverhead,_Precinct 17,_PRECINCT 17,82,18,3,1,2,79,27,2,75,33,0,86,22,78,26,0,64,40,68,39
0,_Beaverhead,_Precinct 19,_PRECINCT 19,92,14,6,1,1,86,25,3,83,27,5,94,18,88,19,5,82,26,86,24
0,_Beaverhead,_Precinct 20,_PRECINCT 20,74,2,0,1,0,74,2,4,66,12,3,78,2,75,2,2,63,16,72,6
0,_Beaverhead,_Precinct 21,_PRECINCT 21,117,25,10,2,0,121,36,2,108,53,0,128,22,119,32,4,102,51,111,41
0,_Beaverhead,_Precinct 23,_PRECINCT 23,91,29,5,0,0,92,30,4,74,50,3,90,31,89,33,3,72,50,83,40
0,_Big Horn,_PERITSA,_PRECINCT #1,93,56,4,0,0,90,59,4,84,71,3,121,34,88,66,1,92,61,93,60
0,_Big Horn,_KIRBY DECKER,_PRECINCT #10,49,12,1,1,0,51,11,1,42,22,1,55,8,45,15,1,42,15,45,15
0,_Big Horn,_WYOLA,_PRECINCT #14,51,70,7,2,1,49,85,4,38,94,6,56,82,39,91,8,50,88,43,95
0,_Big Horn,_PRYOR,_PRECINCT #15,107,129,21,7,3,92,181,13,74,204,7,129,149,84,187,11,92,184,87,192
0,_Big Horn,_HARDIN,_PRECINCT #17,200,116,15,3,1,183,147,14,132,198,14,249,88,175,156,9,171,164,169,170
0,_Big Horn,_HARDIN,_PRECINCT #18,194,81,26,5,1,192,113,15,164,141,12,255,59,192,110,12,177,129,179,134
0,_Big Horn,_HARDIN,_PRECINCT #19,269,172,35,7,2,266,210,15,206,262,23,354,128,251,222,15,253,225,244,238
0,_Big Horn,_FT SMITH,_PRECINCT #2,56,46,7,0,0,55,51,3,42,66,2,67,39,51,53,3,54,51,45,61
0,_Big Horn,_GOOD LUCK,_PRECINCT #21,93,228,4,6,2,111,229,7,82,256,7,139,191,83,252,5,87,242,77,257
0,_Big Horn,_LODGE GRASS,_PRECINCT #25,57,64,1,1,1,50,70,4,46,72,4,66,55,48,72,3,51,69,43,73
0,_Big Horn,_BUSBY,_PRECINCT #26,73,224,11,7,3,71,262,6,65,263,11,134,201,76,253,9,75,252,80,258
0,_Big Horn,_FOSTER,_PRECINCT #3,114,20,3,0,0,116,19,3,100,38,2,127,9,103,30,4,105,31,95,38
0,_Big Horn,_WHITMAN,_PRECINCT #4,60,13,2,2,0,53,21,3,45,28,4,68,8,47,31,0,50,24,46,28
0,_Big Horn,_WHITMAN NORTH,_PRECINCT #4N,124,16,4,0,0,114,31,3,103,37,6,136,10,110,34,3,107,32,105,37
0,_Big Horn,_RENO,_PRECINCT #5,48,136,4,2,0,48,140,6,37,151,5,78,112,37,147,7,43,145,38,152
0,_Big Horn,_SARPY,_PRECINCT #6,50,14,2,0,0,50,17,0,49,18,1,54,13,48,18,1,44,21,42,24
0,_Big Horn,_CROW AGENCY,_PRECINCT #7,89,554,30,25,6,122,594,12,74,631,22,225,485,91,618,16,105,598,86,629
0,_Big Horn,_ST X,_PRECINCT #8,98,46,5,2,0,99,54,2,93,58,6,106,47,93,58,2,90,58,94,60
0,_Big Horn,_LODGE GRASS,_PRECINCT #9,28,97,3,1,1,39,99,6,21,114,6,45,92,18,118,8,23,116,24,119
0,_Blaine,_Precinct 3,_BELKNAP 3-32,35,300,11,17,2,37,343,1,30,341,10,79,291,35,325,12,50,312,35,332
0,_Blaine,_Precinct 11,_CHINOOK 11-33,381,172,37,11,2,377,211,22,322,269,23,449,150,356,233,13,331,255,342,257
0,_Blaine,_Precinct 8,_HARLEM 8-32,113,152,9,11,2,101,198,8,75,229,3,150,151,96,202,8,103,195,93,210
0,_Blaine,_Precinct 9,_HARLEM 9-32,12,126,3,14,5,12,155,0,14,148,4,35,131,20,140,6,21,143,17,149
0,_Blaine,_Precinct 15,_HAYS 15-32,43,350,11,19,10,27,427,8,31,421,9,99,354,49,402,7,63,385,28,425
0,_Blaine,_Precinct 13,_NO CHINOOK 13-33,97,16,3,0,0,100,20,2,90,30,3,104,14,94,23,3,96,21,95,24
0,_Blaine,_Precinct 10,_SO CHINOOK 10-32,370,54,19,1,3,360,80,10,315,126,11,384,51,333,106,7,310,110,306,118
0,_Blaine,_Precinct 1,_TURNER 1-33,217,32,9,0,2,227,42,7,203,65,10,236,32,212,52,8,199,66,203,71
0,_Broadwater,_Precinct 1,_PRECINCT 1,484,150,24,5,2,490,171,22,372,287,20,558,111,441,205,24,429,235,421,253
0,_Broadwater,_Precinct 11,_PRECINCT 11,513,100,30,6,0,516,127,16,404,237,18,563,83,477,153,15,454,181,449,179
0,_Broadwater,_Precinct 12,_PRECINCT 12,485,132,42,11,1,500,170,21,359,306,31,532,143,449,207,27,442,225,431,235
0,_Broadwater,_Precinct 13,_PRECINCT 13,532,86,39,10,1,532,120,28,431,232,26,571,96,526,132,19,494,172,496,164
0,_Broadwater,_Precinct 7,_PRECINCT 7,334,105,34,5,1,355,122,18,261,220,20,394,91,323,149,19,307,167,300,176
