IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MT_20201103_GEN_PRE_REP_TRUMP,USA_MT_20201103_GEN_PRE_DEM_BIDEN,USA_MT_20201103_GEN_PRE_LIB_JORGENSEN,USA_MT_20201103_GEN_USS_REP_DAINES,USA_MT_20201103_GEN_USS_DEM_BULLOCK,USA_MT_20201103_GEN_HAL_REP_ROSENDALE,USA_MT_20201103_GEN_HAL_DEM_WILLIAMS,USA_MT_20201103_GEN_GOV_REP_GIANFORTE,USA_MT_20201103_GEN_GOV_DEM_COONEY,USA_MT_20201103_GEN_GOV_LIB_BISHOP,USA_MT_20201103_GEN_ATG_REP_KNUDSEN,USA_MT_20201103_GEN_ATG_DEM_GRAYBILL,USA_MT_20201103_GEN_SOS_REP_JACOBSEN,USA_MT_20201103_GEN_SOS_DEM_BENNETT,USA_MT_20201103_GEN_AUD_REP_DOWLING,USA_MT_20201103_GEN_AUD_DEM_MORIGEAU,USA_MT_20201103_GEN_AUD_LIB_ROOTS,USA_MT_20201103_GEN_SPI_REP_ARNTZEN,USA_MT_20201103_GEN_SPI_DEM_ROMANO,USA_MT_20201103_GEN_SPI_LIB_LEATHERBARROW
0,_Beaverhead,_Precinct 1,_PRECINCT 01,192,166,15,188,187,196,177,190,167,19,198,171,205,161,186,158,25,173,172,25
0,_Beaverhead,_Precinct 2,_PRECINCT 02,671,181,12,645,222,646,213,627,201,31,668,191,681,169,634,171,45,617,204,33
0,_Beaverhead,_Precinct 3,_PRECINCT 03,625,227,17,627,246,615,250,621,225,17,626,227,638,211,599,209,35,589,241,25
0,_Beaverhead,_Precinct 4,_PRECINCT 04,181,34,6,175,46,176,43,168,43,8,181,35,177,35,175,27,13,163,49,3
0,_Beaverhead,_Precinct 5,_PRECINCT 05,120,24,5,119,30,120,29,117,32,2,124,22,125,21,114,20,12,111,29,5
0,_Beaverhead,_Precinct 6,_PRECINCT 06,303,157,13,275,198,274,193,280,167,23,301,167,307,155,283,146,27,267,172,25
0,_Beaverhead,_Precinct 7,_PRECINCT 07,239,76,3,231,89,234,84,239,74,8,241,78,233,80,229,73,9,223,85,7
0,_Beaverhead,_Precinct 8,_PRECINCT 08,57,19,0,60,16,57,19,55,17,3,61,15,62,14,58,15,3,61,12,3
0,_Beaverhead,_Precinct 9,_PRECINCT 09,355,121,5,342,145,345,136,345,123,16,357,126,360,119,340,112,26,324,143,16
0,_Beaverhead,_Precinct 12,_PRECINCT 12,359,243,11,335,274,347,261,334,254,28,363,246,366,236,346,231,23,319,264,19
