IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_ND_20161108_GEN_PRE_REP_TRUMP,USA_ND_20161108_GEN_PRE_DEM_CLINTON,USA_ND_20161108_GEN_PRE_LIB_JOHNSON,USA_ND_20161108_GEN_PRE_GRE_STEIN,USA_ND_20161108_GEN_PRE_CON_CASTLE,USA_ND_20161108_GEN_PRE_DEL_FUENTE,USA_ND_20161108_GEN_PRE_OTH_WRITEIN,USA_ND_20161108_GEN_USS_REP_HOEVEN,USA_ND_20161108_GEN_USS_DEM_GLASSHEIM,USA_ND_20161108_GEN_USS_LIB_MARQUETTE,USA_ND_20161108_GEN_USS_IND_GERMANLIC,USA_ND_20161108_GEN_USS_OTH_WRITEIN,USA_ND_20161108_GEN_HAL_REP_CRAMER,USA_ND_20161108_GEN_HAL_DEM_EYES,USA_ND_20161108_GEN_HAL_LIB_SEAMAN,USA_ND_20161108_GEN_HAL_OTH_WRITEIN,USA_ND_20161108_GEN_GOV_REP_BURGUM,USA_ND_20161108_GEN_GOV_DEM_NELSON,USA_ND_20161108_GEN_GOV_LIB_RISKE,USA_ND_20161108_GEN_GOV_OTH_WRITEIN,USA_ND_20161108_GEN_AUD_REP_GALLION,USA_ND_20161108_GEN_AUD_LIB_RIEMERS,USA_ND_20161108_GEN_AUD_OTH_WRITEIN,USA_ND_20161108_GEN_TRE_REP_SCHMIDT,USA_ND_20161108_GEN_TRE_DEM_MATHERN,USA_ND_20161108_GEN_TRE_LIB_OLSON,USA_ND_20161108_GEN_TRE_OTH_WRITEIN,USA_ND_20161108_GEN_INS_REP_GODFREAD,USA_ND_20161108_GEN_INS_DEM_BUFFALO,USA_ND_20161108_GEN_INS_LIB_BATA,USA_ND_20161108_GEN_INS_OTH_WRITEIN,USA_ND_20161108_GEN_PSC_REP_FEDORCHAK,USA_ND_20161108_GEN_PSC_DEM_HUNTE_BEAUBRUN,USA_ND_20161108_GEN_PSC_LIB_SKADELAND,USA_ND_20161108_GEN_PSC_OTH_WRITEIN
0,_001,_Adams County,_Adams County,909,216,65,8,13,0,7,1067,114,23,17,2,1003,151,58,0,1049,135,33,0,974,163,1,874,216,78,0,880,203,65,1,926,163,72,2
0,_003,_Precinct 2401-00,_Precinct 2401-00,240,141,29,2,2,0,5,346,63,7,3,0,269,127,22,0,333,78,9,0,297,77,3,243,134,23,2,236,126,34,2,262,103,29,2
0,_003,_Precinct 2402-00,_Precinct 2402-00,372,233,53,9,3,1,11,526,131,15,2,0,395,229,38,2,526,131,14,1,426,173,2,342,252,53,1,339,231,54,2,376,197,57,0
0,_003,_Precinct 2403-00,_Precinct 2403-00,230,164,40,8,3,2,12,335,92,14,13,3,274,160,20,2,337,92,25,1,289,129,2,239,158,40,1,241,140,49,1,254,124,49,1
0,_003,_Precinct 2404-00,_Precinct 2404-00,347,205,51,5,3,1,11,494,103,21,8,1,366,206,46,2,477,116,31,2,400,159,7,341,217,46,1,340,181,66,1,377,154,53,2
0,_003,_Precinct 2405-00,_Precinct 2405-00,451,289,66,10,3,2,18,674,140,23,8,0,514,267,50,0,643,164,31,0,588,171,2,497,266,46,1,464,253,85,1,518,205,70,1
0,_003,_Precinct 2406-00,_Precinct 2406-00,206,91,19,3,3,0,5,252,52,10,6,0,203,92,28,0,247,56,18,0,219,74,2,176,103,27,0,181,84,39,0,191,85,28,0
0,_003,_Precinct 2407-00,_Precinct 2407-00,80,31,15,0,5,0,3,110,19,4,2,0,91,30,11,0,109,15,7,0,92,31,0,82,34,15,0,75,40,14,0,90,31,10,0
0,_003,_Precinct 2408-00,_Precinct 2408-00,114,28,10,0,0,0,3,143,12,0,2,1,120,23,13,0,136,17,2,0,116,24,0,106,35,5,0,98,30,15,0,110,22,12,1
0,_003,_Precinct 2409-00,_Precinct 2409-00,151,46,24,0,4,0,0,193,19,8,2,0,152,48,16,0,188,19,15,0,154,47,0,129,50,22,0,123,49,24,1,142,31,22,0
