IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_ND_20201103_GEN_PRE_REP_TRUMP,USA_ND_20201103_GEN_PRE_DEM_BIDEN,USA_ND_20201103_GEN_PRE_LIB_JORGENSEN,USA_ND_20201103_GEN_PRE_OTH_WRITEIN,USA_ND_20201103_GEN_HAL_REP_ARMSTRONG,USA_ND_20201103_GEN_HAL_DEM_RAKNERUD,USA_ND_20201103_GEN_HAL_LIB_PETERSON,USA_ND_20201103_GEN_HAL_OTH_WRITEIN,USA_ND_20201103_GEN_GOV_REP_BURGUM,USA_ND_20201103_GEN_GOV_DEM_LENZ,USA_ND_20201103_GEN_GOV_LIB_HENDRICKSON,USA_ND_20201103_GEN_GOV_OTH_WRITEIN,USA_ND_20201103_GEN_AUD_REP_GALLION,USA_ND_20201103_GEN_AUD_DEM_HART,USA_ND_20201103_GEN_AUD_OTH_WRITEIN,USA_ND_20201103_GEN_TRE_REP_BEADLE,USA_ND_20201103_GEN_TRE_DEM_HAUGEN,USA_ND_20201103_GEN_TRE_OTH_WRITEIN,USA_ND_20201103_GEN_INS_REP_GODFREAD,USA_ND_20201103_GEN_INS_OTH_WRITEIN,USA_ND_20201103_GEN_PSC_REP_KROSHUS,USA_ND_20201103_GEN_PSC_DEM_BUCKMANN,USA_ND_20201103_GEN_PSC_OTH_WRITEIN
0,_001,_Adams County,_Adams County,981,258,30,0,1010,213,32,1,1000,163,40,57,977,250,1,926,308,4,1107,15,971,259,1
0,_003,_Precinct 2401-00,_Precinct 2401-00,219,166,12,1,241,139,16,0,261,117,11,11,229,161,0,226,160,4,322,6,220,153,0
0,_003,_Precinct 2402-00,_Precinct 2402-00,437,263,31,3,449,246,28,0,484,205,23,17,416,289,1,399,302,3,585,19,412,275,2
0,_003,_Precinct 2403-00,_Precinct 2403-00,228,151,13,0,230,135,16,2,247,119,12,8,213,163,1,215,161,5,321,5,221,150,1
0,_003,_Precinct 2404-00,_Precinct 2404-00,394,247,20,2,425,207,24,0,432,182,28,21,383,252,2,378,257,8,549,15,390,234,1
0,_003,_Precinct 2405-00,_Precinct 2405-00,524,330,26,4,570,273,27,0,559,250,27,33,530,310,1,514,330,8,727,13,513,314,0
0,_003,_Precinct 2406-00,_Precinct 2406-00,236,106,9,3,254,92,1,0,254,83,4,10,226,106,0,205,129,1,287,2,217,108,0
0,_003,_Precinct 2407-00,_Precinct 2407-00,109,42,6,0,116,38,3,0,121,31,3,2,105,49,0,102,51,0,134,1,102,47,0
0,_003,_Precinct 2408-00,_Precinct 2408-00,116,39,0,0,117,30,3,0,117,25,5,7,112,39,0,101,49,2,141,0,101,42,0
0,_003,_Precinct 2409-00,_Precinct 2409-00,178,54,5,0,177,42,16,0,185,36,5,8,165,59,0,168,56,2,200,0,166,56,0
0,_003,_Precinct 2410-00,_Precinct 2410-00,57,29,0,0,57,25,1,0,53,28,3,1,55,28,0,53,31,0,65,0,54,29,0
0,_003,_Precinct 2411-00,_Precinct 2411-00,475,178,9,1,489,151,9,0,482,129,14,27,447,184,0,418,208,8,556,10,437,177,0
0,_003,_Precinct 2412-00,_Precinct 2412-00,183,59,5,0,186,47,8,0,170,41,12,20,181,59,1,162,75,4,221,2,179,54,1
0,_003,_Precinct 2413-00,_Precinct 2413-00,183,83,19,1,190,77,12,0,198,65,12,10,182,88,0,171,98,1,235,9,165,95,1
0,_003,_Precinct 2414-00,_Precinct 2414-00,64,30,1,0,71,24,1,0,71,20,0,7,61,29,0,60,36,0,73,3,62,29,0
0,_003,_Precinct 2415-00,_Precinct 2415-00,165,43,5,1,165,36,4,1,141,35,14,20,151,54,0,145,57,4,187,2,155,41,0
0,_005,_Precinct 1,_Precinct 1,753,339,24,2,763,311,28,1,724,282,42,61,711,365,1,689,380,4,918,14,674,346,0
0,_005,_Precinct 2,_Precinct 2,163,69,3,0,162,64,7,0,151,72,3,12,152,80,0,152,80,0,190,2,147,84,0
0,_005,_Precinct 3,_Precinct 3,84,337,6,2,112,299,15,1,117,290,14,5,96,324,1,92,328,1,282,37,97,323,2
0,_005,_Precinct 4,_Precinct 4,94,77,6,2,101,64,5,1,106,64,2,7,98,72,1,97,75,2,144,7,94,77,1
0,_007,_Precinct 01,_Precinct 01,134,47,7,0,144,34,6,1,136,28,10,12,135,47,1,137,42,2,166,0,143,38,1
0,_007,_Precinct 02,_Precinct 02,304,17,14,0,305,23,8,1,231,24,11,69,305,28,0,284,42,5,310,1,288,36,1
0,_007,_Precinct 03,_Precinct 03,103,8,0,1,105,7,0,0,75,5,7,21,103,8,1,100,9,3,106,1,101,10,0
0,_009,_Precinct 01,_Precinct 01,450,188,12,3,466,153,18,0,475,119,25,20,434,187,0,424,192,5,541,9,433,186,1
0,_009,_Precinct 02,_Precinct 02,612,195,19,2,620,179,24,0,640,148,20,20,609,199,1,593,211,4,722,9,607,196,1
0,_009,_Precinct 03,_Precinct 03,467,155,6,3,475,124,12,2,474,116,16,18,455,148,1,450,161,1,534,8,460,146,1
0,_009,_Precinct 04,_Precinct 04,529,180,18,1,564,145,16,1,564,127,14,24,553,157,0,536,173,2,633,5,535,173,0
0,_009,_Precinct 05,_Precinct 05,517,103,10,1,521,91,11,0,500,78,18,29,509,108,0,483,135,1,572,7,500,115,0
0,_011,_Bowman City,_Bowman City,600,136,17,1,613,111,17,0,550,103,27,60,586,140,1,570,157,0,674,6,566,147,2
0,_011,_Bowman Four Seasons,_Bowman Four Seasons,365,34,9,0,366,30,8,1,315,25,14,46,355,45,1,343,54,3,384,0,354,44,0
