IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_NE_20161108_GEN_PRE_REP_TRUMP,USA_NE_20161108_GEN_PRE_DEM_CLINTON,USA_NE_20161108_GEN_PRE_LIB_JOHNSON,USA_NE_20161108_GEN_PRE_GRE_STEIN
0,_001,_1A,_1A,491,180,53,12
0,_001,_1B,_1B,378,145,32,16
0,_001,_1C,_1C,315,188,21,1
0,_001,_2A,_2A,212,53,20,0
0,_001,_2B,_2B,444,167,31,2
0,_001,_2C,_2C,379,140,16,5
0,_001,_2D,_2D,595,236,49,7
0,_001,_2E,_2E,441,168,27,8
0,_001,_3A,_3A,368,190,32,10
0,_001,_3B,_3B,324,211,21,2
0,_001,_3C,_3C,416,194,37,14
0,_001,_3D,_3D,81,42,0,0
0,_001,_3E,_3E,714,233,44,3
0,_001,_4A,_4A,287,182,22,2
0,_001,_4B,_4B,293,177,24,7
0,_001,_4C,_4C,169,113,24,3
0,_001,_4D,_4D,574,246,26,7
0,_001,_4E,_4E,127,34,6,0
0,_001,_Ayr,_Ayr,271,41,10,0
0,_001,_Blaine,_Blaine,60,4,2,1
0,_001,_Denver,_Denver,491,102,23,2
0,_001,_Highland_West_Blue,_Highland_West_Blue,299,38,5,0
0,_001,_Holstein,_Holstein,158,25,7,1
0,_001,_Juniata Precinct,_Juniata Precinct,388,71,17,3
0,_001,_Kenesaw,_Kenesaw,535,62,23,3
0,_001,_Pauline,_Pauline,135,23,10,1
0,_001,_Roseland,_Roseland,221,18,7,1
0,_001,_Verona,_Verona,121,19,5,0
0,_003,_Brunswick Precinct,_Brunswick Precinct,284,24,23,0
0,_003,_Clearwater Precinct,_Clearwater Precinct,370,26,7,1
0,_003,_Elgin 1st Ward,_Elgin 1st Ward,128,22,8,1
0,_003,_Elgin 2nd Ward,_Elgin 2nd Ward,151,26,7,3
0,_003,_Elgin Precinct,_Elgin Precinct,198,24,2,1
0,_003,_Neligh City 1st Ward,_Neligh City 1st Ward,349,61,18,1
0,_003,_Neligh City 2nd Ward,_Neligh City 2nd Ward,236,46,5,2
0,_003,_Neligh Precinct,_Neligh Precinct,212,30,6,1
