IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_NE_20201103_GEN_PRE_REP_TRUMP,USA_NE_20201103_GEN_PRE_DEM_BIDEN,USA_NE_20201103_GEN_PRE_LIB_JORGENSEN,USA_NE_20201103_GEN_USS_REP_SASSE,USA_NE_20201103_GEN_USS_DEM_JANICEK,USA_NE_20201103_GEN_USS_LIB_SIADEK
0,_001,_1A,_1A,570,253,20,552,193,46
0,_001,_1B,_1B,401,187,15,395,131,35
0,_001,_1C,_1C,297,222,12,340,144,18
0,_001,_2A,_2A,258,77,9,260,48,14
0,_001,_2B,_2B,458,176,18,473,98,44
0,_001,_2C,_2C,388,170,12,381,109,42
0,_001,_2D,_2D,659,307,14,670,156,53
0,_001,_2E,_2E,459,182,17,455,129,43
0,_001,_3A,_3A,392,248,12,380,162,52
0,_001,_3B,_3B,310,250,15,326,124,35
0,_001,_3C,_3C,441,255,23,449,165,45
0,_001,_3D,_3D,76,57,0,90,21,9
0,_001,_3E,_3E,849,362,18,877,201,60
0,_001,_4A,_4A,276,193,13,283,112,39
0,_001,_4B,_4B,339,213,15,359,128,32
0,_001,_4C,_4C,169,156,7,167,84,21
0,_001,_4D,_4D,626,284,25,603,196,60
0,_001,_4E,_4E,164,68,4,156,47,14
0,_001,_Ayr,_Ayr,325,77,9,305,55,23
0,_001,_Blaine,_Blaine,101,11,1,90,9,7
0,_001,_Denver,_Denver,495,137,10,490,73,40
0,_001,_Highland_West_Blue,_Highland_West_Blue,335,50,4,312,38,19
0,_001,_Holstein,_Holstein,160,18,1,158,9,13
0,_001,_Juniata Precinct,_Juniata Precinct,422,97,12,406,55,42
0,_001,_Kenesaw,_Kenesaw,556,86,6,507,56,43
0,_001,_Pauline,_Pauline,170,24,3,152,9,10
0,_001,_Roseland,_Roseland,258,29,6,240,18,24
0,_001,_Verona,_Verona,131,24,3,119,13,14
0,_003,_Brunswick Precinct,_Brunswick Precinct,331,34,4,278,30,30
0,_003,_Clearwater Precinct,_Clearwater Precinct,434,39,2,376,46,22
0,_003,_Elgin 1st Ward,_Elgin 1st Ward,164,19,2,159,10,7
0,_003,_Elgin 2nd Ward,_Elgin 2nd Ward,190,21,4,181,18,7
0,_003,_Elgin Precinct,_Elgin Precinct,216,22,0,199,13,12
