IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_NH_20161108_GEN_PRE_REP_TRUMP,USA_NH_20161108_GEN_PRE_DEM_CLINTON,USA_NH_20161108_GEN_PRE_LIB_JOHNSON,USA_NH_20161108_GEN_PRE_GRE_STEIN,USA_NH_20161108_GEN_PRE_DEL_FUENTE,USA_NH_20161108_GEN_PRE_OTH_WRITEIN,USA_NH_20161108_GEN_USS_REP_AYOTTE,USA_NH_20161108_GEN_USS_DEM_HASSAN,USA_NH_20161108_GEN_USS_LIB_CHABOT,USA_NH_20161108_GEN_USS_IND_DAY,USA_NH_20161108_GEN_USS_OTH_WRITEIN,USA_NH_20161108_GEN_GOV_REP_SUNUNU,USA_NH_20161108_GEN_GOV_DEM_OSTERN,USA_NH_20161108_GEN_GOV_LIB_ABRAMSON,USA_NH_20161108_GEN_GOV_OTH_WRITEIN
0,_001,_TOWN OF ALTON,_ALTO01,2201,1152,115,24,2,49,2204,1192,49,69,0,2166,1163,135,14
0,_001,_TOWN OF BARNSTEAD,_BARN01,1520,924,125,20,0,23,1454,1033,52,62,0,1454,1017,116,0
0,_001,_TOWN OF BELMONT,_BELM01,2192,1272,158,28,7,48,2008,1503,69,106,4,2045,1411,169,10
0,_001,_TOWN OF CENTER HARBOR,_CENT01,357,324,23,8,1,13,367,328,15,12,2,383,306,21,2
0,_001,_TOWN OF GILFORD,_GILF01,2504,1973,159,31,1,79,2497,2065,53,83,2,2552,1909,163,12
0,_001,_TOWN OF GILMANTON,_GILM01,1333,788,108,21,1,32,1241,898,44,76,2,1241,867,100,4
0,_001,_LACONIA WARD 1,_LACO01,868,621,68,9,0,26,879,661,20,26,2,891,615,52,3
0,_001,_LACONIA WARD 2,_LACO02,612,469,46,7,3,10,571,518,22,37,0,582,469,78,0
0,_001,_LACONIA WARD 3,_LACO03,604,637,49,12,0,17,629,658,21,21,4,625,628,49,1
0,_001,_LACONIA WARD 4,_LACO04,632,490,53,19,3,15,555,600,12,35,3,585,544,56,5
0,_001,_LACONIA WARD 5,_LACO05,561,416,44,11,2,23,479,481,18,52,2,523,430,59,10
0,_001,_LACONIA WARD 6,_LACO06,1026,670,71,14,6,20,957,772,19,41,2,988,719,59,7
0,_001,_TOWN OF MEREDITH,_MERE01,2160,1709,156,29,5,58,2232,1761,51,63,0,2208,1706,122,9
0,_001,_TOWN OF NEW HAMPTON,_NEWH01,737,544,69,10,0,21,741,561,27,32,1,704,589,56,3
0,_001,_TOWN OF SANBORNTON,_SANB01,1035,748,76,34,2,25,995,840,33,52,0,977,828,76,6
0,_001,_TOWN OF TILTON,_TILT01,973,780,75,19,2,28,901,872,31,53,3,874,868,92,8
0,_003,_TOWN OF ALBANY,_ALBA01,182,195,13,7,2,11,174,212,6,11,0,171,207,16,0
0,_003,_TOWN OF BARTLETT,_BART01,730,1094,84,21,0,22,809,1082,19,24,0,835,1018,59,0
0,_003,_TOWN OF BROOKFIELD,_BROO01,262,156,25,3,1,0,261,173,8,8,0,260,160,21,0
0,_003,_TOWN OF CHATHAM,_CHAT01,103,79,19,3,0,2,107,82,7,9,0,106,78,14,0
0,_003,_TOWN OF CONWAY,_CONW01,2204,2717,209,57,2,79,2235,2747,80,135,0,2321,2481,250,12
0,_003,_TOWN OF EATON,_EATO01,109,157,14,2,0,9,130,155,1,4,0,132,141,12,0
0,_003,_TOWN OF EFFINGHAM,_EFFI01,481,317,38,6,0,17,430,352,16,52,0,438,352,43,0
0,_003,_TOWN OF FREEDOM,_FREE01,476,425,36,14,1,6,484,438,9,14,0,493,411,20,1
0,_003,_TOWNSHIP OF HALES LOCATION,_HALE01,97,26,0,0,0,0,94,28,0,0,0,96,27,0,0
0,_003,_TOWN OF HARTS LOCATION,_HART01,14,17,3,0,0,4,17,21,0,1,0,15,21,3,0
0,_003,_TOWN OF JACKSON,_JACK01,212,430,28,5,0,14,257,418,5,8,1,267,406,11,2
0,_003,_TOWN OF MADISON,_MADI01,654,721,70,13,5,18,689,749,19,22,0,718,697,52,1
