IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_NH_20201103_GEN_PRE_DEM_BIDEN,USA_NH_20201103_GEN_PRE_REP_TRUMP,USA_NH_20201103_GEN_PRE_LIB_JORGENSEN,USA_NH_20201103_GEN_USS_DEM_SHAHEEN,USA_NH_20201103_GEN_USS_REP_MESSNER,USA_NH_20201103_GEN_USS_LIB_ODONNELL,USA_NH_20201103_GEN_USS_OTH_WRITEIN,USA_NH_20201103_GEN_GOV_DEM_FELTES,USA_NH_20201103_GEN_GOV_REP_SUNUNU,USA_NH_20201103_GEN_GOV_LIB_PERRY,USA_NH_20201103_GEN_GOV_OTH_WRITEIN
0,_001,_TOWN OF ALTON,_ALTO01,1438,2420,45,1597,2217,68,4,757,3093,36,6
0,_001,_TOWN OF BARNSTEAD,_BARN01,1150,1698,74,1308,1528,76,0,662,2181,61,4
0,_001,_TOWN OF BELMONT,_BELM01,1609,2365,78,1875,2022,104,10,813,3133,63,5
0,_001,_TOWN OF CENTER HARBOR,_CENT01,379,407,6,393,378,17,1,224,552,12,0
0,_001,_TOWN OF GILFORD,_GILF01,2508,2748,57,2720,2473,66,5,1372,3796,46,3
0,_001,_TOWN OF GILMANTON,_GILM01,1020,1423,35,1151,1262,59,2,622,1808,30,2
0,_001,_LACONIA WARD 1,_LACO01,773,976,23,861,863,23,2,421,1317,15,1
0,_001,_LACONIA WARD 2,_LACO02,585,665,20,644,581,35,0,336,896,23,0
0,_001,_LACONIA WARD 3,_LACO03,824,617,22,830,550,23,0,472,970,19,0
0,_001,_LACONIA WARD 4,_LACO04,672,682,26,735,587,33,1,387,951,31,1
0,_001,_LACONIA WARD 5,_LACO05,440,608,28,510,520,32,0,246,814,17,1
0,_001,_LACONIA WARD 6,_LACO06,847,1094,18,932,988,26,1,467,1478,12,1
0,_001,_TOWN OF MEREDITH,_MERE01,2139,2208,60,2324,1964,83,14,1185,3137,53,6
0,_001,_TOWN OF NEW HAMPTON,_NEWH01,697,810,27,763,721,36,4,440,1065,18,3
