IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_NM_20161108_GEN_PRE_DEM_CLINTON,USA_NM_20161108_GEN_PRE_REP_TRUMP,USA_NM_20161108_GEN_PRE_LIB_JOHNSON,USA_NM_20161108_GEN_PRE_GRE_STEIN,USA_NM_20161108_GEN_PRE_BET_MCMULLIN,USA_NM_20161108_GEN_PRE_CON_CASTLE,USA_NM_20161108_GEN_PRE_SOC_RIVA,USA_NM_20161108_GEN_PRE_DEL_FUENTE,USA_NM_20161108_GEN_SOS_DEM_OLIVER,USA_NM_20161108_GEN_SOS_REP_ESPINOZA,USA_NM_20161108_GEN_SSC_DEM_VIGIL,USA_NM_20161108_GEN_SSC_REP_NAKAMURA,USA_NM_20161108_GEN_SAC_DEM_VARGAS,USA_NM_20161108_GEN_SAC_REP_FRENCH
0,_Bernalillo,_PRECINCT 001,_PRECINCT 001,346,311,61,9,6,0,0,0,389,299,302,391,336,348
0,_Bernalillo,_PRECINCT 002,_PRECINCT 002,288,270,52,3,11,0,0,0,330,275,215,387,259,329
0,_Bernalillo,_PRECINCT 003,_PRECINCT 003,381,352,86,20,9,0,1,0,451,363,328,492,384,428
0,_Bernalillo,_PRECINCT 004,_PRECINCT 004,290,202,66,7,7,0,0,0,342,219,216,337,250,296
0,_Bernalillo,_PRECINCT 005,_PRECINCT 005,302,183,35,3,3,1,0,0,338,173,222,287,276,224
0,_Bernalillo,_PRECINCT 006,_PRECINCT 006,508,377,101,8,11,2,1,0,589,398,371,601,481,467
0,_Bernalillo,_PRECINCT 007,_PRECINCT 007,574,389,110,8,5,0,0,0,670,371,478,562,565,457
0,_Bernalillo,_PRECINCT 008,_PRECINCT 008,170,110,42,2,1,0,0,0,212,108,141,172,178,131
0,_Bernalillo,_PRECINCT 009,_PRECINCT 009,250,192,66,3,4,0,2,0,299,193,234,260,268,217
0,_Bernalillo,_PRECINCT 010,_PRECINCT 010,287,223,78,9,1,1,1,0,347,232,268,309,297,270
0,_Bernalillo,_PRECINCT 011,_PRECINCT 011,495,201,84,9,1,0,1,0,555,202,394,360,475,265
0,_Bernalillo,_PRECINCT 012,_PRECINCT 012,394,184,51,9,4,0,3,0,450,177,315,310,382,238
0,_Bernalillo,_PRECINCT 013,_PRECINCT 013,348,166,89,2,2,1,0,0,379,199,255,332,299,273
0,_Bernalillo,_PRECINCT 014,_PRECINCT 014,317,186,68,12,3,0,4,0,359,198,280,269,335,215
0,_Bernalillo,_PRECINCT 015,_PRECINCT 015,340,246,75,8,1,1,0,0,411,238,261,383,331,295
0,_Bernalillo,_PRECINCT 016,_PRECINCT 016,246,148,57,9,1,1,0,0,291,150,209,228,275,155
0,_Bernalillo,_PRECINCT 017,_PRECINCT 017,422,246,95,12,1,3,4,0,538,221,368,383,436,297
0,_Bernalillo,_PRECINCT 018,_PRECINCT 018,415,217,53,6,2,0,0,0,451,212,305,354,395,269
0,_Bernalillo,_PRECINCT 019,_PRECINCT 019,565,604,144,12,14,1,3,0,675,609,466,812,536,726
0,_Bernalillo,_PRECINCT 020,_PRECINCT 020,486,381,89,11,14,1,0,1,554,391,386,553,484,451
0,_Bernalillo,_PRECINCT 021,_PRECINCT 021,653,506,134,13,11,6,0,0,772,501,508,754,657,585
0,_Bernalillo,_PRECINCT 022,_PRECINCT 022,317,278,93,10,12,2,0,0,384,293,240,436,306,355
0,_Bernalillo,_PRECINCT 023,_PRECINCT 023,453,353,107,11,1,4,0,0,564,332,360,527,473,399
0,_Bernalillo,_PRECINCT 024,_PRECINCT 024,653,498,158,11,8,5,3,1,775,514,534,743,657,594
0,_Bernalillo,_PRECINCT 025,_PRECINCT 025,574,471,125,7,10,1,0,1,661,487,448,686,552,569
0,_Bernalillo,_PRECINCT 026,_PRECINCT 026,551,327,123,13,7,0,0,0,625,341,474,478,560,378
0,_Bernalillo,_PRECINCT 027,_PRECINCT 027,361,157,73,9,3,0,3,0,400,180,302,266,366,202
0,_Bernalillo,_PRECINCT 028,_PRECINCT 028,258,129,57,7,4,1,0,0,305,133,222,213,275,153
0,_Bernalillo,_PRECINCT 029,_PRECINCT 029,356,207,73,7,2,2,1,0,398,220,298,311,369,237
0,_Bernalillo,_PRECINCT 030,_PRECINCT 030,870,624,148,25,8,0,3,1,989,647,640,977,816,791
0,_Bernalillo,_PRECINCT 031,_PRECINCT 031,346,64,55,13,2,0,3,1,339,93,262,134,309,93
0,_Bernalillo,_PRECINCT 032,_PRECINCT 032,381,145,70,8,2,0,3,0,413,172,339,230,408,159
0,_Bernalillo,_PRECINCT 033,_PRECINCT 033,503,143,73,4,1,1,2,2,547,155,459,226,531,152
0,_Bernalillo,_PRECINCT 034,_PRECINCT 034,219,88,30,5,2,2,1,0,230,99,187,139,218,103
