IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_NV_20161108_GEN_PRE_DEM_CLINTON,USA_NV_20161108_GEN_PRE_REP_TRUMP,USA_NV_20161108_GEN_PRE_LIB_JOHNSON,USA_NV_20161108_GEN_PRE_IND_CASTLE,USA_NV_20161108_GEN_PRE_NOP_FUENTE,USA_NV_20161108_GEN_PRE_OTH_OTHER,USA_NV_20161108_GEN_USS_DEM_CORTEZ,USA_NV_20161108_GEN_USS_REP_HECK,USA_NV_20161108_GEN_USS_IND_JONES,USA_NV_20161108_GEN_USS_NOP_SAWYER,USA_NV_20161108_GEN_USS_NOP_GUMINA,USA_NV_20161108_GEN_USS_NOP_WILLIAMS,USA_NV_20161108_GEN_USS_OTH_OTHER
0,_Carson City,_Precinct 101,_000101,354,419,39,5,3,39,342,410,17,28,6,6,40
0,_Carson City,_Precinct 103,_000103,393,476,25,6,1,37,389,503,11,3,7,1,17
0,_Carson City,_Precinct 105,_000105,375,609,39,8,1,51,374,669,9,7,2,0,17
0,_Carson City,_Precinct 107,_000107,376,618,39,8,1,50,397,643,8,8,4,2,23
0,_Carson City,_Precinct 109,_000109,483,607,47,11,0,35,470,622,16,16,12,4,32
0,_Carson City,_Precinct 111,_000111,517,528,80,4,5,25,520,514,25,17,13,8,54
0,_Carson City,_Precinct 113,_000113,446,784,45,5,3,39,458,767,25,13,4,5,41
0,_Carson City,_Precinct 201,_000201,351,410,43,4,2,37,340,409,17,18,9,15,34
0,_Carson City,_Precinct 203,_000203,491,516,71,10,3,48,516,520,25,14,10,8,37
0,_Carson City,_Precinct 205,_000205,525,609,64,4,3,37,518,616,25,9,16,10,36
0,_Carson City,_Precinct 207,_000207,372,561,28,7,4,38,385,513,22,14,12,10,44
0,_Carson City,_Precinct 209,_000209,293,377,47,7,3,27,294,348,24,26,10,9,34
0,_Carson City,_Precinct 211,_000211,258,464,45,3,1,23,254,460,15,15,6,4,33
0,_Carson City,_Precinct 301,_000301,334,454,36,5,6,32,319,454,14,11,13,11,41
0,_Carson City,_Precinct 303,_000303,298,477,42,2,1,32,317,450,16,14,6,4,40
0,_Carson City,_Precinct 305,_000305,387,607,45,4,1,49,402,603,15,10,9,2,47
0,_Carson City,_Precinct 307,_000307,716,689,82,13,1,73,699,685,32,35,18,9,79
0,_Carson City,_Precinct 309,_000309,400,831,48,9,4,42,423,845,16,12,8,0,27
0,_Carson City,_Precinct 401,_000401,353,381,51,4,3,16,362,358,19,17,10,5,30
0,_Carson City,_Precinct 403,_000403,524,673,74,11,4,56,565,643,24,23,7,9,56
0,_Carson City,_Precinct 405,_000405,432,556,38,5,1,36,432,523,25,14,6,10,49
0,_Carson City,_Precinct 407,_000407,274,574,39,6,3,20,282,548,13,19,7,7,32
0,_Carson City,_Precinct 409,_000409,465,480,62,7,5,44,475,504,23,11,4,9,32
0,_Carson City,_Precinct 411,_000411,193,425,30,5,1,23,208,420,12,4,2,8,20
0,_Churchill,_Precinct 01,_000001,139,461,31,1,2,21,148,440,18,10,12,2,23
0,_Churchill,_Precinct 02,_000002,186,370,37,4,1,22,157,391,15,12,10,6,22
0,_Churchill,_Precinct 03,_000003,115,305,20,8,2,17,111,315,7,5,8,1,20
0,_Churchill,_Precinct 04,_000004,132,340,35,1,0,17,137,316,10,17,8,4,26
0,_Churchill,_Precinct 05,_000005,115,276,19,2,4,16,118,255,15,9,5,3,23
0,_Churchill,_Precinct 06,_000006,101,318,30,1,1,11,114,315,8,7,4,2,9
0,_Churchill,_Precinct 07,_000007,120,510,16,2,2,23,111,508,11,11,10,2,20
0,_Churchill,_Precinct 08,_000008,78,245,20,4,2,8,78,233,12,9,2,3,18
0,_Churchill,_Precinct 09,_000009,86,282,10,10,0,16,77,298,6,8,1,0,14
0,_Churchill,_Precinct 10,_000010,138,594,32,4,1,24,136,606,9,13,0,2,26
0,_Churchill,_Precinct 11,_000011,140,606,37,9,1,23,141,606,16,10,4,4,28
0,_Churchill,_Precinct 12,_000012,52,216,13,4,1,8,51,214,10,7,1,1,10
0,_Churchill,_Precinct 13,_000013,52,355,15,3,2,4,60,349,5,5,3,1,7
0,_Churchill,_Precinct 14,_000014,88,414,18,7,1,15,91,400,20,7,3,1,18
0,_Churchill,_Precinct 15,_000015,91,479,21,3,1,26,99,482,11,9,3,3,15
0,_Churchill,_Precinct 16,_000016,128,242,16,6,1,22,137,235,10,6,1,6,17
0,_Churchill,_Precinct 17,_000017,148,689,37,11,1,26,171,648,23,24,12,5,26
0,_Churchill,_Precinct 18,_000018,208,737,31,1,2,23,204,719,27,14,5,10,21
0,_Churchill,_Precinct 19,_000019,93,391,12,11,0,9,99,381,13,9,3,2,9
0,_Clark,_1038,_001038,152,199,2,0,0,5,140,198,3,2,2,1,9
0,_Clark,_1039,_001039,294,558,11,0,1,23,273,564,3,5,7,1,22
0,_Clark,_1063,_001063,468,471,39,3,1,26,466,440,17,9,20,9,36
0,_Clark,_1067,_001067,19,90,3,1,1,3,25,77,4,5,0,1,3
0,_Clark,_1072,_001072,60,142,14,1,0,2,66,125,6,6,2,1,7
0,_Clark,_1074,_001074,431,745,22,7,1,26,446,652,15,25,11,7,53
0,_Clark,_1137,_001137,432,399,32,4,1,12,430,376,10,11,12,6,24
0,_Clark,_1302,_001302,691,447,45,2,4,26,664,405,23,25,10,7,55
0,_Clark,_1303,_001303,528,396,30,3,1,19,500,372,12,12,15,3,37
0,_Clark,_1304,_001304,363,219,27,4,1,15,353,197,4,5,10,2,37
0,_Clark,_1307,_001307,680,555,37,6,3,32,621,566,24,11,13,4,43
0,_Clark,_1309,_001309,1,2,0,0,0,0,1,2,0,0,0,0,0
0,_Clark,_1318,_001318,621,304,33,4,0,22,572,292,12,14,11,3,41
0,_Clark,_1327,_001327,745,415,56,2,6,32,727,393,18,13,17,10,41
0,_Clark,_1328,_001328,617,356,28,4,5,29,594,343,12,8,13,6,45
0,_Clark,_1330,_001330,596,668,34,1,0,30,587,609,16,20,16,5,53
0,_Clark,_1331,_001331,587,407,29,2,3,20,570,360,25,11,7,9,47
0,_Clark,_1332,_001332,262,188,11,2,1,11,256,154,12,9,4,2,26
0,_Clark,_1333,_001333,433,426,22,3,2,18,419,402,13,9,8,5,35
0,_Clark,_1334,_001334,623,478,33,3,2,21,588,459,15,16,17,6,37
0,_Clark,_1335,_001335,567,505,34,5,4,25,552,459,23,20,12,7,46
0,_Clark,_1336,_001336,429,305,22,4,1,17,417,273,13,9,9,3,39
0,_Clark,_1337,_001337,646,450,35,6,3,17,599,413,17,20,8,10,55
0,_Clark,_1340,_001340,745,418,50,3,3,32,717,388,24,13,6,16,59
0,_Clark,_1341,_001341,591,393,42,4,5,32,579,373,19,13,11,6,46
0,_Clark,_1342,_001342,463,360,36,1,2,13,429,357,11,14,12,8,28
0,_Clark,_1343,_001343,297,391,18,2,0,19,305,351,10,3,14,2,22
0,_Clark,_1344,_001344,282,216,14,0,0,13,282,202,6,3,2,8,13
0,_Clark,_1345,_001345,275,195,17,4,1,6,256,174,6,3,16,6,19
0,_Clark,_1346,_001346,495,542,28,3,4,22,480,507,19,15,13,5,47
0,_Clark,_1348,_001348,558,412,25,4,4,18,535,380,15,8,15,4,53
0,_Clark,_1349,_001349,571,338,47,0,5,28,523,339,15,25,11,4,51
0,_Clark,_1351,_001351,578,291,29,2,2,23,534,291,18,12,11,5,36
0,_Clark,_1352,_001352,501,347,27,11,3,16,463,330,10,14,13,8,45
0,_Clark,_1353,_001353,700,397,35,8,0,24,658,387,13,9,20,9,48
0,_Clark,_1354,_001354,350,216,24,3,0,13,339,191,14,10,8,4,33
0,_Clark,_1356,_001356,645,427,30,7,1,22,614,406,15,7,8,5,60
0,_Clark,_1361,_001361,0,1,0,0,0,0,0,1,0,0,0,0,0
0,_Clark,_1363,_001363,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Clark,_1365,_001365,6,0,0,0,0,0,5,0,0,0,0,0,0
0,_Clark,_1367,_001367,754,444,50,7,5,32,700,424,27,15,22,11,70
0,_Clark,_1368,_001368,707,446,58,6,3,37,666,437,25,21,14,9,61
0,_Clark,_1370,_001370,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Clark,_1371,_001371,2,3,0,0,0,0,2,3,0,0,0,0,0
0,_Clark,_1374,_001374,1,2,0,0,0,0,1,2,0,0,0,0,0
0,_Clark,_1375,_001375,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Clark,_1376,_001376,0,2,0,0,0,0,0,2,0,0,0,0,0
0,_Clark,_1377,_001377,1,2,0,0,0,0,1,2,0,0,0,0,0
0,_Clark,_1378,_001378,1,1,0,0,0,0,1,1,0,0,0,0,0
0,_Clark,_1379,_001379,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Clark,_1380,_001380,0,2,0,0,0,0,0,2,0,0,0,0,0
0,_Clark,_1381,_001381,1,0,0,1,0,0,1,0,1,0,0,0,0
0,_Clark,_1382,_001382,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Clark,_1384,_001384,130,116,7,2,0,10,127,121,1,3,1,1,9
0,_Clark,_1385,_001385,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Clark,_1386,_001386,2,1,0,0,0,0,2,1,0,0,0,0,0
0,_Clark,_1387,_001387,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Clark,_1389,_001389,402,350,19,4,0,15,367,347,7,6,8,8,32
0,_Clark,_1390,_001390,788,651,41,9,4,28,770,621,21,12,13,4,54
0,_Clark,_1391,_001391,645,504,52,6,0,32,614,504,14,10,20,6,52
0,_Clark,_1394,_001394,441,592,32,5,1,16,419,590,7,9,10,5,31
0,_Clark,_1395,_001395,375,600,24,5,0,16,339,619,5,2,11,3,24
0,_Clark,_1396,_001396,456,365,18,2,0,14,435,346,10,11,14,3,25
0,_Clark,_1410,_001410,555,636,60,3,0,45,530,647,26,13,12,4,44
0,_Clark,_1411,_001411,465,520,19,4,3,20,420,515,14,9,14,2,36
0,_Clark,_1509,_001509,427,625,26,4,1,20,410,619,7,8,11,2,31
0,_Clark,_1510,_001510,265,528,8,1,1,22,228,567,3,3,7,2,10
