IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_NV_20201103_GEN_PRE_DEM_BIDEN,USA_NV_20201103_GEN_PRE_REP_TRUMP,USA_NV_20201103_GEN_PRE_LIB_JORGENSEN,USA_NV_20201103_GEN_PRE_IND_BLANKENSHIP,USA_NV_20201103_GEN_PRE_OTH_NONE
0,_Carson City,_Precinct 101,_000101,515,529,15,3,14
0,_Carson City,_Precinct 103,_000103,484,548,18,3,15
0,_Carson City,_Precinct 105,_000105,445,583,17,2,8
0,_Carson City,_Precinct 107,_000107,494,706,13,2,18
0,_Carson City,_Precinct 109,_000109,702,824,16,2,20
0,_Carson City,_Precinct 111,_000111,661,692,21,6,13
0,_Carson City,_Precinct 113,_000113,588,887,11,4,19
0,_Carson City,_Precinct 201,_000201,468,563,14,4,13
0,_Carson City,_Precinct 203,_000203,662,677,20,2,18
0,_Carson City,_Precinct 205,_000205,646,723,15,6,18
0,_Carson City,_Precinct 207,_000207,489,699,8,3,8
0,_Carson City,_Precinct 209,_000209,375,453,15,5,14
0,_Carson City,_Precinct 211,_000211,363,546,14,4,10
0,_Carson City,_Precinct 301,_000301,436,542,17,5,9
0,_Carson City,_Precinct 303,_000303,382,537,18,1,14
0,_Carson City,_Precinct 305,_000305,496,688,17,2,16
0,_Carson City,_Precinct 307,_000307,933,874,43,17,18
0,_Carson City,_Precinct 309,_000309,503,939,13,6,30
0,_Carson City,_Precinct 401,_000401,428,461,30,4,9
0,_Carson City,_Precinct 403,_000403,703,872,36,10,18
0,_Carson City,_Precinct 405,_000405,539,649,9,6,11
0,_Carson City,_Precinct 407,_000407,567,1055,21,5,13
0,_Carson City,_Precinct 409,_000409,607,585,20,1,19
0,_Carson City,_Precinct 411,_000411,249,481,11,1,10
0,_Churchill,_Precinct 01,_000001,227,510,14,3,9
0,_Churchill,_Precinct 02,_000002,267,498,19,1,9
0,_Churchill,_Precinct 03,_000003,151,352,26,1,10
0,_Churchill,_Precinct 04,_000004,216,383,16,4,11
0,_Churchill,_Precinct 05,_000005,142,365,21,3,10
0,_Churchill,_Precinct 06,_000006,129,363,14,1,4
0,_Churchill,_Precinct 07,_000007,184,596,22,1,16
0,_Churchill,_Precinct 08,_000008,89,305,8,2,5
0,_Churchill,_Precinct 09,_000009,119,347,10,3,5
0,_Churchill,_Precinct 10,_000010,174,738,7,1,11
0,_Churchill,_Precinct 11,_000011,176,701,26,2,6
0,_Churchill,_Precinct 12,_000012,84,269,6,1,4
0,_Churchill,_Precinct 13,_000013,68,396,12,1,6
0,_Churchill,_Precinct 14,_000014,100,500,12,1,8
0,_Churchill,_Precinct 15,_000015,112,528,15,1,5
0,_Churchill,_Precinct 16,_000016,199,270,6,3,12
0,_Churchill,_Precinct 17,_000017,231,858,14,2,7
0,_Churchill,_Precinct 18,_000018,266,889,21,3,6
0,_Churchill,_Precinct 19,_000019,117,504,13,1,6
0,_Clark,_1038,_001038,189,231,2,0,3
0,_Clark,_1039,_001039,382,548,2,0,9
0,_Clark,_1063,_001063,649,573,15,3,13
0,_Clark,_1067,_001067,39,94,2,2,2
0,_Clark,_1072,_001072,61,192,1,2,3
0,_Clark,_1074,_001074,660,996,13,2,11
0,_Clark,_1137,_001137,583,563,11,0,11
0,_Clark,_1161,_001161,0,1,0,0,0
0,_Clark,_1302,_001302,1180,842,23,3,17
0,_Clark,_1303,_001303,743,624,8,2,13
0,_Clark,_1304,_001304,823,484,17,0,14
0,_Clark,_1307,_001307,880,775,7,1,7
0,_Clark,_1309,_001309,1,2,0,0,0
0,_Clark,_1318,_001318,856,454,10,2,15
0,_Clark,_1327,_001327,1051,618,23,4,18
0,_Clark,_1328,_001328,860,617,14,4,14
0,_Clark,_1330,_001330,684,882,13,6,12
0,_Clark,_1331,_001331,791,540,10,7,7
0,_Clark,_1332,_001332,323,273,7,1,3
0,_Clark,_1333,_001333,575,523,3,2,5
0,_Clark,_1334,_001334,782,655,15,4,8
0,_Clark,_1335,_001335,639,664,12,0,10
0,_Clark,_1336,_001336,622,439,4,1,6
0,_Clark,_1337,_001337,839,676,14,6,11
0,_Clark,_1340,_001340,1096,684,11,1,15
0,_Clark,_1341,_001341,732,570,21,6,7
0,_Clark,_1342,_001342,537,444,12,4,5
0,_Clark,_1343,_001343,362,473,8,0,9
0,_Clark,_1344,_001344,359,245,6,1,2
0,_Clark,_1345,_001345,334,268,6,1,3
0,_Clark,_1346,_001346,543,667,13,3,6
0,_Clark,_1348,_001348,739,572,21,1,10
