IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OH_20201103_GEN_PRE_REP_TRUMP,USA_OH_20201103_GEN_PRE_DEM_BIDEN,USA_OH_20201103_GEN_PRE_LIB_JORGENSEN,USA_OH_20201103_GEN_PRE_GRE_HAWKINS
0,_001,_BRATTON TOWNSHIP,_001AAA,605,118,6,2
0,_001,_BRUSH CREEK TOWNSHIP,_001AAB,442,90,4,4
0,_001,_LOCUST GROVE,_001AAD,460,80,3,1
0,_001,_GREEN TOWNSHIP,_001AAE,230,54,2,0
0,_001,_JEFFERSON TOWNSHIP,_001AAG,266,60,1,0
0,_001,_LIBERTY TOWNSHIP,_001AAI,787,171,8,3
0,_001,_MANCHESTER UNITED TOWNSHIP,_001AAK,478,150,8,1
0,_001,_MEIGS TOWNSHIP,_001AAN,755,121,4,1
0,_001,_PEEBLES VILLAGE,_001AAP,524,146,6,2
0,_001,_MONROE TOWNSHIP,_001AAR,232,60,3,1
0,_001,_OLIVER TOWNSHIP,_001AAS,379,90,5,0
0,_001,_SCOTT TOWNSHIP,_001AAT,519,85,1,1
0,_001,_SEAMAN VILLAGE,_001AAU,337,68,1,0
0,_001,_SPRIGG TOWNSHIP,_001AAW,684,150,4,1
0,_001,_TIFFIN EAST,_001AAY,448,112,5,3
0,_001,_TIFFIN WEST,_001AAZ,452,101,7,2
0,_001,_WEST UNION A,_001ABA,417,130,10,2
0,_001,_WEST UNION B,_001ABC,406,145,4,2
0,_001,_WAYNE TOWNSHIP,_001ABE,569,74,6,0
0,_001,_WINCHESTER TOWNSHIP,_001ABG,527,100,4,1
0,_001,_WINCHESTER VILLAGE,_001ABH,353,51,0,0
0,_003,_DELPHOS 1A,_002AAA,423,129,13,0
0,_003,_DELPHOS 1B,_002AAC,404,120,5,1
0,_003,_DELPHOS 2A,_002AAE,400,135,8,1
0,_003,_DELPHOS 2B,_002AAG,180,47,10,0
0,_003,_LIMA 1A,_002AAH,287,234,7,1
0,_003,_LIMA 1B,_002AAJ,363,207,8,1
0,_003,_LIMA 1C,_002AAK,195,176,10,7
0,_003,_LIMA 2A,_002AAO,354,286,11,1
0,_003,_LIMA 2B,_002AAP,402,277,8,1
0,_003,_LIMA 2C,_002AAQ,376,282,15,2
0,_003,_LIMA 3A,_002AAW,168,229,10,4
0,_003,_LIMA 3B,_002AAX,146,199,3,2
0,_003,_LIMA 3C,_002AAY,271,192,3,3
0,_003,_LIMA 4A,_002ABE,407,275,18,3
0,_003,_LIMA 4B,_002ABF,199,267,7,0
0,_003,_LIMA 4C,_002ABH,319,218,2,0
0,_003,_LIMA 4D,_002ABI,376,332,11,4
0,_003,_LIMA 5A,_002ABP,105,137,3,0
0,_003,_LIMA 5B,_002ABQ,66,175,1,3
0,_003,_LIMA 5C,_002ABR,51,285,4,0
0,_003,_LIMA 5D,_002ABT,181,225,8,3
