IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OH_20201103_GEN_PRE_ALL_Reg_No_Vote,USA_OH_20201103_GEN_PRE_ALL_No_Choice,USA_OH_20201103_GEN_PRE_ALL_Dem_Biden,USA_OH_20201103_GEN_PRE_ALL_Rep_Trump,USA_OH_20201103_GEN_PRE_ALL_Other_Choice
0,Adams,BRATTON TOWNSHIP,AAA,219,7,118,605,8
0,Adams,BRUSH CREEK TOWNSHIP,AAB,226,7,90,442,8
0,Adams,LOCUST GROVE,AAD,169,6,80,460,4
0,Adams,GREEN TOWNSHIP,AAE,112,3,54,230,2
0,Adams,JEFFERSON TOWNSHIP,AAG,169,2,60,266,1
0,Adams,LIBERTY TOWNSHIP,AAI,303,4,171,787,11
0,Adams,MANCHESTER UNITED TOWNSHIP,AAK,479,5,150,478,9
0,Adams,MEIGS TOWNSHIP,AAN,367,10,121,755,5
0,Adams,PEEBLES VILLAGE,AAP,421,12,146,524,8
0,Adams,MONROE TOWNSHIP,AAR,127,0,60,232,4
0,Adams,OLIVER TOWNSHIP,AAS,200,11,90,379,5
0,Adams,SCOTT TOWNSHIP,AAT,145,3,85,519,2
0,Adams,SEAMAN VILLAGE,AAU,250,2,68,337,1
0,Adams,SPRIGG TOWNSHIP,AAW,313,13,150,684,5
0,Adams,TIFFIN EAST,AAY,178,8,112,448,8
0,Adams,TIFFIN WEST,AAZ,169,3,101,452,9
0,Adams,WEST UNION A,ABA,292,12,130,417,12
0,Adams,WEST UNION B,ABC,320,7,145,406,6
0,Adams,WAYNE TOWNSHIP,ABE,162,8,74,569,6
0,Adams,WINCHESTER TOWNSHIP,ABG,154,6,100,527,5
0,Adams,WINCHESTER VILLAGE,ABH,191,6,51,353,0
0,Allen,DELPHOS 1A,AAA,170,4,129,423,13
0,Allen,DELPHOS 1B,AAC,74,4,120,404,6
0,Allen,DELPHOS 2A,AAE,237,9,135,400,9
0,Allen,DELPHOS 2B,AAG,154,2,47,180,10
0,Allen,LIMA 1A,AAH,378,1,234,287,8
0,Allen,LIMA 1B,AAJ,374,2,207,363,9
0,Allen,LIMA 1C,AAK,464,2,176,195,17
0,Allen,LIMA 2A,AAO,439,11,286,354,12
0,Allen,LIMA 2B,AAP,336,3,277,402,9
0,Allen,LIMA 2C,AAQ,351,5,282,376,17
0,Allen,LIMA 3A,AAW,607,3,229,168,14
0,Allen,LIMA 3B,AAX,647,5,199,146,5
0,Allen,LIMA 3C,AAY,442,6,192,271,6
0,Allen,LIMA 4A,ABE,173,6,275,407,21
0,Allen,LIMA 4B,ABF,410,4,267,199,7
0,Allen,LIMA 4C,ABH,229,2,218,319,2
0,Allen,LIMA 4D,ABI,258,5,332,376,15
0,Allen,LIMA 5A,ABP,359,6,137,105,3
0,Allen,LIMA 5B,ABQ,447,3,175,66,4
0,Allen,LIMA 5C,ABR,388,3,285,51,4
0,Allen,LIMA 5D,ABT,358,3,225,181,11
0,Allen,LIMA 6A,ABW,446,2,266,208,9
0,Allen,LIMA 6B,ABX,542,4,247,150,10
0,Allen,LIMA 6C,ABZ,558,5,386,49,4
0,Allen,LIMA 7A,ACD,377,3,335,447,9
0,Allen,LIMA 7B,ACE,365,10,267,350,13
0,Allen,LIMA 7C,ACG,290,6,283,414,11
0,Allen,AMANDA E,ACT,139,6,125,716,7
0,Allen,AMANDA N,ACU,93,5,70,342,3
0,Allen,AMERICAN A,ACW,152,1,118,500,8
0,Allen,AMERICAN B,ACX,203,7,150,350,6
0,Allen,AMERICAN C,ACY,219,0,132,364,7
0,Allen,AMERICAN D,ACZ,311,3,278,207,10
0,Allen,AMERICAN E,ADA,236,7,153,276,5
0,Allen,AMERICAN F,ADB,122,2,160,304,5
0,Allen,AMERICAN G,ADC,175,8,157,519,7
0,Allen,AMERICAN H,ADD,125,5,156,488,10
0,Allen,AMERICAN I,ADE,111,5,138,487,6
0,Allen,AMERICAN J,ADF,103,4,148,477,7
0,Allen,AMERICAN K,ADG,194,3,167,332,7
0,Allen,AMERICAN L,ADI,195,10,214,305,5
0,Allen,ELIDA A,ADQ,160,4,110,414,4
0,Allen,ELIDA B,ADR,88,3,121,460,7
0,Allen,AUGLAIZE A,ADT,133,4,68,487,9
0,Allen,HARROD,ADU,60,2,23,171,5
0,Allen,AUGLAIZE B,ADW,144,4,117,620,8
0,Allen,BATH A,ADY,109,1,117,422,3
0,Allen,BATH B,ADZ,137,2,82,509,5
0,Allen,BATH C,AEA,100,2,89,412,4
0,Allen,BATH D,AEB,211,9,100,456,13
0,Allen,BATH E,AEC,337,3,97,276,5
0,Allen,BATH F,AED,108,0,99,364,10
0,Allen,BATH G,AEE,195,8,180,420,11
0,Allen,BATH H,AEF,159,5,169,455,5
0,Allen,BATH I,AEG,259,2,103,340,6
0,Allen,JACKSON A,AEN,137,3,117,739,6
0,Allen,LAFAYETTE,AEO,56,2,30,139,3
0,Allen,JACKSON B,AEQ,151,6,110,683,13
0,Allen,MARION A,AES,170,4,107,705,9
0,Allen,MARION B,AET,113,7,128,634,14
0,Allen,CAIRO,AEW,78,0,52,193,7
0,Allen,MONROE E,AEX,81,2,42,455,5
0,Allen,MONROE W,AEY,76,10,57,382,7
0,Allen,PERRY C,AEZ,176,4,107,526,8
0,Allen,PERRY A,AFB,221,6,122,401,3
0,Allen,PERRY B,AFC,221,5,130,302,3
0,Allen,BEAVERDAM,AFE,71,0,19,121,4
0,Allen,RICHLAND A,AFF,79,1,106,433,17
0,Allen,RICHLAND B,AFG,85,8,129,434,4
0,Allen,BLUFFTON A,AFI,137,6,299,414,12
0,Allen,BLUFFTON B,AFJ,150,4,266,339,8
0,Allen,BLUFFTON C,AFK,160,5,211,399,13
0,Allen,SHAWNEE A,AFN,134,6,145,422,6
0,Allen,SHAWNEE B,AFO,106,1,163,410,8
0,Allen,SHAWNEE C,AFP,180,5,121,343,17
0,Allen,SHAWNEE D,AFQ,136,3,189,464,7
0,Allen,SHAWNEE E,AFR,141,4,167,363,4
0,Allen,SHAWNEE F,AFS,125,6,210,466,8
0,Allen,SHAWNEE G,AFT,150,1,192,487,11
0,Allen,SHAWNEE H,AFU,143,5,149,430,11
0,Allen,SHAWNEE I,AFV,136,3,139,458,7
0,Allen,SHAWNEE J,AGB,166,5,189,518,8
0,Allen,SHAWNEE K,AGC,192,4,151,470,10
0,Allen,SHAWNEE L,AGD,206,0,115,485,6
0,Allen,SPENCER A,AGI,113,1,65,409,8
0,Allen,SPENCERVILLE A,AGK,178,2,89,399,16
0,Allen,SPENCERVILLE B,AGL,157,5,72,355,9
0,Allen,SUGAR CREEK,AGN,145,2,109,574,10
0,Ashland,PRECINCT ASHLAND CITY 1-A,AAA,163,18,255,458,11
0,Ashland,PRECINCT ASHLAND CITY 1-B,AAB,298,28,299,470,17
0,Ashland,PRECINCT ASHLAND CITY 1-C,AAD,239,6,242,563,17
0,Ashland,PRECINCT ASHLAND CITY 1-D,AAF,79,17,163,403,10
0,Ashland,PRECINCT ASHLAND CITY 2-A,AAG,227,8,177,493,17
0,Ashland,PRECINCT ASHLAND CITY 2-B,AAH,369,12,253,505,19
0,Ashland,PRECINCT ASHLAND CITY 2-C,AAJ,215,14,233,494,12
0,Ashland,PRECINCT ASHLAND CITY 3-A,AAQ,246,7,213,308,12
0,Ashland,PRECINCT ASHLAND CITY 3-B,AAS,264,14,273,426,16
0,Ashland,PRECINCT ASHLAND CITY 3-C,AAU,182,19,240,470,6
0,Ashland,PRECINCT ASHLAND CITY 3-D,AAV,304,4,112,260,13
0,Ashland,PRECINCT ASHLAND CITY 4-A,AAZ,306,3,130,413,5
0,Ashland,PRECINCT ASHLAND CITY 4-B,ABB,281,4,119,224,9
0,Ashland,PRECINCT ASHLAND CITY 4-C,ABC,361,7,131,436,4
0,Ashland,PRECINCT CLEAR CREEK,ABG,282,14,170,807,21
0,Ashland,PRECINCT GREEN 1,ABI,278,13,201,636,11
0,Ashland,PRECINCT GREEN 2,ABJ,94,7,111,367,10
0,Ashland,PRECINCT LOUDONVILLE 2,ABN,245,10,229,626,21
0,Ashland,PRECINCT LOUDONVILLE 1,ABO,310,12,303,703,21
0,Ashland,PRECINCT JACKSON 1,ABS,270,8,242,535,11
0,Ashland,PRECINCT JACKSON 2,ABT,277,19,206,768,16
0,Ashland,PRECINCT LAKE,ABV,60,5,73,268,8
0,Ashland,PRECINCT MILTON 1,ABZ,182,7,177,687,13
0,Ashland,PRECINCT MILTON 3,ACA,95,4,76,331,3
0,Ashland,PRECINCT JEROMESVILLE,ACB,90,5,65,167,4
0,Ashland,PRECINCT MOHICAN,ACC,161,11,165,689,17
0,Ashland,PRECINCT MONTGOMERY 1,ACE,111,6,112,389,5
0,Ashland,PRECINCT MONTGOMERY 2,ACF,158,8,135,525,12
0,Ashland,PRECINCT MONTGOMERY 3,ACH,106,1,94,389,4
0,Ashland,PRECINCT ORANGE 1,ACI,223,8,164,647,19
0,Ashland,PRECINCT ORANGE 2,ACJ,111,3,106,390,9
0,Ashland,PRECINCT PERRY,ACM,266,15,153,837,14
0,Ashland,PRECINCT RUGGLES,ACN,126,6,89,417,11
0,Ashland,PRECINCT SULLIVAN 1,ACO,204,9,136,546,8
0,Ashland,PRECINCT SULLIVAN 2,ACP,195,3,127,458,6
0,Ashland,PRECINCT TROY,ACQ,145,10,98,506,10
0,Ashland,PRECINCT VERMILLION 1,ACS,182,9,140,520,7
0,Ashland,PRECINCT VERMILLION 2,ACT,178,12,180,693,9
0,Ashland,PRECINCT MIFFLIN,ACV,183,7,149,583,12
0,Ashtabula,PRECINCT ASHTABULA 1-A,AAA,160,9,328,283,5
0,Ashtabula,PRECINCT ASHTABULA 1-B,AAB,122,8,260,209,10
0,Ashtabula,PRECINCT ASHTABULA 1-C,AAC,225,7,246,204,9
0,Ashtabula,PRECINCT ASHTABULA 1-D,AAE,171,4,200,130,4
0,Ashtabula,PRECINCT ASHTABULA 2-A,AAH,313,7,293,208,13
0,Ashtabula,PRECINCT ASHTABULA 2-B,AAI,209,4,257,209,10
0,Ashtabula,PRECINCT ASHTABULA 2-C,AAJ,136,2,144,110,1
0,Ashtabula,PRECINCT ASHTABULA 2-D,AAM,119,1,107,100,9
0,Ashtabula,PRECINCT ASHTABULA 3-A,AAN,191,3,55,51,2
0,Ashtabula,PRECINCT ASHTABULA 3-B,AAO,317,6,101,84,1
0,Ashtabula,PRECINCT ASHTABULA 3-C,AAP,189,1,108,99,5
0,Ashtabula,PRECINCT ASHTABULA 3-D,AAQ,288,11,141,56,6
0,Ashtabula,PRECINCT ASHTABULA 4-A,AAR,202,4,102,85,4
0,Ashtabula,PRECINCT ASHTABULA 4-B,AAS,286,8,112,86,12
0,Ashtabula,PRECINCT ASHTABULA 4-C,AAT,89,10,128,118,10
0,Ashtabula,PRECINCT ASHTABULA 4-D,AAU,354,5,230,271,12
0,Ashtabula,PRECINCT ASHTABULA 5-A,AAW,210,2,84,77,2
0,Ashtabula,PRECINCT ASHTABULA 5-B,AAX,191,2,95,74,6
0,Ashtabula,PRECINCT ASHTABULA 5-C,AAY,275,3,219,216,9
0,Ashtabula,PRECINCT ASHTABULA 5-D,ABA,224,4,127,113,6
0,Ashtabula,PRECINCT CONNEAUT 1-A,ABB,103,1,117,143,3
0,Ashtabula,PRECINCT CONNEAUT 1-B,ABC,82,6,71,193,4
0,Ashtabula,PRECINCT CONNEAUT 1-C,ABD,313,4,196,239,8
0,Ashtabula,PRECINCT CONNEAUT 2-A,ABF,227,7,194,231,12
0,Ashtabula,PRECINCT CONNEAUT 2-B,ABG,264,3,286,307,17
0,Ashtabula,PRECINCT CONNEAUT 2-C,ABI,124,3,173,310,6
0,Ashtabula,PRECINCT CONNEAUT 3-A,ABJ,76,0,125,138,7
0,Ashtabula,PRECINCT CONNEAUT 3-B,ABK,122,2,179,212,1
0,Ashtabula,PRECINCT CONNEAUT 3-C,ABL,85,2,173,153,4
0,Ashtabula,PRECINCT CONNEAUT 3-D,ABM,193,6,154,177,8
0,Ashtabula,PRECINCT CONNEAUT 4-A,ABN,180,6,99,138,1
0,Ashtabula,PRECINCT CONNEAUT 4-B,ABO,175,1,240,197,7
0,Ashtabula,PRECINCT CONNEAUT 4-C,ABQ,161,1,71,113,10
0,Ashtabula,PRECINCT GENEVA 1,ABR,91,5,184,179,6
0,Ashtabula,PRECINCT GENEVA 2,ABS,263,3,260,355,15
0,Ashtabula,PRECINCT GENEVA 3,ABT,176,3,143,182,7
0,Ashtabula,PRECINCT GENEVA 4,ABV,194,2,92,196,6
0,Ashtabula,PRECINCT GENEVA 5,ABW,136,3,109,138,9
0,Ashtabula,PRECINCT GENEVA 6,ABX,140,8,153,226,10
0,Ashtabula,PRECINCT GENEVA 7,ABY,86,3,195,207,6
0,Ashtabula,PRECINCT ANDOVER TWP. 1,ABZ,203,6,158,334,7
0,Ashtabula,PRECINCT ANDOVER TWP. 2,ACA,97,4,97,260,5
0,Ashtabula,PRECINCT ANDOVER VILLAGE,ACB,176,8,123,270,5
0,Ashtabula,PRECINCT ASHTABULA TWP. 1,ACD,145,3,164,214,6
0,Ashtabula,PRECINCT ASHTABULA TWP. 2,ACG,183,6,246,351,14
0,Ashtabula,PRECINCT ASHTABULA TWP. 3,ACH,175,2,92,147,4
0,Ashtabula,PRECINCT ASHTABULA TWP. 4,ACI,253,2,275,279,7
0,Ashtabula,PRECINCT ASHTABULA TWP. 5,ACJ,163,9,166,208,7
0,Ashtabula,PRECINCT ASHTABULA TWP. 6,ACM,119,4,133,223,6
0,Ashtabula,PRECINCT AUSTINBURG TWP. 1,ACO,144,3,219,501,7
0,Ashtabula,PRECINCT AUSTINBURG TWP. 2,ACP,160,6,231,381,7
0,Ashtabula,PRECINCT CHERRY VALLEY,ACQ,111,3,80,305,3
0,Ashtabula,PRECINCT COLEBROOK TWP.,ACR,122,8,102,307,4
0,Ashtabula,PRECINCT DENMARK TWP.,ACS,146,3,101,277,5
0,Ashtabula,PRECINCT DORSET TWP.,ACT,131,4,96,268,13
0,Ashtabula,PRECINCT GENEVA TWP. 1,ACU,381,5,260,485,16
0,Ashtabula,PRECINCT GENEVA TWP. 2,ACW,148,2,118,285,3
0,Ashtabula,PRECINCT GENEVA TWP. 3,ACX,132,4,91,195,5
0,Ashtabula,PRECINCT GEN ON LAKE VILL,ACY,232,6,183,282,6
0,Ashtabula,PRECINCT HARPERSFLD TWP 1,ADA,103,6,148,322,5
0,Ashtabula,PRECINCT HARPERSFLD TWP 2,ADB,162,5,206,421,9
0,Ashtabula,PRECINCT HARPERSFLD TWP 3,ADC,121,5,175,298,9
0,Ashtabula,PRECINCT HARTSGROVE TWP,ADD,196,6,171,540,7
0,Ashtabula,PRECINCT JEFFERSON TWP. 1,ADF,108,6,112,274,3
0,Ashtabula,PRECINCT JEFFERSON TWP. 2,ADG,88,2,81,261,3
0,Ashtabula,PRECINCT JEFFERSON TWP 3,ADH,120,5,122,282,8
0,Ashtabula,PRECINCT JEFF VILL 1,ADI,106,5,104,245,9
0,Ashtabula,PRECINCT JEFF VILL 2,ADJ,314,6,237,435,17
0,Ashtabula,PRECINCT JEFF VILL 3,ADL,104,8,167,293,5
0,Ashtabula,PRECINCT KINGSVILLE TWP. 1,ADM,140,4,161,306,10
0,Ashtabula,PRECINCT KINGSVILLE TWP. 2,ADN,118,3,172,307,9
0,Ashtabula,PRECINCT LENOX TWP. 1,ADO,91,5,96,295,5
0,Ashtabula,PRECINCT LENOX TWP. 2,ADP,111,9,100,273,5
0,Ashtabula,PRECINCT MONROE TWP. 1,ADQ,177,8,140,382,13
0,Ashtabula,PRECINCT MONROE TWP. 2,ADR,133,8,118,366,6
0,Ashtabula,PRECINCT ROCK CREEK VILLAGE,ADS,131,4,93,183,7
0,Ashtabula,PRECINCT MORGAN TWP.,ADT,108,2,124,347,8
0,Ashtabula,PRECINCT NEW LYME TWP.,ADU,127,3,145,366,8
0,Ashtabula,PRECINCT N KINGS VILL 1,ADV,135,8,243,330,9
0,Ashtabula,PRECINCT N KINGS VILL 2,ADW,213,10,273,441,13
0,Ashtabula,PRECINCT N KINGS VILL 3,ADX,76,2,99,149,3
0,Ashtabula,PRECINCT ORWELL TWP.,ADZ,174,10,131,429,7
0,Ashtabula,PRECINCT ORWELL VILLAGE,AEA,295,5,203,386,9
0,Ashtabula,PRECINCT PIERPONT TWP.,AEB,150,7,133,385,7
0,Ashtabula,PRECINCT PLYMOUTH TWP. 1,AEC,108,3,146,257,12
0,Ashtabula,PRECINCT PLYMOUTH TWP. 2,AED,180,9,247,480,14
0,Ashtabula,PRECINCT RICHMOND TWP.,AEF,135,6,99,306,13
0,Ashtabula,PRECINCT ROME TWP.,AEG,114,3,114,329,5
0,Ashtabula,PRECINCT SAYBROOK TWP. 1,AEH,84,2,108,226,5
0,Ashtabula,PRECINCT SAYBROOK TWP. 2,AEI,154,3,167,212,8
0,Ashtabula,PRECINCT SAYBROOK TWP. 3,AEJ,114,10,213,216,7
0,Ashtabula,PRECINCT SAYBROOK TWP. 4,AEK,101,5,195,255,5
0,Ashtabula,PRECINCT SAYBROOK TWP. 5,AEL,131,9,250,281,6
0,Ashtabula,PRECINCT SAYBROOK TWP. 6,AEM,101,6,318,282,12
0,Ashtabula,PRECINCT SAYBROOK TWP. 7,AEO,94,1,113,229,4
0,Ashtabula,PRECINCT SAYBROOK TWP. 8,AEP,109,8,132,179,4
0,Ashtabula,PRECINCT SHEFFIELD TWP. 1,AEQ,100,3,113,216,4
0,Ashtabula,PRECINCT SHEFFIELD TWP. 2,AER,131,3,127,345,9
0,Ashtabula,PRECINCT TRUMBULL TWP.,AES,143,4,216,584,8
0,Ashtabula,PRECINCT WAYNE TWP.,AEU,84,4,68,207,6
0,Ashtabula,PRECINCT WMSFLD TWP 1,AEV,67,1,73,219,5
0,Ashtabula,PRECINCT WMSFLD TWP 2,AEW,156,9,98,289,5
0,Ashtabula,PRECINCT WINDSOR TWP.,AEX,188,11,181,439,4
0,Ashtabula,PRECINCT ROAMING SHORES VILLAGE,AEZ,226,7,279,634,12
0,Athens,ATHENS 1-1,AAA,475,9,576,110,16
0,Athens,ATHENS 1-2,AAB,143,4,348,31,6
0,Athens,ATHENS 1-3,AAD,470,2,367,83,8
0,Athens,ATHENS 1-4,AAE,535,0,36,13,1
0,Athens,ATHENS 1-5,AAF,134,1,59,17,2
0,Athens,ATHENS 2-1,AAG,530,0,67,17,2
0,Athens,ATHENS 2-2,AAH,277,3,172,37,6
0,Athens,ATHENS 2-3,AAI,101,7,389,128,9
0,Athens,ATHENS 2-4,AAJ,195,6,510,130,10
0,Athens,ATHENS 3-1,AAK,247,1,130,32,3
0,Athens,ATHENS 3-2,AAL,314,1,213,70,3
0,Athens,ATHENS 3-3,AAM,250,0,160,50,1
0,Athens,ATHENS 3-4,AAN,285,6,401,76,12
0,Athens,ATHENS 3-5,AAP,242,1,534,45,6
0,Athens,ATHENS 3-6,AAQ,85,6,374,53,5
0,Athens,ATHENS 4-1,AAS,219,7,430,120,6
0,Athens,ATHENS 4-2,AAU,141,7,391,58,5
0,Athens,ATHENS 4-3,AAV,174,0,295,39,3
0,Athens,ATHENS 4-4,AAW,283,1,260,66,9
0,Athens,NELSONVILLE 1,AAX,225,7,156,199,12
0,Athens,NELSONVILLE 2,AAZ,211,4,123,134,10
0,Athens,NELSONVILLE 3,ABB,342,9,199,192,10
0,Athens,NELSONVILLE 4,ABD,429,7,206,176,14
0,Athens,ALEXANDER EAST,ABF,218,6,404,589,18
0,Athens,ALEXANDER WEST,ABG,159,8,291,272,9
0,Athens,AMES TOWNSHIP,ABH,161,6,342,239,13
0,Athens,AMESVILLE VLG,ABI,26,1,52,42,0
0,Athens,ATHENS BAKER,ABJ,242,12,638,353,13
0,Athens,ATHENS EAST,ABK,105,1,260,78,6
0,Athens,ATHENS SOUTH,ABL,185,11,465,191,6
0,Athens,PLAINS 1,ABM,366,11,382,249,4
0,Athens,PLAINS 2,ABN,294,7,515,348,17
0,Athens,BERN TOWNSHIP,ABO,97,4,145,113,7
0,Athens,CANAAN TOWNSHIP,ABP,198,8,558,268,20
0,Athens,CARTHAGE TOWNSHIP,ABR,210,5,180,557,9
0,Athens,CHAUNCEY VLG,ABS,181,6,143,181,7
0,Athens,CIRCLE HILL,ABT,173,6,291,189,8
0,Athens,MILLFIELD,ABU,169,8,207,240,11
0,Athens,SUGAR CREEK,ABV,109,2,171,90,3
0,Athens,ALBANY VILLAGE,ABW,152,4,201,265,3
0,Athens,LEE TOWNSHIP,ABX,287,16,437,670,17
0,Athens,LODI TOWNSHIP,ABY,204,8,360,431,10
0,Athens,ROME TOWNSHIP,ABZ,209,3,268,351,12
